dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,193.151224,141.368937,0.005354,0.535359,26.767953,1338.397660,3.925405
0.020000,193.152941,141.370648,0.007778,0.121201,-20.707889,-2373.792120,3.925595
0.020000,193.156371,141.374070,0.012623,0.242263,6.053067,1338.047800,3.925975
0.020000,193.161509,141.379201,0.019884,0.363044,6.039068,-0.699959,3.926545
0.020000,193.143409,141.361092,0.045487,1.280171,45.856338,1990.863504,3.927303
0.020000,193.076281,141.293858,0.140495,4.750399,173.511432,6382.754722,3.928249
0.020000,192.995789,141.213072,0.254536,5.702040,47.582040,-6296.469614,3.929382
0.020000,192.901967,141.118675,0.387628,6.654601,47.628060,2.301015,3.930700
0.020000,192.794852,141.010601,0.539791,7.608130,47.676429,2.418459,3.932202
0.020000,192.674492,140.888774,0.711047,8.562796,47.733318,2.844416,3.933887
0.020000,192.540934,140.753109,0.901422,9.518775,47.798950,3.281625,3.935751
0.020000,192.394234,140.603510,1.110947,10.476247,47.873571,3.731021,3.937793
0.020000,192.234451,140.439875,1.339653,11.435323,47.953820,4.012493,3.940010
0.020000,192.061655,140.262095,1.587573,12.396004,48.034065,4.012252,3.942399
0.020000,191.875912,140.070047,1.854749,13.358781,48.138832,5.238319,3.944958
0.020000,191.677300,139.863604,2.141220,14.323563,48.239115,5.014174,3.947683
0.020000,191.465901,139.642631,2.447028,15.290397,48.341669,5.127702,3.950571
0.020000,191.241798,139.406984,2.772223,16.259741,48.467192,6.276136,3.953618
0.020000,191.005082,139.156511,3.116855,17.231589,48.592416,6.261215,3.956820
0.020000,190.755849,138.891055,3.480976,18.206039,48.722483,6.503314,3.960173
0.020000,190.494198,138.610453,3.864640,19.183237,48.859914,6.871543,3.963673
0.020000,190.220230,138.314530,4.267913,20.163628,49.019562,7.982411,3.967314
0.020000,189.934057,138.003113,4.690850,21.146873,49.162241,7.133964,3.971093
0.020000,189.635784,137.676015,5.133524,22.133670,49.339838,8.879833,3.975003
0.020000,189.325532,137.333052,5.595995,23.123573,49.495163,7.766259,3.979040
0.020000,189.003417,136.974029,6.078339,24.117184,49.680549,9.269285,3.983198
0.020000,188.669561,136.598748,6.580630,25.114535,49.867547,9.349939,3.987471
0.020000,188.324087,136.207007,7.102944,26.115739,50.060227,9.633990,3.991854
0.020000,187.967125,135.798603,7.645361,27.120845,50.255271,9.752205,3.996339
0.020000,187.598804,135.373328,8.207961,28.129989,50.457191,10.095988,4.000920
0.020000,187.219253,134.930967,8.790836,29.143728,50.686961,11.488481,4.005592
0.020000,186.828611,134.471313,9.394063,30.161363,50.881741,9.739030,4.010346
0.020000,186.427007,133.994145,10.017742,31.183946,51.129175,12.371684,4.015176
0.020000,186.014578,133.499249,10.661962,32.210993,51.352349,11.158695,4.020074
0.020000,185.591465,132.986412,11.326813,33.242550,51.577841,11.274616,4.025034
0.020000,185.157799,132.455414,12.012396,34.279188,51.831901,12.702985,4.030047
0.020000,184.713719,131.906039,12.718809,35.320647,52.072949,12.052422,4.035106
0.020000,184.259362,131.338074,13.446151,36.367062,52.320741,12.389586,4.040203
0.020000,183.794858,130.751300,14.194527,37.418825,52.588174,13.371656,4.045330
0.020000,183.320341,130.145507,14.964041,38.475704,52.843912,12.786900,4.050479
0.020000,182.835942,129.520487,15.754795,39.537713,53.100450,12.826882,4.055641
0.020000,182.341787,128.876032,16.566898,40.605131,53.370926,13.523827,4.060808
0.020000,181.838000,128.211936,17.400460,41.678075,53.647172,13.812287,4.065972
0.020000,181.324700,127.528003,18.255587,42.756365,53.914542,13.368484,4.071124
0.020000,180.802002,126.824036,19.132389,43.840114,54.187444,13.645093,4.076256
0.020000,180.270015,126.099845,20.030978,44.929428,54.465698,13.912738,4.081359
0.020000,179.728842,125.355245,20.951466,46.024409,54.749055,14.167817,4.086423
0.020000,179.178577,124.590052,21.893969,47.125153,55.037194,14.406990,4.091441
0.020000,178.619313,123.804101,22.858591,48.231080,55.296325,12.956550,4.096402
0.020000,178.051124,122.997215,23.845457,49.343297,55.610880,15.727727,4.101300
0.020000,177.474086,122.169244,24.854668,50.460585,55.864364,12.674182,4.106123
0.020000,176.888256,121.320026,25.886350,51.584080,56.174757,15.519666,4.110865
0.020000,176.293685,120.449419,26.940614,52.713197,56.455888,14.056547,4.115514
0.020000,175.690411,119.557284,28.017574,53.848019,56.741071,14.259144,4.120063
0.020000,175.078459,118.643493,29.117347,54.988622,57.030148,14.453861,4.124503
0.020000,174.457841,117.707923,30.240048,56.135080,57.322910,14.638099,4.128823
0.020000,173.828553,116.750459,31.385797,57.287462,57.619102,14.809614,4.133016
0.020000,173.190580,115.771003,32.554704,58.445349,57.894346,13.762197,4.137071
0.020000,172.543883,114.769453,33.746895,59.609507,58.207906,15.677997,4.140981
0.020000,171.888414,113.745731,34.962480,60.779259,58.487583,13.983848,4.144734
0.020000,171.224098,112.699755,36.201585,61.955257,58.799909,15.616295,4.148323
0.020000,170.550847,111.631461,37.464328,63.137136,59.093943,14.701716,4.151738
0.020000,169.868549,110.540795,38.750828,64.325013,59.393857,14.995700,4.154968
0.020000,169.177073,109.427711,40.061208,65.519007,59.699692,15.291753,4.158006
0.020000,168.476260,108.292174,41.395593,66.719236,60.011455,15.588109,4.160839
0.020000,167.765929,107.134159,42.754109,67.925818,60.329123,15.883408,4.163460
0.020000,167.045874,105.953654,44.136886,69.138872,60.652657,16.176709,4.165858
0.020000,166.315862,104.750659,45.544052,70.358258,60.969313,15.832786,4.168023
