dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,175.148618,159.428731,0.005354,0.535359,26.767953,1338.397660,3.925405
0.020000,175.146901,159.427019,0.007778,0.121201,-20.707889,-2373.792120,3.925595
0.020000,175.143471,159.423597,0.012623,0.242263,6.053067,1338.047800,3.925975
0.020000,175.138333,159.418467,0.019884,0.363044,6.039068,-0.699959,3.926545
0.020000,175.106560,159.386687,0.064823,2.246966,94.196077,4407.850464,3.927303
0.020000,175.022384,159.302379,0.183958,5.956764,185.489913,4564.691819,3.928249
0.020000,174.921502,159.201128,0.326889,7.146517,59.487644,-6300.113467,3.929382
0.020000,174.803981,159.082887,0.493598,8.335478,59.448068,-1.978798,3.930700
0.020000,174.669902,158.947607,0.684066,9.523378,59.395016,-2.652614,3.932202
0.020000,174.519358,158.795229,0.898268,10.710101,59.336136,-2.943989,3.933887
0.020000,174.352452,158.625689,1.136178,11.895533,59.271612,-3.226183,3.935751
0.020000,174.169297,158.438915,1.397770,13.079566,59.201645,-3.498346,3.937793
0.020000,173.970018,158.234832,1.683010,14.262005,59.121942,-3.985186,3.940010
0.020000,173.754755,158.013360,1.991860,15.442513,59.025405,-4.826840,3.942399
0.020000,173.523648,157.774408,2.324287,16.621363,58.942505,-4.144995,3.944958
0.020000,173.276858,157.517887,2.680250,17.798104,58.837014,-5.274560,3.947683
0.020000,173.014552,157.243702,3.059699,18.972450,58.717341,-5.983638,3.950571
0.020000,172.736905,156.951753,3.462591,20.144633,58.609119,-5.411107,3.953618
0.020000,172.444103,156.641935,3.888877,21.314301,58.483418,-6.285051,3.956820
0.020000,172.136344,156.314144,4.338502,22.481234,58.346656,-6.838073,3.960173
0.020000,171.813833,155.968274,4.811407,23.645274,58.202000,-7.232809,3.963673
0.020000,171.476779,155.604210,5.307540,24.806630,58.067769,-6.711558,3.967314
0.020000,171.125409,155.221847,5.826831,25.964546,57.895811,-8.597899,3.971093
0.020000,170.759947,154.821066,6.369222,27.119547,57.750070,-7.287069,3.975003
0.020000,170.380634,154.401761,6.934637,28.270757,57.560513,-9.477810,3.979040
0.020000,169.987712,153.963819,7.523009,29.418588,57.391518,-8.449760,3.983198
0.020000,169.581430,153.507127,8.134264,30.562757,57.208442,-9.153788,3.987471
0.020000,169.162044,153.031575,8.768326,31.703089,57.016592,-9.592516,3.991854
0.020000,168.729814,152.537059,9.425112,32.839335,56.812318,-10.213713,3.996339
0.020000,168.285009,152.023473,10.104540,33.971365,56.601520,-10.539893,4.000920
0.020000,167.827892,151.490711,10.806531,35.099562,56.409856,-9.583205,4.005592
0.020000,167.358743,150.938682,11.530987,36.222804,56.162076,-12.388995,4.010346
0.020000,166.877830,150.367284,12.277829,37.342088,55.964203,-9.893675,4.015176
0.020000,166.385433,149.776431,13.046960,38.456574,55.724278,-11.996215,4.020074
0.020000,165.881832,149.166041,13.838282,39.566074,55.475013,-12.463245,4.025034
0.020000,165.367303,148.536031,14.651702,40.671038,55.248188,-11.341283,4.030047
0.020000,164.842124,147.886329,15.487121,41.770936,54.994911,-12.663830,4.035106
0.020000,164.306573,147.216872,16.344436,42.865725,54.739441,-12.773489,4.040203
0.020000,163.760922,146.527593,17.223549,43.955676,54.497548,-12.094676,4.045330
0.020000,163.205443,145.818442,18.124356,45.040335,54.232991,-13.227824,4.050479
0.020000,162.640405,145.089375,19.046747,46.119562,53.961336,-13.582784,4.055641
0.020000,162.066070,144.340355,19.990618,47.193534,53.698580,-13.137805,4.060808
0.020000,161.482694,143.571349,20.955863,48.262248,53.435737,-13.142116,4.065972
0.020000,160.890530,142.782337,21.942370,49.325379,53.156546,-13.959580,4.071124
0.020000,160.289822,141.973309,22.950029,50.382948,52.878421,-13.906228,4.076256
