dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,186.503258,138.806859,0.005379,0.537925,26.896257,1344.812846,3.144526
0.020000,186.500460,138.806852,0.008177,0.139912,-19.900648,-2339.845227,3.144306
0.020000,186.494861,138.806838,0.013777,0.279960,7.002377,1345.151226,3.143867
0.020000,186.486455,138.806821,0.022182,0.420278,7.015915,0.676903,3.143208
0.020000,186.475235,138.806808,0.033402,0.561003,7.036229,1.015703,3.142328
0.020000,186.425356,138.806812,0.083281,2.493937,96.646705,4480.523800,3.141226
0.020000,186.279279,138.806963,0.229358,7.303859,240.496097,7192.469601,3.139899
0.020000,186.108960,138.807383,0.399678,8.516000,60.607091,-8994.450293,3.138348
0.020000,185.914036,138.808189,0.594603,9.746253,61.512631,45.276993,3.136566
0.020000,185.694713,138.809512,0.813931,10.966390,61.006839,-25.289586,3.134552
0.020000,185.450952,138.811502,1.057700,12.188446,61.102806,4.798315,3.132304
0.020000,185.182542,138.814329,1.326124,13.421216,61.638501,26.784781,3.129815
0.020000,184.889490,138.818181,1.619202,14.653885,61.633455,-0.252335,3.127082
0.020000,184.571799,138.823264,1.936934,15.886577,61.634605,0.057522,3.124101
0.020000,184.229404,138.829807,2.279391,17.122877,61.814969,9.018221,3.120867
0.020000,183.862254,138.838058,2.646634,18.362139,61.963136,7.408350,3.117375
0.020000,183.470152,138.848293,3.038870,19.611798,62.482910,25.988659,3.113616
0.020000,183.053107,138.860803,3.456102,20.861590,62.489618,0.335420,3.109585
0.020000,182.611169,138.875905,3.898298,22.109823,62.411671,-3.897336,3.105276
0.020000,182.144073,138.893949,4.365742,23.372217,63.119673,35.400080,3.100680
0.020000,181.651868,138.915302,4.858410,24.633378,63.058069,-3.080170,3.095790
0.020000,181.134350,138.940367,5.376535,25.906250,63.643607,29.276880,3.090595
0.020000,180.591610,138.969565,5.920059,27.176213,63.498116,-7.274575,3.085089
0.020000,180.023435,139.003361,6.489239,28.459001,64.139408,32.064604,3.079260
0.020000,179.429682,139.042253,7.084264,29.751241,64.612000,23.629600,3.073097
0.020000,178.810380,139.086760,7.705163,31.044949,64.685413,3.670686,3.066589
0.020000,178.165438,139.137446,8.352094,32.346560,65.080575,19.758080,3.059726
0.020000,177.494759,139.194912,9.025231,33.656819,65.512950,21.618744,3.052493
0.020000,176.798132,139.259815,9.724874,34.982184,66.268241,37.764563,3.044878
0.020000,176.075670,139.332822,10.451016,36.307103,66.245933,-1.115409,3.036866
0.020000,175.327314,139.414662,11.203833,37.640839,66.686822,22.044469,3.028445
0.020000,174.552798,139.506137,11.983733,38.994994,67.707705,51.044153,3.019597
0.020000,173.752284,139.608051,12.790709,40.348773,67.688977,-0.936436,3.010307
0.020000,172.925721,139.721286,13.624991,41.714138,68.268226,28.962483,3.000559
