dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,186.428468,164.306750,0.005379,0.537925,26.896257,1344.812846,3.144526
0.020000,186.431266,164.306758,0.008177,0.139912,-19.900648,-2339.845227,3.144306
0.020000,186.436865,164.306772,0.013777,0.279960,7.002377,1345.151226,3.143867
0.020000,186.445270,164.306788,0.022182,0.420278,7.015915,0.676903,3.143208
0.020000,186.456491,164.306801,0.033402,0.561003,7.036229,1.015703,3.142328
0.020000,186.434717,164.306810,0.055175,1.088655,26.382620,967.319555,3.141226
0.020000,186.322463,164.306926,0.167430,5.612742,226.204344,9991.086175,3.139899
0.020000,186.191705,164.307249,0.298189,6.537918,46.258811,-8997.276650,3.138348
0.020000,186.042225,164.307867,0.447670,7.474051,46.806621,27.390512,3.136566
0.020000,185.874247,164.308880,0.615650,8.399028,46.248858,-27.888153,3.134552
0.020000,185.687821,164.310402,0.802083,9.321642,46.130700,-5.907873,3.132304
0.020000,185.482869,164.312561,1.007046,10.248140,46.324937,9.711838,3.129815
0.020000,185.259493,164.315497,1.230441,11.169767,46.081313,-12.181206,3.127082
0.020000,185.017802,164.319364,1.472164,12.086137,45.818540,-13.138629,3.124101
0.020000,184.757859,164.324331,1.732154,12.999484,45.667326,-7.560718,3.120867
0.020000,184.479754,164.330581,2.010330,13.908797,45.465643,-10.084137,3.117375
0.020000,184.183471,164.338314,2.306713,14.819153,45.517805,2.608109,3.113616
0.020000,183.869168,164.347742,2.621157,15.722223,45.153482,-18.216162,3.109585
0.020000,183.537038,164.359091,2.953481,16.616194,44.698548,-22.746727,3.105276
0.020000,183.187054,164.372611,3.303727,17.512289,44.804770,5.311125,3.100680
0.020000,182.819433,164.388558,3.671693,18.398333,44.302181,-25.129468,3.095790
0.020000,182.434217,164.407215,4.057361,19.283373,44.252037,-2.507174,3.090595
0.020000,182.031681,164.428869,4.460478,20.155870,43.624839,-31.359935,3.085089
0.020000,181.611886,164.453839,4.881015,21.026854,43.549181,-3.782894,3.079260
0.020000,181.174961,164.482458,5.318877,21.893080,43.311337,-11.892201,3.073097
0.020000,180.721172,164.515069,5.773836,22.747967,42.744345,-28.349565,3.066589
0.020000,180.250711,164.552041,6.245747,23.595544,42.378815,-18.276505,3.059726
0.020000,179.763783,164.593761,6.734459,24.435604,42.003028,-18.789354,3.052493
0.020000,179.260522,164.640647,7.239900,25.272042,41.821901,-9.056350,3.044878
0.020000,178.741309,164.693113,7.761757,26.092850,41.040372,-39.076449,3.036866
0.020000,178.206418,164.751607,8.299837,26.904011,40.558086,-24.114298,3.028445
0.020000,177.655983,164.816614,8.854097,27.713002,40.449537,-5.427484,3.019597
