dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,181.796437,160.808307,0.007785,0.778547,38.927331,1946.366531,3.138648
0.020000,181.800493,160.808295,0.011841,0.202798,-28.787410,-3385.737043,3.138966
0.020000,181.808611,160.808277,0.019959,0.405896,10.154875,1947.114265,3.139603
0.020000,181.820803,160.808258,0.032151,0.609592,10.184798,1.496166,3.140559
0.020000,181.813302,160.808249,0.039652,0.375054,-11.726914,-1095.585634,3.141837
0.020000,181.677946,160.808108,0.175008,6.767804,319.637530,16568.222192,3.143439
0.020000,181.515741,160.807652,0.337214,8.110296,67.124600,-12625.646469,3.145370
0.020000,181.326704,160.806724,0.526253,9.451929,67.081617,-2.149155,3.147635
0.020000,181.110742,160.805138,0.742221,10.798395,67.323333,12.085778,3.150241
0.020000,180.868108,160.802682,0.984868,12.132359,66.698210,-31.256106,3.153193
0.020000,180.598891,160.799114,1.254108,13.462010,66.482531,-10.783951,3.156499
0.020000,180.303193,160.794164,1.549848,14.786998,66.249395,-11.656802,3.160168
0.020000,179.981025,160.787529,1.872084,16.111786,66.239405,-0.499502,3.164212
0.020000,179.632732,160.778880,2.220484,17.420007,65.411064,-41.417048,3.168637
0.020000,179.258377,160.767852,2.595001,18.725874,65.293311,-5.887674,3.173459
0.020000,178.858207,160.754051,2.995409,20.020395,64.726054,-28.362855,3.178687
0.020000,178.432285,160.737042,3.421671,21.313107,64.635620,-4.521671,3.184340
0.020000,177.980982,160.716365,3.873447,22.588780,63.783673,-42.597392,3.190430
0.020000,177.504520,160.691520,4.350557,23.855493,63.335645,-22.401360,3.196974
0.020000,177.003179,160.661967,4.852768,25.110574,62.754037,-29.080428,3.203991
0.020000,176.477305,160.627135,5.379795,26.351323,62.037432,-35.830264,3.211500
0.020000,175.927075,160.586396,5.931531,27.586789,61.773308,-13.206162,3.219524
0.020000,175.353070,160.539109,6.507480,28.797473,60.534228,-61.954031,3.228083
0.020000,174.755540,160.484562,7.107494,30.000703,60.161461,-18.638353,3.237205
0.020000,174.135066,160.422028,7.731112,31.180885,59.009116,-57.617213,3.246912
0.020000,173.492079,160.350715,8.378041,32.346458,58.278624,-36.524596,3.257233
0.020000,172.827103,160.269790,9.047923,33.494111,57.382675,-44.797456,3.268199
0.020000,172.140751,160.178382,9.740335,34.620599,56.324380,-52.914744,3.279840
0.020000,171.433730,160.075578,10.454791,35.722792,55.109676,-60.735244,3.292188
0.020000,170.706550,159.960381,11.191040,36.812431,54.481925,-31.387519,3.305281
0.020000,169.960168,159.831808,11.948414,37.868739,52.815403,-83.326119,3.319150
0.020000,169.195311,159.688781,12.726530,38.905766,51.851379,-48.201174,3.333835
0.020000,168.412819,159.530184,13.524933,39.920136,50.718506,-56.643656,3.349376
0.020000,167.613646,159.354864,14.343110,40.908883,49.437354,-64.057605,3.365810
0.020000,166.798853,159.161632,15.180502,41.869594,48.035543,-70.090572,3.383175
0.020000,165.969463,158.949233,16.036657,42.807769,46.908718,-56.341255,3.401512
0.020000,165.126636,158.716392,16.911055,43.719887,45.605906,-65.140604,3.420857
0.020000,164.271491,158.461760,17.803306,44.612537,44.632487,-48.670916,3.441247
0.020000,163.405246,158.183962,18.713005,45.484932,43.619747,-50.636996,3.462714
0.020000,162.529206,157.881597,19.639757,46.337626,42.634738,-49.250465,3.485285
0.020000,161.644698,157.553221,20.583253,47.174799,41.858656,-38.804114,3.508980
0.020000,160.752958,157.197312,21.543394,48.007069,41.613480,-12.258805,3.533815
0.020000,159.855316,156.812331,22.520109,48.835744,41.433735,-8.987223,3.559793
0.020000,158.953069,156.396683,23.513494,49.669250,41.675337,12.080113,3.586904
0.020000,158.047440,155.948697,24.523868,50.518695,42.472211,39.843703,3.615129
0.020000,157.139698,155.466686,25.551647,51.388952,43.512876,52.033234,3.644426
0.020000,156.230947,154.948835,26.597591,52.297176,45.411190,94.915703,3.674742
0.020000,155.322258,154.393272,27.662657,53.253315,47.806962,119.788568,3.706001
0.020000,154.414639,153.798047,28.748044,54.269346,50.801536,149.728740,3.738110
0.020000,153.509053,153.161145,29.855171,55.356358,54.350584,177.452361,3.770954
0.020000,152.606350,152.480444,30.985758,56.529347,58.649446,214.943112,3.804402
0.020000,151.707383,151.753791,32.141685,57.796340,63.349683,235.011838,3.838304
0.020000,150.812960,150.978988,33.325032,59.167380,68.551977,260.114739,3.872497
0.020000,149.923903,150.153844,34.537998,60.648258,74.043914,274.596838,3.906810
0.020000,149.041050,149.276213,35.782853,62.242792,79.726719,284.140262,3.941064
0.020000,148.165285,148.344047,37.061876,63.951108,85.415766,284.452326,3.975080
0.020000,147.297541,147.355446,38.377289,65.770653,90.977283,278.075866,4.008685
0.020000,146.438799,146.308707,39.731209,67.696022,96.268454,264.558549,4.041713
0.020000,145.590081,145.202367,41.125595,69.719270,101.162356,244.695115,4.074009
0.020000,144.752427,144.035238,42.562206,71.830582,105.565599,220.162105,4.105436
0.020000,143.926874,142.806430,44.042581,74.018726,109.407202,192.080193,4.135874
0.020000,143.114430,141.515369,45.567999,76.270927,112.610065,160.143130,4.165221
0.020000,142.316013,140.161740,47.139553,78.577702,115.338748,136.434152,4.193394
0.020000,141.532478,138.745576,48.758024,80.923550,117.292429,97.684042,4.220327
0.020000,140.764514,137.267093,50.424062,83.301872,118.916064,81.181757,4.245974
0.020000,140.012681,135.726772,52.138075,85.700664,119.939596,51.176574,4.270301
0.020000,139.277377,134.125291,53.900293,88.110914,120.512507,28.645594,4.293290
0.020000,138.558804,132.463451,55.710834,90.527058,120.807187,14.733976,4.314931
0.020000,137.856981,130.742169,57.569696,92.943102,120.802209,-0.248910,4.335225
0.020000,137.171733,128.962444,59.476785,95.354405,120.565174,-11.851762,4.354180
0.020000,136.502697,127.125327,61.431933,97.757439,120.151698,-20.673760,4.371808
0.020000,135.849318,125.231889,63.434934,100.150058,119.630965,-26.036689,4.388125
0.020000,135.210843,123.283168,65.485583,102.532446,119.119390,-25.578706,4.403148
0.020000,134.586339,121.280190,67.583660,104.903837,118.569536,-27.492720,4.416896
0.020000,133.974705,119.223979,69.728911,107.262526,117.934470,-31.753322,4.429384
0.020000,133.374633,117.115431,71.921185,109.613700,117.558682,-18.789371,4.440628
0.020000,132.784658,114.955450,74.160288,111.955164,117.073184,-24.274932,4.450641
0.020000,132.203117,112.744811,76.446139,114.292572,116.870401,-10.139123,4.459431
0.020000,131.628166,110.484247,78.778674,116.626722,116.707504,-8.144830,4.467002
0.020000,131.057771,108.174417,81.157889,118.960770,116.702408,-0.254831,4.473354
0.020000,130.489683,105.815874,83.583884,121.299738,116.948424,12.300808,4.478479
0.020000,129.921439,103.409105,86.056825,123.647073,117.366750,20.916299,4.482366
0.020000,129.350339,100.954522,88.576971,126.007272,118.009938,32.159414,4.484992
0.020000,128.773417,98.452451,91.144693,128.386119,118.942360,46.621105,4.486330
0.020000,128.189622,95.912731,93.750646,130.297644,95.576233,-1168.306382,4.486343
0.020000,127.601233,93.360695,96.369633,130.949317,32.583655,-3149.628903,4.485019
0.020000,127.009736,90.818224,98.980003,130.518501,-21.540801,-2706.222781,4.482380
0.020000,126.413294,88.292089,101.575595,129.779598,-36.945147,-770.217290,4.478458
0.020000,125.808875,85.783314,104.156152,129.027853,-37.587281,-32.106725,4.473272
0.020000,125.193531,83.292844,106.721515,128.268178,-37.983706,-19.821221,4.466836
0.020000,124.564390,80.821573,109.271612,127.504867,-38.165561,-9.092766,4.459154
0.020000,123.918640,78.370373,111.806445,126.741646,-38.161046,0.225754,4.450228
0.020000,123.253521,75.940110,114.326080,125.981718,-37.996440,8.230314,4.440050
0.020000,122.566316,73.531678,116.830635,125.227775,-37.697135,14.965251,4.428611
0.020000,121.854327,71.145952,119.320337,124.485111,-37.133209,28.196304,4.415896
0.020000,121.114924,68.783976,121.795342,123.750229,-36.744105,19.455170,4.401890
0.020000,120.345475,66.446764,124.255954,123.030599,-35.981465,38.132014,4.386571
0.020000,119.543425,64.135555,126.702374,122.320983,-35.480806,25.032938,4.369921
0.020000,118.706253,61.851663,129.134867,121.624651,-34.816627,33.208977,4.351920
0.020000,117.831503,59.596557,131.553686,120.940965,-34.184282,31.617230,4.332551
0.020000,116.916840,57.371960,133.958981,120.264752,-33.810639,18.682143,4.311798
0.020000,115.960043,55.179778,136.350867,119.594318,-33.521697,14.447108,4.289654
0.020000,114.959067,53.022166,138.729363,118.924791,-33.476351,2.267285,4.266118
0.020000,113.912088,50.901542,141.094360,118.249858,-33.746670,-13.515930,4.241196
0.020000,112.817567,48.820598,143.445595,117.561724,-34.406712,-33.002113,4.214911
0.020000,111.674304,46.782280,145.782642,116.852382,-35.467066,-53.017685,4.187296
0.020000,110.481534,44.789816,148.104843,116.110006,-37.118835,-82.588443,4.158403
0.020000,109.239001,42.846682,150.411281,115.321903,-39.405132,-114.314873,4.128302
0.020000,107.946978,40.956469,152.700872,114.479575,-42.116378,-135.562315,4.097081
0.020000,106.606426,39.122963,154.972176,113.565202,-45.718693,-180.115722,4.064850
0.020000,105.218959,37.349926,157.223559,112.569146,-49.802764,-204.203541,4.031739
0.020000,103.786912,35.641048,159.453139,111.478975,-54.508552,-235.289427,3.997895
0.020000,102.313338,33.999829,161.658818,110.283954,-59.751044,-262.124578,3.963483
0.020000,100.801982,32.429444,163.838337,108.975975,-65.398969,-282.396267,3.928680
0.020000,99.257200,30.932619,165.989346,107.550442,-71.276642,-293.883668,3.893671
0.020000,97.683896,29.511546,168.109424,106.003897,-77.327279,-302.531849,3.858645
0.020000,96.087361,28.167758,170.196214,104.339504,-83.219622,-294.617129,3.823788
0.020000,94.473178,26.902115,172.247418,102.560209,-88.964736,-287.255680,3.789279
0.020000,92.847055,25.714752,174.260900,100.674064,-94.307276,-267.127020,3.755287
0.020000,91.214652,24.605074,176.234760,98.693029,-99.051720,-237.222198,3.721962
0.020000,89.581592,23.571887,178.167209,96.622456,-103.528654,-223.846728,3.689440
0.020000,87.953094,22.613291,180.056895,94.484274,-106.909124,-169.023483,3.657831
0.020000,86.334126,21.726927,181.902619,92.286200,-109.903708,-149.729177,3.627229
0.020000,84.729204,20.909979,183.703502,90.044139,-112.103031,-109.966158,3.597703
0.020000,83.142478,20.159337,185.458826,87.766230,-113.895446,-89.620783,3.569305
0.020000,81.577485,19.471580,187.168274,85.472396,-114.691696,-39.812480,3.542068
0.020000,80.037475,18.843215,188.831546,83.163594,-115.440133,-37.421856,3.516008
0.020000,78.525200,18.270643,190.448585,80.851943,-115.582520,-7.119330,3.491129
0.020000,77.042915,17.750232,192.019571,78.549287,-115.132795,22.486217,3.467421
0.020000,75.592518,17.278405,193.544783,76.260626,-114.433071,34.986206,3.444864
0.020000,74.175639,16.851701,195.024520,73.986861,-113.688218,37.242647,3.423433
0.020000,72.793636,16.466786,196.459125,71.730250,-112.830573,42.882269,3.403097
0.020000,71.447537,16.120446,197.849066,69.497014,-111.661805,58.438399,3.383818
0.020000,70.138111,15.809620,199.194877,67.290582,-110.321580,67.011228,3.365559
0.020000,68.865864,15.531403,200.497189,65.115610,-108.748593,78.649390,3.348275
0.020000,67.631428,15.283123,201.756346,62.957822,-107.889411,42.959088,3.331930
0.020000,66.435049,15.062224,202.972947,60.830079,-106.387143,75.113398,3.316478
0.020000,65.276879,14.866323,204.147569,58.731057,-104.951136,71.800323,3.301881
0.020000,64.157082,14.693219,205.280666,56.654864,-103.809641,57.074779,3.288097
0.020000,63.075775,14.540864,206.372654,54.599408,-102.772796,51.842226,3.275089
0.020000,62.032699,14.407317,207.424244,52.579493,-100.995730,88.853318,3.262817
0.020000,61.028043,14.290841,208.435629,50.569266,-100.511345,24.219248,3.251249
0.020000,60.061592,14.189782,209.407350,48.586023,-99.162167,67.458899,3.240349
0.020000,59.133179,14.102619,210.339846,46.624814,-98.060432,55.086739,3.230085
0.020000,58.242639,14.027952,211.233510,44.683205,-97.080480,48.997627,3.220428
0.020000,57.389912,13.964492,212.088596,42.754293,-96.445603,31.743827,3.211350
0.020000,56.574789,13.911039,212.905470,40.843684,-95.530418,45.759281,3.202824
0.020000,55.796957,13.866482,213.684576,38.955343,-94.417049,55.668446,3.194824
0.020000,55.056357,13.829811,214.426083,37.075337,-94.000346,20.835117,3.187329
0.020000,54.352847,13.800089,215.130221,35.206903,-93.421682,28.933205,3.180318
0.020000,53.686129,13.776449,215.797358,33.356848,-92.502739,45.947178,3.173769
0.020000,53.056046,13.758098,216.427708,31.517515,-91.966654,26.804237,3.167664
0.020000,52.462398,13.744306,217.021516,29.690393,-91.356099,30.527729,3.161987
0.020000,51.905184,13.734411,217.578818,27.865102,-91.264544,4.577753,3.156722
0.020000,51.384120,13.727798,218.099924,26.055279,-90.491151,38.669645,3.151855
0.020000,50.898995,13.723909,218.585065,24.257034,-89.912234,28.945863,3.147372
0.020000,50.449788,13.722237,219.034275,22.460537,-89.824874,4.368024,3.143261
0.020000,50.036388,13.722324,219.447675,20.669960,-89.528828,14.802302,3.139512
0.020000,49.658564,13.723753,219.825501,18.891336,-88.931199,29.881413,3.136115
0.020000,49.316252,13.726151,220.167822,17.116049,-88.764355,8.342218,3.133060
0.020000,49.009357,13.729188,220.474732,15.345471,-88.528935,11.771024,3.130340
0.020000,48.737759,13.732570,220.746351,13.580969,-88.225080,15.192731,3.127947
0.020000,48.501344,13.736041,220.982791,11.822013,-87.947825,13.862737,3.125875
0.020000,48.300322,13.739377,221.183842,10.052523,-88.474457,-26.331615,3.124122
0.020000,48.134182,13.742400,221.350009,8.308339,-87.209235,63.261137,3.122679
0.020000,48.003338,13.744949,221.480877,6.543439,-88.244984,-51.787459,3.121545
0.020000,47.907387,13.746913,221.576849,4.798558,-87.244062,50.046110,3.120716
0.020000,47.846401,13.748202,221.637849,3.050019,-87.426956,-9.144714,3.120190
0.020000,47.818160,13.748810,221.666096,1.412333,-81.884291,277.133231,3.119947
0.020000,47.811665,13.748951,221.672592,0.324831,-54.375074,1375.460889,3.119891
0.020000,47.811665,13.748951,221.672592,0.000000,-16.241567,1906.675305,3.119891
