dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,181.871521,186.308196,0.007785,0.778547,38.927331,1946.366531,3.138648
0.020000,181.867465,186.308208,0.011841,0.202798,-28.787410,-3385.737043,3.138966
0.020000,181.859347,186.308226,0.019959,0.405896,10.154875,1947.114265,3.139603
0.020000,181.847155,186.308245,0.032151,0.609592,10.184798,1.496166,3.140559
0.020000,181.807077,186.308248,0.072230,2.003943,69.717567,2976.638428,3.141837
0.020000,181.630853,186.308064,0.248453,8.811166,340.361136,13532.178475,3.143439
0.020000,181.419412,186.307470,0.459895,10.572084,88.045880,-12615.762840,3.145370
0.020000,181.172633,186.306258,0.706677,12.339112,88.351415,15.276790,3.147635
0.020000,180.890221,186.304184,0.989098,14.121014,89.095116,37.185005,3.150241
0.020000,180.572307,186.300966,1.307027,15.896479,88.773226,-16.094486,3.153193
0.020000,180.218787,186.296281,1.660579,17.677570,89.054563,14.066881,3.156499
0.020000,179.829536,186.289765,2.049884,19.465273,89.385141,16.528883,3.160168
0.020000,179.404286,186.281006,2.475224,21.266998,90.086267,35.056282,3.164212
0.020000,178.943174,186.269555,2.936478,23.062710,89.785580,-15.034356,3.168637
0.020000,178.445934,186.254906,3.433934,24.872795,90.504270,35.934506,3.173459
0.020000,177.912510,186.236509,3.967675,26.687062,90.713360,10.454525,3.178687
0.020000,177.342563,186.213747,4.538076,28.520042,91.648973,46.780641,3.184340
0.020000,176.736134,186.185962,5.145142,30.353284,91.662118,0.657270,3.190430
0.020000,176.093017,186.152424,5.789133,32.199546,92.313095,32.548845,3.196974
0.020000,175.413051,186.112340,6.470279,34.057329,92.889129,28.801707,3.203991
0.020000,174.696119,186.064850,7.188782,35.925132,93.390193,25.053197,3.211500
0.020000,173.941831,186.009000,7.945135,37.817636,94.625160,61.748308,3.219524
0.020000,173.150302,185.943789,8.739345,39.710528,94.644630,0.973526,3.228083
0.020000,172.321149,185.868095,9.571947,41.630068,95.976982,66.617604,3.237205
0.020000,171.454395,185.780735,10.443092,43.557260,96.359619,19.131853,3.246912
0.020000,170.549815,185.680402,11.353220,45.506400,97.456976,54.867827,3.257233
0.020000,169.607258,185.565691,12.302731,47.475573,98.458641,50.083280,3.268199
0.020000,168.626660,185.435087,13.291988,49.462839,99.363339,45.234886,3.279840
0.020000,167.608048,185.286967,14.321313,51.466252,100.170608,40.363433,3.292188
0.020000,166.551123,185.119523,15.391419,53.505307,101.952767,89.107984,3.305281
0.020000,165.456207,184.930898,16.502464,55.552243,102.346827,19.703000,3.319150
0.020000,164.323259,184.719025,17.655053,57.629462,103.860911,75.704203,3.333835
0.020000,163.152394,184.481696,18.849729,59.733795,105.216654,67.787127,3.349376
0.020000,161.943898,184.216560,20.086968,61.861935,106.406995,59.517044,3.365810
0.020000,160.698244,183.921126,21.367177,64.010450,107.425749,50.937700,3.383175
0.020000,159.415891,183.592705,22.690917,66.187007,108.827876,70.106371,3.401512
0.020000,158.097595,183.228482,24.058603,68.384282,109.863723,51.792335,3.420857
0.020000,156.744148,182.825445,25.470784,70.609086,111.240224,68.825043,3.441247
0.020000,155.356661,182.380455,26.927883,72.854943,112.292855,52.631547,3.462714
0.020000,153.936579,181.890277,28.430184,75.115030,113.004317,35.573088,3.485285
0.020000,152.485643,181.351576,29.977897,77.385633,113.530173,26.292817,3.508980
0.020000,151.005757,180.760887,31.571313,79.670825,114.259622,36.472448,3.533815
0.020000,149.499348,180.114775,33.210437,81.956201,114.268761,0.456937,3.559793
0.020000,147.969216,179.409831,34.895148,84.235526,113.966264,-15.124852,3.586904
0.020000,146.418514,178.642707,36.625221,86.503697,113.408567,-27.884829,3.615129
0.020000,144.850987,177.810311,38.400053,88.741563,111.893265,-75.765090,3.644426
0.020000,143.270626,176.909711,40.219014,90.948061,110.324934,-78.416579,3.674742
0.020000,141.681894,175.938352,42.081165,93.107573,107.975569,-117.468224,3.706001
0.020000,140.089632,174.894117,43.985299,95.206693,104.956000,-150.978470,3.738110
0.020000,138.499016,173.775432,45.929911,97.230575,101.194139,-188.093030,3.770954
0.020000,136.915341,172.581245,47.913370,99.172973,97.119873,-203.713302,3.804402
0.020000,135.344070,171.311194,49.933747,101.018843,92.293527,-241.317309,3.838304
0.020000,133.790609,169.965550,51.988983,102.761813,87.148474,-257.252624,3.872497
0.020000,132.260221,168.545265,54.076877,104.394688,81.643743,-275.236568,3.906810
0.020000,130.757872,167.051911,56.195168,105.914556,75.993432,-282.515564,3.941064
0.020000,129.288129,165.487646,58.341577,107.320436,70.293989,-284.972134,3.975080
0.020000,127.855040,163.855117,60.513878,108.615067,64.731548,-278.122072,4.008685
0.020000,126.462059,162.157361,62.709959,109.804039,59.448584,-264.148186,4.041713
0.020000,125.111994,160.397694,64.927865,110.895281,54.562094,-244.324498,4.074009
0.020000,123.806983,158.579596,67.165840,111.898756,50.173753,-219.417037,4.105436
0.020000,122.548499,156.706614,69.422352,112.825588,46.341604,-191.607485,4.135874
0.020000,121.337398,154.782278,71.696078,113.686345,43.037880,-165.186160,4.165221
0.020000,120.173907,152.809947,73.986013,114.496736,40.519536,-125.917241,4.193394
0.020000,119.057785,150.792905,76.291265,115.262606,38.293474,-111.303095,4.220327
