dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.818681,160.808305,0.007860,0.786045,39.302245,1965.112235,3.144485
0.020000,188.813941,160.808292,0.012601,0.237032,-27.450658,-3337.645158,3.144113
0.020000,188.804453,160.808272,0.022089,0.474377,11.867277,1965.896791,3.143369
0.020000,188.790206,160.808254,0.036336,0.712350,11.898646,1.568412,3.142252
0.020000,188.700896,160.808285,0.125646,4.465507,187.657836,8787.959523,3.140758
0.020000,188.519866,160.808606,0.306676,9.051536,229.301443,2082.180350,3.138887
0.020000,188.302397,160.809439,0.524147,10.873510,91.098706,-6910.136849,3.136630
0.020000,188.048571,160.811034,0.777977,12.691533,90.901149,-9.877836,3.133985
0.020000,187.758275,160.813684,1.068286,14.515411,91.193905,14.637785,3.130943
0.020000,187.431424,160.817727,1.395161,16.343796,91.419254,11.267452,3.127499
0.020000,187.067964,160.823550,1.758668,18.175344,91.577416,7.908079,3.123645
0.020000,186.667609,160.831591,2.159104,20.021780,92.321799,37.219186,3.119369
0.020000,186.230482,160.842335,2.596363,21.862963,92.059124,-13.133791,3.114663
0.020000,185.756263,160.856328,3.070789,23.721272,92.915478,42.817743,3.109515
0.020000,185.244980,160.874166,3.582383,25.579691,92.920937,0.272923,3.103914
0.020000,184.696440,160.896509,4.131378,27.449777,93.504298,29.168041,3.097845
0.020000,184.110487,160.924079,4.717979,29.330025,94.012391,25.404681,3.091294
0.020000,183.487013,160.957665,5.342357,31.218932,94.445373,21.649097,3.084245
0.020000,182.825949,160.998120,6.004657,33.115010,94.803863,17.924464,3.076684
0.020000,182.126950,161.046391,6.705321,35.033199,95.909460,55.279850,3.068589
0.020000,181.390148,161.103473,7.444331,36.950489,95.864533,-2.246310,3.059944
0.020000,180.615276,161.170469,8.222094,38.888160,96.883519,50.949280,3.050728
0.020000,179.802237,161.248563,9.038875,40.839030,97.543515,32.999796,3.040919
0.020000,178.950995,161.339024,9.894910,42.801764,98.136701,29.659330,3.030497
0.020000,178.061405,161.443235,10.790583,44.783637,99.093624,47.846101,3.019436
0.020000,177.133596,161.562650,11.726046,46.773136,99.474948,19.066216,3.007715
0.020000,176.167454,161.698866,12.701742,48.784824,100.584434,55.474311,2.995307
