dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.467526,176.465495,0.005363,0.536259,26.812960,1340.648006,6.282431
0.020000,65.463337,176.465498,0.009552,0.209451,-16.340396,-2157.667807,6.282759
0.020000,65.469999,176.465500,0.016213,0.333067,6.180785,1126.059075,0.000229
0.020000,65.521895,176.465538,0.068109,2.594804,113.086832,5345.302332,0.001206
0.020000,65.591225,176.465666,0.137439,3.466491,43.584344,-3475.124411,0.002498
0.020000,65.678098,176.465953,0.224313,4.343710,43.860970,13.831310,0.004096
0.020000,65.782657,176.466480,0.328873,5.227999,44.214430,17.673000,0.005989
0.020000,65.905071,176.467347,0.451290,6.120849,44.642523,21.404632,0.008165
0.020000,66.045530,176.468666,0.591755,7.023244,45.119773,23.862523,0.010607
0.020000,66.204253,176.470564,0.750489,7.936720,45.673791,27.700894,0.013299
0.020000,66.381482,176.473182,0.927738,8.862418,46.284886,30.554727,0.016221
0.020000,66.577482,176.476670,1.123769,9.801574,46.957825,33.646976,0.019352
0.020000,66.792538,176.481191,1.338872,10.755150,47.678752,36.046323,0.022669
0.020000,67.026957,176.486917,1.573362,11.724490,48.467048,39.414825,0.026149
0.020000,67.281068,176.494026,1.827572,12.710494,49.300194,41.657282,0.029764
0.020000,67.555212,176.502703,2.101853,13.714048,50.177688,43.874737,0.033488
0.020000,67.849752,176.513136,2.396578,14.736237,51.109452,46.588173,0.037290
0.020000,68.165065,176.525514,2.712134,15.777820,52.079165,48.485666,0.041141
0.020000,68.501547,176.540024,3.048929,16.839746,53.096254,50.854432,0.045009
0.020000,68.859607,176.556849,3.407384,17.922746,54.150015,52.688062,0.048860
0.020000,69.239665,176.576167,3.787932,19.027422,55.233824,54.190449,0.052661
0.020000,69.642161,176.598143,4.191028,20.154776,56.367685,56.693037,0.056375
0.020000,70.067546,176.622928,4.617134,21.305332,57.527808,58.006157,0.059968
0.020000,70.516288,176.650657,5.066732,22.479877,58.727230,59.971093,0.063400
0.020000,70.988867,176.681441,5.540313,23.679046,59.958443,61.560682,0.066633
0.020000,71.485785,176.715366,6.038388,24.903744,61.234939,63.824783,0.069628
0.020000,72.007560,176.752485,6.561481,26.154661,62.545828,65.544469,0.072343
0.020000,72.554730,176.792818,7.110136,27.432734,63.903635,67.890333,0.074736
0.020000,73.127857,176.836338,7.684913,28.738852,65.305936,70.115068,0.076762
0.020000,73.727531,176.882973,8.286397,30.074199,66.767324,73.069369,0.078376
0.020000,74.354368,176.932595,8.915195,31.439934,68.286752,75.971418,0.079530
0.020000,75.009023,176.985012,9.571945,32.837493,69.877931,79.558936,0.080174
0.020000,75.692186,177.039964,10.257315,34.268470,71.548895,83.548180,0.080256
0.020000,76.404592,177.097107,10.972009,35.734737,73.313332,88.221872,0.079720
0.020000,77.147028,177.156007,11.716778,37.238426,75.184454,93.556102,0.078507
0.020000,77.920334,177.216129,12.492418,38.781986,77.178004,99.677519,0.076556
0.020000,78.725415,177.276816,13.299783,40.368258,79.313574,106.778462,0.073799
0.020000,79.563245,177.337284,14.139792,42.000450,81.609615,114.802062,0.070164
0.020000,80.434877,177.396591,15.013438,43.682338,84.094404,124.239438,0.065574
0.020000,81.341443,177.453626,15.921797,45.417949,86.780556,134.307633,0.059943
0.020000,82.284171,177.507077,16.866039,47.212099,89.707473,146.345853,0.053179
0.020000,83.264385,177.555404,17.847444,49.070231,92.906628,159.957730,0.045184
0.020000,84.283504,177.596805,18.867403,50.997957,96.386281,173.982639,0.035847
0.020000,85.343053,177.629174,19.927446,53.002154,100.209864,191.179173,0.025048
0.020000,86.444643,177.650054,21.029235,55.089424,104.363483,207.680930,0.012658
0.020000,87.589977,177.656582,22.174587,57.267623,108.909949,227.323312,6.281718
0.020000,88.780809,177.645433,23.365471,59.544214,113.829566,245.980845,6.265704
0.020000,90.018916,177.612743,24.604010,61.926902,119.134415,265.242475,6.247634
0.020000,91.306038,177.554041,25.892470,64.422998,124.804792,283.518846,6.227331
0.020000,92.643782,177.464168,27.233229,67.037998,130.750003,297.260511,6.204608
0.020000,94.033503,177.337208,28.628737,69.775386,136.869369,305.968315,6.179273
0.020000,95.476129,177.166424,30.081437,72.635000,142.980721,305.567582,6.151133
0.020000,96.971930,176.944236,31.593651,75.610686,148.784279,290.177933,6.120007
0.020000,98.520235,176.662235,33.167427,78.688785,153.904942,256.033150,6.085734
0.020000,100.119078,176.311297,34.804332,81.845267,157.824123,195.959043,6.048190
0.020000,101.764815,175.881795,36.505191,85.042956,159.884426,103.015134,6.007311
0.020000,103.451734,175.363974,38.269797,88.230292,159.366843,-25.879146,5.963113
0.020000,105.171734,174.748485,40.096605,91.340404,155.505561,-193.064099,5.915716
0.020000,106.914167,174.027073,41.982475,94.293502,147.654928,-392.531653,5.865367
0.020000,108.665929,173.193375,43.922506,97.001572,135.403514,-612.570705,5.812450
0.020000,110.411911,172.243681,45.910061,99.377709,118.806830,-829.834190,5.757487
0.020000,112.135810,171.177531,47.937006,101.347244,98.476766,-1016.503214,5.701115
0.020000,113.821222,169.997975,49.994179,102.858699,75.572739,-1145.201354,5.644054
0.020000,115.452839,168.711405,52.072024,103.892239,51.676970,-1194.788410,5.587054
0.020000,117.017554,167.326960,54.161288,104.463166,28.546374,-1156.529839,5.530841
0.020000,118.505246,165.855611,56.253677,104.619474,7.815398,-1036.548756,5.476065
0.020000,119.909152,164.309114,58.342362,104.434248,-9.261276,-853.833723,5.423265
0.020000,121.225747,162.699114,60.422151,103.989470,-22.238901,-648.881272,5.372847
0.020000,122.454384,161.036368,62.489583,103.371560,-30.895528,-432.831335,5.325081
0.020000,123.596699,159.330290,64.542772,102.659472,-35.604367,-235.441958,5.280118
0.020000,124.655958,157.588786,66.581121,101.917422,-37.102514,-74.907350,5.238001
0.020000,125.636509,155.818180,68.605108,101.199385,-35.901842,60.033636,5.198696
0.020000,126.543255,154.023405,70.615930,100.541088,-32.914877,149.348213,5.162107
0.020000,127.297392,152.406265,72.400269,89.216933,-566.207722,-26664.642249,5.137555
0.020000,128.044650,150.707999,74.255667,92.769919,177.649272,37192.849723,5.116527
0.020000,128.757788,148.994058,76.112050,92.819163,2.462188,-8759.354225,5.097104
0.020000,129.439255,147.266213,77.969427,92.868814,2.482557,1.018467,5.079287
0.020000,130.091596,145.526028,79.827864,92.921888,2.653717,8.557997,5.063069
0.020000,130.717413,143.774898,81.687463,92.979921,2.901632,12.395757,5.048443
0.020000,131.319356,142.014082,83.548325,93.043099,3.158917,12.864245,5.035400
0.020000,131.900095,140.244752,85.410524,93.109981,3.344112,9.259746,5.023935
0.020000,132.462325,138.468004,87.274105,93.179042,3.453016,5.445194,5.014044
0.020000,133.008755,136.684922,89.139036,93.246558,3.375801,-3.860756,5.005730
0.020000,133.542113,134.896580,91.005219,93.309120,3.128101,-12.384989,4.999000
0.020000,134.065149,133.104099,92.872451,93.361625,2.625277,-25.141215,4.993870
0.020000,134.580641,131.308665,94.740421,93.398502,1.843821,-39.072780,4.990365
0.020000,135.091402,129.511575,96.608686,93.413216,0.735716,-55.405249,4.988520
0.020000,135.600291,127.714256,98.476658,93.398641,-0.728729,-73.222268,4.988379
0.020000,136.110217,125.918317,100.343587,93.346445,-2.609811,-94.054071,4.990003
0.020000,136.624151,124.125576,102.208539,93.247591,-4.942708,-116.644852,4.993464
0.020000,137.145125,122.338113,104.070377,93.091875,-7.785774,-142.153288,4.998852
0.020000,137.676237,120.558308,105.927737,92.867998,-11.193880,-170.405338,5.006273
0.020000,138.220648,118.788889,107.779014,92.563851,-15.207352,-200.673561,5.015854
0.020000,138.781572,117.032985,109.622335,92.166094,-19.887834,-234.024098,5.027740
0.020000,139.362255,115.294181,111.455539,91.660163,-25.296553,-270.435975,5.042102
0.020000,139.965956,113.576549,113.276174,91.031741,-31.421110,-306.227829,5.059132
0.020000,140.595891,111.884709,115.081483,90.265455,-38.314309,-344.659962,5.079045
0.020000,141.255193,110.223823,116.868442,89.347968,-45.874329,-378.000996,5.102080
0.020000,141.946836,108.599607,118.633788,88.267302,-54.033307,-407.948899,5.128490
0.020000,142.673560,107.018255,120.374133,87.017261,-62.502059,-423.437625,5.158543
0.020000,143.437808,105.486315,122.086124,85.599558,-70.885140,-419.154022,5.192501
0.020000,144.241664,104.010477,123.766685,84.028041,-78.575868,-384.536435,5.230605
0.020000,145.086868,102.597242,125.413380,82.334715,-84.666301,-304.521635,5.273046
0.020000,145.974909,101.252508,127.024877,80.574894,-87.991011,-166.235476,5.319928
0.020000,146.907259,99.981076,128.601525,78.832363,-87.126580,43.221524,5.371223
0.020000,147.885752,98.786188,130.145936,77.220559,-80.590189,326.819582,5.426727
0.020000,148.913072,97.669223,131.663499,75.878140,-67.120975,673.460653,5.486017
0.020000,149.993236,96.629691,133.162625,74.956338,-46.090077,1051.544910,5.548435
0.020000,151.131866,95.665627,134.654570,74.597217,-17.956046,1406.701566,5.613096
0.020000,152.336079,94.774329,136.152749,74.908964,15.587354,1677.169982,5.678949
0.020000,153.613864,93.953261,137.671593,75.942220,51.662776,1803.771125,5.744865
0.020000,154.973041,93.200810,139.225152,77.677923,86.785146,1756.118481,5.809740
0.020000,156.420134,92.516647,140.825825,80.033675,117.787622,1550.123804,5.872602
0.020000,157.959487,91.901627,142.483492,82.883316,142.482070,1234.722412,5.932678
0.020000,159.586712,91.359204,144.198743,85.762555,143.961926,73.992796,5.989230
