dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.448283,150.965503,0.005363,0.536259,26.812960,1340.648006,6.282431
0.020000,65.452472,150.965500,0.009552,0.209451,-16.340396,-2157.667807,6.282759
0.020000,65.475834,150.965501,0.032914,1.168094,47.932147,3213.627145,0.000229
0.020000,65.552640,150.965556,0.109719,3.840273,133.608922,4283.838757,0.001206
0.020000,65.654916,150.965746,0.211995,5.113821,63.677398,-3496.576195,0.002498
0.020000,65.782545,150.966167,0.339625,6.381470,63.382487,-14.745577,0.004096
0.020000,65.935384,150.966938,0.492466,7.642083,63.030616,-17.593522,0.005989
0.020000,66.113270,150.968197,0.670357,8.894519,62.621808,-20.440412,0.008165
0.020000,66.316001,150.970100,0.873096,10.136982,62.123143,-24.933256,0.010607
0.020000,66.543356,150.972819,1.100468,11.368573,61.579542,-27.180020,0.013299
0.020000,66.795087,150.976536,1.352226,12.587925,60.967615,-30.596360,0.016221
0.020000,67.070922,150.981444,1.628105,13.793923,60.299907,-33.385389,0.019352
0.020000,67.370560,150.987743,1.927808,14.985182,59.562973,-36.846706,0.022669
0.020000,67.693683,150.995635,2.251028,16.160987,58.790220,-38.637673,0.026149
0.020000,68.039950,151.005321,2.597431,17.320115,57.956429,-41.689556,0.029764
0.020000,68.408994,151.017000,2.966660,18.461470,57.067724,-44.435213,0.033488
0.020000,68.800436,151.030864,3.358347,19.584344,56.143718,-46.200313,0.037290
0.020000,69.213872,151.047091,3.772101,20.687709,55.168257,-48.773061,0.041141
0.020000,69.648885,151.065848,4.207519,21.770895,54.159263,-50.449692,0.045009
0.020000,70.105043,151.087281,4.664180,22.833040,53.107286,-52.598867,0.048860
0.020000,70.581892,151.111517,5.141644,23.873203,52.008118,-54.958408,0.052661
0.020000,71.078971,151.138654,5.639464,24.890998,50.889784,-55.916683,0.056375
0.020000,71.595804,151.168765,6.157173,25.885475,49.723814,-58.298508,0.059968
0.020000,72.131902,151.201889,6.694293,26.856009,48.526738,-59.853778,0.063400
0.020000,72.686762,151.238030,7.250329,27.801770,47.288005,-61.936638,0.066633
0.020000,73.259871,151.277154,7.824772,28.722175,46.020288,-63.385857,0.069628
0.020000,73.850704,151.319184,8.417098,29.616284,44.705422,-65.743298,0.072343
0.020000,74.458721,151.363999,9.026764,30.483294,43.350504,-67.745907,0.074736
0.020000,75.083366,151.411429,9.653207,31.322153,41.942966,-70.376936,0.076762
0.020000,75.724069,151.461253,10.295845,32.131884,40.486543,-72.821135,0.078376
0.020000,76.380240,151.513196,10.954068,32.911181,38.964843,-76.085011,0.079530
0.020000,77.051266,151.566924,11.627242,33.658671,37.374489,-79.517669,0.080174
0.020000,77.736507,151.622042,12.314696,34.372722,35.702584,-83.595247,0.080256
0.020000,78.435292,151.678093,13.015726,35.051493,33.938549,-88.201749,0.079720
0.020000,79.146913,151.734551,13.729583,35.692842,32.067448,-93.555069,0.078507
0.020000,79.870615,151.790818,14.455469,36.294300,30.072883,-99.728241,0.076556
0.020000,80.605591,151.846226,15.192530,36.853057,27.937872,-106.750558,0.073799
0.020000,81.350969,151.900027,15.939847,37.365858,25.640014,-114.892898,0.070164
0.020000,82.105805,151.951395,16.696429,37.829084,23.161321,-123.934635,0.065574
0.020000,82.869063,151.999424,17.461197,38.238402,20.465884,-134.771873,0.059943
0.020000,83.639608,152.043126,18.232980,38.589150,17.537417,-146.423324,0.053179
0.020000,84.416186,152.081430,19.010502,38.876123,14.348663,-159.437727,0.045184
0.020000,85.197404,152.113187,19.792366,39.093179,10.852761,-174.795100,0.035847
0.020000,85.981720,152.137173,20.577048,39.234115,7.046823,-190.296898,0.025048
0.020000,86.767410,152.152096,21.362879,39.291560,2.872244,-208.728929,0.012658
0.020000,87.552563,152.156610,22.148046,39.258308,-1.662618,-226.743098,6.281718
0.020000,88.335058,152.149329,22.930574,39.126439,-6.593432,-246.540732,6.265704
0.020000,89.112555,152.128856,23.708341,38.888336,-11.905158,-265.586294,6.247634
0.020000,89.882498,152.093807,24.479082,38.537041,-17.564742,-282.979185,6.227331
0.020000,90.642123,152.042851,25.240413,38.066581,-23.523006,-297.913213,6.204608
0.020000,91.388494,151.974756,25.989884,37.473540,-29.652035,-306.451424,6.179273
0.020000,92.118574,151.888433,26.725051,36.758315,-35.761244,-305.460490,6.151133
0.020000,92.829328,151.782979,27.443584,35.926695,-41.581002,-290.987882,6.120007
0.020000,93.517875,151.657708,28.143434,34.992499,-46.709825,-256.441130,6.085734
0.020000,94.181702,151.512152,28.823032,33.979896,-50.630138,-196.015675,6.048190
0.020000,94.818916,151.346015,29.481548,32.925783,-52.705638,-103.775012,6.007311
0.020000,95.428529,151.159053,30.119186,31.881923,-52.192986,25.632624,5.963113
0.020000,96.010733,150.950878,30.737489,30.915149,-48.338715,192.713562,5.915716
0.020000,96.567099,150.720675,31.339599,30.105500,-40.482449,392.813285,5.865367
0.020000,97.100624,150.466876,31.930415,29.540767,-28.236660,612.289445,5.812450
0.020000,97.615571,150.186852,32.516575,29.308011,-11.637791,829.943442,5.757487
0.020000,98.117067,149.876713,33.106222,29.482369,8.717894,1017.784255,5.701115
0.020000,98.610504,149.531318,33.708533,30.115528,31.657964,1147.003517,5.644054
0.020000,99.100856,149.144529,34.333074,31.227037,55.575426,1195.873091,5.587054
0.020000,99.592066,148.709700,34.989095,32.801062,78.701241,1156.290733,5.530841
0.020000,100.086637,148.220282,35.684889,34.789698,99.431812,1036.528582,5.476065
0.020000,100.585495,147.670417,36.427325,37.121819,116.606063,858.712543,5.423265
0.020000,101.088101,147.055418,37.221577,39.712581,129.538107,646.602183,5.372847
0.020000,101.592764,146.372029,38.071110,42.476649,138.203360,433.262651,5.325081
0.020000,102.097026,145.618468,38.977826,45.335800,142.957575,237.710779,5.280118
0.020000,102.598030,144.794342,39.942289,48.223170,144.368496,70.546007,5.238001
0.020000,103.092857,143.900388,40.964056,51.088316,143.257319,-55.558845,5.198696
0.020000,103.578733,142.938248,42.041918,53.893139,140.241133,-150.809281,5.162107
0.020000,104.067647,141.888235,43.200178,57.912977,200.991920,3037.539330,5.137555
