dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,57.919539,173.419292,0.005356,0.535578,26.778901,1338.945038,0.632601
0.020000,57.919055,173.418938,0.005955,0.029956,-25.281120,-2603.001040,0.632648
0.020000,57.918087,173.418228,0.007156,0.060042,1.504332,1339.272582,0.632742
0.020000,57.966006,173.453373,0.066582,2.971303,145.563040,7202.935416,0.632884
0.020000,58.033144,173.502631,0.149851,4.163478,59.608762,-4297.713905,0.633074
0.020000,58.117037,173.564210,0.253919,5.203380,51.995105,-380.682864,0.633313
0.020000,58.217666,173.638114,0.378771,6.242582,51.960105,-1.749958,0.633602
0.020000,58.335006,173.724349,0.524391,7.281013,51.921550,-1.927786,0.633943
0.020000,58.469031,173.822921,0.690761,8.318510,51.874825,-2.336226,0.634336
0.020000,58.619708,173.933837,0.877860,9.354949,51.821937,-2.644386,0.634784
0.020000,58.787001,174.057108,1.085664,10.390189,51.762005,-2.996645,0.635288
0.020000,58.970868,174.192743,1.314146,11.424104,51.695772,-3.311625,0.635850
0.020000,59.171264,174.340754,1.563277,12.456535,51.621543,-3.711433,0.636474
0.020000,59.388140,174.501157,1.833024,13.487389,51.542717,-3.941301,0.637160
0.020000,59.621439,174.673966,2.123354,14.516489,51.454994,-4.386185,0.637913
0.020000,59.871101,174.859200,2.434229,15.543729,51.361991,-4.650147,0.638734
0.020000,60.137061,175.056879,2.765607,16.568914,51.259232,-5.137919,0.639628
0.020000,60.419246,175.267027,3.117446,17.591967,51.152647,-5.329284,0.640596
0.020000,60.717581,175.489670,3.489701,18.612716,51.037460,-5.759313,0.641644
0.020000,61.031981,175.724835,3.882321,19.631001,50.914241,-6.160994,0.642775
0.020000,61.362358,175.972557,4.295255,20.646713,50.785628,-6.430616,0.643993
0.020000,61.708616,176.232869,4.728449,21.659701,50.649392,-6.811817,0.645302
0.020000,62.070651,176.505813,5.181845,22.669775,50.503688,-7.285206,0.646707
0.020000,62.448354,176.791431,5.655381,23.676831,50.352810,-7.543872,0.648213
0.020000,62.841605,177.089772,6.148995,24.680683,50.192617,-8.009674,0.649824
0.020000,63.250281,177.400888,6.662619,25.681188,50.025246,-8.368527,0.651546
0.020000,63.674247,177.724839,7.196183,26.678223,49.851725,-8.676053,0.653384
0.020000,64.113361,178.061685,7.749614,27.671566,49.667164,-9.228058,0.655344
0.020000,64.567470,178.411497,8.322836,28.661084,49.475894,-9.563507,0.657432
0.020000,65.036413,178.774349,8.915769,29.646648,49.278180,-9.885681,0.659655
0.020000,65.520019,179.150322,9.528329,30.628019,49.068557,-10.481169,0.662018
0.020000,66.018105,179.539504,10.160431,31.605068,48.852469,-10.804399,0.664529
0.020000,66.530478,179.941989,10.811983,32.577631,48.628139,-11.216507,0.667195
0.020000,67.056934,180.357879,11.482893,33.545500,48.393464,-11.733723,0.670023
0.020000,67.597255,180.787284,12.173064,34.508549,48.152430,-12.051708,0.673020
0.020000,68.151213,181.230321,12.882395,35.466547,47.899891,-12.626949,0.676195
0.020000,68.718562,181.687116,13.610781,36.419308,47.638091,-13.090025,0.679555
0.020000,69.299046,182.157803,14.358115,37.366688,47.368998,-13.454614,0.683110
0.020000,69.892392,182.642525,15.124285,38.308477,47.089438,-13.978028,0.686867
0.020000,70.498313,183.141435,15.909174,39.244476,46.799916,-14.476096,0.690837
0.020000,71.116505,183.654695,16.712665,40.174521,46.502253,-14.883152,0.695028
0.020000,71.746647,184.182476,17.534633,41.098424,46.195160,-15.354650,0.699450
0.020000,72.388400,184.724961,18.374952,42.015946,45.876086,-15.953684,0.704112
0.020000,73.041407,185.282341,19.233492,42.926990,45.552245,-16.192083,0.709026
0.020000,73.705291,185.854818,20.110118,43.831282,45.214592,-16.882628,0.714202
0.020000,74.379655,186.442608,21.004692,44.728733,44.872530,-17.103094,0.719650
0.020000,75.064082,187.045932,21.917074,45.619078,44.517265,-17.763253,0.725382
0.020000,75.758131,187.665027,22.847119,46.502243,44.158229,-17.951829,0.731409
0.020000,76.461341,188.300139,23.794679,47.378026,43.789145,-18.454155,0.737742
0.020000,77.173224,188.951526,24.759605,48.246302,43.413835,-18.765507,0.744393
0.020000,77.893271,189.619455,25.741744,49.106960,43.032894,-19.047049,0.751375
0.020000,78.620946,190.304207,26.740942,49.959896,42.646772,-19.306098,0.758699
0.020000,79.355688,191.006074,27.757043,50.805042,42.257339,-19.471670,0.766377
0.020000,80.096906,191.725356,28.789890,51.642349,41.865352,-19.599363,0.774422
0.020000,80.843988,192.462368,29.839326,52.471819,41.473479,-19.593619,0.782847
0.020000,81.596287,193.217433,30.905196,53.293464,41.082272,-19.560372,0.791662
0.020000,82.353133,193.990885,31.987344,54.107394,40.696482,-19.289504,0.800881
0.020000,83.113825,194.783068,33.085618,54.913733,40.316960,-18.976065,0.810516
0.020000,83.877633,195.594338,34.199871,55.712657,39.946192,-18.538420,0.820577
0.020000,84.643796,196.425057,35.329960,56.504447,39.589483,-17.835456,0.831077
0.020000,85.411528,197.275598,36.475749,57.289442,39.249752,-16.986540,0.842025
0.020000,86.180009,198.146343,37.637111,58.068071,38.931433,-15.915939,0.853432
0.020000,86.948394,199.037681,38.813928,58.840849,38.638939,-14.624737,0.865308
0.020000,87.715807,199.950009,40.006096,59.608407,38.377861,-13.053888,0.877659
0.020000,88.481348,200.883729,41.213525,60.371479,38.153631,-11.211481,0.890494
0.020000,89.244086,201.839252,42.436143,61.130892,37.970627,-9.150199,0.903817
0.020000,90.003069,202.816993,43.673896,61.887663,37.838551,-6.603821,0.917634
0.020000,90.757319,203.817373,44.926754,62.642872,37.760473,-3.903907,0.931946
0.020000,91.505836,204.840814,46.194709,63.397760,37.744376,-0.804811,0.946754
0.020000,92.247600,205.887745,47.477782,64.153671,37.795556,2.558985,0.962057
0.020000,92.981573,206.958594,48.776025,64.912125,37.922718,6.358078,0.977850
0.020000,93.706700,208.053793,50.089520,65.674750,38.131241,10.426174,0.994127
0.020000,94.421912,209.173770,51.418384,66.443182,38.421616,14.518735,1.010879
0.020000,95.126132,210.318958,52.762772,67.219418,38.811775,19.507934,1.028093
0.020000,95.818272,211.489781,54.122876,68.005206,39.289393,23.880930,1.045755
0.020000,96.497237,212.686660,55.498927,68.802531,39.866271,28.843879,1.063847
0.020000,97.161933,213.910013,56.891196,69.613453,40.546074,33.990136,1.082346
0.020000,97.811262,215.160246,58.299993,70.439855,41.320128,38.702719,1.101229
0.020000,98.444132,216.437754,59.725669,71.283783,42.196380,43.812630,1.120469
0.020000,99.059455,217.742915,61.168606,72.146868,43.154273,47.894647,1.140035
0.020000,99.656151,219.076095,62.629228,73.031104,44.211768,52.874720,1.159894
0.020000,100.233154,220.437634,64.107984,73.937810,45.335318,56.177493,1.180011
0.020000,100.799235,221.844445,65.624415,75.821554,94.187190,2442.593610,1.192266
0.020000,101.437206,223.457187,67.358758,86.717143,544.779440,22529.612492,1.195699
0.020000,102.085150,225.108304,69.132460,88.685099,98.397807,-22319.081626,1.197726
0.020000,102.745434,226.797348,70.945977,90.675862,99.538181,57.018671,1.198310
0.020000,103.420708,228.523930,72.799913,92.696806,101.047202,75.451048,1.197404
0.020000,104.113944,230.287708,74.695036,94.756117,102.965535,95.916674,1.194948
0.020000,104.828475,232.088379,76.632295,96.862936,105.340941,118.770298,1.190868
0.020000,105.568047,233.925665,78.612847,99.027625,108.234467,144.676286,1.185072
0.020000,106.336877,235.799290,80.638080,101.261667,111.702088,173.381052,1.177452
0.020000,107.139726,237.708949,82.709641,103.578023,115.817812,205.786208,1.167878
0.020000,107.981984,239.654274,84.829473,105.991634,120.680547,243.136764,1.156199
0.020000,108.869763,241.634760,86.999836,108.518124,126.324510,282.198156,1.142235
0.020000,109.810012,243.649701,89.223360,111.176187,132.903120,328.930458,1.125783
0.020000,110.810632,245.698051,91.503047,113.984368,140.409064,375.297225,1.106604
0.020000,111.880608,247.778281,93.842323,116.963775,148.970352,428.064376,1.084431
0.020000,113.030133,249.888142,96.245013,120.134513,158.536882,478.326529,1.058964
0.020000,114.270700,252.024357,98.715320,123.515376,169.043187,525.315258,1.029871
0.020000,115.615150,254.182216,101.257740,127.121004,180.281398,561.910515,0.996801
0.020000,117.077585,256.355022,103.876863,130.956141,191.756850,573.772641,0.959392
0.020000,118.673111,258.533450,106.577095,135.011589,202.772395,550.777230,0.917298
0.020000,120.417258,260.704760,109.362169,139.253712,212.106113,466.685892,0.870226
0.020000,122.324986,262.852046,112.234495,143.616304,218.129643,301.176532,0.817985
0.020000,124.409176,264.953643,115.194320,147.991225,218.746038,30.819705,0.760555
0.020000,126.678613,266.983026,118.238781,152.223033,211.590381,-357.782832,0.698161
0.020000,129.135697,268.909565,121.361090,156.115449,194.620823,-848.477880,0.631334
0.020000,131.774393,270.700429,124.550119,159.451498,166.802430,-1390.919667,0.560948
0.020000,134.579149,272.323621,127.790707,162.029371,128.893657,-1895.438638,0.488195
0.020000,137.525479,273.751634,131.064861,163.707685,83.915720,-2248.896861,0.414486
0.020000,140.582372,274.964746,134.353665,164.440227,36.627075,-2364.432257,0.341310
0.020000,143.716024,275.952979,137.639450,164.289235,-7.549594,-2208.833457,0.270054
0.020000,146.893797,276.716186,140.907588,163.406890,-44.117235,-1828.382044,0.201867
0.020000,150.087361,277.262491,144.147541,161.997682,-70.460404,-1317.158423,0.137576
0.020000,153.274424,277.605796,147.353041,160.274969,-86.135668,-783.763239,0.077676
0.020000,156.426697,277.762898,150.509226,157.809280,-123.284430,-1857.438086,0.022571
0.020000,159.509331,277.754437,153.591872,154.132280,-183.850032,-3028.280112,6.255756
0.020000,162.504608,277.603825,156.590934,149.953096,-208.959196,-1255.458208,6.210720
0.020000,165.412174,277.332651,159.511117,146.009162,-197.196693,588.125156,6.170194
0.020000,168.235053,276.959338,162.358574,142.372829,-181.816631,769.003115,6.133695
0.020000,170.977322,276.499410,165.139145,139.028566,-167.213178,730.172666,6.100765
0.020000,173.129960,276.104240,167.327754,109.430438,-1479.906399,-65634.661050,6.110046
0.020000,175.234314,275.752799,169.461252,106.674913,-137.776230,67106.508448,6.124514
0.020000,177.381662,275.420754,171.634121,108.643437,98.426185,11810.120718,6.134215
0.020000,179.568523,275.099085,173.844512,110.519589,93.807607,-230.928858,6.139294
0.020000,181.791674,274.778478,176.090663,112.307512,89.396154,-220.572670,6.139888
0.020000,184.048084,274.449387,178.370944,114.014092,85.328998,-203.357795,6.136124
0.020000,186.334782,274.102093,180.683865,115.646027,81.596773,-186.611252,6.128120
0.020000,188.648688,273.726762,183.028014,117.207443,78.070771,-176.300096,6.115986
0.020000,190.986403,273.313524,185.401973,118.697931,74.524433,-177.316908,6.099832
0.020000,193.343985,272.852584,187.804192,120.110976,70.652225,-193.610379,6.079781
0.020000,195.716714,272.334384,190.232848,121.432813,66.091874,-228.017570,6.055975
0.020000,198.098877,271.749826,192.685685,122.641842,60.451446,-282.021390,6.028590
0.020000,200.483604,271.090560,195.159862,123.708858,53.350801,-355.032282,5.997850
0.020000,202.862777,270.349329,197.651827,124.598257,44.469951,-444.042474,5.964032
0.020000,205.227068,269.520351,200.157237,125.270456,33.609922,-543.001480,5.927479
0.020000,206.746180,268.975108,201.771235,80.699927,-2228.526419,-113106.817039,5.955874
0.020000,208.261431,268.487888,203.362892,79.582835,-55.854622,108633.589840,5.987633
0.020000,209.813093,268.039849,204.977943,80.752572,58.486838,5717.073030,6.015877
0.020000,211.398920,267.627092,206.616607,81.933178,59.030333,27.174752,6.040590
0.020000,213.016344,267.245527,208.278428,83.091061,57.894107,-56.811325,6.061807
0.020000,214.662631,266.890879,209.962482,84.202698,55.581867,-115.611992,6.079601
0.020000,216.335027,266.558716,211.667545,85.253140,52.522116,-152.987556,6.094068
0.020000,218.030844,266.244486,213.392229,86.234233,49.054654,-173.373084,6.105316
0.020000,219.747523,265.943551,215.135086,87.142836,45.430143,-181.225545,6.113459
0.020000,221.482658,265.651234,216.894672,87.979276,41.822000,-180.407159,6.118610
0.020000,223.233993,265.362843,218.669592,88.746015,38.336945,-174.252769,6.120877
0.020000,224.999404,265.073708,220.458524,89.446580,35.028267,-165.433890,6.120366
0.020000,226.776865,264.779202,222.260218,90.084720,31.906979,-156.064366,6.117173
0.020000,228.564401,264.474763,224.073493,90.663744,28.951188,-147.789582,6.111392
0.020000,230.360033,264.155923,225.897213,91.186003,26.112983,-141.910238,6.103111
0.020000,232.161728,263.818329,227.730264,91.652534,23.326553,-139.321496,6.092418
0.020000,233.967337,263.457780,229.571518,92.062741,20.510306,-140.812332,6.079401
0.020000,235.774541,263.070261,231.419804,92.414265,17.576241,-146.703296,6.064151
