dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.457905,163.136514,0.005356,0.535578,26.778901,1338.945038,0.632601
0.020000,65.457905,163.136514,0.026779,1.606734,53.557802,1338.945038,0.632648
0.020000,65.457905,163.136514,0.069625,2.677890,53.557802,0.000000,0.632742
0.020000,65.507282,163.172728,0.133895,3.749046,53.557802,0.000000,0.632884
0.020000,65.576373,163.223420,0.219587,4.820202,53.557802,0.000000,0.633074
0.020000,65.662724,163.286802,0.326703,5.891358,53.557802,0.000000,0.633313
0.020000,65.766324,163.362889,0.455241,6.962514,53.557802,-0.000000,0.633602
0.020000,65.887163,163.451695,0.605203,8.033670,53.557802,0.000000,0.633943
0.020000,66.025228,163.553238,0.776588,9.104826,53.557802,0.000000,0.634336
0.020000,66.180502,163.667539,0.969396,10.175982,53.557802,-0.000000,0.634784
0.020000,66.352969,163.794622,1.183627,11.247138,53.557802,0.000000,0.635288
0.020000,66.542609,163.934515,1.419282,12.318294,53.557802,-0.000000,0.635850
0.020000,66.749397,164.087247,1.676359,13.389450,53.557802,0.000000,0.636474
0.020000,66.973309,164.252854,1.954860,14.460606,53.557802,0.000000,0.637160
0.020000,67.214318,164.431374,2.254783,15.531762,53.557802,-0.000000,0.637913
0.020000,67.472390,164.622848,2.576130,16.602918,53.557802,0.000000,0.638734
0.020000,67.747493,164.827323,2.918900,17.674075,53.557802,0.000000,0.639628
0.020000,68.039586,165.044850,3.283093,18.745231,53.557802,0.000000,0.640596
0.020000,68.348630,165.275484,3.668709,19.816387,53.557802,-0.000000,0.641644
0.020000,68.674577,165.519286,4.075749,20.887543,53.557802,0.000000,0.642775
0.020000,69.017377,165.776322,4.504211,21.958699,53.557802,-0.000000,0.643993
0.020000,69.376977,166.046665,4.954097,23.029855,53.557802,0.000000,0.645302
0.020000,69.753315,166.330393,5.425405,24.101011,53.557802,0.000000,0.646707
0.020000,70.146328,166.627589,5.918137,25.172167,53.557802,0.000000,0.648213
0.020000,70.555945,166.938345,6.432292,26.243323,53.557802,-0.000000,0.649824
0.020000,70.982088,167.262760,6.967870,27.314479,53.557802,0.000000,0.651546
0.020000,71.424677,167.600939,7.524871,28.385635,53.557802,0.000000,0.653384
0.020000,71.883621,167.952998,8.103295,29.456791,53.557802,0.000000,0.655344
0.020000,72.358822,168.319058,8.703143,30.527947,53.557802,0.000000,0.657432
0.020000,72.850177,168.699252,9.324413,31.599103,53.557802,0.000000,0.659655
0.020000,73.357573,169.093720,9.967107,32.670259,53.557802,-0.000000,0.662018
0.020000,73.880886,169.502614,10.631224,33.741415,53.557802,0.000000,0.664529
0.020000,74.419986,169.926094,11.316763,34.812571,53.557802,0.000000,0.667195
0.020000,74.974732,170.364333,12.023726,35.883727,53.557802,0.000000,0.670023
0.020000,75.544971,170.817514,12.752113,36.954883,53.557802,0.000000,0.673020
0.020000,76.130540,171.285833,13.501922,38.026039,53.557802,-0.000000,0.676195
0.020000,76.731262,171.769498,14.273154,39.097195,53.557802,0.000000,0.679555
0.020000,77.346948,172.268730,15.065810,40.168351,53.557802,-0.000000,0.683110
0.020000,77.977397,172.783762,15.879888,41.239507,53.557802,0.000000,0.686867
0.020000,78.622389,173.314843,16.715390,42.310663,53.557802,0.000000,0.690837
0.020000,79.281691,173.862236,17.572315,43.381819,53.557802,-0.000000,0.695028
0.020000,79.955054,174.426219,18.450663,44.452975,53.557802,0.000000,0.699450
0.020000,80.642209,175.007084,19.350434,45.524131,53.557802,-0.000000,0.704112
0.020000,81.342870,175.605140,20.271628,46.595287,53.557802,0.000000,0.709026
0.020000,82.056729,176.220714,21.214245,47.666443,53.557802,0.000000,0.714202
0.020000,82.783458,176.854146,22.178286,48.737599,53.557802,-0.000000,0.719650
0.020000,83.522706,177.505797,23.163749,49.808755,53.557802,0.000000,0.725382
0.020000,84.274097,178.176043,24.170636,50.879911,53.557802,-0.000000,0.731409
0.020000,85.037230,178.865277,25.198946,51.951067,53.557802,0.000000,0.737742
0.020000,85.811679,179.573913,26.248679,53.022224,53.557802,0.000000,0.744393
0.020000,86.596985,180.302381,27.319835,54.093380,53.557802,-0.000000,0.751375
0.020000,87.392663,181.051127,28.412414,55.164536,53.557802,0.000000,0.758699
0.020000,88.198193,181.820618,29.526416,56.235692,53.557802,-0.000000,0.766377
0.020000,89.013023,182.611336,30.661841,57.306848,53.557802,0.000000,0.774422
0.020000,89.836566,183.423782,31.818690,58.378004,53.557802,0.000000,0.782847
0.020000,90.668195,184.258471,32.996962,59.449160,53.557802,-0.000000,0.791662
0.020000,91.507248,185.115937,34.196656,60.520316,53.557802,0.000000,0.800881
0.020000,92.353019,185.996726,35.417774,61.591472,53.557802,-0.000000,0.810516
0.020000,93.204760,186.901398,36.660315,62.662628,53.557802,-0.000000,0.820577
0.020000,94.061680,187.830526,37.924279,63.733784,53.557802,0.000000,0.831077
0.020000,94.922942,188.784692,39.209667,64.804940,53.557802,-0.000000,0.842025
0.020000,95.787660,189.764486,40.516477,65.876096,53.557802,0.000000,0.853432
0.020000,96.654902,190.770505,41.844710,66.947252,53.557802,0.000000,0.865308
0.020000,97.523684,191.803349,43.194367,68.018408,53.557802,0.000000,0.877659
0.020000,98.392973,192.863618,44.565447,69.089564,53.557802,-0.000000,0.890494
0.020000,99.261686,193.951908,45.957949,70.160720,53.557802,0.000000,0.903817
0.020000,100.128686,195.068807,47.371875,71.231876,53.557802,-0.000000,0.917634
0.020000,100.992789,196.214895,48.807225,72.303032,53.557802,0.000000,0.931946
0.020000,101.852759,197.390734,50.263997,73.374188,53.557802,0.000000,0.946754
0.020000,102.707313,198.596867,51.742192,74.445344,53.557802,-0.000000,0.962057
0.020000,103.555122,199.833810,53.241811,75.516500,53.557802,0.000000,0.977850
0.020000,104.394814,201.102051,54.762852,76.587656,53.557802,-0.000000,0.994127
0.020000,105.224975,202.402040,56.305317,77.658812,53.557802,0.000000,1.010879
0.020000,106.044159,203.734189,57.869205,78.729968,53.557802,0.000000,1.028093
0.020000,106.850889,205.098862,59.454515,79.801124,53.557802,0.000000,1.045755
0.020000,107.643663,206.496371,61.061250,80.872280,53.557802,-0.000000,1.063847
0.020000,108.420962,207.926974,62.689407,81.943436,53.557802,0.000000,1.082346
0.020000,109.181257,209.390868,64.338987,83.014592,53.557802,0.000000,1.101229
0.020000,109.923017,210.888186,66.009990,84.085748,53.557802,-0.000000,1.120469
0.020000,110.644718,212.418991,67.702417,85.156904,53.557802,0.000000,1.140035
0.020000,111.344852,213.983279,69.416267,86.228060,53.557802,-0.000000,1.159894
0.020000,112.021934,215.580972,71.151539,87.299217,53.557802,0.000000,1.180011
0.020000,112.646645,217.132610,72.908235,88.370373,53.557802,0.000000,1.192266
0.020000,113.300724,218.786057,74.686354,89.441529,53.557802,0.000000,1.195699
0.020000,113.958111,220.461227,76.485896,90.512685,53.557802,-0.000000,1.197726
0.020000,114.621107,222.157209,78.306862,91.583841,53.557802,0.000000,1.198310
0.020000,115.292173,223.873037,80.149250,92.654997,53.557802,-0.000000,1.197404
0.020000,115.973952,225.607676,82.013061,93.726153,53.557802,0.000000,1.194948
0.020000,116.669289,227.359992,83.898296,94.797309,53.557802,0.000000,1.190868
0.020000,117.381257,229.128732,85.804954,95.868465,53.557802,-0.000000,1.185072
0.020000,118.113191,230.912478,87.733035,96.939621,53.557802,0.000000,1.177452
0.020000,118.868715,232.709619,89.682539,98.010777,53.557802,-0.000000,1.167878
0.020000,119.651785,234.518298,91.653466,99.081933,53.557802,0.000000,1.156199
0.020000,120.466713,236.336341,93.645816,100.153089,53.557802,0.000000,1.142235
0.020000,121.318223,238.161206,95.659589,101.224245,53.557802,0.000000,1.125783
0.020000,122.211471,239.989868,97.694786,102.295401,53.557802,-0.000000,1.106604
0.020000,123.152090,241.818734,99.751405,103.366557,53.557802,0.000000,1.084431
0.020000,124.146201,243.643501,101.829448,104.437713,53.557802,0.000000,1.058964
0.020000,125.200417,245.459009,103.928914,105.508869,53.557802,0.000000,1.029871
0.020000,126.321812,247.259075,106.049803,106.580025,53.557802,-0.000000,0.996801
0.020000,127.517829,249.036293,108.192115,107.651181,53.557802,0.000000,0.959392
0.020000,128.796126,250.781864,110.355850,108.722337,53.557802,0.000000,0.917298
0.020000,130.164308,252.485422,112.541008,109.793493,53.557802,0.000000,0.870226
0.020000,131.629546,254.134955,114.747590,110.864649,53.557802,0.000000,0.817985
0.020000,133.198052,255.716860,116.975594,111.935805,53.557802,-0.000000,0.760555
0.020000,134.874438,257.216197,119.225022,113.006961,53.557802,0.000000,0.698161
0.020000,136.661028,258.617243,121.495873,114.078117,53.557802,-0.000000,0.631334
