dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,72.996271,152.853735,0.005356,0.535578,26.778901,1338.945038,0.632601
0.020000,72.996755,152.854089,0.005955,0.029956,-25.281120,-2603.001040,0.632648
0.020000,72.997723,152.854799,0.007156,0.060042,1.504332,1339.272582,0.632742
0.020000,73.048558,152.892083,0.070197,3.152088,154.602287,7654.897770,0.632884
0.020000,73.119602,152.944208,0.158313,4.405756,62.683395,-4595.944592,0.633074
0.020000,73.208410,153.009394,0.268477,5.508210,55.122686,-378.035459,0.633313
0.020000,73.314982,153.087663,0.400702,6.611283,55.153674,1.549408,0.633602
0.020000,73.439320,153.179040,0.555006,7.715175,55.194580,2.045273,0.633943
0.020000,73.581424,153.283554,0.731406,8.819986,55.240561,2.299087,0.634336
0.020000,73.741297,153.401240,0.929923,9.925862,55.293793,2.661573,0.634784
0.020000,73.918938,153.532136,1.150582,11.032930,55.353397,2.980195,0.635288
0.020000,74.114349,153.676286,1.393408,12.141334,55.420231,3.341693,0.635850
0.020000,74.327529,153.833740,1.658432,13.251186,55.492566,3.616777,0.636474
0.020000,74.558479,154.004552,1.945685,14.362668,55.574103,4.076822,0.637160
0.020000,74.807197,154.188782,2.255203,15.475875,55.660360,4.312882,0.637913
0.020000,75.073680,154.386496,2.587022,16.590981,55.755296,4.746803,0.638734
0.020000,75.357925,154.597767,2.941184,17.708066,55.854250,4.947709,0.639628
0.020000,75.659926,154.822672,3.317730,18.827339,55.963679,5.471411,0.640596
0.020000,75.979678,155.061298,3.716709,19.948912,56.078624,5.747286,0.641644
0.020000,76.317172,155.313736,4.138167,21.072909,56.199836,6.060608,0.642775
0.020000,76.672396,155.580088,4.582157,22.199515,56.330314,6.523852,0.643993
0.020000,77.045337,155.860462,5.048735,23.328872,56.467844,6.876504,0.645302
0.020000,77.435979,156.154973,5.537956,24.461084,56.610624,7.139007,0.646707
0.020000,77.844302,156.463747,6.049883,25.596354,56.763484,7.643006,0.648213
0.020000,78.270284,156.786918,6.584579,26.734797,56.922173,7.934466,0.649824
0.020000,78.713896,157.124631,7.142111,27.876582,57.089227,8.352707,0.651546
0.020000,79.175107,157.477040,7.722549,29.021902,57.266013,8.839258,0.653384
0.020000,79.653881,157.844311,8.325966,30.170851,57.447467,9.072702,0.655344
0.020000,80.150175,158.226619,8.952438,31.323623,57.638554,9.554397,0.657432
0.020000,80.663942,158.624155,9.602047,32.480420,57.839859,10.065204,0.659655
0.020000,81.195127,159.037118,10.274874,33.641333,58.045673,10.290715,0.662018
0.020000,81.743667,159.465723,10.971005,34.806578,58.262237,10.828189,0.664529
0.020000,82.309495,159.910198,11.690532,35.976336,58.487900,11.283162,0.667195
0.020000,82.892530,160.370786,12.433547,37.150748,58.720622,11.636083,0.670023
0.020000,83.492687,160.847744,13.200148,38.330050,58.965085,12.223181,0.673020
0.020000,84.109867,161.341346,13.990435,39.514367,59.215856,12.538521,0.676195
0.020000,84.743962,161.851881,14.804513,40.703880,59.475645,12.989467,0.679555
0.020000,85.394851,162.379657,15.642489,41.898818,59.746877,13.561611,0.683110
0.020000,86.062401,162.924999,16.504476,43.099341,60.026186,13.965418,0.686867
0.020000,86.746464,163.488252,17.390588,44.305626,60.314250,14.403199,0.690837
0.020000,87.446877,164.069778,18.300946,45.517890,60.613188,14.946928,0.695028
0.020000,88.163461,164.669962,19.235673,46.736321,60.921546,15.417882,0.699450
0.020000,88.896019,165.289207,20.194894,47.961047,61.236296,15.737538,0.704112
0.020000,89.644333,165.927940,21.178741,49.192356,61.565438,16.457080,0.709026
0.020000,90.408167,166.586609,22.187347,50.430321,61.898282,16.642179,0.714202
0.020000,91.187261,167.265685,23.220852,51.675223,62.245070,17.339397,0.719650
0.020000,91.981330,167.965662,24.279394,52.927122,62.594956,17.494320,0.725382
0.020000,92.790062,168.687058,25.363120,54.186279,62.957880,18.146185,0.731409
0.020000,93.613120,169.430416,26.472175,55.452787,63.325362,18.374128,0.737742
0.020000,94.450133,170.196301,27.606711,56.726793,63.700302,18.746967,0.744393
0.020000,95.300698,170.985307,28.766880,58.008423,64.081525,19.061164,0.751375
0.020000,96.164379,171.798047,29.952835,59.297769,64.467275,19.287506,0.758699
0.020000,97.040698,172.635162,31.164733,60.594909,64.857016,19.487055,0.766377
0.020000,97.929140,173.497316,32.402731,61.899877,65.248385,19.568432,0.774422
0.020000,98.829144,174.385195,33.666985,63.212691,65.640726,19.617080,0.782847
0.020000,99.740103,175.299510,34.957651,64.533296,66.030213,19.474309,0.791662
0.020000,100.661362,176.240990,36.274883,65.861643,66.417389,19.358827,0.800881
0.020000,101.592212,177.210384,37.618835,67.197590,66.797347,18.997875,0.810516
0.020000,102.531887,178.208459,38.989654,68.540916,67.166299,18.447617,0.820577
0.020000,103.479564,179.235995,40.387481,69.891377,67.523063,17.838207,0.831077
0.020000,104.434356,180.293785,41.812454,71.248630,67.862636,16.978645,0.842025
0.020000,105.395312,181.382628,43.264699,72.612249,68.180929,15.914641,0.853432
0.020000,106.361410,182.503329,44.744333,73.981706,68.472872,14.597183,0.865308
0.020000,107.331561,183.656690,46.251460,75.356385,68.733936,13.053184,0.877659
0.020000,108.304599,184.843507,47.786172,76.735555,68.958498,11.228097,0.890494
0.020000,109.279285,186.064563,49.348538,78.118330,69.138758,9.013006,0.903817
0.020000,110.254303,187.320621,50.938614,79.503790,69.273012,6.712669,0.917634
0.020000,111.228258,188.612418,52.556430,80.890802,69.350581,3.878464,0.931946
0.020000,112.199682,189.940654,54.201993,82.278137,69.366746,0.808237,0.946754
0.020000,113.167026,191.305989,55.875281,83.664403,69.313311,-2.671706,0.962057
0.020000,114.128672,192.709025,57.576244,85.048140,69.186852,-6.322963,0.977850
0.020000,115.082928,194.150309,59.304799,86.427748,68.980378,-10.323689,0.994127
0.020000,116.028038,195.630309,61.060826,87.801380,68.681598,-14.938996,1.010879
0.020000,116.962187,197.149420,62.844175,89.167439,68.302956,-18.932104,1.028093
0.020000,117.883507,198.707943,64.654651,90.523822,67.819171,-24.189279,1.045755
0.020000,118.790089,200.306081,66.492024,91.868613,67.239560,-28.980560,1.063847
0.020000,119.679991,201.943935,68.356022,93.199935,66.566085,-33.673751,1.082346
0.020000,120.551252,203.621490,70.246336,94.515694,65.787943,-38.907086,1.101229
0.020000,121.401902,205.338619,72.162618,95.814108,64.920726,-43.360817,1.120469
0.020000,122.229982,207.095066,74.104479,97.093033,63.946234,-48.724611,1.140035
0.020000,123.033553,208.890463,76.071501,98.351086,62.902632,-52.180118,1.159894
0.020000,123.810714,210.724310,78.063228,99.586353,61.763388,-56.962206,1.180011
0.020000,124.494054,212.420776,79.892148,91.446004,-407.017478,-23439.043290,1.192266
0.020000,125.164241,214.114927,81.714042,91.094723,-17.564047,19472.671530,1.195699
0.020000,125.831071,215.814151,83.539426,91.269161,8.721890,1314.296846,1.197726
0.020000,126.496780,217.517069,85.367840,91.420712,7.577575,-57.215701,1.198310
0.020000,127.163639,219.222144,87.198681,91.542078,6.068310,-75.463273,1.197404
0.020000,127.833961,220.927644,89.031183,91.625056,4.148890,-95.971018,1.194948
0.020000,128.510102,222.631606,90.864391,91.660436,1.769003,-118.994321,1.190868
0.020000,129.194467,224.331798,92.697151,91.637978,-1.122913,-144.595807,1.185072
0.020000,129.889505,226.025666,94.528071,91.546015,-4.598170,-173.762875,1.177452
0.020000,130.597705,227.710289,96.355501,91.371494,-8.726016,-206.392261,1.167878
0.020000,131.321585,229.382321,98.177504,91.100135,-13.567943,-242.096392,1.156199
0.020000,132.063663,231.037922,99.991806,90.715128,-19.250394,-284.122516,1.142235
0.020000,132.826434,232.672711,101.795790,90.199178,-25.797488,-327.354721,1.125783
0.020000,133.612311,234.281685,103.586432,89.532130,-33.352414,-377.746313,1.106604
0.020000,134.423572,235.859187,105.360314,88.694069,-41.903009,-427.529712,1.084431
0.020000,135.262268,237.398860,107.113598,87.664186,-51.494145,-479.556816,1.058964
0.020000,136.130133,238.893661,108.842070,86.423647,-62.026956,-526.640541,1.029871
0.020000,137.028475,240.335934,110.541238,84.958365,-73.264140,-561.859230,0.996801
0.020000,137.958073,241.717564,112.206487,83.262447,-84.795870,-576.586459,0.959392
0.020000,138.919140,243.030278,113.833406,81.345984,-95.823153,-551.364177,0.917298
0.020000,139.911357,244.266083,115.418244,79.241872,-105.205625,-469.123581,0.870226
0.020000,140.934105,245.417865,116.958574,77.016486,-111.269271,-303.182321,0.817985
0.020000,141.986928,246.480077,118.454144,74.778509,-111.898844,-31.478660,0.760555
0.020000,143.070262,247.449367,119.907806,72.683133,-104.768793,356.502574,0.698161
0.020000,144.186359,248.324921,121.326350,70.927205,-87.796446,848.617356,0.631334
0.020000,145.340123,249.108279,122.720919,69.728430,-59.938737,1392.885429,0.560948
0.020000,146.539469,249.802504,124.106696,69.288856,-21.978681,1898.002817,0.488195
