dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.029945,174.728541,0.007865,0.786502,39.325107,1966.255344,0.000545
0.020000,66.032028,174.728542,0.009948,0.104143,-34.117934,-3672.152065,0.000381
0.020000,66.036191,174.728543,0.014110,0.208123,5.198978,1965.845623,0.000055
0.020000,66.126225,174.728523,0.104145,4.501732,214.680440,10474.073107,6.282751
0.020000,66.260365,174.728421,0.238284,6.706969,110.261879,-5220.928058,6.282100
0.020000,66.428015,174.728171,0.405935,8.382543,83.778682,-1324.159832,6.281288
0.020000,66.629160,174.727692,0.607080,10.057263,83.735991,-2.134579,6.280317
0.020000,66.863780,174.726886,0.841702,11.731078,83.690782,-2.260458,6.279188
0.020000,67.131852,174.725642,1.109777,13.403734,83.632763,-2.900935,6.277902
0.020000,67.433349,174.723832,1.411279,15.075128,83.569730,-3.151647,6.276462
0.020000,67.768240,174.721314,1.746180,16.745019,83.494550,-3.759002,6.274869
0.020000,68.136491,174.717930,2.114446,18.413303,83.414180,-4.018514,6.273128
0.020000,68.538062,174.713512,2.516041,20.079769,83.323317,-4.543158,6.271240
0.020000,68.972911,174.707875,2.950927,21.744310,83.227044,-4.813633,6.269208
0.020000,69.440991,174.700823,3.419060,23.406652,83.117096,-5.497390,6.267036
0.020000,69.942250,174.692147,3.920394,25.066688,83.001790,-5.765280,6.264728
0.020000,70.476630,174.681629,4.454878,26.724182,82.874685,-6.355253,6.262287
0.020000,71.044072,174.669039,5.022459,28.379061,82.743954,-6.536553,6.259717
0.020000,71.644507,174.654134,5.623079,30.030997,82.596800,-7.357726,6.257024
0.020000,72.277864,174.636668,6.256677,31.679887,82.444506,-7.614693,6.254212
0.020000,72.944066,174.616383,6.923188,33.325546,82.282978,-8.076411,6.251285
0.020000,73.643030,174.593015,7.622542,34.967739,82.109642,-8.666785,6.248251
0.020000,74.374668,174.566293,8.354668,36.606298,81.927945,-9.084842,6.245113
0.020000,75.138887,174.535943,9.119489,38.241037,81.736966,-9.548965,6.241879
0.020000,75.935586,174.501685,9.916924,39.871759,81.536084,-10.044106,6.238554
0.020000,76.764660,174.463238,10.746890,41.498264,81.325248,-10.541797,6.235145
0.020000,77.625998,174.420318,11.609297,43.120355,81.104561,-11.034345,6.231659
0.020000,78.519484,174.372642,12.504053,44.737842,80.874343,-11.510885,6.228103
0.020000,79.444994,174.319926,13.431064,46.350520,80.633879,-12.023228,6.224485
0.020000,80.402401,174.261892,14.390228,47.958200,80.383998,-12.494039,6.220813
0.020000,81.391570,174.198262,15.381442,49.560687,80.124362,-12.981819,6.217094
0.020000,82.412363,174.128765,16.404598,51.157808,79.856072,-13.414469,6.213338
0.020000,83.464636,174.053137,17.459585,52.749338,79.576507,-13.978255,6.209552
0.020000,84.548239,173.971122,18.546287,54.335106,79.288354,-14.407657,6.205747
0.020000,85.663018,173.882473,19.664585,55.914936,78.991522,-14.841575,6.201931
0.020000,86.808816,173.786954,20.814358,57.488617,78.684070,-15.372615,6.198114
0.020000,87.985470,173.684343,21.995478,59.055990,78.368607,-15.773175,6.194305
0.020000,89.192815,173.574432,23.207815,60.616865,78.043752,-16.242714,6.190516
0.020000,90.430681,173.457029,24.451236,62.171069,77.710239,-16.675690,6.186756
0.020000,91.698898,173.331959,25.725605,63.718429,77.367985,-17.112697,6.183036
0.020000,92.997290,173.199068,27.030780,65.258774,77.017249,-17.536780,6.179368
0.020000,94.325683,173.058221,28.366619,66.791939,76.658254,-17.949764,6.175762
0.020000,95.683899,172.909308,29.732974,68.317752,76.290641,-18.380637,6.172230
0.020000,97.071761,172.752241,31.129695,69.836061,75.915434,-18.760351,6.168784
0.020000,98.489090,172.586959,32.556629,71.346698,75.531884,-19.177479,6.165435
0.020000,99.935710,172.413430,34.013619,72.849507,75.140428,-19.572794,6.162197
0.020000,101.411443,172.231650,35.500506,74.344332,74.741279,-19.957477,6.159082
0.020000,102.916114,172.041648,37.017126,75.831019,74.334332,-20.347338,6.156101
0.020000,104.449551,171.843482,38.563315,77.309405,73.919316,-20.750796,6.153270
0.020000,106.011582,171.637250,40.138901,78.779343,73.496903,-21.120664,6.150600
0.020000,107.602041,171.423084,41.743715,80.240666,73.066104,-21.539965,6.148105
0.020000,109.220762,171.201153,43.377579,81.693219,72.627651,-21.922657,6.145799
0.020000,110.867587,170.971667,45.040316,83.136846,72.181387,-22.313153,6.143696
0.020000,112.542358,170.734881,46.731743,84.571374,71.726400,-22.749378,6.141810
0.020000,114.244925,170.491088,48.451676,85.996641,71.263355,-23.152255,6.140156
0.020000,115.975141,170.240632,50.199926,87.412470,70.791415,-23.596998,6.138749
0.020000,117.732865,169.983900,51.976299,88.818681,70.310581,-24.041714,6.137603
0.020000,119.517960,169.721333,53.780601,90.215095,69.820664,-24.495808,6.136734
0.020000,121.330294,169.453419,55.612632,91.601519,69.321217,-24.972366,6.136158
0.020000,123.161957,169.181858,57.464316,92.584213,49.134725,-1009.324584,6.135891
0.020000,124.994333,168.909989,59.316750,92.621719,1.875266,-2362.972958,6.135943
0.020000,126.808971,168.641143,61.151195,91.722240,-44.973950,-2342.460800,6.136311
0.020000,128.593566,168.377697,62.955131,90.196803,-76.271860,-1564.895511,6.136983
0.020000,130.343630,168.120807,64.723949,88.440892,-87.795515,-576.182758,6.137942
0.020000,132.059419,167.870868,66.457847,86.694898,-87.299700,24.790781,6.139172
0.020000,133.741177,167.628219,68.157020,84.958632,-86.813323,24.318809,6.140658
0.020000,135.389134,167.393150,69.821658,83.231912,-86.335967,23.867817,6.142385
0.020000,137.003510,167.165904,71.451949,81.514562,-85.867500,23.423353,6.144338
0.020000,138.584511,166.946676,73.048077,79.806411,-85.407597,22.995135,6.146504
0.020000,140.132334,166.735621,74.610223,78.107289,-84.956098,22.574958,6.148867
0.020000,141.647164,166.532854,76.138564,76.417033,-84.512770,22.166415,6.151414
0.020000,143.129178,166.338450,77.633273,74.735483,-84.077527,21.762160,6.154132
0.020000,144.578541,166.152450,79.094523,73.062490,-83.649638,21.394429,6.157006
0.020000,145.995413,165.974863,80.522481,71.397879,-83.230525,20.955651,6.160024
0.020000,147.379943,165.805665,81.917311,69.741505,-82.818731,20.589711,6.163173
0.020000,148.732274,165.644804,83.279175,68.093215,-82.414483,20.212362,6.166440
0.020000,150.052541,165.492202,84.608232,66.452842,-82.018678,19.790288,6.169813
0.020000,151.340873,165.347753,85.904637,64.820238,-81.630171,19.425322,6.173279
0.020000,152.597394,165.211333,87.168541,63.195239,-81.249942,19.011471,6.176827
0.020000,153.822221,165.082792,88.400095,61.577685,-80.877731,18.610534,6.180444
0.020000,155.015467,164.961964,89.599443,59.967414,-80.513532,18.209959,6.184120
0.020000,156.177241,164.848665,90.766729,58.364259,-80.157734,17.789912,6.187843
0.020000,157.307646,164.742693,91.902090,56.768053,-79.810335,17.369924,6.191603
0.020000,158.406781,164.643835,93.005662,55.178622,-79.471507,16.941437,6.195389
0.020000,159.474744,164.551864,94.077578,53.595796,-79.141334,16.508626,6.199189
0.020000,160.511628,164.466541,95.117966,52.019396,-78.819985,16.067429,6.202996
0.020000,161.517521,164.387621,96.126951,50.449238,-78.507928,15.602856,6.206797
0.020000,162.492512,164.314846,97.104654,48.885148,-78.204490,15.171906,6.210585
0.020000,163.436684,164.247957,98.051192,47.326930,-77.910890,14.680009,6.214350
0.020000,164.350120,164.186687,98.966681,45.774410,-77.625975,14.245748,6.218082
0.020000,165.232898,164.130764,99.851228,44.227380,-77.351545,13.721497,6.221774
0.020000,166.085095,164.079915,100.704941,42.685669,-77.085521,13.301216,6.225416
0.020000,166.906788,164.033867,101.527923,41.149076,-76.829663,12.792895,6.229002
0.020000,167.698047,163.992344,102.320271,39.617394,-76.584106,12.277837,6.232523
0.020000,168.458944,163.955073,103.082080,38.090455,-76.346942,11.858192,6.235971
0.020000,169.189546,163.921782,103.813441,36.568031,-76.121204,11.286895,6.239340
0.020000,169.889921,163.892203,104.514440,35.049956,-75.903732,10.873639,6.242623
0.020000,170.560132,163.866071,105.185160,33.536021,-75.696734,10.349871,6.245813
0.020000,171.200242,163.843126,105.825681,32.026036,-75.499298,9.871810,6.248905
0.020000,171.810310,163.823114,106.436077,30.519797,-75.311939,9.367953,6.251891
0.020000,172.390394,163.805789,107.016420,29.017145,-75.132583,8.967814,6.254768
0.020000,172.940549,163.790909,107.566776,27.517817,-74.966391,8.309563,6.257528
0.020000,173.460829,163.778243,108.087210,26.021706,-74.805553,8.041911,6.260169
0.020000,173.951284,163.767568,108.577781,24.528551,-74.657774,7.388950,6.262683
0.020000,174.411963,163.758671,109.038546,23.038258,-74.514637,7.156844,6.265069
0.020000,174.842911,163.751347,109.469557,21.550529,-74.386450,6.409382,6.267320
0.020000,175.244173,163.745404,109.870863,20.065281,-74.262409,6.202053,6.269434
0.020000,175.615788,163.740660,110.242507,18.582243,-74.151901,5.525359,6.271406
0.020000,175.957794,163.736943,110.584534,17.101352,-74.044549,5.367629,6.273234
0.020000,176.270228,163.734097,110.896981,15.622331,-73.951022,4.676330,6.274915
0.020000,176.553121,163.731973,111.179882,14.145054,-73.863855,4.358376,6.276446
0.020000,176.806503,163.730440,111.433269,12.669347,-73.785347,3.925388,6.277824
0.020000,177.030402,163.729376,111.657170,11.195034,-73.715657,3.484500,6.279047
0.020000,177.224839,163.728675,111.851608,9.721920,-73.655724,2.996658,6.280113
0.020000,177.389836,163.728243,112.016606,8.249906,-73.600691,2.751639,6.281021
0.020000,177.525412,163.728000,112.152182,6.778774,-73.556599,2.204615,6.281769
0.020000,177.631579,163.727881,112.258350,5.308391,-73.519164,1.871720,6.282356
0.020000,177.708351,163.727834,112.335121,3.838582,-73.490434,1.436523,6.282782
0.020000,177.755735,163.727821,112.382505,2.369186,-73.469821,1.030662,6.283045
0.020000,177.776581,163.727819,112.403351,1.042311,-66.343710,356.305540,6.283160
0.020000,177.781081,163.727819,112.407851,0.225012,-40.864945,1273.938242,0.000000
0.020000,177.781081,163.727819,112.407851,0.000000,-11.250621,1480.716182,0.000000
