dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.036890,161.978543,0.007865,0.786502,39.325107,1966.255344,0.000545
0.020000,66.036890,161.978543,0.039325,2.359506,78.650214,1966.255344,0.000381
0.020000,66.036890,161.978543,0.102245,3.932511,78.650214,-0.000000,0.000055
0.020000,66.120689,161.978524,0.196626,5.505515,78.650214,0.000000,6.282751
0.020000,66.246529,161.978429,0.322466,7.078519,78.650214,0.000000,6.282100
0.020000,66.403830,161.978194,0.479766,8.651524,78.650214,-0.000000,6.281288
0.020000,66.592589,161.977744,0.668527,10.224528,78.650214,0.000000,6.280317
0.020000,66.812809,161.976988,0.888747,11.797532,78.650214,-0.000000,6.279188
0.020000,67.064487,161.975820,1.140428,13.370536,78.650214,0.000000,6.277902
0.020000,67.347623,161.974120,1.423569,14.943541,78.650214,-0.000000,6.276462
0.020000,67.662215,161.971754,1.738170,16.516545,78.650214,0.000000,6.274869
0.020000,68.008261,161.968575,2.084231,18.089549,78.650214,0.000000,6.273128
0.020000,68.385759,161.964421,2.461752,19.662553,78.650214,-0.000000,6.271240
0.020000,68.794706,161.959120,2.870733,21.235558,78.650214,0.000000,6.269208
0.020000,69.235097,161.952485,3.311174,22.808562,78.650214,-0.000000,6.267036
0.020000,69.706927,161.944319,3.783075,24.381566,78.650214,0.000000,6.264728
0.020000,70.210191,161.934414,4.286437,25.954571,78.650214,-0.000000,6.262287
0.020000,70.744881,161.922549,4.821258,27.527575,78.650214,0.000000,6.259717
0.020000,71.310987,161.908497,5.387540,29.100579,78.650214,0.000000,6.257024
0.020000,71.908502,161.892020,5.985281,30.673583,78.650214,-0.000000,6.254212
0.020000,72.537412,161.872870,6.614483,32.246588,78.650214,0.000000,6.251285
0.020000,73.197704,161.850794,7.275145,33.819592,78.650214,0.000000,6.248251
0.020000,73.889365,161.825533,7.967267,35.392596,78.650214,0.000000,6.245113
0.020000,74.612376,161.796819,8.690849,36.965600,78.650214,0.000000,6.241879
