dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.043835,149.228545,0.007865,0.786502,39.325107,1966.255344,0.000545
0.020000,66.041752,149.228544,0.009948,0.104143,-34.117934,-3672.152065,0.000381
0.020000,66.037590,149.228543,0.014110,0.208123,5.198978,1965.845623,0.000055
0.020000,66.115153,149.228526,0.091674,3.878167,183.502184,8915.160295,6.282751
0.020000,66.232694,149.228436,0.209215,5.877041,99.943733,-4177.922527,6.282100
0.020000,66.379644,149.228217,0.356165,7.347519,73.523898,-1320.991760,6.281288
0.020000,66.556019,149.227797,0.532540,8.818749,73.561474,1.878777,6.280317
0.020000,66.761837,149.227090,0.738360,10.290991,73.612100,2.531337,6.279188
0.020000,66.997121,149.225998,0.973646,11.764329,73.666890,2.739469,6.277902
0.020000,67.261896,149.224408,1.238426,13.238985,73.732833,3.297133,6.276462
0.020000,67.556189,149.222195,1.532727,14.715062,73.803837,3.550200,6.274869
0.020000,67.880031,149.219220,1.856583,16.192786,73.886194,4.117876,6.273128
0.020000,68.233456,149.215331,2.210029,17.672295,73.975442,4.462390,6.271240
0.020000,68.616500,149.210365,2.593105,19.153820,74.076257,5.040738,6.269208
0.020000,69.029202,149.204148,3.005854,20.637451,74.181570,5.265689,6.267036
0.020000,69.471605,149.196491,3.448323,22.123430,74.298920,5.867460,6.264728
0.020000,69.943751,149.187198,3.920561,23.611886,74.422838,6.195931,6.262287
0.020000,70.445689,149.176060,4.422623,25.103102,74.560756,6.895882,6.259717
0.020000,70.977468,149.162860,4.954565,26.597133,74.701564,7.040391,6.257024
0.020000,71.539140,149.147371,5.516450,28.094241,74.855428,7.693204,6.254212
0.020000,72.130758,149.129357,6.108342,29.594620,75.018913,8.174246,6.251285
0.020000,72.752379,149.108574,6.730311,31.098417,75.189893,8.549033,6.248251
0.020000,73.404061,149.084772,7.382428,32.605849,75.371570,9.083844,6.245113
0.020000,74.085866,149.057695,8.064770,34.117114,75.563250,9.584001,6.241879
0.020000,74.797856,149.027079,8.777418,35.632403,75.764478,10.061378,6.238554
0.020000,75.540097,148.992658,9.520456,37.151909,75.975275,10.539859,6.235145
0.020000,76.312655,148.954162,10.293973,38.675824,76.195772,11.024865,6.231659
0.020000,77.115599,148.911316,11.098060,40.204350,76.426266,11.524675,6.228103
0.020000,77.949002,148.863846,11.932813,41.737671,76.666089,11.991160,6.224485
0.020000,78.812936,148.811477,12.798333,43.275990,76.915932,12.492142,6.220813
0.020000,79.707477,148.753934,13.694723,44.819498,77.175401,12.973477,6.217094
0.020000,80.632703,148.690943,14.622091,46.368406,77.445377,13.498760,6.213338
0.020000,81.588695,148.622234,15.580549,47.922872,77.723330,13.897688,6.209552
0.020000,82.575534,148.547542,16.570211,49.483103,78.011513,14.409155,6.205747
0.020000,83.593307,148.466606,17.591197,51.049295,78.309645,14.906556,6.201931
0.020000,84.642101,148.379173,18.643629,52.621610,78.615720,15.303747,6.198114
0.020000,85.722008,148.284998,19.727634,54.200247,78.931868,15.807421,6.194305
0.020000,86.833120,148.183846,20.843341,55.785378,79.256564,16.234818,6.190516
0.020000,87.975537,148.075495,21.990885,57.377182,79.590201,16.681835,6.186756
0.020000,89.149360,147.959733,23.170401,58.975831,79.932422,17.111067,6.183036
0.020000,90.354692,147.836365,24.382031,60.581495,80.283186,17.538171,6.179368
0.020000,91.591646,147.705213,25.625918,62.194343,80.642424,17.961935,6.175762
0.020000,92.860334,147.566114,26.902209,63.814534,81.009546,18.356054,6.172230
0.020000,94.160876,147.418928,28.211054,65.442239,81.385265,18.785988,6.168784
0.020000,95.493399,147.263535,29.552606,67.077613,81.768677,19.170593,6.165435
0.020000,96.858032,147.099839,30.927022,68.720813,82.160014,19.566850,6.162197
0.020000,98.254914,146.927771,32.334462,70.372000,82.559347,19.966629,6.159082
0.020000,99.684190,146.747287,33.775089,72.031330,82.966497,20.357517,6.156101
0.020000,101.146013,146.558375,35.249068,73.698954,83.381179,20.734120,6.153270
0.020000,102.640544,146.361054,36.756569,75.375035,83.804068,21.144428,6.150600
0.020000,104.167953,146.155376,38.297763,77.059721,84.234320,21.512574,6.148105
0.020000,105.728418,145.941431,39.872827,78.753177,84.672802,21.924108,6.145799
0.020000,107.322130,145.719346,41.481938,80.455570,85.119610,22.340423,6.143696
0.020000,108.949288,145.489290,43.125279,82.167053,85.574173,22.728165,6.141810
0.020000,110.610104,145.251475,44.803035,83.887803,86.037519,23.167265,6.140156
0.020000,112.304801,145.006159,46.515395,85.617989,86.509284,23.588252,6.138749
0.020000,114.033613,144.753650,48.262551,87.357789,86.989978,24.034712,6.137603
0.020000,115.796790,144.494306,50.044698,89.107388,87.479982,24.500223,6.136734
0.020000,117.594592,144.228540,51.862038,90.866978,87.979459,24.973849,6.136158
0.020000,119.419520,143.957977,53.706914,92.243789,68.840564,-956.944756,6.135891
0.020000,121.253210,143.685913,55.560677,92.688152,22.218146,-2331.120898,6.135943
0.020000,123.077138,143.415691,57.404514,92.191857,-24.814720,-2351.643327,6.136311
0.020000,124.878677,143.149744,59.225577,91.053150,-56.935359,-1606.031952,6.136983
0.020000,126.652925,142.889305,61.018838,89.663047,-69.505156,-628.489828,6.137942
0.020000,128.399750,142.634846,62.784098,88.263028,-70.000953,-24.789841,6.139172
0.020000,130.119012,142.386786,64.521164,86.853280,-70.487393,-24.322040,6.140658
0.020000,131.810570,142.145499,66.229844,85.433987,-70.964650,-23.862847,6.142385
0.020000,133.474274,141.911310,67.909950,84.005324,-71.433147,-23.424823,6.144338
0.020000,135.109973,141.684499,69.561300,82.567463,-71.893052,-22.995275,6.146504
0.020000,136.717509,141.465303,71.183711,81.120570,-72.344641,-22.579423,6.148867
0.020000,138.296721,141.253919,72.777007,79.664809,-72.788042,-22.170076,6.151414
0.020000,139.847443,141.050504,74.341014,78.200340,-73.223466,-21.771208,6.154132
0.020000,141.369508,140.855176,75.875561,76.727333,-73.650372,-21.345260,6.157006
0.020000,142.862743,140.668019,77.380479,75.245925,-74.070400,-21.001434,6.160024
0.020000,144.326976,140.489082,78.855605,73.756283,-74.482108,-20.585404,6.163173
0.020000,145.762030,140.318382,80.300776,72.258568,-74.885744,-20.181792,6.166440
0.020000,147.167730,140.155906,81.715835,70.752923,-75.282210,-19.823278,6.169813
0.020000,148.543898,140.001611,83.100625,69.239520,-75.670190,-19.398987,6.173279
0.020000,149.890356,139.855427,84.454995,67.718508,-76.050568,-19.018935,6.176827
0.020000,151.206927,139.717260,85.778796,66.190051,-76.422875,-18.615351,6.180444
0.020000,152.493434,139.586989,87.071882,64.654313,-76.786868,-18.199637,6.184120
0.020000,153.749704,139.464475,88.334112,63.111459,-77.142703,-17.791740,6.187843
0.020000,154.975562,139.349556,89.565345,61.561657,-77.490096,-17.369660,6.191603
0.020000,156.170839,139.242052,90.765446,60.005079,-77.828934,-16.941917,6.195389
0.020000,157.335367,139.141766,91.934284,58.441899,-78.159008,-16.503668,6.199189
0.020000,158.468981,139.048485,93.071730,56.872295,-78.480194,-16.059342,6.202996
0.020000,159.571522,138.961982,94.177659,55.296441,-78.792710,-15.625765,6.206797
0.020000,160.642832,138.882020,95.251950,53.714530,-79.095533,-15.141144,6.210585
0.020000,161.682761,138.808348,96.294484,52.126735,-79.389733,-14.710031,6.214350
0.020000,162.691160,138.740708,97.305149,50.533259,-79.673801,-14.203366,6.218082
0.020000,163.667887,138.678834,98.283835,48.934269,-79.949502,-13.785053,6.221774
0.020000,164.612806,138.622453,99.230435,47.329982,-80.214353,-13.242546,6.225416
0.020000,165.525786,138.571290,100.144846,45.720579,-80.470143,-12.789510,6.229002
0.020000,166.406698,138.525063,101.026971,44.106241,-80.716908,-12.338242,6.232523
0.020000,167.255425,138.483490,101.876715,42.487192,-80.952437,-11.776495,6.235971
0.020000,168.071849,138.446289,102.693987,40.863591,-81.180062,-11.381207,6.239340
0.020000,168.855864,138.413178,103.478700,39.235666,-81.396242,-10.809013,6.242623
0.020000,169.607365,138.383877,104.230772,37.603597,-81.603466,-10.361202,6.245813
0.020000,170.326255,138.358108,104.950124,35.967582,-81.800769,-9.865141,6.248905
0.020000,171.012442,138.335600,105.636680,34.327805,-81.988817,-9.402423,6.251891
0.020000,171.665840,138.316084,106.290370,32.684497,-82.165394,-8.828820,6.254768
0.020000,172.286369,138.299301,106.911125,31.037768,-82.336456,-8.553138,6.257528
0.020000,172.873953,138.284997,107.498883,29.387901,-82.493372,-7.845799,6.260169
0.020000,173.428521,138.272927,108.053583,27.735000,-82.645020,-7.582399,6.262683
0.020000,173.950011,138.262856,108.575170,26.079358,-82.782098,-6.853874,6.265069
0.020000,174.438361,138.254557,109.063591,24.421029,-82.916483,-6.719252,6.267320
0.020000,174.893517,138.247815,109.518797,22.760305,-83.036180,-5.984849,6.269434
0.020000,175.315428,138.242429,109.940742,21.097264,-83.152061,-5.794077,6.271406
0.020000,175.704050,138.238206,110.329386,19.432212,-83.252591,-5.026473,6.273234
0.020000,176.059339,138.234969,110.684691,17.765210,-83.350121,-4.876500,6.274915
0.020000,176.381260,138.232552,111.006620,16.096482,-83.436407,-4.314333,6.276446
0.020000,176.669778,138.230806,111.295144,14.426196,-83.514289,-3.894059,6.277824
0.020000,176.924866,138.229595,111.550234,12.754513,-83.584161,-3.493602,6.279047
0.020000,177.146496,138.228795,111.771866,11.081567,-83.647297,-3.156823,6.280113
0.020000,177.334647,138.228303,111.960018,9.407600,-83.698347,-2.552493,6.281021
0.020000,177.489301,138.228026,112.114672,7.732713,-83.744360,-2.300661,6.281769
0.020000,177.610443,138.227890,112.235814,6.057101,-83.780600,-1.811968,6.282356
0.020000,177.698061,138.227836,112.323432,4.380910,-83.809520,-1.446010,6.282782
0.020000,177.752147,138.227821,112.377518,2.704299,-83.830549,-1.051452,6.283045
0.020000,177.775944,138.227819,112.401315,1.189836,-75.723139,405.370515,6.283160
0.020000,177.781081,138.227819,112.406452,0.256867,-46.648451,1453.734391,0.000000
0.020000,177.781081,138.227819,112.406452,0.000000,-12.843370,1690.254058,0.000000
