dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.885913,175.886512,0.005334,0.533353,26.667646,1333.382299,6.282637
0.020000,64.884276,175.886512,0.006970,0.081838,-22.575761,-2462.170362,6.282765
0.020000,64.881004,175.886513,0.010242,0.163577,4.086942,1333.135142,6.283022
0.020000,64.912894,175.886517,0.042132,1.594489,71.545603,3372.933053,0.000221
0.020000,64.991703,175.886555,0.120940,3.940440,117.297565,2287.598106,0.000733
0.020000,65.090229,175.886659,0.219466,4.926280,49.292025,-3400.277010,0.001372
0.020000,65.208480,175.886866,0.337718,5.912583,49.315133,1.155443,0.002137
0.020000,65.346469,175.887222,0.475707,6.899471,49.344381,1.462391,0.003027
0.020000,65.504208,175.887780,0.633447,7.887017,49.377320,1.646949,0.004041
0.020000,65.681714,175.888598,0.810955,8.875378,49.418027,2.035326,0.005178
0.020000,65.879003,175.889744,1.008247,9.864614,49.461817,2.189516,0.006437
0.020000,66.096093,175.891291,1.225343,10.854792,49.508879,2.353117,0.007816
0.020000,66.333006,175.893321,1.462264,11.846050,49.562938,2.702917,0.009313
0.020000,66.589762,175.895919,1.719034,12.838495,49.622235,2.964879,0.010927
0.020000,66.866388,175.899181,1.995679,13.832244,49.687456,3.261029,0.012655
0.020000,67.162908,175.903207,2.292226,14.827369,49.756254,3.439905,0.014495
0.020000,67.479350,175.908103,2.608706,15.823975,49.830286,3.701584,0.016445
0.020000,67.815743,175.913982,2.945150,16.822217,49.912125,4.091971,0.018503
0.020000,68.172118,175.920963,3.301593,17.822166,49.997447,4.266070,0.020665
0.020000,68.548507,175.929169,3.678072,18.823934,50.088395,4.547406,0.022930
0.020000,68.944945,175.938731,4.074625,19.827663,50.186431,4.901803,0.025293
0.020000,69.361466,175.949781,4.491293,20.833397,50.286726,5.014787,0.027751
0.020000,69.798109,175.962460,4.928120,21.841325,50.396397,5.483553,0.030302
0.020000,70.254911,175.976911,5.385151,22.851547,50.511090,5.734645,0.032942
0.020000,70.731913,175.993282,5.862434,23.864154,50.630325,5.961730,0.035666
0.020000,71.229156,176.011724,6.360019,24.879242,50.754427,6.205120,0.038471
0.020000,71.746684,176.032392,6.877959,25.897021,50.888966,6.726929,0.041354
0.020000,72.284541,176.055445,7.416309,26.917507,51.024276,6.765517,0.044308
0.020000,72.842771,176.081043,7.975127,27.940864,51.167868,7.179571,0.047331
0.020000,73.421424,176.109349,8.554471,28.967240,51.318760,7.544623,0.050417
0.020000,74.020547,176.140527,9.154405,29.996679,51.471987,7.661328,0.053561
0.020000,74.640191,176.174744,9.774992,31.029380,51.635011,8.151217,0.056758
0.020000,75.280406,176.212166,10.416301,32.065410,51.801527,8.325813,0.060004
0.020000,75.941246,176.252961,11.078399,33.104918,51.975413,8.694305,0.063293
0.020000,76.622766,176.297296,11.761359,34.147986,52.153365,8.897577,0.066618
0.020000,77.325020,176.345336,12.465254,35.194777,52.339544,9.308955,0.069975
0.020000,78.048066,176.397248,13.190162,36.245371,52.529700,9.507816,0.073357
0.020000,78.791963,176.453193,13.936160,37.299899,52.726439,9.836913,0.076758
0.020000,79.556772,176.513332,14.703329,38.358484,52.929245,10.140328,0.080172
0.020000,80.342555,176.577823,15.491754,39.421219,53.136738,10.374629,0.083592
0.020000,81.149375,176.646820,16.301519,40.488238,53.350966,10.711424,0.087011
0.020000,81.977298,176.720472,17.132711,41.559634,53.569770,10.940175,0.090424
0.020000,82.826392,176.798922,17.985422,42.635527,53.794677,11.245374,0.093821
0.020000,83.696727,176.882309,18.859742,43.716017,54.024470,11.489657,0.097198
0.020000,84.588374,176.970764,19.755766,44.801215,54.259939,11.773449,0.100545
0.020000,85.501409,177.064411,20.673591,45.891224,54.500413,12.023673,0.103855
0.020000,86.435907,177.163367,21.613314,46.986146,54.746119,12.285311,0.107122
0.020000,87.391948,177.267739,22.575035,48.086082,54.996800,12.534064,0.110336
0.020000,88.369615,177.377622,23.558858,49.191134,55.252595,12.789717,0.113490
0.020000,89.368993,177.493105,24.564886,50.301395,55.513068,13.023658,0.116576
0.020000,90.390170,177.614262,25.593225,51.416969,55.778699,13.281556,0.119585
0.020000,91.433239,177.741156,26.643984,52.537945,56.048795,13.504794,0.122509
0.020000,92.498295,177.873836,27.717273,53.664426,56.324048,13.762649,0.125339
0.020000,93.585438,178.012337,28.813203,54.796499,56.603658,13.980533,0.128067
0.020000,94.694772,178.156679,29.931888,55.934265,56.888305,14.232312,0.130683
0.020000,95.826406,178.306866,31.073444,57.077816,57.177533,14.461424,0.133179
0.020000,96.980452,178.462883,32.237989,58.227244,57.471393,14.693011,0.135545
0.020000,98.157030,178.624699,33.425642,59.382648,57.770222,14.941413,0.137771
0.020000,99.356262,178.792262,34.636525,60.544121,58.073641,15.170943,0.139849
