dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.872115,150.386515,0.007794,0.779378,38.968908,1948.445421,6.282652
0.020000,64.874506,150.386514,0.010185,0.119571,-32.990350,-3597.962942,6.282839
0.020000,64.884058,150.386514,0.019736,0.477562,17.899521,2544.493558,0.000029
0.020000,64.984741,150.386545,0.120419,5.034144,227.829137,10496.480790,0.000590
0.020000,65.118966,150.386674,0.254645,6.711274,83.856464,-7198.633619,0.001337
0.020000,65.286716,150.386977,0.422395,8.387496,83.811114,-2.267503,0.002268
0.020000,65.487970,150.387545,0.623650,10.062771,83.763733,-2.369057,0.003382
0.020000,65.722704,150.388491,0.858385,11.736768,83.699894,-3.191941,0.004677
0.020000,65.990887,150.389943,1.126572,13.409340,83.628577,-3.565845,0.006151
0.020000,66.292484,150.392047,1.428177,15.080220,83.544018,-4.227974,0.007800
0.020000,66.627455,150.394966,1.763161,16.749209,83.449447,-4.728551,0.009622
0.020000,66.995757,150.398877,2.131484,18.416144,83.346735,-5.135572,0.011614
0.020000,67.397339,150.403975,2.533098,20.080703,83.227929,-5.940303,0.013772
0.020000,67.832145,150.410469,2.967953,21.742739,83.101828,-6.305081,0.016092
0.020000,68.300114,150.418580,3.435992,23.401948,82.960466,-7.068091,0.018569
0.020000,68.801179,150.428546,3.937156,25.058216,82.813387,-7.353943,0.021200
0.020000,69.335266,150.440614,4.471379,26.711172,82.647784,-8.280161,0.023978
0.020000,69.902296,150.455042,5.038593,28.360685,82.475654,-8.606465,0.026898
0.020000,70.502182,150.472102,5.638721,30.006411,82.286300,-9.467713,0.029955
0.020000,71.134831,150.492070,6.271685,31.648184,82.088656,-9.882204,0.033142
0.020000,71.800142,150.515233,6.937399,33.285704,81.876015,-10.632029,0.036453
0.020000,72.498009,150.541884,7.635775,34.918805,81.655053,-11.048122,0.039881
0.020000,73.228318,150.572321,8.366718,36.547122,81.415831,-11.961086,0.043417
0.020000,73.990946,150.606847,9.130127,38.170497,81.168728,-12.355187,0.047055
0.020000,74.785766,150.645765,9.925899,39.788596,80.904953,-13.188732,0.050786
0.020000,75.612641,150.689381,10.753924,41.401233,80.631870,-13.654161,0.054601
0.020000,76.471428,150.738000,11.614086,43.008111,80.343913,-14.397816,0.058492
0.020000,77.361977,150.791923,12.506266,44.608994,80.044127,-14.989310,0.062449
0.020000,78.284130,150.851451,13.430339,46.203620,79.731312,-15.640757,0.066463
0.020000,79.237723,150.916874,14.386173,47.791737,79.405829,-16.274153,0.070522
0.020000,80.222586,150.988479,15.373636,49.373119,79.069124,-16.835274,0.074617
0.020000,81.238541,151.066541,16.392585,50.947481,78.718091,-17.551610,0.078736
0.020000,82.285405,151.151325,17.442877,52.514603,78.356126,-18.098276,0.082869
0.020000,83.362991,151.243082,18.524362,54.074244,77.982001,-18.706226,0.087002
0.020000,84.471103,151.342049,19.636885,55.626158,77.595729,-19.313595,0.091125
0.020000,85.609545,151.448445,20.780288,57.170119,77.198041,-19.884397,0.095225
0.020000,86.778113,151.562471,21.954406,58.705894,76.788743,-20.464929,0.099289
0.020000,87.976601,151.684307,23.159071,60.233262,76.368392,-21.017519,0.103304
0.020000,89.204801,151.814109,24.394111,61.751999,75.936875,-21.575865,0.107256
0.020000,90.462501,151.952008,25.659349,63.261892,75.494666,-22.110478,0.111131
0.020000,91.749490,152.098110,26.954603,64.762726,75.041674,-22.649575,0.114915
0.020000,93.065552,152.252491,28.279689,66.254292,74.578281,-23.169647,0.118594
0.020000,94.410474,152.415193,29.634417,67.736385,74.104695,-23.679285,0.122153
0.020000,95.784042,152.586230,31.018593,69.208799,73.620681,-24.200702,0.125576
0.020000,97.186044,152.765577,32.432019,70.671335,73.126772,-24.695485,0.128848
0.020000,98.616269,152.953173,33.874495,72.123783,72.622424,-25.217383,0.131954
0.020000,100.074509,153.148918,35.345814,73.565952,72.108453,-25.698533,0.134877
0.020000,101.560558,153.352669,36.845767,74.997634,71.584111,-26.217118,0.137600
0.020000,103.074216,153.564242,38.374139,76.418619,71.049212,-26.744949,0.140107
0.020000,104.615284,153.783405,39.930713,77.828708,70.504451,-27.238074,0.142381
0.020000,106.183569,154.009879,41.515267,79.227680,69.948624,-27.791351,0.144404
0.020000,107.778885,154.243336,43.127573,80.615324,69.382175,-28.322454,0.146159
0.020000,109.401046,154.483394,44.767402,81.991407,68.804151,-28.901200,0.147628
0.020000,111.049877,154.729618,46.434516,83.355702,68.214797,-29.467661,0.148791
0.020000,112.725205,154.981516,48.128675,84.707971,67.613423,-30.068718,0.149630
0.020000,114.419139,155.237369,49.841822,85.657359,47.469378,-1007.202234,0.150125
0.020000,116.109384,155.493210,51.551320,85.474887,-9.123595,-2829.648677,0.150261
0.020000,117.773885,155.745085,53.234770,84.172515,-65.118577,-2799.749060,0.150044
0.020000,119.404325,155.991159,54.883675,82.445239,-86.363783,-1062.260349,0.149489
0.020000,121.000104,156.230836,56.497353,80.683910,-88.066467,-85.134153,0.148617
0.020000,122.561521,156.463720,58.076042,78.934429,-87.474051,29.620775,0.147445
0.020000,124.088859,156.689471,59.619973,77.196552,-86.893862,29.009456,0.145993
0.020000,125.582385,156.907806,61.129374,75.470044,-86.325386,28.423809,0.144277
0.020000,127.042355,157.118493,62.604467,73.754674,-85.768522,27.843180,0.142316
0.020000,128.469009,157.321350,64.045472,72.050222,-85.222568,27.297692,0.140126
0.020000,129.862577,157.516238,65.452601,70.356464,-84.687904,26.733218,0.137725
0.020000,131.223275,157.703062,66.826065,68.673188,-84.163816,26.204408,0.135128
0.020000,132.551309,157.881767,68.166069,67.000192,-83.649819,25.699832,0.132352
0.020000,133.846875,158.052333,69.472814,65.337252,-83.146986,25.141654,0.129412
0.020000,135.110157,158.214777,70.746497,63.684170,-82.654112,24.643719,0.126325
0.020000,136.341332,158.369145,71.987312,62.040746,-82.171164,24.147378,0.123104
0.020000,137.540568,158.515515,73.195447,60.406761,-81.699285,23.593974,0.119766
0.020000,138.708024,158.653991,74.371087,58.782014,-81.237331,23.097693,0.116324
0.020000,139.843854,158.784700,75.514413,57.166301,-80.785671,22.582996,0.112793
0.020000,140.948203,158.907793,76.625601,55.559401,-80.344966,22.035266,0.109187
0.020000,142.021211,159.023442,77.704824,53.961108,-79.914672,21.514660,0.105518
0.020000,143.063011,159.131837,78.752248,52.371203,-79.495246,20.971297,0.101800
0.020000,144.073732,159.233182,79.768037,50.789466,-79.086845,20.420050,0.098047
0.020000,145.053498,159.327697,80.752350,49.215674,-78.689606,19.861991,0.094270
0.020000,146.002425,159.415615,81.705342,47.649602,-78.303568,19.301876,0.090481
0.020000,146.920630,159.497179,82.627163,46.091018,-77.929222,18.717300,0.086693
0.020000,147.808222,159.572640,83.517957,44.539685,-77.566664,18.127913,0.082916
0.020000,148.665307,159.642257,84.377864,42.995377,-77.215404,17.562967,0.079162
0.020000,149.491987,159.706296,85.207021,41.457844,-76.876612,16.939635,0.075441
0.020000,150.288362,159.765023,86.005558,39.926855,-76.549450,16.358105,0.071764
0.020000,151.054526,159.818711,86.773601,38.402150,-76.235280,15.708503,0.068140
0.020000,151.790572,159.867631,87.511271,36.883504,-75.932299,15.149011,0.064579
0.020000,152.496589,159.912057,88.218684,35.370649,-75.642769,14.476518,0.061090
0.020000,153.172662,159.952257,88.895951,33.863360,-75.364413,13.917816,0.057682
0.020000,153.818873,159.988501,89.543178,32.361354,-75.100329,13.204178,0.054363
0.020000,154.435303,160.021052,90.160467,30.864425,-74.846431,12.694925,0.051141
0.020000,155.022027,160.050169,90.747912,29.372280,-74.607268,11.958108,0.048023
0.020000,155.579117,160.076106,91.305607,27.884719,-74.378021,11.462354,0.045017
0.020000,156.106645,160.099109,91.833636,26.401448,-74.163562,10.722977,0.042130
0.020000,156.604677,160.119415,92.332081,24.922260,-73.959409,10.207640,0.039367
0.020000,157.073275,160.137256,92.801019,23.446883,-73.768860,9.527459,0.036735
0.020000,157.512500,160.152850,93.240521,21.975100,-73.589134,8.986294,0.034239
0.020000,157.922409,160.166409,93.650654,20.506667,-73.421656,8.373916,0.031885
0.020000,158.303055,160.178130,94.031480,19.041306,-73.268042,7.680664,0.029678
0.020000,158.654488,160.188202,94.383057,17.578850,-73.122811,7.261546,0.027622
0.020000,158.976753,160.196799,94.705437,16.119006,-72.992189,6.531120,0.025721
0.020000,159.269895,160.204086,94.998670,14.661616,-72.869519,6.133525,0.023978
0.020000,159.533951,160.210210,95.262797,13.206360,-72.762788,5.336535,0.022399
0.020000,159.768957,160.215309,95.497858,11.753072,-72.664414,4.918693,0.020984
0.020000,159.974946,160.219503,95.703889,10.301565,-72.575322,4.454592,0.019738
0.020000,160.151944,160.222902,95.880920,8.851533,-72.501606,3.685819,0.018663
0.020000,160.299975,160.225599,96.028976,7.402805,-72.436384,3.261112,0.017760
0.020000,160.419061,160.227670,96.148080,5.955196,-72.380451,2.796645,0.017031
0.020000,160.509217,160.229181,96.238249,4.508425,-72.338555,2.094790,0.016478
0.020000,160.570455,160.230179,96.299495,3.062311,-72.305732,1.641145,0.016102
0.020000,160.602785,160.230696,96.331829,1.616683,-72.281405,1.216322,0.015903
0.020000,160.612579,160.230851,96.341624,0.489786,-56.344833,796.828600,0.015843
0.020000,160.613435,160.230865,96.342481,0.042812,-22.348681,1699.807626,0.015837
0.020000,160.613435,160.230865,96.342481,0.000000,-2.140611,1010.403493,0.015837
