dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.443833,310.788547,0.007855,0.785468,39.273403,1963.670175,6.267466
0.020000,5.445555,310.788520,0.009577,0.086094,-34.968691,-3712.104733,6.267331
0.020000,5.448999,310.788465,0.013022,0.172259,4.308258,1963.847440,6.267061
0.020000,5.486300,310.787851,0.050327,1.865261,84.650094,4017.091835,6.266655
0.020000,5.618855,310.785624,0.182901,6.628703,238.172095,7676.100056,6.266114
0.020000,5.784567,310.782738,0.348639,8.286885,82.909092,-7763.150176,6.265436
0.020000,5.983438,310.779127,0.547542,9.945163,82.913907,0.240765,6.264621
0.020000,6.215484,310.774708,0.779630,11.604409,82.962283,2.418801,6.263668
0.020000,6.480697,310.769386,1.044897,13.263336,82.946343,-0.797015,6.262576
0.020000,6.779115,310.763051,1.343382,14.924241,83.045282,4.946930,6.261343
0.020000,7.110733,310.755579,1.675084,16.585120,83.043937,-0.067225,6.259970
0.020000,7.475570,310.746831,2.040026,18.247092,83.098610,2.733637,6.258453
0.020000,7.873638,310.736654,2.438224,19.909899,83.140319,2.085444,6.256792
0.020000,8.304975,310.724877,2.869722,21.574889,83.249520,5.460048,6.254984
0.020000,8.769573,310.711317,3.334518,23.239795,83.245278,-0.212070,6.253029
0.020000,9.267463,310.695773,3.832650,24.906624,83.341460,4.809114,6.250922
0.020000,9.798669,310.678029,4.364152,26.575118,83.424700,4.161964,6.248663
0.020000,10.363208,310.657851,4.929052,28.244991,83.493644,3.447215,6.246249
0.020000,10.961091,310.634988,5.527371,29.915958,83.548383,2.736968,6.243678
0.020000,11.592362,310.609172,6.159170,31.589929,83.698520,7.506846,6.240945
0.020000,12.257023,310.580117,6.824466,33.264825,83.744798,2.313868,6.238050
0.020000,12.955102,310.547518,7.523306,34.941986,83.858070,5.663591,6.234987
0.020000,13.686616,310.511049,8.255729,36.621130,83.957187,4.955864,6.231754
0.020000,14.451601,310.470366,9.021794,38.303275,84.107236,7.502452,6.228348
0.020000,15.250055,310.425103,9.821531,39.986817,84.177132,3.494796,6.224764
0.020000,16.082013,310.374875,10.655003,41.673619,84.340069,8.146849,6.220999
0.020000,16.947490,310.319270,11.522265,43.363081,84.473109,6.652003,6.217048
0.020000,17.846503,310.257859,12.423373,45.055395,84.615694,7.129273,6.212907
0.020000,18.779050,310.190184,13.358372,46.749971,84.728811,5.655839,6.208572
0.020000,19.745162,310.115765,14.327346,48.448681,84.935493,10.334080,6.204036
0.020000,20.744830,310.034095,15.330345,50.149957,85.063812,6.415964,6.199296
0.020000,21.778061,309.944643,16.367441,51.854795,85.241893,8.904061,6.194345
0.020000,22.844852,309.846846,17.438704,53.563187,85.419591,8.884892,6.189179
0.020000,23.945205,309.740114,18.544222,55.275896,85.635482,10.794530,6.183791
0.020000,25.079096,309.623829,19.684060,56.991897,85.800019,8.226872,6.178175
0.020000,26.246506,309.497339,20.858303,58.712144,86.012391,10.618580,6.172325
0.020000,27.447407,309.359962,22.067036,60.436625,86.224016,10.581291,6.166234
0.020000,28.681759,309.210981,23.310347,62.165549,86.446196,11.108984,6.159895
0.020000,29.949520,309.049645,24.588332,63.899254,86.685244,11.952416,6.153301
0.020000,31.250627,308.875165,25.901085,65.637688,86.921701,11.822820,6.146444
0.020000,32.585002,308.686717,27.248701,67.380793,87.155269,11.678419,6.139317
0.020000,33.952564,308.483438,28.631289,69.129410,87.430828,13.777950,6.131911
0.020000,35.353204,308.264422,30.048950,70.883015,87.680274,12.472292,6.124219
0.020000,36.786804,308.028725,31.501796,72.642296,87.964060,14.189314,6.116231
0.020000,38.253215,307.775359,32.989934,74.406909,88.230636,13.328800,6.107939
0.020000,39.752269,307.503291,34.513477,76.177171,88.513123,14.124351,6.099335
0.020000,41.283791,307.211442,36.072558,77.954061,88.844470,16.567309,6.090408
0.020000,42.847543,306.898690,37.667279,79.736035,89.098688,12.710939,6.081149
0.020000,44.443285,306.563863,39.297771,81.524571,89.426843,16.407728,6.071549
0.020000,46.070733,306.205739,40.964156,83.319275,89.735176,15.416659,6.061598
0.020000,47.729558,305.823053,42.666551,85.119763,90.024420,14.462200,6.051287
0.020000,49.419414,305.414480,44.405098,86.927314,90.377542,17.656121,6.040605
0.020000,51.139880,304.978656,46.179906,88.740426,90.655571,13.901403,6.029542
0.020000,52.890501,304.514161,47.991102,90.559783,90.967850,15.613966,6.018090
0.020000,54.670775,304.019525,49.838814,92.385623,91.292015,16.208278,6.006238
0.020000,56.480124,303.493234,51.723151,94.216834,91.560573,13.427884,5.993978
0.020000,58.317924,302.933720,53.644236,96.054233,91.869909,15.466810,5.981299
0.020000,60.183478,302.339374,55.602178,97.897110,92.143892,13.699112,5.968194
0.020000,62.076005,301.708544,57.597073,99.744770,92.382984,11.954638,5.954655
0.020000,63.994658,301.039535,59.629018,101.597241,92.623522,12.026906,5.940674
0.020000,65.938498,300.330617,61.698095,103.453825,92.829201,10.283926,5.926245
0.020000,67.906500,299.580031,63.804374,105.313992,93.008387,8.959283,5.911362
0.020000,69.897543,298.785989,65.947912,107.176870,93.143865,6.773899,5.896021
