dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.043005,285.291697,0.007855,0.785468,39.273403,1963.670175,6.267466
0.020000,5.041283,285.291724,0.009577,0.086094,-34.968691,-3712.104733,6.267331
0.020000,5.037838,285.291780,0.013022,0.172259,4.308258,1963.847440,6.267061
0.020000,5.064796,285.291335,0.039984,1.348093,58.791691,2724.171650,6.266655
0.020000,5.183547,285.289340,0.158751,5.938392,229.514956,8536.163288,6.266114
0.020000,5.331977,285.286755,0.307203,7.422599,74.210351,-7765.230282,6.265436
0.020000,5.510068,285.283521,0.485324,8.906028,74.171418,-1.946652,6.264621
0.020000,5.717816,285.279565,0.693110,10.389281,74.162678,-0.437008,6.263668
0.020000,5.955189,285.274802,0.930530,11.871030,74.087452,-3.761276,6.262576
0.020000,6.222192,285.269134,1.197593,13.353151,74.106037,0.929256,6.261343
0.020000,6.518790,285.262451,1.494267,14.833666,74.025731,-4.015305,6.259970
0.020000,6.844964,285.254630,1.820534,16.313391,73.986282,-1.972450,6.258453
0.020000,7.200686,285.245535,2.176373,17.791908,73.925814,-3.023384,6.256792
0.020000,7.585947,285.235016,2.561777,19.270228,73.916039,-0.488762,6.254984
0.020000,8.000693,285.222911,2.976700,20.746131,73.795144,-6.044763,6.253029
0.020000,8.444901,285.209043,3.421124,22.221211,73.753976,-2.058411,6.250922
0.020000,8.918537,285.193222,3.895025,23.695031,73.691022,-3.147695,6.248663
0.020000,9.421558,285.175243,4.398367,25.167129,73.604892,-4.306503,6.246249
0.020000,9.953910,285.154886,4.931108,26.637039,73.495480,-5.470584,6.243678
0.020000,10.515565,285.131917,5.493233,28.106240,73.460076,-1.770181,6.240945
0.020000,11.106454,285.106087,6.084686,29.572661,73.321021,-6.952754,6.238050
0.020000,11.726524,285.077131,6.705431,31.037263,73.230123,-4.544892,6.234987
0.020000,12.375709,285.044767,7.355422,32.499560,73.114871,-5.762601,6.231754
0.020000,13.053955,285.008697,8.034627,33.960215,73.032715,-4.107810,6.228348
0.020000,13.761170,284.968607,8.742978,35.417557,72.867089,-8.281300,6.224764
0.020000,14.497290,284.924164,9.480437,36.872981,72.771220,-4.793472,6.220999
0.020000,15.262227,284.875020,10.246951,38.325696,72.635768,-6.772567,6.217048
0.020000,16.055889,284.820805,11.042463,39.775604,72.495369,-7.019978,6.212907
0.020000,16.878165,284.761133,11.866902,41.221909,72.315285,-9.004177,6.208572
0.020000,17.728964,284.695597,12.720221,42.665983,72.203662,-5.581180,6.204036
0.020000,18.608158,284.623770,13.602344,44.106154,72.008563,-9.754943,6.199296
0.020000,19.515624,284.545206,14.513205,45.543006,71.842614,-8.297424,6.194345
0.020000,20.451225,284.459436,15.452729,46.976232,71.661304,-9.065540,6.189179
