dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.500702,100.750000,0.005343,0.534251,26.712562,1335.628100,0.000055
0.020000,19.500354,100.750000,0.005690,0.017395,-25.842837,-2627.769945,0.000028
0.020000,19.520607,100.750000,0.025943,1.012632,49.761895,3780.236584,6.283159
0.020000,19.583677,100.749995,0.089013,3.153507,107.043751,2864.092795,6.283077
0.020000,19.667775,100.749982,0.173111,4.204891,52.569167,-2723.729195,6.282969
0.020000,19.772904,100.749952,0.278240,5.256457,52.578334,0.458349,6.282834
0.020000,19.899069,100.749897,0.404405,6.308254,52.589811,0.573848,6.282672
0.020000,20.046276,100.749808,0.551612,7.360325,52.603572,0.688075,6.282485
0.020000,20.214530,100.749672,0.719866,8.412718,52.619624,0.802612,6.282273
0.020000,20.403839,100.749477,0.909176,9.465477,52.637996,0.918580,6.282036
0.020000,20.614212,100.749208,1.119549,10.518650,52.658642,1.032312,6.281775
0.020000,20.845658,100.748849,1.350994,11.572282,52.681578,1.146762,6.281491
0.020000,21.098186,100.748382,1.603523,12.626419,52.706834,1.262799,6.281184
0.020000,21.371807,100.747790,1.877145,13.681106,52.734364,1.376500,6.280856
0.020000,21.666534,100.747051,2.171873,14.736390,52.764211,1.492368,6.280506
0.020000,21.982379,100.746147,2.487719,15.792317,52.796335,1.606198,6.280137
0.020000,22.319356,100.745054,2.824698,16.848932,52.830781,1.722310,6.279750
0.020000,22.677479,100.743751,3.182823,17.906283,52.867512,1.836531,6.279345
0.020000,23.056764,100.742214,3.562111,18.964413,52.906533,1.951054,6.278923
0.020000,23.457228,100.740420,3.962579,20.023371,52.947865,2.066634,6.278487
0.020000,23.878887,100.738344,4.384243,21.083201,52.991499,2.181662,6.278037
0.020000,24.321759,100.735961,4.827122,22.143949,53.037420,2.296044,6.277575
0.020000,24.785864,100.733247,5.291235,23.205662,53.085653,2.411675,6.277102
0.020000,25.271222,100.730177,5.776603,24.268385,53.136172,2.525965,6.276620
0.020000,25.777854,100.726726,6.283246,25.332165,53.188999,2.641355,6.276131
0.020000,26.305781,100.722871,6.811187,26.397048,53.244122,2.756126,6.275636
0.020000,26.855026,100.718586,7.360449,27.463079,53.301543,2.871048,6.275137
0.020000,27.425612,100.713851,7.931055,28.530304,53.361263,2.985988,6.274637
0.020000,28.017565,100.708641,8.523030,29.598770,53.423278,3.100775,6.274136
0.020000,28.630909,100.702936,9.136401,30.668521,53.487594,3.215799,6.273637
0.020000,29.265670,100.696716,9.771193,31.739605,53.554203,3.330432,6.273142
0.020000,29.921877,100.689964,10.427434,32.812068,53.623110,3.445367,6.272653
0.020000,30.599557,100.682662,11.105153,33.885954,53.694312,3.560095,6.272173
0.020000,31.298739,100.674797,11.804379,34.961310,53.767809,3.674862,6.271704
0.020000,32.019453,100.666355,12.525143,36.038182,53.843601,3.789596,6.271247
