dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.254322,303.839789,0.007802,0.780222,39.011090,1950.554482,0.019834
0.020000,14.248241,303.839667,0.013885,0.304143,-23.803954,-3140.752168,0.020311
0.020000,14.264480,303.840012,0.030128,0.812160,25.400880,2460.241684,0.021263
0.020000,14.339945,303.841671,0.105611,3.774146,148.099283,6134.920130,0.022686
0.020000,14.440684,303.844052,0.206378,5.038350,63.210204,-4244.453922,0.024574
0.020000,14.566799,303.847299,0.332535,6.307845,63.474725,13.226061,0.026918
0.020000,14.718418,303.851594,0.484215,7.583976,63.806563,16.591903,0.029708
0.020000,14.895691,303.857148,0.661575,8.868035,64.202952,19.819436,0.032932
0.020000,15.098796,303.864211,0.864803,10.161389,64.667686,23.236710,0.036574
0.020000,15.327934,303.873060,1.094112,11.465425,65.201815,26.706427,0.040619
0.020000,15.583328,303.884008,1.349740,12.781424,65.799965,29.907517,0.045047
0.020000,15.865226,303.897394,1.631955,14.110764,66.467012,33.352344,0.049838
0.020000,16.173896,303.913588,1.941050,15.454752,67.199365,36.617631,0.054968
0.020000,16.509632,303.932982,2.277346,16.814757,68.000241,40.043792,0.060413
0.020000,16.872743,303.955995,2.641185,18.191990,68.861696,43.072790,0.066145
0.020000,17.263562,303.983065,3.032941,19.587795,69.790220,46.426187,0.072135
0.020000,17.682442,304.014651,3.453010,21.003446,70.782563,49.617147,0.078353
0.020000,18.129750,304.051222,3.901811,22.440036,71.829479,52.345773,0.084764
0.020000,18.605875,304.093264,4.379788,23.898876,72.942031,55.627641,0.091336
0.020000,19.111219,304.141267,4.887407,25.380907,74.101515,57.974180,0.098030
0.020000,19.646200,304.195726,5.425152,26.887278,75.318544,60.851450,0.104808
0.020000,20.211253,304.257132,5.993533,28.419036,76.587917,63.468630,0.111632
0.020000,20.806829,304.325974,6.593074,29.977041,77.900259,65.617141,0.118460
0.020000,21.433389,304.402724,7.224317,31.562163,79.256081,67.791089,0.125249
0.020000,22.091412,304.487842,7.887823,33.175295,80.656624,70.027135,0.131955
0.020000,22.781394,304.581758,8.584166,34.817173,82.093893,71.863449,0.138534
0.020000,23.503842,304.684877,9.313937,36.488519,83.567291,73.669930,0.144939
0.020000,24.259284,304.797563,10.077737,38.190043,85.076226,75.446720,0.151122
0.020000,25.048270,304.920137,10.876187,39.922490,86.622351,77.306263,0.157035
0.020000,25.871366,305.052868,11.709917,41.686473,88.199155,78.840188,0.162630
0.020000,26.729168,305.195962,12.579572,43.482763,89.814482,80.766354,0.167854
0.020000,27.622297,305.349558,13.485813,45.312030,91.463331,82.442434,0.172657
0.020000,28.551410,305.513715,14.429315,47.175137,93.155348,84.600872,0.176985
0.020000,29.517198,305.688404,15.410775,49.073008,94.893585,86.911860,0.180783
0.020000,30.520398,305.873497,16.430908,51.006610,96.680096,89.325547,0.183996
0.020000,31.561794,306.068756,17.490450,52.977129,98.525927,92.291534,0.186566
0.020000,32.642223,306.273819,18.590168,54.985883,100.437703,95.588814,0.188433
0.020000,33.762588,306.488188,19.730856,57.034423,102.427026,99.466156,0.189534
0.020000,34.923855,306.711213,20.913346,59.124504,104.504046,103.850976,0.189805
0.020000,36.127071,306.942074,22.138509,61.258143,106.681955,108.895456,0.189176
0.020000,37.373360,307.179765,23.407262,63.437651,108.975387,114.671610,0.187576
0.020000,38.663938,307.423068,24.720574,65.665580,111.396438,121.052566,0.184929
0.020000,40.000113,307.670532,26.079471,67.944857,113.963862,128.371193,0.181155
0.020000,41.383289,307.920445,27.485043,70.278616,116.687954,136.204576,0.176167
0.020000,42.814971,308.170799,28.938450,72.670311,119.584717,144.838137,0.169875
0.020000,44.296759,308.419256,30.440923,75.123663,122.667626,154.145494,0.162183
0.020000,45.830340,308.663111,31.993770,77.642377,125.935694,163.403372,0.152987
0.020000,47.417477,308.899240,33.598377,80.230329,129.397591,173.094869,0.142180
0.020000,49.059985,309.124054,35.256199,82.891119,133.039520,182.096414,0.129646
0.020000,50.759692,309.333448,36.968756,85.627805,136.834271,189.737594,0.115267
0.020000,52.518391,309.522738,38.737612,88.442799,140.749713,195.772080,0.098919
0.020000,54.337764,309.686611,40.564351,91.336959,144.708005,197.914619,0.080479
0.020000,56.219292,309.819074,42.450535,94.309230,148.613524,195.275922,0.059823
0.020000,58.164123,309.913410,44.397653,97.355888,152.332928,185.970205,0.036836
0.020000,60.172916,309.962161,46.407038,100.469225,155.666868,166.696978,0.011411
0.020000,62.245651,309.957144,48.479779,103.637057,158.391596,136.236439,6.266650
0.020000,64.381406,309.889507,50.616604,106.841282,160.211252,90.982768,6.236124
0.020000,66.578113,309.749853,52.817746,110.057079,160.789840,28.929404,6.202999
0.020000,68.832319,309.528450,55.082798,113.252629,159.777482,-50.617910,6.167308
0.020000,71.138965,309.215515,57.410575,116.388832,156.810166,-148.365758,6.129144
0.020000,73.491246,308.801603,59.798995,119.420973,151.607032,-260.156743,6.088669
0.020000,75.880574,308.278057,62.245010,122.300766,143.989637,-380.869706,6.046123
0.020000,78.296699,307.637495,64.744606,124.979797,133.951581,-501.902818,6.001822
0.020000,80.727994,306.874278,67.292879,127.413662,121.693223,-612.917914,5.956148
0.020000,83.161949,305.984870,69.884246,129.568352,107.734529,-697.934696,5.909541
0.020000,85.585753,304.968063,72.512691,131.422228,92.693802,-752.036333,5.862473
0.020000,87.986961,303.824985,75.172094,132.970189,77.398032,-764.788524,5.815425
0.020000,90.354135,302.558912,77.856578,134.224201,62.700594,-734.871881,5.768858
0.020000,92.677305,301.174928,80.560747,135.208439,49.211899,-674.434732,5.723195
0.020000,94.690519,299.857023,82.966969,120.311107,-744.866601,-39703.925024,5.697068
0.020000,95.221652,299.550596,83.580158,30.659420,-4482.584355,-186885.887686,5.820287
0.020000,95.880257,299.271029,84.295642,35.774189,255.738457,236916.140594,5.937928
0.020000,96.728208,299.019057,85.180239,44.229869,422.784038,8352.279063,6.044753
0.020000,97.798661,298.814150,86.270127,54.494409,513.226967,4522.146427,6.137927
0.020000,99.094832,298.679417,87.573282,65.157727,533.165890,996.946133,6.216826
0.020000,100.600573,298.631396,89.079788,75.325300,508.378647,-1239.362118,6.282229
0.020000,102.292015,298.677248,90.771851,84.603180,463.894038,-2224.230446,0.052346
0.020000,104.145381,298.816177,92.630417,92.928292,416.255581,-2381.922855,0.095043
0.020000,106.140667,299.041954,94.638437,100.400980,373.634382,-2131.059957,0.128469
0.020000,108.262912,299.345043,96.782215,107.188908,339.396417,-1711.898268,0.153697
0.020000,110.502238,299.713961,99.051727,113.475594,314.334297,-1253.105980,0.171515
0.020000,112.853521,300.135935,101.440575,119.442390,298.339825,-799.723597,0.182422
0.020000,115.316063,300.597036,103.945914,125.266984,291.229695,-355.506487,0.186640
0.020000,117.893457,301.081873,106.568513,131.129936,293.147577,95.894076,0.184110
0.020000,120.593709,301.572866,109.313042,137.226436,304.825020,583.872142,0.174464
0.020000,123.429651,302.049014,112.188678,143.781809,327.768654,1147.181730,0.156980
0.020000,126.419626,302.483914,115.210116,151.071886,364.503833,1836.758958,0.130505
0.020000,129.588219,302.842616,118.398947,159.441586,418.485014,2699.059019,0.093341
0.020000,132.966538,303.076661,121.785365,169.320866,493.964005,3773.949547,0.043114
0.020000,136.590313,303.116521,125.409359,181.199705,593.941925,4998.896004,6.259862
0.020000,140.491891,302.861419,129.319267,195.495436,714.786572,6042.232376,6.173405
0.020000,144.678159,302.170622,133.562148,212.144025,832.429444,5882.143567,6.063207
0.020000,149.086570,300.871702,138.157938,229.789507,882.274113,2492.233475,5.927669
0.020000,153.532639,298.815166,143.056598,244.932984,757.173843,-6255.013514,5.770706
0.020000,157.716156,295.978336,148.111241,252.732156,389.958599,-18360.762222,5.603890
0.020000,161.346688,292.524274,153.122360,250.555955,-108.810086,-24938.434246,5.442971
0.020000,164.289354,288.716963,157.934313,240.597652,-497.915141,-19455.252722,5.300226
0.020000,166.577258,284.781267,162.486698,227.619266,-648.919282,-7550.207058,5.180393
0.020000,168.324256,280.845513,166.792759,215.303021,-615.812259,1655.351132,5.082410
0.020000,169.650643,276.962158,170.896385,205.181328,-506.084632,5486.381384,5.002796
0.020000,170.651828,273.154275,174.833687,196.865097,-415.811584,4513.652377,4.937960
0.020000,171.397385,269.445363,178.616792,189.155244,-385.492607,1515.948861,4.884969
0.020000,171.941933,265.847406,182.255724,181.946598,-360.432341,1253.013306,4.841325
0.020000,172.328918,262.353145,185.771349,175.781256,-308.267091,2608.262497,4.804912
0.020000,172.599069,258.646515,189.487811,185.823076,502.090994,40517.904228,4.748604
0.020000,172.327924,253.453687,194.687713,259.995132,3708.602794,160325.590026,4.574694
0.020000,171.380989,248.922100,199.317180,231.473357,-1426.088741,-256734.576779,4.443331
0.020000,170.175341,245.180407,203.248319,196.556919,-1745.821894,-15986.657638,4.364472
0.020000,169.015551,242.148454,206.494525,162.310313,-1712.330285,1674.580450,4.336958
0.020000,168.079244,239.729236,209.088612,129.704328,-1630.299283,4101.550118,4.358147
0.020000,167.455136,237.880430,211.039918,97.565310,-1606.950879,1167.420182,4.427277
0.020000,167.141764,236.568282,212.388966,67.452428,-1505.644086,5065.339676,4.537915
0.020000,166.928663,234.929043,214.041999,82.651641,759.960625,113280.235512,4.625532
0.020000,166.844059,233.152395,215.820661,88.933075,314.071719,-22294.445266,4.700856
0.020000,166.884004,231.227247,217.746224,96.278141,367.253320,2659.080038,4.762221
0.020000,167.039266,229.156016,219.823265,103.852082,378.697038,572.185897,4.809265
0.020000,167.293835,226.947271,222.046632,111.168337,365.812750,-644.214419,4.842392
