dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.507186,291.092297,0.007802,0.780222,39.011090,1950.554482,0.019834
0.020000,14.507186,291.092297,0.039011,2.340665,78.022179,1950.554482,0.020311
0.020000,14.535562,291.092894,0.101429,3.901109,78.022179,0.000000,0.021263
0.020000,14.629166,291.094951,0.195055,5.461553,78.022179,-0.000000,0.022686
0.020000,14.753967,291.097901,0.319891,7.021996,78.022179,-0.000000,0.024574
0.020000,14.909959,291.101918,0.475935,8.582440,78.022179,0.000000,0.026918
0.020000,15.097138,291.107220,0.663189,10.142883,78.022179,0.000000,0.029708
0.020000,15.315493,291.114061,0.881651,11.703327,78.022179,-0.000000,0.032932
0.020000,15.565012,291.122737,1.131322,13.263770,78.022179,0.000000,0.036574
0.020000,15.845683,291.133577,1.412201,14.824214,78.022179,0.000000,0.040619
0.020000,16.157485,291.146942,1.724290,16.384658,78.022179,-0.000000,0.045047
0.020000,16.500396,291.163225,2.067588,17.945101,78.022179,0.000000,0.049838
0.020000,16.874387,291.182845,2.442094,19.505545,78.022179,0.000000,0.054968
0.020000,17.279428,291.206242,2.847810,21.065988,78.022179,0.000000,0.060413
0.020000,17.715476,291.233876,3.284734,22.626432,78.022179,-0.000000,0.066145
0.020000,18.182489,291.266223,3.752867,24.186876,78.022179,0.000000,0.072135
0.020000,18.680417,291.303768,4.252209,25.747319,78.022179,0.000000,0.078353
0.020000,19.209202,291.346999,4.782760,27.307763,78.022179,-0.000000,0.084764
0.020000,19.768785,291.396409,5.344519,28.868206,78.022179,0.000000,0.091336
0.020000,20.359095,291.452481,5.937488,30.428650,78.022179,0.000000,0.098030
0.020000,20.980062,291.515690,6.561665,31.989094,78.022179,-0.000000,0.104808
0.020000,21.631611,291.586494,7.217052,33.549537,78.022179,0.000000,0.111632
0.020000,22.313664,291.665328,7.903647,35.109981,78.022179,0.000000,0.118460
0.020000,23.026141,291.752600,8.621451,36.670424,78.022179,0.000000,0.125249
0.020000,23.768965,291.848683,9.370464,38.230868,78.022179,0.000000,0.131955
0.020000,24.542057,291.953909,10.150686,39.791311,78.022179,0.000000,0.138534
0.020000,25.345345,292.068563,10.962116,41.351755,78.022179,0.000000,0.144939
0.020000,26.178763,292.192877,11.804756,42.912199,78.022179,0.000000,0.151122
0.020000,27.042252,292.327023,12.678604,44.472642,78.022179,-0.000000,0.157035
0.020000,27.935766,292.471105,13.583661,46.033086,78.022179,0.000000,0.162630
0.020000,28.859271,292.625156,14.519928,47.593529,78.022179,0.000000,0.167854
0.020000,29.812749,292.789127,15.487403,49.153973,78.022179,0.000000,0.172657
0.020000,30.796200,292.962881,16.486086,50.714417,78.022179,0.000000,0.176985
0.020000,31.809648,293.146188,17.515979,52.274860,78.022179,0.000000,0.180783
0.020000,32.853138,293.338713,18.577081,53.835304,78.022179,-0.000000,0.183996
0.020000,33.926740,293.540008,19.669391,55.395747,78.022179,0.000000,0.186566
0.020000,35.030554,293.749508,20.792911,56.956191,78.022179,0.000000,0.188433
0.020000,36.164708,293.966514,21.947639,58.516634,78.022179,0.000000,0.189534
0.020000,37.329362,294.190189,23.133576,60.077078,78.022179,-0.000000,0.189805
0.020000,38.524704,294.419540,24.350722,61.637522,78.022179,0.000000,0.189176
0.020000,39.750956,294.653411,25.599077,63.197965,78.022179,0.000000,0.187576
0.020000,41.008369,294.890465,26.878641,64.758409,78.022179,-0.000000,0.184929
0.020000,42.297223,295.129169,28.189413,66.318852,78.022179,0.000000,0.181155
0.020000,43.617819,295.367781,29.531395,67.879296,78.022179,0.000000,0.176167
0.020000,44.970481,295.604324,30.904585,69.439740,78.022179,0.000000,0.169875
0.020000,46.355540,295.836573,32.308984,71.000183,78.022179,0.000000,0.162183
0.020000,47.773329,296.062028,33.744593,72.560627,78.022179,0.000000,0.152987
0.020000,49.224167,296.277894,35.211410,74.121070,78.022179,0.000000,0.142180
0.020000,50.708343,296.481056,36.709435,75.681514,78.022179,0.000000,0.129646
0.020000,52.226088,296.668055,38.238670,77.241957,78.022179,0.000000,0.115267
0.020000,53.777551,296.835066,39.799114,78.802401,78.022179,0.000000,0.098919
0.020000,55.362761,296.977879,41.390766,80.362845,78.022179,0.000000,0.080479
0.020000,56.981584,297.091882,43.013627,81.923288,78.022179,0.000000,0.059823
0.020000,58.633674,297.172059,44.667698,83.483732,78.022179,0.000000,0.036836
0.020000,60.318410,297.212991,46.352977,85.044175,78.022179,0.000000,0.011411
0.020000,62.034836,297.208887,48.069465,86.604619,78.022179,0.000000,6.266650
0.020000,63.781591,297.153623,49.817161,88.165063,78.022179,-0.000000,6.236124
0.020000,65.556834,297.040821,51.596067,89.725506,78.022179,0.000000,6.202999
0.020000,67.358190,296.863954,53.406182,91.285950,78.022179,0.000000,6.167308
0.020000,69.182695,296.616487,55.247505,92.846393,78.022179,0.000000,6.129144
0.020000,71.026775,296.292051,57.120037,94.406837,78.022179,0.000000,6.088669
0.020000,72.886266,295.884647,59.023779,95.967281,78.022179,0.000000,6.046123
0.020000,74.756457,295.388855,60.958729,97.527724,78.022179,0.000000,6.001822
0.020000,76.632199,294.800051,62.924888,99.088168,78.022179,0.000000,5.956148
0.020000,78.508064,294.114577,64.922255,100.648611,78.022179,0.000000,5.909541
0.020000,80.378520,293.329883,66.950832,102.209055,78.022179,0.000000,5.862473
0.020000,82.238136,292.444585,69.010618,103.769498,78.022179,0.000000,5.815425
0.020000,84.081785,291.458456,71.101612,105.329942,78.022179,0.000000,5.768858
0.020000,85.904783,290.372362,73.223815,106.890386,78.022179,0.000000,5.723195
0.020000,87.638110,289.235064,75.377227,108.450829,78.022179,-0.000000,5.697068
0.020000,89.528223,288.142381,77.561848,110.011273,78.022179,0.000000,5.820287
0.020000,91.565162,287.273427,79.777678,111.571716,78.022179,0.000000,5.937928
0.020000,93.716918,286.629762,82.024717,113.132160,78.022179,0.000000,6.044753
0.020000,95.953120,286.198427,84.302965,114.692604,78.022179,0.000000,6.137927
0.020000,98.249367,285.957479,86.612421,116.253047,78.022179,0.000000,6.216826
0.020000,100.588384,285.881402,88.953087,117.813491,78.022179,0.000000,6.282229
0.020000,102.959124,285.944712,91.324961,119.373934,78.022179,-0.000000,0.052346
0.020000,105.355350,286.123719,93.728044,120.934378,78.022179,0.000000,0.095043
0.020000,107.774139,286.397023,96.162336,122.494821,78.022179,0.000000,0.128469
0.020000,110.214847,286.745343,98.627837,124.055265,78.022179,0.000000,0.153697
0.020000,112.678345,287.151037,101.124547,125.615709,78.022179,0.000000,0.171515
0.020000,115.166518,287.597492,103.652465,127.176152,78.022179,-0.000000,0.182422
0.020000,117.681935,288.068463,106.211593,128.736596,78.022179,0.000000,0.186640
