dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.760049,278.344804,0.007802,0.780222,39.011090,1950.554482,0.019834
0.020000,14.766131,278.344926,0.013885,0.304143,-23.803954,-3140.752168,0.020311
0.020000,14.806644,278.345776,0.054407,2.026120,86.098851,5495.140222,0.021263
0.020000,14.918388,278.348232,0.166178,5.588516,178.119814,4601.048180,0.022686
0.020000,15.067250,278.351750,0.315082,7.445191,92.833763,-4264.302576,0.024574
0.020000,15.253120,278.356537,0.501013,9.296582,92.569519,-13.212168,0.026918
0.020000,15.475858,278.362845,0.723841,11.141375,92.239667,-16.492631,0.029708
0.020000,15.735294,278.370974,0.983404,12.978165,91.839522,-20.007265,0.032932
0.020000,16.031228,278.381264,1.279517,14.805648,91.374151,-23.268535,0.036574
0.020000,16.363432,278.394093,1.611968,16.622543,90.844720,-26.471546,0.040619
0.020000,16.731642,278.409876,1.980516,18.427411,90.243417,-30.065144,0.045047
0.020000,17.135566,278.429056,2.384895,20.218967,89.577767,-33.282522,0.049838
0.020000,17.574879,278.452102,2.824812,21.995838,88.843555,-36.710595,0.054968
0.020000,18.049223,278.479502,3.299948,23.756777,88.046963,-39.829580,0.060413
0.020000,18.558209,278.511758,3.809955,25.500358,87.179046,-43.395878,0.066145
0.020000,19.101416,278.549381,4.354463,27.225399,86.252067,-46.348920,0.072135
0.020000,19.678392,278.592885,4.933077,28.930703,85.265173,-49.344723,0.078353
0.020000,20.288655,278.642776,5.545375,30.614907,84.210235,-52.746876,0.084764
0.020000,20.931694,278.699553,6.190916,32.277062,83.107743,-55.124616,0.091336
0.020000,21.606971,278.763694,6.869233,33.915825,81.938140,-58.480142,0.098030
0.020000,22.313924,278.835654,7.579838,35.530271,80.722312,-60.791384,0.104808
0.020000,23.051968,278.915855,8.322228,37.119467,79.459775,-63.126886,0.111632
0.020000,23.820499,279.004682,9.095875,38.682367,78.145025,-65.737462,0.118460
0.020000,24.618894,279.102476,9.900236,40.218079,76.785604,-67.971044,0.125249
0.020000,25.446517,279.209525,10.734754,41.725865,75.389303,-69.815053,0.131955
0.020000,26.302720,279.326061,11.598852,43.204895,73.951501,-71.890102,0.138534
0.020000,27.186849,279.452250,12.491940,44.654420,72.476212,-73.764495,0.144939
0.020000,28.098241,279.588191,13.413415,46.073742,70.966099,-75.505633,0.151122
0.020000,29.036235,279.733908,14.362660,47.462239,69.424890,-77.060436,0.157035
0.020000,30.000166,279.889342,15.339042,48.819135,67.844777,-79.005646,0.162630
0.020000,30.989374,280.054350,16.341918,50.143796,66.233039,-80.586910,0.167854
0.020000,32.003200,280.228696,17.370626,51.435385,64.579471,-82.678411,0.172657
0.020000,33.040991,280.412048,18.424489,52.693153,62.888375,-84.554765,0.176985
0.020000,34.102098,280.603973,19.502814,53.916223,61.153508,-86.743366,0.180783
0.020000,35.185877,280.803928,20.604884,55.103521,59.364917,-89.429572,0.183996
0.020000,36.291686,281.011260,21.729962,56.253914,57.519652,-92.263245,0.186566
0.020000,37.418885,281.225197,22.877283,57.366051,55.606859,-95.639627,0.188433
0.020000,38.566829,281.444841,24.046052,58.438413,53.618088,-99.438559,0.189534
0.020000,39.734868,281.669165,25.235436,59.469224,51.540519,-103.878439,0.189805
0.020000,40.922336,281.897006,26.444565,60.456462,49.361942,-108.928847,0.189176
0.020000,42.128552,282.127057,27.672522,61.397849,47.069347,-114.629750,0.187576
0.020000,43.352800,282.357861,28.918338,62.290763,44.645709,-121.181943,0.184929
0.020000,44.594333,282.587806,30.180985,63.132358,42.079736,-128.298650,0.181155
0.020000,45.852350,282.815117,31.459373,63.919411,39.352633,-136.355142,0.176167
0.020000,47.125990,283.037850,32.752342,64.648479,36.453405,-144.961368,0.169875
0.020000,48.414321,283.253890,34.058661,65.315943,33.373199,-154.010298,0.162183
0.020000,49.716318,283.460945,35.377020,65.917913,30.098509,-163.734517,0.152987
0.020000,51.030858,283.656548,36.706033,66.450647,26.636695,-173.090704,0.142180
0.020000,52.356702,283.838057,38.044243,66.910520,22.993651,-182.152180,0.129646
0.020000,53.692484,284.002662,39.390129,67.294318,19.189887,-190.188243,0.115267
0.020000,55.036712,284.147394,40.742126,67.599834,15.275809,-195.703895,0.098919
0.020000,56.387758,284.269146,42.098647,67.826043,11.310444,-198.268221,0.080479
0.020000,57.743876,284.364690,43.458126,67.973973,7.396519,-195.696269,0.059823
0.020000,59.103224,284.430708,44.819077,68.047519,3.677311,-185.960383,0.036836
0.020000,60.463903,284.463822,46.180159,68.054104,0.329252,-167.402947,0.011411
0.020000,61.824021,284.460630,47.540281,68.006100,-2.400236,-136.474427,6.266650
0.020000,63.181776,284.417740,48.898712,67.921577,-4.226139,-91.295156,6.236124
