dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.005652,37.813300,0.005371,0.537058,26.852919,1342.645967,0.786972
0.020000,35.008707,37.816363,0.009696,0.216276,-16.039099,-2144.600922,0.786633
0.020000,35.014816,37.822483,0.018344,0.432397,10.806035,1342.256703,0.785955
0.020000,35.044625,37.852283,0.060494,2.107484,83.754336,3647.415071,0.784938
0.020000,35.117683,37.925175,0.163696,5.160109,152.631281,3443.847221,0.783583
0.020000,35.209137,38.016143,0.292688,6.449621,64.475567,-4407.785688,0.781890
0.020000,35.319070,38.125087,0.447460,7.738571,64.447527,-1.402025,0.779861
0.020000,35.447579,38.251880,0.627990,9.026491,64.395964,-2.578138,0.777496
0.020000,35.594785,38.396387,0.834271,10.314048,64.377874,-0.904501,0.774796
0.020000,35.760815,38.558441,1.066277,11.600341,64.314659,-3.160739,0.771763
0.020000,35.945817,38.737861,1.323993,12.885796,64.272751,-2.095390,0.768399
0.020000,36.149951,38.934441,1.607391,14.169885,64.204440,-3.415583,0.764706
0.020000,36.373382,39.147951,1.916435,15.452202,64.115839,-4.430015,0.760685
0.020000,36.616307,39.378152,2.251106,16.733554,64.067586,-2.412682,0.756340
0.020000,36.878910,39.624765,2.611353,18.012358,63.940230,-6.367776,0.751674
0.020000,37.161396,39.887496,2.997134,19.289024,63.833305,-5.346231,0.746690
0.020000,37.463977,40.166030,3.408395,20.563073,63.702453,-6.542600,0.741392
0.020000,37.786882,40.460035,3.845095,21.834997,63.596191,-5.313101,0.735785
0.020000,38.130324,40.769140,4.307154,23.102922,63.396245,-9.997319,0.729873
0.020000,38.494537,41.092965,4.794507,24.367691,63.238425,-7.890985,0.723662
0.020000,38.879754,41.431104,5.307080,25.628607,63.045797,-9.631422,0.717158
0.020000,39.286204,41.783125,5.844779,26.884986,62.818985,-11.340606,0.710368
0.020000,39.714120,42.148579,6.407513,28.136674,62.584401,-11.729187,0.703299
0.020000,40.163729,42.526992,6.995172,29.382984,62.315469,-13.446596,0.695960
0.020000,40.635256,42.917873,7.607648,30.623761,62.038888,-13.829055,0.688360
0.020000,41.128918,43.320708,8.244812,31.858239,61.723863,-15.751229,0.680509
0.020000,41.644920,43.734964,8.906526,33.085689,61.372521,-17.567129,0.672417
0.020000,42.183460,44.160093,9.592645,34.305962,61.013636,-17.944258,0.664095
0.020000,42.744720,44.595527,10.303009,35.518188,60.611324,-20.115570,0.655557
0.020000,43.328872,45.040690,11.037450,36.722015,60.191349,-20.998786,0.646816
0.020000,43.936066,45.494986,11.795783,37.916688,59.733639,-22.885496,0.637885
0.020000,44.566436,45.957815,12.577817,39.101705,59.250851,-24.139361,0.628780
0.020000,45.220096,46.428565,13.383347,40.276462,58.737839,-25.650608,0.619517
0.020000,45.897140,46.906622,14.212156,41.440482,58.200989,-26.842516,0.610114
0.020000,46.597633,47.391365,15.064017,42.593032,57.627522,-28.673341,0.600587
0.020000,47.321620,47.882177,15.938691,43.733710,57.033886,-29.681830,0.590956
0.020000,48.069119,48.378441,16.835927,44.861792,56.404100,-31.489295,0.581240
0.020000,48.840123,48.879550,17.755468,45.977054,55.763107,-32.049657,0.571460
0.020000,49.634594,49.384902,18.697045,47.078845,55.089572,-33.676726,0.561636
0.020000,50.452472,49.893914,19.660381,48.166806,54.398033,-34.576967,0.551791
0.020000,51.293664,50.406014,20.645191,49.240479,53.683674,-35.717932,0.541946
0.020000,52.158051,50.920653,21.651182,50.299557,52.953885,-36.489457,0.532125
0.020000,53.045486,51.437304,22.678056,51.343718,52.208045,-37.291994,0.522351
0.020000,53.955797,51.955468,23.725510,52.372690,51.448613,-37.971612,0.512648
0.020000,54.888783,52.474674,24.793235,53.386245,50.677714,-38.544952,0.503039
0.020000,55.844216,52.994485,25.880919,54.384196,49.897545,-39.008420,0.493550
0.020000,56.821846,53.514500,26.988247,55.366409,49.110667,-39.343943,0.484206
0.020000,57.821396,54.034355,28.114902,56.332737,48.316388,-39.713949,0.475030
0.020000,58.842569,54.553731,29.260565,57.283156,47.520982,-39.770261,0.466049
0.020000,59.885041,55.072350,30.424916,58.217573,46.720863,-40.005982,0.457286
0.020000,60.948474,55.589980,31.607638,59.136086,45.925636,-39.761348,0.448768
0.020000,62.032503,56.106437,32.808408,60.038487,45.120020,-40.280779,0.440519
0.020000,63.136750,56.621590,34.026908,60.924993,44.325332,-39.734426,0.432564
0.020000,64.260814,57.135356,35.262818,61.795540,43.527355,-39.898843,0.424929
0.020000,65.404278,57.647705,36.515820,62.650067,42.726335,-40.051012,0.417638
0.020000,66.566711,58.158664,37.785595,63.488759,41.934584,-39.587524,0.410717
0.020000,67.747660,58.668312,39.071823,64.311399,41.132012,-40.128619,0.404190
0.020000,68.946660,59.176787,40.374185,65.118119,40.336026,-39.799275,0.398082
0.020000,70.163227,59.684284,41.692361,65.908777,39.532875,-40.157564,0.392419
0.020000,71.396858,60.191053,43.026025,66.683215,38.721885,-40.549502,0.387226
0.020000,72.647035,60.697407,44.374853,67.441383,37.908402,-40.674118,0.382529
0.020000,73.913218,61.203714,45.738512,68.182955,37.078605,-41.489851,0.378354
0.020000,75.194848,61.710404,47.116667,68.907748,36.239679,-41.946309,0.374726
0.020000,76.491342,62.217968,48.508974,69.615375,35.381338,-42.917072,0.371674
0.020000,77.802094,62.726957,49.915082,70.305399,34.501190,-44.007417,0.369224
0.020000,79.126469,63.237982,51.334630,70.977383,33.599210,-45.098996,0.367404
0.020000,80.463802,63.751717,52.767244,71.630705,32.666090,-46.655957,0.366245
0.020000,81.813395,64.268898,54.212539,72.264747,31.702125,-48.198261,0.365776
0.020000,83.174512,64.790324,55.670114,72.878754,30.700310,-50.090758,0.366029
0.020000,84.546378,65.316855,57.139553,73.471928,29.658741,-52.078447,0.367036
0.020000,85.928169,65.849415,58.620420,74.043351,28.571120,-54.381052,0.368832
0.020000,87.319015,66.388990,60.112262,74.592104,27.437649,-56.673578,0.371452
0.020000,88.717988,66.936629,61.614605,75.117157,26.252673,-59.248773,0.374933
0.020000,90.124103,67.493444,63.126955,75.617483,25.016268,-61.820266,0.379314
0.020000,91.536307,68.060606,64.648793,76.091944,23.723066,-64.660070,0.384636
0.020000,92.953481,68.639348,66.179586,76.539609,22.383248,-66.990916,0.390940
0.020000,94.374429,69.230961,67.718773,76.959373,20.988223,-69.751277,0.398271
0.020000,95.797877,69.836790,69.265781,77.350395,19.551078,-71.857213,0.406673
0.020000,97.222470,70.458236,70.820020,77.711977,18.079124,-73.597730,0.416193
0.020000,98.646767,71.096749,72.380892,78.043584,16.580303,-74.941039,0.426877
0.020000,100.069242,71.753825,73.947795,78.345140,15.077846,-75.122852,0.438773
0.020000,101.488283,72.431001,75.520132,78.616874,13.586702,-74.557186,0.451928
0.020000,102.902197,73.129851,77.097327,78.859753,12.143905,-72.139870,0.466386
0.020000,104.309213,73.851978,78.678834,79.075317,10.778230,-68.283740,0.482191
0.020000,105.707493,74.599012,80.264156,79.266103,9.539281,-61.947451,0.499381
0.020000,107.095142,75.372601,81.852869,79.435632,8.476456,-53.141264,0.517990
