dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.331473,17.098906,0.005365,0.536461,26.823040,1341.152015,0.786928
0.020000,50.328610,17.096036,0.009419,0.202705,-16.687808,-2175.542413,0.786610
0.020000,50.322884,17.090299,0.017524,0.405261,10.127811,1340.780966,0.785975
0.020000,50.332292,17.099699,0.030823,0.664936,12.983762,142.797549,0.785021
0.020000,50.381584,17.148892,0.100463,3.481999,140.853167,6393.470221,0.783752
0.020000,50.443301,17.210308,0.187531,4.353422,43.571142,-4864.101261,0.782166
0.020000,50.517508,17.283896,0.292039,5.225375,43.597652,1.325535,0.780264
0.020000,50.604280,17.369592,0.413994,6.097769,43.619674,1.101099,0.778048
0.020000,50.703708,17.467321,0.553410,6.970825,43.652832,1.657907,0.775518
0.020000,50.815899,17.577005,0.710310,7.844985,43.707977,2.757221,0.772677
0.020000,50.940973,17.698553,0.884716,8.720293,43.765415,2.871917,0.769526
0.020000,51.079060,17.831862,1.076651,9.596767,43.823669,2.912674,0.766067
0.020000,51.230304,17.976821,1.286146,10.474748,43.899072,3.770176,0.762301
0.020000,51.394858,18.133305,1.513226,11.353994,43.962304,3.161584,0.758233
0.020000,51.572899,18.301189,1.757937,12.235546,44.077606,5.765086,0.753863
0.020000,51.764605,18.480331,2.020317,13.118972,44.171261,4.682789,0.749197
0.020000,51.970173,18.670579,2.300411,14.004700,44.286435,5.758670,0.744237
0.020000,52.189815,18.871781,2.598278,14.893356,44.432774,7.316977,0.738988
0.020000,52.423744,19.083763,2.913966,15.784410,44.552712,5.996902,0.733454
0.020000,52.672202,19.306356,3.247551,16.679265,44.742735,9.501130,0.727640
0.020000,52.935431,19.539372,3.599099,17.577391,44.906339,8.180208,0.721552
0.020000,53.213687,19.782621,3.968689,18.479505,45.105679,9.967012,0.715196
0.020000,53.507246,20.035907,4.356414,19.386221,45.335779,11.504973,0.708579
0.020000,53.816382,20.299016,4.762359,20.297274,45.552687,10.845436,0.701709
0.020000,54.141394,20.571741,5.186636,21.213853,45.828917,13.811485,0.694594
0.020000,54.482582,20.853859,5.629355,22.135930,46.103844,13.746332,0.687241
