dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.012017,37.819680,0.005378,0.537828,26.891384,1344.569183,0.786265
0.020000,35.014065,37.821731,0.008277,0.144917,-19.645521,-2326.845252,0.786038
0.020000,35.018159,37.825829,0.014069,0.289632,7.235721,1344.062143,0.785584
0.020000,35.057508,37.865159,0.069703,2.781702,124.603512,5868.389528,0.784903
0.020000,35.126591,37.934112,0.167310,4.880331,104.931472,-983.602022,0.783997
0.020000,35.213013,38.020194,0.289289,6.098965,60.931676,-2199.989801,0.782866
0.020000,35.316818,38.123335,0.435623,7.316671,60.885300,-2.318773,0.781513
0.020000,35.438058,38.243447,0.606286,8.533170,60.824976,-3.016193,0.779939
0.020000,35.576794,38.380431,0.801254,9.748383,60.760653,-3.216139,0.778146
0.020000,35.733095,38.534171,1.020493,10.961985,60.680062,-4.029588,0.776136
0.020000,35.907036,38.704540,1.263970,12.173827,60.592095,-4.398321,0.773913
0.020000,36.098698,38.891393,1.531642,13.383602,60.488788,-5.165360,0.771479
0.020000,36.308169,39.094575,1.823466,14.591205,60.380142,-5.432328,0.768839
0.020000,36.535544,39.313916,2.139394,15.796376,60.258549,-6.079646,0.765995
0.020000,36.780921,39.549233,2.479369,16.998792,60.120772,-6.888845,0.762952
0.020000,37.044404,39.800330,2.843338,18.198419,59.981356,-6.970761,0.759715
0.020000,37.326099,40.066996,3.231233,19.394766,59.817370,-8.199337,0.756289
0.020000,37.626114,40.349011,3.642987,20.587717,59.647532,-8.491876,0.752679
0.020000,37.944562,40.646142,4.078528,21.777014,59.464866,-9.133330,0.748890
0.020000,38.281554,40.958141,4.537775,22.962363,59.267424,-9.872101,0.744929
0.020000,38.637206,41.284755,5.020646,24.143528,59.058273,-10.457536,0.740803
0.020000,39.011627,41.625714,5.527049,25.320167,58.831939,-11.316691,0.736519
0.020000,39.404930,41.980743,6.056892,26.492139,58.598590,-11.667463,0.732083
0.020000,39.817223,42.349555,6.610071,27.658958,58.340961,-12.881417,0.727504
0.020000,40.248611,42.731855,7.186481,28.820528,58.078487,-13.123710,0.722791
0.020000,40.699197,43.127340,7.786011,29.976500,57.798643,-13.992224,0.717951
0.020000,41.169075,43.535702,8.408542,31.126544,57.502162,-14.824033,0.712995
0.020000,41.658335,43.956625,9.053951,32.270422,57.193924,-15.411926,0.707932
0.020000,42.167062,44.389789,9.722107,33.407827,56.870249,-16.183737,0.702772
0.020000,42.695329,44.834869,10.412877,34.538488,56.533032,-16.860862,0.697526
0.020000,43.243202,45.291541,11.126119,35.662091,56.180184,-17.642358,0.692204
0.020000,43.810739,45.759475,11.861687,36.778420,55.816408,-18.188829,0.686819
0.020000,44.397985,46.238345,12.619430,37.887119,55.434954,-19.072700,0.681382
0.020000,45.004974,46.727823,13.399189,38.987964,55.042260,-19.634674,0.675905
0.020000,45.631728,47.227586,14.200803,40.080686,54.636099,-20.308067,0.670402
0.020000,46.278258,47.737314,15.024103,41.165024,54.216893,-20.960301,0.664884
0.020000,46.944559,48.256693,15.868918,42.240726,53.785130,-21.588169,0.659367
0.020000,47.630612,48.785417,16.735069,43.307550,53.341208,-22.196062,0.653864
0.020000,48.336383,49.323188,17.622374,44.365265,52.885745,-22.773174,0.648389
0.020000,49.061824,49.869718,18.530647,45.413647,52.419086,-23.332952,0.642956
0.020000,49.806870,50.424731,19.459696,46.452474,51.941364,-23.886120,0.637582
0.020000,50.571439,50.987966,20.409327,47.481539,51.453254,-24.405500,0.632280
0.020000,51.355432,51.559175,21.379340,48.500646,50.955349,-24.895240,0.627067
0.020000,52.158734,52.138128,22.369532,49.509609,50.448126,-25.361141,0.621959
0.020000,52.981210,52.724614,23.379697,50.508229,49.931009,-25.855828,0.616972
0.020000,53.822707,53.318441,24.409623,51.496327,49.404913,-26.304839,0.612122
0.020000,54.683056,53.919439,25.459098,52.473743,48.870798,-26.705750,0.607426
0.020000,55.562065,54.527460,26.527904,53.440295,48.327603,-27.159734,0.602901
0.020000,56.459524,55.142381,27.615821,54.395818,47.776149,-27.572717,0.598565
0.020000,57.375204,55.764106,28.722623,55.340135,47.215809,-28.016970,0.594435
0.020000,58.308855,56.392565,29.848085,56.273089,46.647739,-28.403528,0.590528
0.020000,59.260206,57.027716,30.991975,57.194494,46.070237,-28.875056,0.586864
0.020000,60.228962,57.669548,32.154058,58.104182,45.484375,-29.293148,0.583460
0.020000,61.214810,58.318081,33.334098,59.001951,44.888486,-29.794417,0.580334
0.020000,62.217412,58.973368,34.531850,59.887621,44.283483,-30.250174,0.577507
0.020000,63.236407,59.635492,35.747069,60.760974,43.667638,-30.792217,0.574998
0.020000,64.271407,60.304575,36.979505,61.621792,43.040897,-31.337077,0.572825
0.020000,65.322003,60.980770,38.228902,62.469830,42.401902,-31.949716,0.571009
0.020000,66.387756,61.664270,39.494999,63.304843,41.750680,-32.561127,0.569571
0.020000,67.468201,62.355302,40.777530,64.126558,41.085714,-33.248296,0.568531
0.020000,68.562843,63.054133,42.076223,64.934673,40.405783,-33.996541,0.567911
0.020000,69.671156,63.761067,43.390801,65.728882,39.710455,-34.766430,0.567732
0.020000,70.792584,64.476448,44.720978,66.508854,38.998588,-35.593309,0.568018
0.020000,71.926536,65.200659,46.066463,67.274231,38.268840,-36.487433,0.568789
0.020000,73.072386,65.934123,47.426956,68.024652,37.521076,-37.388183,0.570071
0.020000,74.229469,66.677305,48.802150,68.759723,36.753531,-38.377276,0.571888
0.020000,75.397081,67.430709,50.191731,69.479056,35.966644,-39.344343,0.574263
0.020000,76.574478,68.194879,51.595376,70.182250,35.159717,-40.346354,0.577222
0.020000,77.760870,68.970400,53.012754,70.868901,34.332542,-41.358748,0.580792
0.020000,78.955423,69.757898,54.443527,71.538623,33.486074,-42.323398,0.584998
0.020000,80.157253,70.558039,55.887348,72.191046,32.621173,-43.245022,0.589869
0.020000,81.365426,71.371525,57.343865,72.825869,31.741138,-44.001769,0.595430
0.020000,82.578956,72.199101,58.812721,73.442774,30.845285,-44.792655,0.601711
0.020000,83.796802,73.041546,60.293553,74.041598,29.941193,-45.204587,0.608741
0.020000,85.017869,73.899675,61.785997,74.622229,29.031561,-45.481625,0.616546
0.020000,86.241004,74.774339,63.289691,75.184714,28.124218,-45.367125,0.625157
0.020000,87.464997,75.666421,64.804276,75.729236,27.226123,-44.904761,0.634600
0.020000,88.688579,76.576833,66.329400,76.256210,26.348707,-43.870771,0.644904
0.020000,89.910426,77.506518,67.864726,76.766275,25.503214,-42.274653,0.656096
0.020000,91.129158,78.456444,69.409933,77.260374,24.704950,-39.913202,0.668199
0.020000,92.343341,79.427602,70.964729,77.739792,23.970917,-36.701682,0.681238
0.020000,93.551494,80.421005,72.528853,78.206194,23.320116,-32.540056,0.695232
0.020000,94.752090,81.437684,74.102087,78.661712,22.775888,-27.211362,0.710199
0.020000,95.943562,82.478687,75.684267,79.109008,22.364787,-20.555072,0.726151
0.020000,97.124313,83.545074,77.275290,79.551123,22.105753,-12.951699,0.743097
0.020000,98.292722,84.637916,78.875128,79.991919,22.039799,-3.297715,0.761038
0.020000,99.447152,85.758295,80.483842,80.435663,22.187203,7.370212,0.779971
0.020000,100.585959,86.907299,82.101584,80.887138,22.573765,19.328132,0.799882
0.020000,101.707508,88.086021,83.728624,81.352007,23.243456,33.484512,0.820751
0.020000,102.810174,89.295557,85.365343,81.835912,24.195243,47.589362,0.842549
0.020000,103.702912,90.323332,86.726703,68.068025,-688.394379,-35629.481114,0.878747
0.020000,104.488003,91.324763,87.999193,63.624509,-222.175803,23310.928827,0.932476
0.020000,105.246163,92.404686,89.318679,65.974267,117.487906,16983.185443,0.984207
0.020000,105.977272,93.566738,90.691590,68.645562,133.564753,803.842354,1.033436
0.020000,106.680680,94.813202,92.122833,71.562147,145.829264,613.225519,1.079778
0.020000,107.355482,96.144935,93.615773,74.646990,154.242129,420.643277,1.122969
0.020000,108.000796,97.561467,95.172370,77.829849,159.142963,245.041708,1.162856
0.020000,108.616014,99.061225,96.793408,81.051921,161.103620,98.032847,1.199377
0.020000,109.200964,100.641811,98.478763,84.267744,160.791108,-15.625587,1.232542
0.020000,109.754315,102.294941,100.222045,87.164114,144.818542,-798.628321,1.262322
0.020000,110.273178,104.002556,102.006750,89.235243,103.556412,-2063.106500,1.288638
0.020000,110.756809,105.747307,103.817289,90.526967,64.586242,-1948.508478,1.311555
0.020000,111.207808,107.520238,105.646684,91.469729,47.138056,-872.409342,1.331307
0.020000,111.629890,109.316241,107.491618,92.246680,38.847573,-414.524151,1.348154
0.020000,112.026792,111.130848,109.349123,92.875296,31.430798,-370.838735,1.362328
0.020000,112.402215,112.960183,111.216584,93.373048,24.887626,-327.158612,1.374033
0.020000,112.759796,114.800932,113.091743,93.757942,19.244652,-282.148678,1.383449
0.020000,113.103073,116.650249,114.972651,94.045395,14.372697,-243.597736,1.390726
0.020000,113.435487,118.505716,116.857659,94.250414,10.250908,-206.089492,1.395994
0.020000,113.760369,120.365276,118.745386,94.386310,6.794798,-172.805454,1.399363
0.020000,114.080950,122.227181,120.634688,94.465093,3.939192,-142.780304,1.400920
0.020000,114.400371,124.089947,122.524642,94.497733,1.631958,-115.361720,1.400739
0.020000,114.721689,125.952310,124.414521,94.493916,-0.190841,-91.139963,1.398876
0.020000,115.047897,127.813181,126.303767,94.462344,-1.578567,-69.386294,1.395376
0.020000,115.381933,129.671620,128.191988,94.411018,-2.566297,-49.386513,1.390268
0.020000,115.726696,131.526791,130.078922,94.346723,-3.214771,-32.423701,1.383575
0.020000,116.085060,133.377936,131.964435,94.275656,-3.553354,-16.929134,1.375305
0.020000,116.459885,135.224338,133.848499,94.203200,-3.622778,-3.471207,1.365461
0.020000,116.854034,137.065308,135.731189,94.134499,-3.435092,9.384311,1.354038
0.020000,117.270370,138.900115,137.612639,94.072494,-3.100219,16.743666,1.341024
0.020000,117.711769,140.727985,139.493049,94.020514,-2.599001,25.060877,1.326405
0.020000,118.181119,142.548050,141.372657,93.980363,-2.007561,29.571993,1.310160
0.020000,118.681312,144.359306,143.251710,93.952668,-1.384725,31.141821,1.292271
0.020000,119.215235,146.160594,145.130463,93.937669,-0.749993,31.736581,1.272719
0.020000,119.785738,147.950507,147.009096,93.931614,-0.302709,22.364194,1.251488
0.020000,120.395609,149.727389,148.887727,93.931544,-0.003502,14.960363,1.228569
0.020000,121.047533,151.489290,150.766370,93.932143,0.029916,1.670885,1.203962
0.020000,121.744018,153.233890,152.644859,93.924476,-0.383314,-20.661490,1.177679
0.020000,122.487334,154.958499,154.522835,93.898798,-1.283897,-45.029144,1.149748
0.020000,123.279423,156.660031,156.399698,93.843151,-2.782382,-74.924234,1.120216
0.020000,124.121801,158.334994,158.274559,93.743030,-5.006017,-111.181774,1.089154
0.020000,125.015450,159.979513,160.146203,93.582235,-8.039766,-151.687424,1.056657
0.020000,125.960718,161.589381,162.013073,93.343504,-11.936569,-194.840149,1.022846
0.020000,126.957220,163.160140,163.873262,93.009431,-16.703661,-238.354615,0.987871
0.020000,128.003774,164.687206,165.724533,92.563547,-22.294154,-279.524626,0.951907
0.020000,129.098341,166.165992,167.564339,91.990305,-28.662119,-318.398263,0.915156
0.020000,130.238036,167.592085,169.389893,91.277675,-35.631526,-348.470351,0.877834
0.020000,131.419162,168.961411,171.198237,90.417233,-43.022100,-369.528710,0.840176
0.020000,132.637299,170.270399,172.986339,89.405105,-50.606398,-379.214893,0.802417
0.020000,133.887440,171.516125,174.751186,88.242329,-58.138774,-376.618822,0.764796
0.020000,135.164140,172.696410,176.489874,86.934428,-65.395033,-362.812945,0.727539
0.020000,136.461704,173.809890,178.199702,85.491381,-72.152387,-337.867709,0.690858
0.020000,137.774403,174.856061,179.878288,83.929318,-78.103139,-297.537566,0.654941
0.020000,139.096560,175.835181,181.523516,82.261388,-83.396516,-264.668850,0.619953
0.020000,140.422800,176.748286,183.133694,80.508895,-87.624645,-211.406480,0.586029
0.020000,141.748033,177.597000,184.707402,78.685421,-91.173695,-177.452488,0.553276
0.020000,143.067720,178.383548,186.243708,76.815251,-93.508479,-116.739184,0.521771
0.020000,144.377715,179.110510,187.741894,74.909301,-95.297502,-89.451148,0.491569
0.020000,145.674437,179.780801,189.201612,72.985898,-96.170152,-43.632530,0.462698
0.020000,146.954758,180.397504,190.622718,71.055345,-96.527674,-17.876105,0.435167
0.020000,148.216073,180.963828,192.005338,69.130979,-96.218275,15.469966,0.408968
0.020000,149.456188,181.482995,193.349742,67.220193,-95.539323,33.947628,0.384081
0.020000,150.673298,181.958190,194.656327,65.329280,-94.545623,49.684956,0.360472
0.020000,151.865979,182.392525,195.925632,63.465227,-93.202688,67.146762,0.338102
0.020000,153.033034,182.788971,197.158185,61.627673,-91.877665,66.251166,0.316924
0.020000,154.173603,183.150387,198.354646,59.823036,-90.231859,82.290275,0.296891
0.020000,155.287071,183.479483,199.515730,58.054190,-88.442300,89.477980,0.277947
0.020000,156.372896,183.778774,200.642048,56.315889,-86.915033,76.363331,0.260043
0.020000,157.430730,184.050628,201.734255,54.610350,-85.276982,81.902577,0.243126
0.020000,158.460340,184.297251,202.792989,52.936732,-83.680910,79.803582,0.227144
0.020000,159.461715,184.520718,203.818996,51.300345,-81.819333,93.078848,0.212046
0.020000,160.434697,184.722906,204.812764,49.688384,-80.598028,61.065252,0.197786
0.020000,161.379393,184.905594,205.774962,48.109923,-78.923083,83.747244,0.184317
0.020000,162.295861,185.070404,206.706131,46.558436,-77.574318,67.438238,0.171595
0.020000,163.184241,185.218845,207.606827,45.034809,-76.181389,69.646488,0.159578
0.020000,164.044525,185.352282,208.477399,43.528589,-75.310954,43.521708,0.148230
0.020000,164.877051,185.472025,209.318492,42.054628,-73.698051,80.645154,0.137511
0.020000,165.681921,185.579242,210.130472,40.598999,-72.781491,45.828005,0.127389
0.020000,166.459285,185.675022,210.913714,39.162132,-71.843318,46.908655,0.117831
0.020000,167.209345,185.760373,211.668615,37.745012,-70.856031,49.364364,0.108808
0.020000,167.932348,185.836229,212.395586,36.348599,-69.820633,51.769870,0.100292
0.020000,168.628397,185.903439,213.094873,34.964307,-69.214576,30.302867,0.092257
0.020000,169.297786,185.962805,213.766889,33.600803,-68.175234,51.967094,0.084678
0.020000,169.940564,186.015046,214.411786,32.244887,-67.795791,18.972187,0.077534
0.020000,170.556985,186.060844,215.029906,30.905991,-66.944802,42.549418,0.070804
0.020000,171.147222,186.100821,215.621495,29.579460,-66.326560,30.912105,0.064469
0.020000,171.711356,186.135550,216.186697,28.260074,-65.969266,17.864711,0.058512
0.020000,172.249670,186.165568,216.725848,26.957529,-65.127254,42.100582,0.052914
0.020000,172.762240,186.191363,217.239066,25.660938,-64.829581,14.883656,0.047663
0.020000,173.249289,186.213391,217.726613,24.377334,-64.180201,32.469003,0.042742
0.020000,173.710783,186.232062,218.188484,23.093573,-64.188015,-0.390677,0.038140
0.020000,174.146984,186.247767,218.624968,21.824190,-63.469146,35.943415,0.033845
0.020000,174.558000,186.260859,219.036193,20.561231,-63.147969,16.058844,0.029844
0.020000,174.943936,186.271661,219.422280,19.304341,-62.844484,15.174292,0.026130
0.020000,175.304794,186.280471,219.783246,18.048301,-62.802030,2.122654,0.022692
0.020000,175.640837,186.287564,220.119364,16.805892,-62.120412,34.080904,0.019521
0.020000,175.952030,186.293186,220.430607,15.562187,-62.185292,-3.243969,0.016611
0.020000,176.238579,186.297565,220.717189,14.329110,-61.653823,26.573419,0.013954
0.020000,176.500397,186.300903,220.979029,13.091992,-61.855920,-10.104828,0.011543
0.020000,176.737647,186.303384,221.216291,11.863108,-61.444205,20.585755,0.009374
0.020000,176.950398,186.305172,221.429050,10.637950,-61.257879,9.316310,0.007441
0.020000,177.138712,186.306413,221.617369,9.415911,-61.101960,7.795933,0.005740
0.020000,177.302559,186.307233,221.781218,8.192466,-61.172243,-3.514175,0.004266
0.020000,177.442025,186.307741,221.920684,6.973307,-60.957937,10.715333,0.003017
0.020000,177.557255,186.308029,222.035915,5.761535,-60.588606,18.466540,0.001988
0.020000,177.648039,186.308173,222.126699,4.539187,-61.117406,-26.439979,0.001180
0.020000,177.714614,186.308232,222.193274,3.328774,-60.520675,29.836516,0.000589
0.020000,177.756947,186.308249,222.235607,2.116657,-60.605839,-4.258197,0.000214
0.020000,177.776565,186.308251,222.255225,0.980885,-56.788582,190.862857,0.000040
0.020000,177.781081,186.308252,222.259741,0.225811,-37.753726,951.742805,6.283185
0.020000,177.781081,186.308252,222.259741,0.000000,-11.290531,1323.159730,6.283185
