dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.058870,19.804101,0.005378,0.537828,26.891384,1344.569183,0.786265
0.020000,53.056822,19.802050,0.008277,0.144917,-19.645521,-2326.845252,0.786038
0.020000,53.052728,19.797952,0.014069,0.289632,7.235721,1344.062143,0.785584
0.020000,53.079800,19.825010,0.052345,1.913783,81.207574,3698.592631,0.784903
0.020000,53.132528,19.877638,0.126843,3.724910,90.556324,467.437471,0.783997
0.020000,53.198525,19.943376,0.219994,4.657553,46.632176,-2196.207380,0.782866
0.020000,53.277850,20.022193,0.331818,5.591183,46.681481,2.465279,0.781513
0.020000,53.370571,20.114052,0.462337,6.525937,46.737693,2.810555,0.779939
0.020000,53.476770,20.218909,0.611579,7.462111,46.808740,3.552382,0.778146
0.020000,53.596538,20.336715,0.779575,8.399824,46.885610,3.843500,0.776136
0.020000,53.729979,20.467416,0.966362,9.339334,46.975516,4.495289,0.773913
0.020000,53.877207,20.610950,1.171978,10.280790,47.072795,4.863929,0.771479
0.020000,54.038346,20.767251,1.396468,11.224502,47.185597,5.640105,0.768839
0.020000,54.213533,20.936247,1.639881,12.170674,47.308590,6.149645,0.765995
0.020000,54.402912,21.117861,1.902271,13.119469,47.439782,6.559634,0.762952
0.020000,54.606641,21.312013,2.183696,14.071288,47.590929,7.557330,0.759715
0.020000,54.824885,21.518614,2.484220,15.026185,47.744854,7.696257,0.756289
0.020000,55.057820,21.737573,2.803910,15.984516,47.916539,8.584241,0.752679
0.020000,55.305631,21.968795,3.142841,16.946538,48.101117,9.228891,0.748890
0.020000,55.568513,22.212180,3.501091,17.912489,48.297563,9.822323,0.744929
0.020000,55.846668,22.467624,3.878744,18.882664,48.508729,10.558302,0.740803
0.020000,56.140307,22.735020,4.275890,19.857279,48.730761,11.101571,0.736519
0.020000,56.449650,23.014259,4.692624,20.836719,48.972008,12.062347,0.732083
0.020000,56.774923,23.305227,5.129046,21.821104,49.219237,12.361483,0.727504
0.020000,57.116358,23.607809,5.585264,22.810864,49.487993,13.437815,0.722791
0.020000,57.474197,23.921889,6.061388,23.806236,49.768630,14.031825,0.717951
0.020000,57.848685,24.247348,6.557538,24.807473,50.061815,14.659255,0.712995
0.020000,58.240072,24.584067,7.073836,25.814902,50.371466,15.482568,0.707932
