dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.996034,38.749999,0.005380,0.537976,26.898806,1344.940308,0.000311
0.020000,40.996530,38.750000,0.005875,0.024782,-25.659704,-2627.925529,0.000272
0.020000,40.997520,38.750000,0.006866,0.049515,1.236656,1344.818046,0.000194
0.020000,40.999003,38.750000,0.008349,0.074150,1.231766,-0.244510,0.000078
0.020000,41.043588,38.749998,0.052933,2.229232,107.754068,5326.115084,6.283109
0.020000,41.153642,38.749979,0.162987,5.502700,163.673419,2795.967569,6.282916
0.020000,41.285695,38.749928,0.295041,6.602666,54.998285,-5433.756718,6.282685
0.020000,41.439743,38.749831,0.449088,7.702389,54.986140,-0.607249,6.282418
0.020000,41.615778,38.749669,0.625123,8.801746,54.967875,-0.913250,6.282113
0.020000,41.813792,38.749423,0.823137,9.900706,54.947986,-0.994441,6.281772
0.020000,42.033776,38.749071,1.043122,10.999235,54.926465,-1.076062,6.281396
0.020000,42.275722,38.748588,1.285068,12.097298,54.903115,-1.167479,6.280986
0.020000,42.539615,38.747949,1.548962,13.194706,54.870410,-1.635263,6.280541
0.020000,42.825448,38.747125,1.834796,14.291691,54.849262,-1.057427,6.280064
0.020000,43.133204,38.746086,2.142554,15.387886,54.809732,-1.976502,6.279555
0.020000,43.462871,38.744800,2.472224,16.483487,54.780085,-1.482332,6.279015
0.020000,43.814434,38.743233,2.823790,17.578342,54.742755,-1.866481,6.278445
0.020000,44.187878,38.741351,3.197239,18.672407,54.703247,-1.975399,6.277847
0.020000,44.583184,38.739117,3.592552,19.765650,54.662125,-2.056136,6.277222
0.020000,45.000337,38.736494,4.009712,20.858037,54.619363,-2.138066,6.276571
0.020000,45.439314,38.733442,4.448700,21.949394,54.567837,-2.576315,6.275896
0.020000,45.900099,38.729922,4.909499,23.039930,54.526801,-2.051805,6.275198
0.020000,46.382668,38.725894,5.392085,24.129307,54.468861,-2.896971,6.274479
0.020000,46.887002,38.721316,5.896439,25.217716,54.420448,-2.420676,6.273741
0.020000,47.413076,38.716148,6.422539,26.304984,54.363412,-2.851770,6.272985
0.020000,47.960867,38.710348,6.970361,27.391081,54.304820,-2.929621,6.272212
0.020000,48.530350,38.703874,7.539880,28.475973,54.244631,-3.009451,6.271426
0.020000,49.121499,38.696685,8.131073,29.559629,54.182800,-3.091537,6.270628
0.020000,49.734287,38.688741,8.743912,30.641991,54.118061,-3.236958,6.269820
0.020000,50.368686,38.680001,9.378371,31.722945,54.047723,-3.516896,6.269003
0.020000,51.024668,38.670427,10.034423,32.802595,53.982479,-3.262203,6.268181
0.020000,51.702203,38.659979,10.712039,33.880772,53.908884,-3.679742,6.267356
0.020000,52.401259,38.648622,11.411187,34.957437,53.833222,-3.783095,6.266529
0.020000,53.121807,38.636321,12.131840,36.032618,53.759046,-3.708846,6.265704
0.020000,53.863812,38.623041,12.873964,37.106224,53.680320,-3.936288,6.264882
0.020000,54.627242,38.608753,13.637528,38.178195,53.598562,-4.087892,6.264067
0.020000,55.412063,38.593428,14.422498,39.248493,53.514881,-4.184049,6.263260
0.020000,56.218239,38.577040,15.228841,40.317143,53.432499,-4.119085,6.262465
0.020000,57.045734,38.559565,16.056520,41.383964,53.341038,-4.573083,6.261684
0.020000,57.894512,38.540986,16.905501,42.449057,53.254681,-4.317804,6.260920
0.020000,58.764534,38.521285,17.775747,43.512284,53.161315,-4.668329,6.260176
0.020000,59.655763,38.500451,18.667219,44.573602,53.065900,-4.770758,6.259456
0.020000,60.568158,38.478475,19.579879,45.633013,52.970573,-4.766326,6.258761
0.020000,61.501681,38.455355,20.513688,46.690427,52.870713,-4.992987,6.258095
0.020000,62.456289,38.431092,21.468605,47.745841,52.770687,-5.001314,6.257461
0.020000,63.431943,38.405693,22.444589,48.799203,52.668103,-5.129228,6.256863
0.020000,64.428598,38.379169,23.441597,49.850405,52.560110,-5.399635,6.256304
0.020000,65.446213,38.351539,24.459587,50.899496,52.454537,-5.278652,6.255786
0.020000,66.484743,38.322827,25.498514,51.946351,52.342750,-5.589330,6.255315
0.020000,67.544144,38.293065,26.558333,52.990957,52.230321,-5.621465,6.254892
0.020000,68.624371,38.262288,27.638998,54.033273,52.115755,-5.728306,6.254523
0.020000,69.725379,38.230543,28.740463,55.073238,51.998274,-5.874036,6.254209
0.020000,70.847119,38.197883,29.862679,56.110795,51.877860,-6.020723,6.253956
0.020000,71.989546,38.164367,31.005597,57.145918,51.756115,-6.087246,6.253768
0.020000,73.152611,38.130065,32.169168,58.178542,51.631233,-6.244102,6.253647
0.020000,74.336266,38.095054,33.353340,59.208613,51.503549,-6.384170,6.253598
0.020000,75.540460,38.059423,34.558062,60.236088,51.373733,-6.490814,6.253625
0.020000,76.765145,38.023268,35.783280,61.260907,51.240976,-6.637875,6.253732
0.020000,78.010268,37.986695,37.028941,62.283019,51.105606,-6.768502,6.253924
0.020000,79.275779,37.949821,38.294988,63.302369,50.967489,-6.905811,6.254204
0.020000,80.561623,37.912777,39.581366,64.318897,50.826380,-7.055444,6.254578
0.020000,81.867748,37.875699,40.888017,65.332538,50.682039,-7.217053,6.255049
0.020000,83.194098,37.838741,42.214882,66.343275,50.536866,-7.258646,6.255623
0.020000,84.540618,37.802066,43.561902,67.350966,50.384529,-7.616858,6.256304
0.020000,85.907251,37.765851,44.929014,68.355642,50.233799,-7.536520,6.257096
0.020000,87.293939,37.730284,46.316158,69.357170,50.076406,-7.869628,6.258006
0.020000,88.700621,37.695570,47.723268,70.355507,49.916870,-7.976809,6.259037
0.020000,90.127236,37.661926,49.150280,71.350590,49.754137,-8.136674,6.260195
0.020000,91.573721,37.629584,50.597127,72.342341,49.587543,-8.329664,6.261485
0.020000,93.040012,37.598792,52.063741,73.330711,49.418510,-8.451674,6.262912
0.020000,94.526042,37.569814,53.550053,74.315625,49.245699,-8.640541,6.264483
0.020000,96.031741,37.542928,55.055992,75.296951,49.066303,-8.969780,6.266201
0.020000,97.557038,37.518432,56.581486,76.274707,48.887815,-8.924419,6.268074
0.020000,99.101860,37.496638,58.126462,77.248768,48.703053,-9.238099,6.270107
0.020000,100.666128,37.477880,59.690843,78.219038,48.513463,-9.479484,6.272305
0.020000,102.249763,37.462506,61.274552,79.185466,48.321421,-9.602113,6.274675
0.020000,103.852680,37.450886,62.877511,80.147960,48.124721,-9.835002,6.277223
0.020000,105.474792,37.443410,64.499640,81.106467,47.925355,-9.968330,6.279955
0.020000,107.116008,37.440485,66.140859,82.060914,47.722306,-10.152439,6.282878
0.020000,108.776229,37.442543,67.801081,83.011111,47.509876,-10.621479,0.002813
0.020000,110.455355,37.450033,69.480224,83.957156,47.302249,-10.381346,0.006137
0.020000,112.153279,37.463429,71.178201,84.898840,47.084183,-10.903329,0.009671
0.020000,113.869887,37.483227,72.894923,85.836111,46.863583,-11.029997,0.013423
0.020000,115.605060,37.509944,74.630301,86.768921,46.640478,-11.155221,0.017400
0.020000,117.358671,37.544123,76.384245,87.697180,46.412966,-11.375613,0.021608
0.020000,119.130585,37.586330,78.156662,88.620830,46.182509,-11.522859,0.026055
0.020000,120.920661,37.637155,79.947459,89.539885,45.952705,-11.490203,0.030749
0.020000,122.728745,37.697214,81.756541,90.454082,45.709849,-12.142810,0.035695
0.020000,124.554679,37.767148,83.583814,91.363647,45.478265,-11.579160,0.040903
0.020000,126.398290,37.847624,85.429181,92.268328,45.234035,-12.211535,0.046380
0.020000,128.259396,37.939335,87.292544,93.168182,44.992734,-12.065037,0.052133
0.020000,130.137801,38.043000,89.173808,94.063201,44.750934,-12.089984,0.058169
0.020000,132.033300,38.159366,91.072876,94.953369,44.508403,-12.126553,0.064497
0.020000,133.945672,38.289205,92.989650,95.838714,44.267260,-12.057143,0.071124
0.020000,135.874683,38.433319,94.924036,96.719324,44.030473,-11.839384,0.078058
0.020000,137.820081,38.592535,96.875939,97.595117,43.789679,-12.039698,0.085305
0.020000,139.781601,38.767706,98.845266,98.466348,43.561519,-11.408004,0.092873
0.020000,141.758961,38.959713,100.831926,99.333012,43.333198,-11.416014,0.100770
0.020000,143.751859,39.169465,102.835832,100.195288,43.113816,-10.969102,0.109001
0.020000,145.759976,39.397893,104.856899,101.053360,42.903591,-10.511275,0.117575
0.020000,147.782973,39.645956,106.895048,101.907437,42.703848,-9.987137,0.126496
0.020000,149.820489,39.914638,108.950203,102.757775,42.516937,-9.345577,0.135772
0.020000,151.872145,40.204945,111.022296,103.604660,42.344215,-8.636070,0.145406
0.020000,153.937538,40.517905,113.111266,104.448468,42.190402,-7.690641,0.155405
0.020000,156.016243,40.854570,115.217056,105.289540,42.053637,-6.838249,0.165772
0.020000,158.107810,41.216008,117.339624,106.128366,41.941250,-5.619351,0.176511
0.020000,160.211769,41.603309,119.478933,106.965454,41.854438,-4.340614,0.187625
0.020000,162.321411,42.016322,121.628623,107.484518,25.953206,-795.061587,0.199081
0.020000,164.420275,42.452523,123.772335,107.185607,-14.945571,-2044.938864,0.210787
0.020000,166.494681,42.909218,125.896420,106.204211,-49.069804,-1706.211667,0.222657
0.020000,168.540925,43.385390,127.997336,105.045834,-57.918868,-442.453189,0.234658
0.020000,170.558960,43.880723,130.075273,103.896843,-57.449540,23.466427,0.246772
0.020000,172.548766,44.394870,132.130431,102.757906,-56.946845,25.134712,0.258985
0.020000,174.510318,44.927445,134.162997,101.628277,-56.481432,23.270653,0.271283
0.020000,176.443616,45.478038,136.173169,100.508625,-55.982610,24.941110,0.283649
0.020000,178.348668,46.046204,138.161142,99.398632,-55.499632,24.148925,0.296068
0.020000,180.225495,46.631472,140.127107,98.298258,-55.018717,24.045716,0.308526
0.020000,182.074134,47.233346,142.071256,97.207460,-54.539883,23.941706,0.321007
0.020000,183.894623,47.851300,143.993767,96.125542,-54.095905,22.198905,0.333497
0.020000,185.687038,48.484796,145.894838,95.053538,-53.600209,24.784786,0.345982
0.020000,187.451441,49.133265,147.774633,93.989738,-53.189979,20.511532,0.358446
0.020000,189.187926,49.796126,149.633333,92.935022,-52.735847,22.706587,0.370878
0.020000,190.896596,50.472779,151.471107,91.888708,-52.315663,21.009174,0.383264
0.020000,192.577566,51.162612,153.288118,90.850546,-51.908108,20.377746,0.395590
0.020000,194.230955,51.864993,155.084512,89.819709,-51.541876,18.311635,0.407845
0.020000,195.856908,52.579287,156.860446,88.796682,-51.151346,19.526498,0.420017
0.020000,197.455572,53.304846,158.616055,87.780454,-50.811364,16.999070,0.432096
0.020000,199.027115,54.041016,160.351478,86.771134,-50.465997,17.268393,0.444070
0.020000,200.571702,54.787135,162.066833,85.767766,-50.168405,14.879566,0.455931
0.020000,202.089516,55.542537,163.762236,84.770144,-49.881101,14.365226,0.467668
0.020000,203.580751,56.306557,165.437798,83.778118,-49.601324,13.988839,0.479274
0.020000,205.045617,57.078531,167.093629,82.791545,-49.328632,13.634597,0.490740
0.020000,206.484298,57.857777,168.729792,81.808132,-49.170637,7.899747,0.502060
0.020000,207.897036,58.643643,170.346397,80.830272,-48.893024,13.880646,0.513227
0.020000,209.284047,59.435461,171.943513,79.855763,-48.725459,8.378245,0.524235
