dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,41.000000,26.000000,0.005380,0.537976,26.898806,1344.940308,0.000311
0.020000,41.000000,26.000000,0.026899,1.613928,53.797612,1344.940308,0.000272
0.020000,41.000000,26.000000,0.069937,2.689881,53.797612,-0.000000,0.000194
0.020000,41.000000,26.000000,0.134494,3.765833,53.797612,0.000000,0.000078
0.020000,41.042612,25.999998,0.220570,4.841785,53.797612,0.000000,6.283109
0.020000,41.150207,25.999980,0.328165,5.917737,53.797612,0.000000,6.282916
0.020000,41.279321,25.999930,0.457280,6.993690,53.797612,-0.000000,6.282685
0.020000,41.429954,25.999835,0.607913,8.069642,53.797612,0.000000,6.282418
0.020000,41.602107,25.999676,0.780065,9.145594,53.797612,-0.000000,6.282113
0.020000,41.795778,25.999436,0.973737,10.221546,53.797612,0.000000,6.281772
0.020000,42.010968,25.999091,1.188927,11.297499,53.797612,0.000000,6.281396
0.020000,42.247678,25.998619,1.425637,12.373451,53.797612,-0.000000,6.280986
0.020000,42.505905,25.997993,1.683865,13.449403,53.797612,0.000000,6.280541
0.020000,42.785652,25.997187,1.963613,14.525355,53.797612,0.000000,6.280064
0.020000,43.086916,25.996170,2.264879,15.601308,53.797612,0.000000,6.279555
0.020000,43.409700,25.994911,2.587665,16.677260,53.797612,0.000000,6.279015
0.020000,43.754001,25.993377,2.931970,17.753212,53.797612,-0.000000,6.278445
0.020000,44.119820,25.991533,3.297794,18.829164,53.797612,0.000000,6.277847
0.020000,44.507157,25.989344,3.685136,19.905117,53.797612,0.000000,6.277222
0.020000,44.916011,25.986773,4.093998,20.981069,53.797612,0.000000,6.276571
0.020000,45.346381,25.983781,4.524379,22.057021,53.797612,0.000000,6.275896
0.020000,45.798268,25.980329,4.976279,23.132973,53.797612,0.000000,6.275198
0.020000,46.271670,25.976377,5.449698,24.208926,53.797612,-0.000000,6.274479
0.020000,46.766588,25.971885,5.944636,25.284878,53.797612,0.000000,6.273741
0.020000,47.283020,25.966811,6.461093,26.360830,53.797612,0.000000,6.272985
0.020000,47.820966,25.961115,6.999069,27.436782,53.797612,0.000000,6.272212
0.020000,48.380425,25.954755,7.558565,28.512735,53.797612,0.000000,6.271426
0.020000,48.961396,25.947691,8.139579,29.588687,53.797612,0.000000,6.270628
0.020000,49.563879,25.939880,8.742112,30.664639,53.797612,0.000000,6.269820
0.020000,50.187872,25.931284,9.366164,31.740591,53.797612,0.000000,6.269003
0.020000,50.833375,25.921862,10.011736,32.816544,53.797612,0.000000,6.268181
0.020000,51.500386,25.911577,10.678826,33.892496,53.797612,0.000000,6.267356
0.020000,52.188904,25.900391,11.367435,34.968448,53.797612,0.000000,6.266529
0.020000,52.898929,25.888269,12.077564,36.044400,53.797612,0.000000,6.265704
0.020000,53.630460,25.875177,12.809211,37.120353,53.797612,0.000000,6.264882
0.020000,54.383495,25.861083,13.562378,38.196305,53.797612,0.000000,6.264067
0.020000,55.158032,25.845959,14.337064,39.272257,53.797612,-0.000000,6.263260
0.020000,55.954073,25.829777,15.133268,40.348209,53.797612,0.000000,6.262465
0.020000,56.771614,25.812513,15.950992,41.424161,53.797612,0.000000,6.261684
0.020000,57.610656,25.794146,16.790235,42.500114,53.797612,0.000000,6.260920
0.020000,58.471198,25.774660,17.650997,43.576066,53.797612,0.000000,6.260176
0.020000,59.353237,25.754040,18.533277,44.652018,53.797612,0.000000,6.259456
0.020000,60.256775,25.732278,19.437077,45.727970,53.797612,0.000000,6.258761
0.020000,61.181810,25.709368,20.362396,46.803923,53.797612,0.000000,6.258095
0.020000,62.128342,25.685311,21.309234,47.879875,53.797612,0.000000,6.257461
0.020000,63.096372,25.660109,22.277591,48.955827,53.797612,0.000000,6.256863
0.020000,64.085897,25.633776,23.267467,50.031779,53.797612,0.000000,6.256304
0.020000,65.096920,25.606325,24.278862,51.107732,53.797612,0.000000,6.255786
0.020000,66.129440,25.577779,25.311777,52.183684,53.797612,-0.000000,6.255315
0.020000,67.183457,25.548167,26.366210,53.259636,53.797612,0.000000,6.254892
0.020000,68.258973,25.517525,27.442162,54.335588,53.797612,0.000000,6.254523
0.020000,69.355988,25.485895,28.539633,55.411541,53.797612,0.000000,6.254209
0.020000,70.474505,25.453329,29.658624,56.487493,53.797612,0.000000,6.253956
0.020000,71.614524,25.419883,30.799133,57.563445,53.797612,0.000000,6.253768
0.020000,72.776047,25.385627,31.961161,58.639397,53.797612,0.000000,6.253647
0.020000,73.959077,25.350635,33.144709,59.715350,53.797612,0.000000,6.253598
0.020000,75.163617,25.314993,34.349775,60.791302,53.797612,0.000000,6.253625
0.020000,76.389668,25.278797,35.576361,61.867254,53.797612,0.000000,6.253732
0.020000,77.637235,25.242153,36.824466,62.943206,53.797612,0.000000,6.253924
0.020000,78.906320,25.205176,38.094089,64.019159,53.797612,0.000000,6.254204
0.020000,80.196927,25.167993,39.385232,65.095111,53.797612,-0.000000,6.254578
0.020000,81.509060,25.130746,40.697894,66.171063,53.797612,0.000000,6.255049
0.020000,82.842723,25.093584,42.032075,67.247015,53.797612,-0.000000,6.255623
0.020000,84.197920,25.056673,43.387774,68.322968,53.797612,0.000000,6.256304
0.020000,85.574656,25.020190,44.764993,69.398920,53.797612,-0.000000,6.257096
0.020000,86.972934,24.984326,46.163731,70.474872,53.797612,0.000000,6.258006
0.020000,88.392759,24.949287,47.583988,71.550824,53.797612,0.000000,6.259037
0.020000,89.834134,24.915295,49.025764,72.626777,53.797612,-0.000000,6.260195
0.020000,91.297064,24.882586,50.489059,73.702729,53.797612,0.000000,6.261485
0.020000,92.781550,24.851412,51.973873,74.778681,53.797612,-0.000000,6.262912
0.020000,94.287597,24.822044,53.480206,75.854633,53.797612,0.000000,6.264483
0.020000,95.815205,24.794767,55.008059,76.930586,53.797612,-0.000000,6.266201
0.020000,97.364377,24.769887,56.557430,78.006538,53.797612,0.000000,6.268074
0.020000,98.935111,24.747729,58.128320,79.082490,53.797612,-0.000000,6.270107
0.020000,100.527405,24.728634,59.720729,80.158442,53.797612,0.000000,6.272305
0.020000,102.141257,24.712968,61.334658,81.234395,53.797612,-0.000000,6.274675
0.020000,103.776661,24.701113,62.970105,82.310347,53.797612,0.000000,6.277223
0.020000,105.433609,24.693476,64.627072,83.386299,53.797612,-0.000000,6.279955
0.020000,107.112092,24.690486,66.305557,84.462251,53.797612,0.000000,6.282878
0.020000,108.812094,24.692593,68.005562,85.538204,53.797612,0.000000,0.002813
0.020000,110.533600,24.700273,69.727085,86.614156,53.797612,-0.000000,0.006137
0.020000,112.276588,24.714026,71.470128,87.690108,53.797612,0.000000,0.009671
0.020000,114.041031,24.734376,73.234690,88.766060,53.797612,-0.000000,0.013423
0.020000,115.826899,24.761874,75.020770,89.842013,53.797612,0.000000,0.017400
0.020000,117.634154,24.797100,76.828370,90.917965,53.797612,-0.000000,0.021608
0.020000,119.462752,24.840658,78.657489,91.993917,53.797612,0.000000,0.026055
