dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,41.003966,13.250001,0.005380,0.537976,26.898806,1344.940308,0.000311
0.020000,41.003470,13.250000,0.005875,0.024782,-25.659704,-2627.925529,0.000272
0.020000,41.002480,13.250000,0.006866,0.049515,1.236656,1344.818046,0.000194
0.020000,41.000997,13.250000,0.008349,0.074150,1.231766,-0.244510,0.000078
0.020000,41.041636,13.249998,0.048988,2.031956,97.890256,4832.924480,6.283109
0.020000,41.146773,13.249980,0.154125,5.256841,161.244264,3167.700398,6.282916
0.020000,41.272947,13.249932,0.280299,6.308720,52.593940,-5432.516182,6.282685
0.020000,41.420166,13.249838,0.427518,7.360944,52.611210,0.863487,6.282418
0.020000,41.588436,13.249684,0.595788,8.413492,52.627429,0.810964,6.282113
0.020000,41.777764,13.249448,0.785116,9.466430,52.646886,0.972859,6.281772
0.020000,41.988160,13.249111,0.995513,10.519822,52.669566,1.133981,6.281396
0.020000,42.219634,13.248650,1.226987,11.573727,52.695273,1.285336,6.280986
0.020000,42.472195,13.248038,1.479549,12.628063,52.716792,1.075979,6.280541
0.020000,42.745857,13.247249,1.753212,13.683145,52.754127,1.866728,6.280064
0.020000,43.040629,13.246254,2.047986,14.738718,52.778610,1.224158,6.279555
0.020000,43.356528,13.245022,2.363887,15.795063,52.817287,1.933852,6.279015
0.020000,43.693568,13.243520,2.700930,16.852130,52.853326,1.801946,6.278445
0.020000,44.051762,13.241715,3.059129,17.909969,52.891982,1.932790,6.277847
0.020000,44.431129,13.239571,3.438502,18.968645,52.933781,2.089942,6.277222
0.020000,44.831686,13.237052,3.839066,20.028219,52.978686,2.245252,6.276571
0.020000,45.253448,13.234119,4.260839,21.088615,53.019834,2.057395,6.275896
0.020000,45.696437,13.230735,4.703841,22.150130,53.075705,2.793590,6.275198
0.020000,46.160672,13.226860,5.168092,23.212529,53.119962,2.212809,6.274479
0.020000,46.646174,13.222453,5.653614,24.276089,53.177989,2.901362,6.273741
0.020000,47.152964,13.217475,6.160428,25.340735,53.232319,2.716526,6.272985
0.020000,47.681065,13.211883,6.688559,26.406530,53.289727,2.870367,6.272212
0.020000,48.230500,13.205637,7.238030,27.473533,53.350157,3.021499,6.271426
0.020000,48.801294,13.198696,7.808866,28.541804,53.413550,3.169664,6.270628
0.020000,49.393472,13.191019,8.401093,29.611377,53.478667,3.255829,6.269820
0.020000,50.007058,13.182566,9.014738,30.682235,53.542883,3.210830,6.269003
0.020000,50.642082,13.173297,9.649829,31.754565,53.616524,3.682041,6.268181
0.020000,51.298570,13.163174,10.306395,32.828297,53.686572,3.502401,6.267356
0.020000,51.976550,13.152159,10.984465,33.903478,53.759082,3.625508,6.266529
0.020000,52.676052,13.140217,11.684069,34.980228,53.837491,3.920437,6.265704
0.020000,53.397108,13.127312,12.405240,36.058547,53.915937,3.922320,6.264882
0.020000,54.139747,13.113413,13.148009,37.138464,53.995876,3.996922,6.264067
0.020000,54.904002,13.098490,13.912410,38.220032,54.078374,4.124904,6.263260
0.020000,55.689907,13.082513,14.698477,39.303363,54.166570,4.409790,6.262465
0.020000,56.497494,13.065460,15.506245,40.388370,54.250343,4.188685,6.261684
0.020000,57.326800,13.047306,16.335750,41.475241,54.343524,4.659044,6.260920
0.020000,58.177861,13.028035,17.187028,42.563926,54.434297,4.538631,6.260176
0.020000,59.050712,13.007630,18.060118,43.654476,54.527502,4.660261,6.259456
0.020000,59.945392,12.986081,18.955057,44.746981,54.625247,4.887256,6.258761
0.020000,60.861940,12.963381,19.871886,45.841442,54.723019,4.888609,6.258095
0.020000,61.800396,12.939529,20.810645,46.937944,54.825118,5.104938,6.257461
0.020000,62.760801,12.914526,21.771376,48.036529,54.929224,5.205286,6.256863
0.020000,63.743197,12.888382,22.754119,49.137180,55.032552,5.166409,6.256304
0.020000,64.747627,12.861110,23.758920,50.240037,55.142847,5.514743,6.255786
0.020000,65.774136,12.832731,24.785821,51.345069,55.251641,5.439691,6.255315
0.020000,66.822770,12.803270,25.834868,52.452359,55.364470,5.641473,6.254892
0.020000,67.893574,12.772762,26.906108,53.561957,55.479917,5.772336,6.254523
0.020000,68.986598,12.741247,27.999586,54.673903,55.597268,5.867579,6.254209
0.020000,70.101890,12.708774,29.115350,55.788234,55.716568,5.964956,6.253956
0.020000,71.239501,12.675400,30.253451,56.905024,55.839481,6.145656,6.253768
0.020000,72.399483,12.641189,31.413937,58.024309,55.964293,6.240629,6.253647
0.020000,73.581889,12.606215,32.596860,59.146138,56.091423,6.356512,6.253598
0.020000,74.786773,12.570564,33.802271,60.270571,56.221634,6.510514,6.253625
0.020000,76.014191,12.534327,35.030224,61.397655,56.354220,6.629297,6.253732
0.020000,77.264201,12.497611,36.280773,62.527447,56.489619,6.769983,6.253924
0.020000,78.536861,12.460530,37.553973,63.660004,56.627817,6.909870,6.254204
0.020000,79.832231,12.423210,38.849881,64.795377,56.768689,7.043592,6.254578
0.020000,81.150372,12.385792,40.168553,65.933620,56.912124,7.171749,6.255049
0.020000,82.491349,12.348427,41.510050,67.074834,57.060686,7.428136,6.255623
0.020000,83.855223,12.311279,42.874430,68.218996,57.208122,7.371765,6.256304
0.020000,85.242061,12.274528,44.261755,69.366265,57.363450,7.766422,6.257096
0.020000,86.651930,12.238367,45.672088,70.516634,57.518457,7.750329,6.258006
0.020000,88.084898,12.203005,47.105492,71.670192,57.677874,7.970863,6.259037
0.020000,89.541033,12.168665,48.562032,72.827008,57.840797,8.146179,6.260195
0.020000,91.020406,12.135588,50.041775,73.987142,58.006713,8.295772,6.261485
0.020000,92.523089,12.104032,51.544788,75.150687,58.177234,8.526040,6.262912
0.020000,94.049153,12.074273,53.071143,76.317710,58.351156,8.696097,6.264483
0.020000,95.598670,12.046606,54.620907,77.488224,58.525739,8.729163,6.266201
0.020000,97.171715,12.021343,56.194155,78.662401,58.708833,9.154691,6.268074
0.020000,98.768362,11.998819,57.790960,79.840265,58.893195,9.218109,6.270107
0.020000,100.388683,11.979389,59.411398,81.021873,59.080419,9.361217,6.272305
0.020000,102.032752,11.963429,61.055544,82.207335,59.273067,9.632380,6.274675
0.020000,103.700642,11.951340,62.723479,83.396713,59.468939,9.793602,6.277223
0.020000,105.392427,11.943543,64.415281,84.590117,59.670160,10.061049,6.279955
0.020000,107.108177,11.940487,66.131034,85.787631,59.875703,10.277172,6.282878
0.020000,108.847960,11.942644,67.870818,86.989222,60.079575,10.193593,0.002813
0.020000,110.611845,11.950513,69.634721,88.195153,60.296558,10.849123,0.006137
0.020000,112.399897,11.964622,71.422829,89.405365,60.510571,10.700650,0.009671
0.020000,114.212175,11.985524,73.235228,90.619959,60.729701,10.956502,0.013423
0.020000,116.048738,12.013804,75.072008,91.839034,60.953735,11.201721,0.017400
0.020000,117.909638,12.050076,76.933261,93.062640,61.180323,11.329393,0.021608
0.020000,119.794920,12.094985,78.819078,94.290851,61.410569,11.512311,0.026055
0.020000,121.704626,12.149209,80.729554,95.523807,61.647771,11.860106,0.030749
0.020000,123.638786,12.213458,82.664781,96.761339,61.876627,11.442793,0.035695
0.020000,125.597426,12.288477,84.624857,98.003785,62.122300,12.283624,0.040903
0.020000,127.580556,12.375046,86.609876,99.250950,62.358254,11.797711,0.046380
0.020000,129.588179,12.473979,88.619935,100.502951,62.600012,12.087901,0.052133
0.020000,131.620283,12.586129,90.655131,101.759802,62.842588,12.128815,0.058169
0.020000,133.676841,12.712386,92.715561,103.021486,63.084187,12.079956,0.064497
0.020000,135.757810,12.853676,94.801320,104.287993,63.325330,12.057136,0.071124
0.020000,137.863129,13.010965,96.912507,105.559338,63.567239,12.095472,0.078058
0.020000,139.992715,13.185259,99.049213,106.835307,63.798491,11.562577,0.085305
0.020000,142.146463,13.377601,101.211533,108.116001,64.034678,11.809365,0.092873
0.020000,144.324243,13.589074,103.399557,109.401180,64.258930,11.212603,0.100770
0.020000,146.525897,13.820802,105.613372,110.690739,64.477992,10.953074,0.109001
0.020000,148.751235,14.073944,107.853062,111.984511,64.688569,10.528846,0.117575
0.020000,151.000036,14.349702,110.118707,113.282275,64.888224,9.982777,0.126496
0.020000,153.272043,14.649310,112.410383,114.583781,65.075300,9.353783,0.135772
0.020000,155.566956,14.974043,114.728157,115.888715,65.246683,8.569136,0.145406
0.020000,157.884436,15.325208,117.072093,117.196768,65.402672,7.799444,0.155405
0.020000,160.224098,15.704143,119.442242,118.507486,65.535868,6.659825,0.165772
0.020000,162.585507,16.112219,121.838652,119.820463,65.648870,5.650086,0.176511
0.020000,164.968176,16.550832,124.261356,121.135206,65.737147,4.413857,0.187625
0.020000,167.364499,17.019977,126.703170,122.090709,47.775153,-898.099692,0.199081
0.020000,169.755624,17.516925,129.145390,122.111008,1.014935,-2338.010913,0.210787
0.020000,172.125650,18.038710,131.572174,121.339203,-38.590248,-1980.259132,0.222657
0.020000,174.469927,18.584242,133.979090,120.345773,-49.671493,-554.062240,0.234658
0.020000,176.787969,19.153219,136.365940,119.342491,-50.164084,-24.629572,0.246772
0.020000,179.079311,19.745286,138.732539,118.329963,-50.626398,-23.115702,0.258985
0.020000,181.343485,20.360031,141.078684,117.307247,-51.135806,-25.470403,0.271283
