dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.656680,130.505838,0.005374,0.537400,26.869983,1343.499127,6.282372
0.020000,16.653872,130.505840,0.008182,0.140422,-19.848901,-2335.944198,6.282592
0.020000,16.648261,130.505842,0.013794,0.280559,7.006854,1342.787794,6.283032
0.020000,16.689399,130.505853,0.054932,2.056914,88.817785,4090.546551,0.000506
0.020000,16.764206,130.505924,0.129739,3.740337,84.171131,-232.332740,0.001383
0.020000,16.857756,130.506104,0.223289,4.677527,46.859511,-1865.580977,0.002475
0.020000,16.970079,130.506456,0.335612,5.616151,46.931189,3.583883,0.003781
0.020000,17.101206,130.507051,0.466741,6.556449,47.014905,4.185786,0.005298
0.020000,17.251179,130.507975,0.616716,7.498755,47.115290,5.019298,0.007023
0.020000,17.420040,130.509325,0.785583,8.443339,47.229187,5.694849,0.008953
0.020000,17.607840,130.511206,0.973393,9.390479,47.357036,6.392448,0.011082
0.020000,17.814635,130.513739,1.180203,10.340524,47.502244,7.260374,0.013407
0.020000,18.040485,130.517052,1.406077,11.293717,47.659627,7.869142,0.015923
0.020000,18.285456,130.521284,1.651085,12.250392,47.833757,8.706493,0.018624
0.020000,18.549620,130.526586,1.915302,13.210850,48.022890,9.456691,0.021505
0.020000,18.833053,130.533116,2.198810,14.175389,48.226983,10.204629,0.024558
0.020000,19.135836,130.541042,2.501697,15.144328,48.446911,10.996406,0.027778
0.020000,19.458055,130.550541,2.824056,16.117974,48.682317,11.770315,0.031156
0.020000,19.799803,130.561797,3.165989,17.096645,48.933559,12.562094,0.034685
0.020000,20.161174,130.575002,3.527602,18.080647,49.200115,13.327771,0.038356
0.020000,20.542271,130.590355,3.909008,19.070299,49.482599,14.124215,0.042161
0.020000,20.943199,130.608060,4.310326,20.065913,49.780672,14.903644,0.046090
0.020000,21.364067,130.628328,4.731682,21.067801,50.094411,15.686967,0.050134
0.020000,21.804991,130.651372,5.173208,22.076275,50.423675,16.463191,0.054282
0.020000,22.266089,130.677410,5.635040,23.091634,50.767972,17.214825,0.058522
0.020000,22.747485,130.706664,6.117324,24.114191,51.127855,17.994158,0.062845
0.020000,23.249306,130.739354,6.620209,25.144258,51.503319,18.773210,0.067238
0.020000,23.771685,130.775704,7.143851,26.182100,51.892143,19.441222,0.071689
0.020000,24.314757,130.815937,7.688412,27.228035,52.296710,20.228319,0.076185
0.020000,24.878664,130.860273,8.254058,28.282320,52.714281,20.878562,0.080714
0.020000,25.463549,130.908930,8.840964,29.345285,53.148240,21.697973,0.085261
0.020000,26.069561,130.962122,9.449307,30.417129,53.592183,22.197119,0.089812
0.020000,26.696855,131.020059,10.079270,31.498181,54.052615,23.021595,0.094354
0.020000,27.345588,131.082940,10.731043,32.588647,54.523311,23.534821,0.098871
0.020000,28.015922,131.150960,11.404820,33.688830,55.009132,24.291031,0.103348
0.020000,28.708025,131.224303,12.100798,34.798916,55.504323,24.759556,0.107770
0.020000,29.422070,131.303140,12.819182,35.919195,56.013923,25.479989,0.112121
0.020000,30.158235,131.387631,13.560179,37.049856,56.533052,25.956447,0.116384
0.020000,30.916703,131.477919,14.324002,38.191155,57.064979,26.596370,0.120543
0.020000,31.697664,131.574134,15.110868,39.343294,57.606945,27.098310,0.124580
0.020000,32.501316,131.676383,15.920999,40.506518,58.161178,27.711646,0.128479
0.020000,33.327862,131.784757,16.754619,41.681023,58.725241,28.203165,0.132221
0.020000,34.177513,131.899322,17.611960,42.867028,59.300280,28.751951,0.135789
0.020000,35.050491,132.020120,18.493255,44.064776,59.887364,29.354159,0.139164
0.020000,35.947023,132.147166,19.398745,45.274484,60.485417,29.902673,0.142328
0.020000,36.867350,132.280448,20.328673,46.496386,61.095095,30.483885,0.145260
0.020000,37.811720,132.419921,21.283286,47.730694,61.715417,31.016131,0.147943
0.020000,38.780395,132.565507,22.262841,48.977717,62.351122,31.785233,0.150355
0.020000,39.773649,132.717092,23.267594,50.237683,62.998332,32.360509,0.152477
0.020000,40.791767,132.874521,24.297812,51.510888,63.660245,33.095647,0.154288
0.020000,41.835050,133.037600,25.353764,52.797610,64.336085,33.792001,0.155766
0.020000,42.903815,133.206088,26.435728,54.098204,65.029720,34.681716,0.156890
0.020000,43.998393,133.379696,27.543988,55.412989,65.739226,35.475349,0.157637
0.020000,45.119131,133.558084,28.678835,56.742338,66.467457,36.411551,0.157986
0.020000,46.266396,133.740858,29.840568,58.086641,67.215170,37.385630,0.157911
0.020000,47.440572,133.927561,31.029494,59.446318,67.983833,38.433133,0.157390
0.020000,48.642060,134.117675,32.245930,60.821813,68.774772,39.546984,0.156397
0.020000,49.871281,134.310616,33.490202,62.213593,69.588989,40.710846,0.154906
0.020000,51.128677,134.505724,34.762645,63.622157,70.428205,41.960801,0.152893
0.020000,52.414706,134.702263,36.063606,65.048011,71.292711,43.225271,0.150328
0.020000,53.729845,134.899413,37.393440,66.491702,72.184519,44.590410,0.147185
0.020000,55.074588,135.096266,38.752515,67.953752,73.102493,45.898723,0.143434
0.020000,56.449445,135.291819,40.141209,69.434721,74.048463,47.298472,0.139047
0.020000,57.854938,135.484965,41.559912,70.935129,75.020423,48.598026,0.133991
0.020000,59.291601,135.674490,43.009022,72.455506,76.018820,49.919809,0.128237
0.020000,60.759972,135.859066,44.488948,73.996289,77.039142,51.016137,0.121751
0.020000,62.260590,136.037238,46.000106,75.557933,78.082233,52.154535,0.114502
0.020000,63.793989,136.207422,47.542920,77.140694,79.138027,52.789718,0.106456
0.020000,65.360687,136.367898,49.117816,78.744795,80.205036,53.350407,0.097580
0.020000,66.961181,136.516798,50.725221,80.370258,81.273172,53.406838,0.087839
0.020000,68.595930,136.652101,52.365559,82.016907,82.332432,52.963000,0.077202
0.020000,70.265342,136.771631,54.039245,83.684302,83.369751,51.865924,0.065635
0.020000,71.969761,136.873046,55.746679,85.371683,84.369063,49.965615,0.053107
0.020000,73.709444,136.953841,57.488237,87.077915,85.311582,47.125941,0.039588
0.020000,75.484541,137.011342,59.264266,88.801415,86.175020,43.171897,0.025051
0.020000,77.295071,137.042713,61.075067,90.540084,86.933442,37.921121,0.009473
0.020000,79.140895,137.044958,62.920892,92.291230,87.557284,31.192062,6.276019
0.020000,81.021685,137.014936,64.801922,94.051490,88.013012,22.786404,6.258304
0.020000,82.936900,136.949375,66.718258,95.816838,88.267414,12.720145,6.239506
0.020000,84.885749,136.844894,68.669906,97.582375,88.276849,0.471712,6.219624
0.020000,86.867166,136.698037,70.656758,99.342623,88.012410,-13.221939,6.198666
0.020000,88.879782,136.505305,72.678582,101.091162,87.426956,-29.272707,6.176651
0.020000,90.921907,136.263202,74.735008,102.821308,86.507281,-45.983754,6.153608
0.020000,92.991499,135.968292,76.825506,104.524888,85.178986,-66.414718,6.129578
0.020000,95.086179,135.617246,78.949398,106.194617,83.486466,-84.626002,6.104615
0.020000,97.203221,135.206915,81.105839,107.822035,81.370903,-105.778163,6.078784
0.020000,99.339570,134.734387,83.293822,109.399158,78.856134,-125.738464,6.052165
0.020000,101.491877,134.197050,85.512190,110.918409,75.962566,-144.678399,6.024848
0.020000,103.656536,133.592652,87.759643,112.372648,72.711943,-162.531153,5.996936
0.020000,105.788539,132.931667,89.991758,111.605739,-38.345449,-5552.869589,5.965887
