dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.635943,105.005847,0.005374,0.537400,26.869983,1343.499127,6.282372
0.020000,16.638751,105.005845,0.008182,0.140422,-19.848901,-2335.944198,6.282592
0.020000,16.644363,105.005843,0.013794,0.280559,7.006854,1342.787794,6.283032
0.020000,16.702306,105.005857,0.071737,2.897178,130.830955,6191.205046,0.000506
0.020000,16.799467,105.005948,0.168898,4.858055,98.043874,-1639.354074,0.001383
0.020000,16.920876,105.006183,0.290307,6.070447,60.619605,-1871.213436,0.002475
0.020000,17.066504,105.006638,0.435936,7.281453,60.550280,-3.466279,0.003781
0.020000,17.236317,105.007409,0.605751,8.490725,60.463605,-4.333736,0.005298
0.020000,17.430274,105.008604,0.799711,9.698032,60.365331,-4.913680,0.007023
0.020000,17.648328,105.010346,1.017772,10.903053,60.251081,-5.712519,0.008953
0.020000,17.890425,105.012772,1.259882,12.105476,60.121131,-6.497502,0.011082
0.020000,18.156507,105.016031,1.525983,13.305067,59.979557,-7.078675,0.013407
0.020000,18.446505,105.020284,1.816012,14.501454,59.819363,-8.009694,0.015923
0.020000,18.760345,105.025706,2.129900,15.694377,59.646127,-8.661809,0.018624
0.020000,19.097948,105.032482,2.467570,16.883523,59.457304,-9.441142,0.021505
0.020000,19.459224,105.040805,2.828942,18.068574,59.252569,-10.236794,0.024558
0.020000,19.844076,105.050879,3.213927,19.249230,59.032801,-10.988400,0.027778
0.020000,20.252403,105.062916,3.622430,20.425177,58.797345,-11.772794,0.031156
0.020000,20.684091,105.077134,4.054352,21.596107,58.546507,-12.541902,0.034685
0.020000,21.139021,105.093758,4.509586,22.761698,58.279538,-13.348441,0.038356
0.020000,21.617066,105.113016,4.988019,23.921642,57.997194,-14.117191,0.042161
0.020000,22.118090,105.135141,5.489531,25.075624,57.699094,-14.904988,0.046090
0.020000,22.641950,105.160367,6.013998,26.223333,57.385462,-15.681589,0.050134
0.020000,23.188493,105.188931,6.561287,27.364460,57.056327,-16.456787,0.054282
0.020000,23.757560,105.221065,7.131261,28.498687,56.711368,-17.247957,0.058522
0.020000,24.348984,105.257003,7.723775,29.625720,56.351642,-17.986287,0.062845
0.020000,24.962589,105.296975,8.338681,30.745272,55.977580,-18.703117,0.067238
0.020000,25.598192,105.341203,8.975821,31.857011,55.586990,-19.529479,0.071689
0.020000,26.255604,105.389905,9.635035,32.960679,55.183383,-20.180333,0.076185
0.020000,26.934628,105.443290,10.316154,34.055961,54.764086,-20.964876,0.080714
0.020000,27.635061,105.501558,11.019007,35.142638,54.333879,-21.510336,0.085261
0.020000,28.356694,105.564898,11.743414,36.220355,53.885813,-22.403312,0.089812
0.020000,29.099312,105.633483,12.489192,37.288924,53.428452,-22.868041,0.094354
0.020000,29.862695,105.707476,13.256153,38.348027,52.955148,-23.665194,0.098871
0.020000,30.646619,105.787021,14.044102,39.397475,52.472418,-24.136513,0.103348
0.020000,31.450855,105.872244,14.852841,40.436959,51.974229,-24.909451,0.107770
0.020000,32.275173,105.963254,15.682168,41.466303,51.467161,-25.353375,0.112121
0.020000,33.119336,106.060138,16.531872,42.485226,50.946149,-26.050627,0.116384
0.020000,33.983108,106.162960,17.401743,43.493536,50.415496,-26.532634,0.120543
0.020000,34.866251,106.271761,18.291562,44.490984,49.872437,-27.152933,0.124580
0.020000,35.768525,106.386557,19.201110,45.477380,49.319777,-27.633023,0.128479
0.020000,36.689691,106.507334,20.130160,46.452477,48.754871,-28.245279,0.132221
0.020000,37.629507,106.634054,21.078481,47.416057,48.178969,-28.795098,0.135789
0.020000,38.587735,106.766647,22.045839,48.367916,47.592990,-29.298985,0.139164
0.020000,39.564137,106.905009,23.031995,49.307822,46.995271,-29.885938,0.142328
0.020000,40.558475,107.049008,24.036706,50.235539,46.385857,-30.470704,0.145260
0.020000,41.570514,107.198473,25.059722,51.150795,45.762800,-31.152845,0.147943
0.020000,42.600019,107.353199,26.100790,52.053396,45.130040,-31.637999,0.150355
0.020000,43.646761,107.512945,27.159651,52.943036,44.482012,-32.401387,0.152477
0.020000,44.710508,107.677429,28.236040,53.819446,43.820514,-33.074891,0.154288
0.020000,45.791033,107.846327,29.329686,54.682304,43.142884,-33.881526,0.155766
0.020000,46.888111,108.019278,30.440312,55.531326,42.451074,-34.590478,0.156890
0.020000,48.001516,108.195872,31.567635,56.366142,41.740819,-35.512760,0.157637
0.020000,49.131025,108.375656,32.711363,57.186395,41.012637,-36.409085,0.157986
0.020000,50.276415,108.558130,33.871197,57.991690,40.264743,-37.394749,0.157911
0.020000,51.437461,108.742746,35.046829,58.781609,39.495994,-38.437448,0.157390
0.020000,52.613938,108.928905,36.237943,59.555711,38.705085,-39.545448,0.156397
0.020000,53.805618,109.115954,37.444214,60.313520,37.890456,-40.731437,0.154906
0.020000,55.012269,109.303190,38.665305,61.054548,37.051414,-41.952072,0.152893
0.020000,56.233653,109.489852,39.900870,61.778272,36.186167,-43.262394,0.150328
0.020000,57.469526,109.675124,41.150554,62.484172,35.295004,-44.558126,0.147185
0.020000,58.719636,109.858128,42.413987,63.171689,34.375841,-45.958145,0.143434
0.020000,59.983719,110.037930,43.690793,63.840293,33.430220,-47.281036,0.139047
0.020000,61.261497,110.213531,44.980582,64.489437,32.457179,-48.652075,0.133991
0.020000,62.552682,110.383872,46.282954,65.118625,31.459394,-49.889247,0.128237
0.020000,63.856964,110.547830,47.597502,65.727360,30.436763,-51.131546,0.121751
0.020000,65.174018,110.704217,48.923807,66.315282,29.396089,-52.033699,0.114502
0.020000,66.503494,110.851781,50.261448,66.882023,28.337044,-52.952246,0.106456
0.020000,67.845022,110.989205,51.609996,67.427422,27.269962,-53.354108,0.097580
0.020000,69.198206,111.115110,52.969025,67.951446,26.201198,-53.438211,0.087839
0.020000,70.562625,111.228055,54.338110,68.454274,25.141408,-52.989504,0.077202
0.020000,71.937830,111.326537,55.716837,68.936342,24.103405,-51.900154,0.065635
0.020000,73.323346,111.408997,57.104805,69.398399,23.102828,-50.028808,0.053107
0.020000,74.718673,111.473820,58.501637,69.841577,22.158904,-47.196216,0.039588
0.020000,76.123285,111.519343,59.906986,70.267461,21.294211,-43.234674,0.025051
0.020000,77.536635,111.543857,61.320549,70.678157,20.534802,-37.970419,0.009473
0.020000,78.958161,111.545613,62.742076,71.076360,19.910182,-31.231030,6.276019
0.020000,80.387288,111.522828,64.171385,71.465413,19.452630,-22.877586,6.258304
0.020000,81.823436,111.473696,65.608373,71.849404,19.199534,-12.654807,6.239506
0.020000,83.266028,111.396387,67.053034,72.233079,19.183761,-0.788655,6.219624
0.020000,84.714498,111.289062,68.505476,72.622085,19.450317,13.327839,6.198666
0.020000,86.168304,111.149874,69.965929,73.022661,20.028783,28.923265,6.176651
0.020000,87.626933,110.976978,71.434770,73.442019,20.967920,46.956857,6.153608
0.020000,89.089904,110.768538,72.912515,73.887278,22.262907,64.749365,6.129578
0.020000,90.556789,110.522732,74.399853,74.366868,23.979516,85.830444,6.104615
0.020000,92.027203,110.237758,75.897626,74.888688,26.091013,105.574843,6.078784
0.020000,93.500808,109.911840,77.406843,75.460819,28.606555,125.777098,6.052165
0.020000,94.977312,109.543238,78.928662,76.090951,31.506567,145.000588,6.024848
0.020000,96.456458,109.130255,80.464379,76.785852,34.745087,161.926016,5.996936
0.020000,97.832505,108.704585,81.904761,72.019113,-238.336960,-13654.102323,5.965887
0.020000,99.141807,108.243150,83.292995,69.411707,-130.370329,5398.331534,5.923040
0.020000,100.458912,107.714994,84.712048,70.952661,77.047743,10370.903581,5.880924
0.020000,101.786130,107.117607,86.167514,72.773281,91.030984,699.162068,5.839978
0.020000,103.125559,106.448752,87.664656,74.857126,104.192250,658.063300,5.800614
0.020000,104.479013,105.706629,89.208219,77.178145,116.050938,592.934379,5.763205
0.020000,105.848025,104.890008,90.802291,79.703571,126.271316,511.018906,5.728071
0.020000,107.233910,103.998324,92.450253,82.398091,134.725983,422.733369,5.695476
0.020000,108.637875,103.031723,94.154786,85.226653,141.428122,335.106919,5.665632
0.020000,110.061151,101.991059,95.917936,88.157512,146.542956,255.741742,5.638698
0.020000,111.505139,100.877846,97.741215,91.163930,150.320873,188.895835,5.614794
0.020000,112.971538,99.694195,99.625718,94.225161,153.061540,137.033346,5.594005
0.020000,114.462461,98.442735,101.572254,97.326820,155.082979,101.071947,5.576394
0.020000,115.980539,97.126536,103.581468,100.460698,156.693890,80.545565,5.562013
0.020000,117.529000,95.749057,105.653949,103.624069,158.168539,73.732456,5.550908
0.020000,119.111735,94.314102,107.790336,106.819321,159.762601,79.703070,5.543128
0.020000,120.733355,92.825817,109.991391,110.052776,161.672771,95.508488,5.538734
0.020000,122.399241,91.288717,112.258074,113.334142,164.068310,119.776963,5.537802
0.020000,124.115578,89.707749,114.591585,116.675549,167.070337,150.101348,5.540424
0.020000,125.889386,88.088396,116.993397,120.090575,170.751270,184.046659,5.546718
0.020000,127.728524,86.436830,119.465259,123.593089,175.125728,218.722889,5.556821
0.020000,129.641668,84.760113,122.009172,127.195666,180.128822,250.154729,5.570890
0.020000,131.638226,83.066452,124.627327,130.907752,185.604335,273.775628,5.589097
0.020000,133.728186,81.365500,127.321983,134.732783,191.251537,282.360083,5.611619
0.020000,135.921822,79.668701,130.095277,138.664723,196.597025,267.274412,5.638626
0.020000,138.229255,77.989636,132.948961,142.684184,200.973042,218.800877,5.670254
0.020000,140.652179,76.349280,135.874936,146.298758,180.728682,-1012.218032,5.706464
0.020000,143.177974,74.776978,138.850128,148.759611,123.042630,-2884.302594,5.746885
0.020000,145.792818,73.298829,141.853849,150.186035,71.321246,-2586.069169,5.790985
0.020000,148.489080,71.933303,144.876181,151.116591,46.527767,-1239.673966,5.838233
0.020000,151.258432,70.695823,147.909440,151.662995,27.320194,-960.378649,5.888027
0.020000,154.088802,69.599761,150.944625,151.759217,4.811130,-1125.453230,5.939660
0.020000,156.964961,68.655397,153.971854,151.361469,-19.887409,-1234.926925,5.992356
0.020000,159.869592,67.869095,156.981031,150.458859,-45.130521,-1262.155593,6.045322
0.020000,161.954074,67.357683,159.127332,107.315051,-2157.190362,-105602.992057,6.037459
0.020000,164.071438,66.816787,161.312693,109.268026,97.648740,112741.955101,6.029156
0.020000,166.196981,66.258009,163.510457,109.888200,31.008707,-3332.001650,6.023513
0.020000,168.330778,65.687111,165.719306,110.442451,27.712517,-164.809515,6.020424
0.020000,170.473133,65.109680,167.938115,110.940431,24.899014,-140.675119,6.019802
0.020000,172.624534,64.531152,170.165943,111.391406,22.548740,-117.513746,6.021574
0.020000,174.785601,63.956841,172.402021,111.803914,20.625390,-96.167483,6.025679
0.020000,176.957041,63.391964,174.645731,112.185512,19.079925,-77.273267,6.032069
0.020000,179.139589,62.841679,176.896583,112.542579,17.853359,-61.328273,6.040705
0.020000,181.333958,62.311105,179.154183,112.880027,16.872389,-49.048502,6.051556
0.020000,183.540769,61.805354,181.418207,113.201171,16.057201,-40.759406,6.064598
0.020000,185.760498,61.329545,183.688358,113.507583,15.320609,-36.829613,6.079807
0.020000,187.993388,60.888813,185.964329,113.798550,14.548317,-38.614593,6.097158
0.020000,190.239386,60.488307,188.245757,114.071385,13.641752,-45.328250,6.116625
0.020000,192.498053,60.133170,190.532173,114.320778,12.469690,-58.603078,6.138169
0.020000,194.768479,59.828500,192.822949,114.538840,10.903101,-78.329480,6.161741
0.020000,197.049209,59.579296,195.117255,114.715251,8.820550,-104.127509,6.187277
0.020000,199.338166,59.390369,197.413995,114.837016,6.088218,-136.616626,6.214691
0.020000,201.632595,59.266247,199.711778,114.889177,2.608069,-174.007466,6.243874
0.020000,203.929034,59.211040,202.008881,114.855111,-1.703287,-215.567764,6.274689
0.020000,206.223317,59.228310,204.303229,114.717439,-6.883599,-259.015612,0.023790
0.020000,208.510624,59.320924,206.592410,114.459036,-12.920160,-301.828055,0.057358
0.020000,210.785564,59.490913,208.873692,114.064098,-19.746914,-341.337701,0.091992
0.020000,213.042318,59.739363,211.144082,113.519485,-27.230674,-374.187991,0.127459
0.020000,215.274824,60.066333,213.400404,112.816098,-35.169329,-396.932740,0.163508
0.020000,217.476958,60.470818,215.639377,111.948682,-43.370796,-410.073341,0.199883
0.020000,219.642781,60.950774,217.857743,110.918280,-51.520100,-407.465223,0.236328
0.020000,221.766717,61.503185,220.052342,109.729952,-59.416380,-394.814025,0.272594
0.020000,223.843753,62.124191,222.220227,108.394266,-66.784321,-368.397005,0.308451
0.020000,225.869565,62.809237,224.358732,106.925219,-73.452355,-333.401746,0.343689
0.020000,227.840631,63.553260,226.465547,105.340785,-79.221694,-288.466922,0.378126
