dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,41.020687,38.749983,0.005381,0.538082,26.904092,1345.204578,6.281563
0.020000,41.017198,38.749988,0.008870,0.174439,-18.182154,-2254.312270,6.281836
0.020000,41.010224,38.749996,0.015843,0.348687,8.712400,1344.727679,6.282383
0.020000,41.001176,38.750000,0.024892,0.452412,5.186262,-176.306877,0.000018
0.020000,41.073353,38.750041,0.097069,3.608875,157.823132,7631.843511,0.001109
0.020000,41.163599,38.750202,0.187315,4.512296,45.171045,-5632.604379,0.002472
0.020000,41.271932,38.750559,0.295649,5.416694,45.219926,2.444038,0.004104
0.020000,41.398375,38.751198,0.422093,6.322189,45.274723,2.739876,0.006003
0.020000,41.542949,38.752222,0.566671,7.228898,45.335492,3.038459,0.008168
0.020000,41.705687,38.753749,0.729415,8.137243,45.417257,4.088222,0.010597
0.020000,41.886615,38.755910,0.910356,9.047050,45.490305,3.652415,0.013286
0.020000,42.085773,38.758850,1.109536,9.958991,45.597071,5.338292,0.016234
0.020000,42.303195,38.762728,1.326993,10.872857,45.693283,4.810622,0.019435
0.020000,42.538924,38.767718,1.562775,11.789086,45.811443,5.907997,0.022888
0.020000,42.793004,38.774005,1.816933,12.707878,45.939640,6.409838,0.026587
0.020000,43.065486,38.781789,2.089526,13.629645,46.088314,7.433714,0.030529
0.020000,43.356415,38.791283,2.380610,14.554209,46.228236,6.996076,0.034708
0.020000,43.665851,38.802712,2.690256,15.482326,46.405844,8.880386,0.039120
0.020000,43.993847,38.816313,3.018535,16.413926,46.579966,8.706121,0.043759
0.020000,44.340465,38.832335,3.365522,17.349378,46.772619,9.632654,0.048618
0.020000,44.705766,38.851040,3.731302,18.288996,46.980893,10.413685,0.053691
0.020000,45.089818,38.872699,4.115964,19.233106,47.205513,11.230991,0.058972
0.020000,45.492686,38.897594,4.519601,20.181806,47.435001,11.474416,0.064452
0.020000,45.914442,38.926019,4.942314,21.135662,47.692782,12.889048,0.070124
0.020000,46.355159,38.958274,5.384209,22.094768,47.955323,13.127082,0.075980
0.020000,46.814910,38.994671,5.845399,23.059503,48.236719,14.069792,0.082011
0.020000,47.293774,39.035529,6.326002,24.030167,48.533221,14.825065,0.088207
0.020000,47.791828,39.081174,6.826145,25.007100,48.846677,15.672800,0.094559
0.020000,48.309154,39.131939,7.345955,25.990521,49.171002,16.216269,0.101056
0.020000,48.845833,39.188163,7.885571,26.980799,49.513929,17.146340,0.107688
0.020000,49.401949,39.250189,8.445135,27.978192,49.869632,17.785177,0.114443
