dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,41.000000,26.000000,0.005381,0.538082,26.904092,1345.204578,6.281563
0.020000,41.000000,26.000000,0.026904,1.614245,53.808183,1345.204578,6.281836
0.020000,41.000000,26.000000,0.069951,2.690409,53.808183,-0.000000,6.282383
0.020000,41.001403,26.000000,0.134520,3.766573,53.808183,-0.000000,0.000018
0.020000,41.087498,26.000049,0.220614,4.842736,53.808183,0.000000,0.001109
0.020000,41.195115,26.000241,0.328230,5.918900,53.808183,-0.000000,0.002472
0.020000,41.324254,26.000666,0.457370,6.995064,53.808183,0.000000,0.004104
0.020000,41.474914,26.001427,0.608032,8.071227,53.808183,0.000000,0.006003
0.020000,41.647095,26.002647,0.780219,9.147391,53.808183,-0.000000,0.008168
0.020000,41.840797,26.004465,0.973928,10.223555,53.808183,0.000000,0.010597
0.020000,42.056012,26.007035,1.189161,11.299718,53.808183,-0.000000,0.013286
0.020000,42.292744,26.010530,1.425917,12.375882,53.808183,0.000000,0.016234
0.020000,42.550982,26.015136,1.684196,13.452046,53.808183,0.000000,0.019435
0.020000,42.830721,26.021057,1.963999,14.528209,53.808183,-0.000000,0.022888
0.020000,43.131953,26.028511,2.265325,15.604373,53.808183,0.000000,0.026587
0.020000,43.454672,26.037731,2.588174,16.680537,53.808183,-0.000000,0.030529
0.020000,43.798859,26.048962,2.932546,17.756700,53.808183,0.000000,0.034708
0.020000,44.164506,26.062467,3.298442,18.832864,53.808183,-0.000000,0.039120
0.020000,44.551592,26.078518,3.685861,19.909028,53.808183,0.000000,0.043759
0.020000,44.960097,26.097401,4.094803,20.985191,53.808183,-0.000000,0.048618
0.020000,45.389998,26.119413,4.525268,22.061355,53.808183,0.000000,0.053691
0.020000,45.841270,26.144862,4.977257,23.137519,53.808183,0.000000,0.058972
0.020000,46.313879,26.174067,5.450769,24.213682,53.808183,0.000000,0.064452
0.020000,46.807793,26.207354,5.945804,25.289846,53.808183,-0.000000,0.070124
0.020000,47.322973,26.245059,6.462363,26.366010,53.808183,0.000000,0.075980
0.020000,47.859376,26.287524,7.000445,27.442173,53.808183,0.000000,0.082011
0.020000,48.416954,26.335097,7.560050,28.518337,53.808183,0.000000,0.088207
0.020000,48.995656,26.388133,8.141178,29.594501,53.808183,-0.000000,0.094559
0.020000,49.595425,26.446987,8.743830,30.670664,53.808183,0.000000,0.101056
0.020000,50.216202,26.512020,9.368005,31.746828,53.808183,0.000000,0.107688
0.020000,50.857920,26.583593,10.013703,32.822992,53.808183,0.000000,0.114443
0.020000,51.520509,26.662068,10.680924,33.899155,53.808183,-0.000000,0.121311
0.020000,52.203895,26.747803,11.369669,34.975319,53.808183,0.000000,0.128278
0.020000,52.907999,26.841157,12.079937,36.051483,53.808183,-0.000000,0.135333
0.020000,53.632740,26.942483,12.811728,37.127646,53.808183,0.000000,0.142462
0.020000,54.378030,27.052128,13.565043,38.203810,53.808183,0.000000,0.149653
0.020000,55.143782,27.170435,14.339881,39.279974,53.808183,0.000000,0.156891
0.020000,55.929900,27.297734,15.136242,40.356137,53.808183,-0.000000,0.164162
0.020000,56.736292,27.434350,15.954126,41.432301,53.808183,0.000000,0.171453
0.020000,57.562860,27.580594,16.793534,42.508465,53.808183,0.000000,0.178749
0.020000,58.409506,27.736765,17.654465,43.584628,53.808183,-0.000000,0.186035
0.020000,59.276131,27.903149,18.536919,44.660792,53.808183,0.000000,0.193295
0.020000,60.162634,28.080015,19.440897,45.736956,53.808183,-0.000000,0.200516
0.020000,61.068920,28.267616,20.366397,46.813119,53.808183,0.000000,0.207680
0.020000,61.994890,28.466186,21.313421,47.889283,53.808183,0.000000,0.214773
0.020000,62.940451,28.675942,22.281969,48.965447,53.808183,-0.000000,0.221779
0.020000,63.905506,28.897076,23.272039,50.041610,53.808183,0.000000,0.228682
0.020000,64.889975,29.129761,24.283633,51.117774,53.808183,0.000000,0.235466
0.020000,65.893768,29.374145,25.316750,52.193938,53.808183,0.000000,0.242116
0.020000,66.916813,29.630352,26.371391,53.270101,53.808183,-0.000000,0.248614
0.020000,67.959037,29.898480,27.447554,54.346265,53.808183,0.000000,0.254945
0.020000,69.020380,30.178600,28.545241,55.422429,53.808183,0.000000,0.261093
0.020000,70.100784,30.470753,29.664451,56.498592,53.808183,-0.000000,0.267042
0.020000,71.200207,30.774952,30.805185,57.574756,53.808183,0.000000,0.272775
0.020000,72.318616,31.091179,31.967442,58.650920,53.808183,0.000000,0.278277
0.020000,73.455988,31.419384,33.151222,59.727083,53.808183,-0.000000,0.283530
0.020000,74.612313,31.759482,34.356525,60.803247,53.808183,0.000000,0.288518
0.020000,75.787593,32.111357,35.583351,61.879411,53.808183,-0.000000,0.293225
0.020000,76.981848,32.474853,36.831701,62.955574,53.808183,0.000000,0.297634
0.020000,78.195111,32.849780,38.101574,64.031738,53.808183,0.000000,0.301729
0.020000,79.427429,33.235906,39.392971,65.107902,53.808183,0.000000,0.305492
0.020000,80.678870,33.632962,40.705891,66.184065,53.808183,0.000000,0.308905
0.020000,81.949516,34.040635,42.040333,67.260229,53.808183,0.000000,0.311952
0.020000,83.239468,34.458568,43.396300,68.336393,53.808183,-0.000000,0.314614
0.020000,84.548846,34.886359,44.773789,69.412556,53.808183,0.000000,0.316873
0.020000,85.877791,35.323557,46.172802,70.488720,53.808183,-0.000000,0.318709
0.020000,87.226461,35.769664,47.593338,71.564884,53.808183,0.000000,0.320104
0.020000,88.595037,36.224125,49.035397,72.641047,53.808183,-0.000000,0.321038
0.020000,89.983720,36.686332,50.498980,73.717211,53.808183,0.000000,0.321489
0.020000,91.392730,37.155619,51.984086,74.793375,53.808183,0.000000,0.321437
0.020000,92.822311,37.631257,53.490715,75.869538,53.808183,0.000000,0.320858
0.020000,94.272724,38.112454,55.018867,76.945702,53.808183,0.000000,0.319729
0.020000,95.744255,38.598348,56.568543,78.021866,53.808183,-0.000000,0.318026
0.020000,97.237205,39.088004,58.139742,79.098029,53.808183,0.000000,0.315724
0.020000,98.751901,39.580409,59.732464,80.174193,53.808183,0.000000,0.312795
0.020000,100.288680,40.074470,61.346710,81.250357,53.808183,0.000000,0.309212
0.020000,101.847901,40.569005,62.982478,82.326520,53.808183,0.000000,0.304945
0.020000,103.429936,41.062740,64.639770,83.402684,53.808183,0.000000,0.299964
0.020000,105.035172,41.554303,66.318586,84.478847,53.808183,-0.000000,0.294237
0.020000,106.658126,42.040478,68.012798,84.942411,23.178170,-1531.500642,0.287754
0.020000,108.282935,42.515130,69.705520,84.329811,-30.630013,-2690.409156,0.280565
0.020000,109.895015,42.972954,71.381355,83.253647,-53.808183,-1158.908514,0.272738
0.020000,111.490012,43.411951,73.035666,82.177483,-53.808183,0.000000,0.264312
0.020000,113.067972,43.831497,74.668454,81.101320,-53.808183,0.000000,0.255306
0.020000,114.628909,44.231033,76.279719,80.025156,-53.808183,-0.000000,0.245740
0.020000,116.172798,44.610066,77.869461,78.948992,-53.808183,0.000000,0.235636
0.020000,117.699576,44.968161,79.437679,77.872829,-53.808183,-0.000000,0.225014
0.020000,119.209148,45.304951,80.984374,76.796665,-53.808183,0.000000,0.213896
0.020000,120.701391,45.620131,82.509545,75.720501,-53.808183,0.000000,0.202306
0.020000,122.176142,45.913458,84.013194,74.644338,-53.808183,0.000000,0.190267
0.020000,123.633215,46.184754,85.495319,73.568174,-53.808183,0.000000,0.177804
0.020000,125.072399,46.433908,86.955921,72.492010,-53.808183,-0.000000,0.164944
0.020000,126.493457,46.660868,88.394999,71.415847,-53.808183,0.000000,0.151713
0.020000,127.896131,46.865652,89.812555,70.339683,-53.808183,-0.000000,0.138140
0.020000,129.280146,47.048340,91.208587,69.263519,-53.808183,0.000000,0.124254
0.020000,130.645212,47.209076,92.583095,68.187356,-53.808183,0.000000,0.110084
0.020000,131.991028,47.348066,93.936081,67.111192,-53.808183,0.000000,0.095661
0.020000,133.317281,47.465581,95.267543,66.035028,-53.808183,-0.000000,0.081017
0.020000,134.623658,47.561951,96.577482,64.958865,-53.808183,0.000000,0.066185
0.020000,135.909840,47.637566,97.865898,63.882701,-53.808183,-0.000000,0.051195
0.020000,137.175513,47.692871,99.132790,62.806537,-53.808183,0.000000,0.036081
0.020000,138.420363,47.728367,100.378159,61.730374,-53.808183,0.000000,0.020876
0.020000,139.644087,47.744606,101.602005,60.654210,-53.808183,-0.000000,0.005611
0.020000,140.846395,47.742188,102.804328,59.578046,-53.808183,0.000000,6.273505
0.020000,142.027006,47.721758,103.985127,58.501883,-53.808183,-0.000000,6.258217
0.020000,143.185658,47.684002,105.144403,57.425719,-53.808183,0.000000,6.242964
0.020000,144.322095,47.629641,106.282156,56.349555,-53.808183,0.000000,6.227776
0.020000,145.436105,47.559430,107.398385,55.273392,-53.808183,-0.000000,6.212680
0.020000,146.527476,47.474152,108.493091,54.197228,-53.808183,0.000000,6.197705
0.020000,147.596022,47.374616,109.566274,53.121064,-53.808183,-0.000000,6.182875
0.020000,148.641582,47.261646,110.617934,52.044901,-53.808183,0.000000,6.168216
0.020000,149.664029,47.136083,111.648070,50.968737,-53.808183,0.000000,6.153750
0.020000,150.663242,46.998781,112.656683,49.892573,-53.808183,-0.000000,6.139498
0.020000,151.639140,46.850598,113.643773,48.816410,-53.808183,0.000000,6.125479
0.020000,152.591651,46.692396,114.609340,47.740246,-53.808183,-0.000000,6.111711
0.020000,153.520729,46.525038,115.553383,46.664082,-53.808183,0.000000,6.098209
0.020000,154.426362,46.349378,116.475903,45.587919,-53.808183,0.000000,6.084989
0.020000,155.308553,46.166266,117.376900,44.511755,-53.808183,-0.000000,6.072062
0.020000,156.167311,45.976542,118.256373,43.435591,-53.808183,0.000000,6.059439
0.020000,157.002679,45.781033,119.114323,42.359428,-53.808183,-0.000000,6.047130
0.020000,157.814718,45.580548,119.950750,41.283264,-53.808183,0.000000,6.035143
0.020000,158.603504,45.375880,120.765654,40.207100,-53.808183,0.000000,6.023484
0.020000,159.369097,45.167810,121.559034,39.130937,-53.808183,0.000000,6.012158
0.020000,160.111639,44.957081,122.330892,38.054773,-53.808183,-0.000000,6.001170
0.020000,160.831198,44.744437,123.081225,36.978609,-53.808183,0.000000,5.990523
0.020000,161.527920,44.530581,123.810036,35.902446,-53.808183,0.000000,5.980219
0.020000,162.201935,44.316198,124.517323,34.826282,-53.808183,0.000000,5.970258
