dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.979313,13.250017,0.005381,0.538082,26.904092,1345.204578,6.281563
0.020000,40.982802,13.250012,0.008870,0.174439,-18.182154,-2254.312270,6.281836
0.020000,40.989776,13.250004,0.015843,0.348687,8.712400,1344.727679,6.282383
0.020000,41.001630,13.250000,0.027697,0.592695,12.200429,174.401482,0.000018
0.020000,41.101643,13.250056,0.127711,5.000687,220.399569,10409.956983,0.001109
0.020000,41.226630,13.250280,0.252698,6.249360,62.433672,-7898.294829,0.002472
0.020000,41.376575,13.250773,0.402643,7.497256,62.394804,-1.943438,0.004104
0.020000,41.551454,13.251657,0.577525,8.744090,62.341691,-2.655643,0.006003
0.020000,41.751241,13.253073,0.777316,9.989567,62.273835,-3.392766,0.008168
0.020000,41.975907,13.255181,1.001992,11.233793,62.211322,-3.125672,0.010597
0.020000,42.225410,13.258161,1.251513,12.476041,62.112374,-4.947418,0.013286
0.020000,42.499715,13.262210,1.525848,13.716736,62.034744,-3.881496,0.016234
0.020000,42.798768,13.267544,1.824949,14.955066,61.916513,-5.911556,0.019435
0.020000,43.122518,13.274397,2.148771,16.191097,61.801584,-5.746413,0.022888
0.020000,43.470902,13.283017,2.497262,17.424549,61.672598,-6.449324,0.026587
0.020000,43.843858,13.293672,2.870370,18.655407,61.542895,-6.485138,0.030529
0.020000,44.241303,13.306641,3.268027,19.882838,61.371514,-8.569075,0.034708
0.020000,44.663161,13.322222,3.690172,21.107259,61.221045,-7.523441,0.039120
0.020000,45.109336,13.340723,4.136731,22.327944,61.034271,-9.338709,0.043759
0.020000,45.579729,13.362466,4.607626,23.544752,60.840414,-9.692856,0.048618
0.020000,46.074230,13.387786,5.102775,24.757445,60.634652,-10.288097,0.053691
0.020000,46.592722,13.417026,5.622091,25.965789,60.417198,-10.872660,0.058972
0.020000,47.135072,13.450540,6.165475,27.169228,60.171941,-12.262857,0.064452
0.020000,47.701145,13.488690,6.732832,28.367827,59.929935,-12.100329,0.070124
0.020000,48.290788,13.531844,7.324052,29.561008,59.659060,-13.543716,0.075980
0.020000,48.903841,13.580377,7.939023,30.748569,59.378033,-14.051388,0.082011
0.020000,49.540133,13.634666,8.577627,31.930202,59.081684,-14.817455,0.088207
0.020000,50.199483,13.695091,9.239740,33.105652,58.772508,-15.458781,0.094559
0.020000,50.881697,13.762035,9.925231,34.274506,58.442672,-16.491777,0.101056
0.020000,51.586571,13.835878,10.633962,35.436562,58.102823,-16.992449,0.107688
0.020000,52.313891,13.916997,11.365791,36.591479,57.745845,-17.848906,0.114443
0.020000,53.063432,14.005769,12.120571,37.738991,57.375583,-18.513114,0.121311
0.020000,53.834960,14.102562,12.898148,38.878820,56.991443,-19.206994,0.128278
0.020000,54.628232,14.207737,13.698361,40.010688,56.593410,-19.901651,0.135333
0.020000,55.442994,14.321648,14.521048,41.134311,56.181160,-20.612520,0.142462
0.020000,56.278986,14.444636,15.366038,42.249518,55.760364,-21.039775,0.149653
0.020000,57.135940,14.577031,16.233159,43.356038,55.325964,-21.720002,0.156891
0.020000,58.013580,14.719150,17.122231,44.453621,54.879172,-22.339617,0.164162
0.020000,58.911626,14.871292,18.033073,45.542098,54.423839,-22.766651,0.171453
0.020000,59.829792,15.033741,18.965500,46.621334,53.961789,-23.102487,0.178749
0.020000,60.767790,15.206761,19.919322,47.691113,53.488956,-23.641655,0.186035
0.020000,61.725328,15.390598,20.894347,48.751253,53.006993,-24.098131,0.193295
