dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.945480,39.922702,0.005353,0.535326,26.766317,1338.315831,6.282922
0.020000,35.945183,39.922703,0.005651,0.014867,-26.022954,-2639.463515,6.282946
0.020000,35.944588,39.922703,0.006246,0.029749,0.744096,1338.352504,6.282992
0.020000,35.943695,39.922703,0.007139,0.044660,0.745563,0.073352,6.283062
0.020000,35.942502,39.922703,0.008331,0.059616,0.747764,0.110047,6.283156
0.020000,36.021235,39.922706,0.087063,3.936617,193.850063,9655.114921,0.000088
0.020000,36.147918,39.922726,0.213746,6.334146,119.876448,-3698.680749,0.000228
0.020000,36.295712,39.922772,0.361541,7.389729,52.779174,-3354.863701,0.000393
0.020000,36.464612,39.922855,0.530440,8.444967,52.761881,-0.864632,0.000582
0.020000,36.654616,39.922985,0.720445,9.500240,52.763671,0.089494,0.000794
0.020000,36.865725,39.923178,0.931554,10.555438,52.759884,-0.189351,0.001031
0.020000,37.097932,39.923448,1.163761,11.610358,52.746000,-0.694219,0.001293
0.020000,37.351234,39.923812,1.417064,12.665124,52.738288,-0.385560,0.001580
0.020000,37.625628,39.924288,1.691457,13.719695,52.728576,-0.485642,0.001891
0.020000,37.921111,39.924897,1.986941,14.774199,52.725174,-0.170097,0.002229
0.020000,38.237679,39.925659,2.303510,15.828428,52.711477,-0.684844,0.002592
0.020000,38.575323,39.926600,2.641155,16.882270,52.692085,-0.969598,0.002981
0.020000,38.934043,39.927744,2.999878,17.936117,52.692348,0.013160,0.003397
0.020000,39.313830,39.929118,3.379667,18.989465,52.667409,-1.246947,0.003839
0.020000,39.714683,39.930751,3.780523,20.042816,52.667541,0.006584,0.004309
0.020000,40.136591,39.932674,4.202436,21.095611,52.639736,-1.390246,0.004807
0.020000,40.579549,39.934920,4.645399,22.148173,52.628112,-0.581204,0.005333
0.020000,41.043551,39.937523,5.109408,23.200462,52.614458,-0.682681,0.005889
0.020000,41.528590,39.940521,5.594457,24.252437,52.598737,-0.786059,0.006473
0.020000,42.034660,39.943952,6.100538,25.304055,52.580909,-0.891394,0.007087
0.020000,42.561751,39.947858,6.627644,26.355274,52.560934,-0.998738,0.007732
0.020000,43.109854,39.952281,7.175765,27.406049,52.538772,-1.108139,0.008408
0.020000,43.678959,39.957267,7.744891,28.456337,52.514379,-1.219642,0.009116
0.020000,44.269063,39.962865,8.335022,29.506521,52.509187,-0.259561,0.009856
0.020000,44.880148,39.969124,8.946139,30.555886,52.468293,-2.044699,0.010629
0.020000,45.512213,39.976097,9.578242,31.605149,52.463128,-0.258256,0.011436
0.020000,46.165239,39.983840,10.231315,32.653622,52.423633,-1.974783,0.012278
0.020000,46.839219,39.992411,10.905349,33.701692,52.403495,-1.006906,0.013155
0.020000,47.534143,40.001870,11.600338,34.749441,52.387495,-0.799974,0.014068
0.020000,48.249997,40.012281,12.316267,35.796486,52.352213,-1.764129,0.015018
0.020000,48.986768,40.023710,13.053127,36.842975,52.324478,-1.386735,0.016006
0.020000,49.744444,40.036227,13.810906,37.888962,52.299336,-1.257102,0.017033
0.020000,50.523012,40.049905,14.589595,38.934438,52.273806,-1.276509,0.018099
0.020000,51.322456,40.064818,15.389178,39.979139,52.235021,-1.939236,0.019206
0.020000,52.142759,40.081045,16.209641,41.023153,52.200743,-1.713919,0.020355
0.020000,52.983912,40.098669,17.050979,42.066920,52.188309,-0.621658,0.021546
0.020000,53.845892,40.117776,17.913170,43.109547,52.131392,-2.845883,0.022781
0.020000,54.728686,40.138454,18.796206,44.151828,52.114047,-0.867250,0.024060
0.020000,55.632276,40.160796,19.700073,45.193316,52.074361,-1.984291,0.025385
0.020000,56.556642,40.184900,20.624753,46.233998,52.034100,-2.013041,0.026757
0.020000,57.501765,40.210865,21.570232,47.273983,51.999277,-1.741154,0.028178
0.020000,58.467626,40.238797,22.536497,48.313221,51.961901,-1.868807,0.029647
0.020000,59.454203,40.268803,23.523530,49.351659,51.921902,-1.999923,0.031167
0.020000,60.461473,40.300998,24.531315,50.389243,51.879215,-2.134389,0.032739
0.020000,61.489414,40.335498,25.559835,51.425986,51.837106,-2.105444,0.034364
0.020000,62.538007,40.372426,26.609078,52.462150,51.808241,-1.443229,0.036043
0.020000,63.607218,40.411907,27.679017,53.496962,51.740605,-3.381816,0.037778
0.020000,64.697029,40.454074,28.769644,54.531366,51.720198,-1.020332,0.039571
0.020000,65.807407,40.499063,29.880932,55.564407,51.652012,-3.409302,0.041422
0.020000,66.938325,40.547015,31.012867,56.596722,51.615774,-1.811895,0.043333
0.020000,68.089756,40.598077,32.165430,57.628154,51.571585,-2.209462,0.045306
0.020000,69.261666,40.652401,33.338598,58.658418,51.513197,-2.919411,0.047343
0.020000,70.454022,40.710145,34.532352,59.687681,51.463156,-2.502037,0.049444
0.020000,71.666790,40.771473,35.746669,60.715884,51.410155,-2.650032,0.051612
0.020000,72.899935,40.836553,36.981531,61.743052,51.358406,-2.587470,0.053848
0.020000,74.153423,40.905562,38.236916,62.769284,51.311617,-2.339446,0.056153
0.020000,75.427207,40.978680,39.512798,63.794070,51.239280,-3.616867,0.058531
0.020000,76.721252,41.056096,40.809155,64.817886,51.190813,-2.423358,0.060982
0.020000,78.035511,41.138004,42.125965,65.840461,51.128750,-3.103122,0.063508
0.020000,79.369943,41.224606,43.463204,66.861949,51.074404,-2.717292,0.066112
0.020000,80.724495,41.316110,44.820843,67.881989,51.001956,-3.622421,0.068795
0.020000,82.099121,41.412731,46.198860,68.900854,50.943255,-2.935063,0.071559
0.020000,83.493768,41.514693,47.597230,69.918481,50.881370,-3.094234,0.074407
0.020000,84.908383,41.622225,49.015926,70.934806,50.816255,-3.255738,0.077339
0.020000,86.342908,41.735566,50.454921,71.949764,50.747877,-3.418895,0.080359
0.020000,87.797281,41.854961,51.914187,72.963288,50.676218,-3.582959,0.083469
0.020000,89.271438,41.980664,53.393693,73.975314,50.601276,-3.747117,0.086671
0.020000,90.765314,42.112939,54.893414,74.986048,50.536728,-3.227396,0.089966
0.020000,92.278840,42.252055,56.413321,75.995315,50.463363,-3.668215,0.093358
0.020000,93.811942,42.398292,57.953381,77.003011,50.384779,-3.929209,0.096849
0.020000,95.364539,42.551938,59.513562,78.009066,50.302758,-4.101055,0.100440
0.020000,96.936559,42.713292,61.093841,79.013961,50.244743,-2.900758,0.104135
0.020000,98.527911,42.882660,62.694181,80.016960,50.149961,-4.739088,0.107937
0.020000,100.138505,43.060359,64.314548,81.018384,50.071177,-3.939194,0.111846
0.020000,101.768249,43.246713,65.954912,82.018178,49.989712,-4.073246,0.115867
0.020000,103.417043,43.442061,67.615238,83.016280,49.905101,-4.230594,0.120002
0.020000,105.084787,43.646747,69.295495,84.012888,49.830392,-3.735419,0.124253
0.020000,106.771369,43.861129,70.995648,85.007645,49.737847,-4.627275,0.128623
0.020000,108.476672,44.085572,72.715657,86.000462,49.640851,-4.849764,0.133115
0.020000,110.200584,44.320456,74.455498,86.992013,49.577554,-3.164874,0.137731
0.020000,111.942971,44.566167,76.215124,87.981314,49.465067,-5.624339,0.142474
0.020000,113.703701,44.823106,77.994503,88.968937,49.381143,-4.196217,0.147348
0.020000,115.482640,45.091685,79.793603,89.954992,49.302754,-3.919447,0.152355
