dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.938777,14.422703,0.005353,0.535326,26.766317,1338.315831,6.282922
0.020000,35.939074,14.422703,0.005651,0.014867,-26.022954,-2639.463515,6.282946
0.020000,35.939669,14.422703,0.006246,0.029749,0.744096,1338.352504,6.282992
0.020000,35.940562,14.422703,0.007139,0.044660,0.745563,0.073352,6.283062
0.020000,35.941754,14.422703,0.008331,0.059616,0.747764,0.110047,6.283156
0.020000,36.023472,14.422706,0.090049,4.085881,201.313284,10028.275975,0.000088
0.020000,36.153744,14.422727,0.220321,6.513588,121.385338,-3996.397306,0.000228
0.020000,36.305735,14.422774,0.372311,7.599538,54.297490,-3354.392388,0.000393
0.020000,36.479441,14.422859,0.546018,8.685346,54.290391,-0.354973,0.000582
0.020000,36.674870,14.422993,0.741447,9.771435,54.304452,0.703093,0.000794
0.020000,36.892024,14.423192,0.958601,10.857721,54.314321,0.493453,0.001031
0.020000,37.130905,14.423469,1.197482,11.944028,54.315350,0.051435,0.001293
0.020000,37.391515,14.423843,1.458092,13.030514,54.324280,0.446476,0.001580
0.020000,37.673858,14.424333,1.740436,14.117168,54.332708,0.421396,0.001891
0.020000,37.977940,14.424960,2.044519,15.204152,54.349195,0.824356,0.002229
0.020000,38.303765,14.425745,2.370344,16.291285,54.356661,0.373297,0.002592
0.020000,38.651333,14.426713,2.717914,17.378482,54.359842,0.159060,0.002981
0.020000,39.020655,14.427891,3.087237,18.466179,54.384844,1.250101,0.003397
0.020000,39.411730,14.429306,3.478315,19.553889,54.385498,0.032724,0.003839
0.020000,39.824570,14.430988,3.891158,20.642160,54.413574,1.403798,0.004309
0.020000,40.259174,14.432969,4.325767,21.730450,54.414499,0.046216,0.004807
0.020000,40.715551,14.435283,4.782150,22.819125,54.433714,0.960783,0.005333
0.020000,41.193707,14.437965,5.260313,23.908174,54.452482,0.938393,0.005889
0.020000,41.693649,14.441055,5.760265,24.997590,54.470774,0.914616,0.006473
0.020000,42.215384,14.444592,6.282012,26.087361,54.488563,0.889417,0.007087
0.020000,42.758919,14.448620,6.825562,27.177477,54.505818,0.862769,0.007732
0.020000,43.324259,14.453182,7.390921,28.267928,54.522511,0.834646,0.008408
0.020000,43.911411,14.458327,7.978095,29.358700,54.538612,0.805029,0.009116
0.020000,44.520388,14.464103,8.587099,30.450225,54.576254,1.882118,0.009856
0.020000,45.151191,14.470564,9.217935,31.541801,54.578800,0.127289,0.010629
0.020000,45.803835,14.477765,9.870619,32.634201,54.619985,2.059238,0.011436
0.020000,46.478323,14.485762,10.545154,33.726751,54.627509,0.376219,0.012278
0.020000,47.174664,14.494617,11.241552,34.819887,54.656819,1.465491,0.013155
0.020000,47.892872,14.504393,11.959826,35.913732,54.692235,1.770809,0.014068
0.020000,48.632952,14.515157,12.699985,37.007923,54.709570,0.866727,0.015018
0.020000,49.394914,14.526977,13.462038,38.102655,54.736566,1.349836,0.016006
0.020000,50.178767,14.539926,14.245998,39.198017,54.768135,1.578455,0.017033
0.020000,50.984524,14.554081,15.051879,40.294042,54.801222,1.654328,0.018099
0.020000,51.812190,14.569521,15.879689,41.390492,54.822529,1.065362,0.019206
0.020000,52.661773,14.586327,16.729439,42.487501,54.850457,1.396400,0.020355
0.020000,53.533293,14.604588,17.601150,43.585562,54.903011,2.627706,0.021546
0.020000,54.426750,14.624392,18.494826,44.683792,54.911501,0.424490,0.022781
0.020000,55.342160,14.645834,19.410487,45.783053,54.963044,2.577145,0.024060
0.020000,56.279532,14.669012,20.348146,46.882923,54.993515,1.523557,0.025385
0.020000,57.238874,14.694028,21.307814,47.983433,55.025492,1.598863,0.026757
0.020000,58.220199,14.720988,22.289509,49.084738,55.065252,1.987981,0.028178
0.020000,59.223516,14.750003,23.293246,50.186828,55.104539,1.964327,0.029647
0.020000,60.248835,14.781188,24.319039,51.289695,55.143310,1.938549,0.031167
0.020000,61.296167,14.814663,25.366906,52.393325,55.181525,1.910778,0.032739
0.020000,62.365521,14.850553,26.436862,53.497777,55.222616,2.054552,0.034364
0.020000,63.456912,14.888987,27.528929,54.603374,55.279808,2.859577,0.036043
0.020000,64.570340,14.930102,28.643116,55.709354,55.298993,0.959277,0.037778
