dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.952347,131.304618,0.007794,0.779423,38.971163,1948.558130,6.281575
0.020000,68.946356,131.304626,0.013785,0.299526,-23.994879,-3148.302084,6.282045
0.020000,68.934380,131.304634,0.025761,0.598832,14.965294,1948.008646,6.282984
0.020000,68.996616,131.304673,0.087998,3.111810,125.648919,5534.181241,0.001208
0.020000,69.097388,131.304890,0.188770,5.038635,96.341251,-1465.383392,0.003085
0.020000,69.223368,131.305426,0.314751,6.299022,63.019330,-1666.096026,0.005430
0.020000,69.374565,131.306460,0.465951,7.560038,63.050840,1.575508,0.008243
0.020000,69.550989,131.308203,0.642384,8.821642,63.080207,1.468340,0.011522
0.020000,69.752650,131.310905,0.844063,10.083955,63.115649,1.772091,0.015265
0.020000,69.979572,131.314846,1.071020,11.347820,63.193233,3.879213,0.019472
0.020000,70.231762,131.320347,1.323270,12.612494,63.233693,2.022969,0.024140
0.020000,70.509251,131.327759,1.600857,13.879372,63.343916,5.511162,0.029266
0.020000,70.812060,131.337470,1.903823,15.148272,63.445005,5.054474,0.034848
0.020000,71.140207,131.349901,2.232205,16.419121,63.542420,4.870726,0.040880
0.020000,71.493736,131.365509,2.586078,17.693631,63.725532,9.155595,0.047359
0.020000,71.872668,131.384784,2.965500,18.971092,63.873039,7.375374,0.054279
0.020000,72.277051,131.408247,3.370563,20.253164,64.103584,11.527250,0.061633
0.020000,72.706914,131.436456,3.801351,21.539391,64.311348,10.388185,0.069415
0.020000,73.162313,131.469997,4.257983,22.831607,64.610805,14.972845,0.077615
0.020000,73.643297,131.509490,4.740585,24.130134,64.926354,15.777478,0.086224
0.020000,74.149913,131.555583,5.249294,25.435453,65.265969,16.980707,0.095229
0.020000,74.682232,131.608956,5.784282,26.749396,65.697116,21.557354,0.104620
0.020000,75.240311,131.670316,6.345725,28.072113,66.135868,21.937632,0.114380
0.020000,75.824229,131.740397,6.933833,29.405404,66.664550,26.434070,0.124495
0.020000,76.434053,131.819957,7.548825,30.749604,67.210004,27.272733,0.134946
0.020000,77.069872,131.909780,8.190957,32.106587,67.849145,31.957026,0.145714
0.020000,77.731771,132.010669,8.860500,33.477190,68.530148,34.050151,0.156777
0.020000,78.419839,132.123446,9.557750,34.862488,69.264898,36.737480,0.168112
0.020000,79.134179,132.248953,10.283032,36.264074,70.079305,40.720377,0.179693
0.020000,79.874894,132.388041,11.036692,37.683020,70.947300,43.399766,0.191495
0.020000,80.642088,132.541574,11.819098,39.120321,71.865064,45.888188,0.203487
0.020000,81.435877,132.710421,12.630646,40.577362,72.852048,49.349204,0.215638
0.020000,82.256374,132.895455,13.471749,42.055154,73.889570,51.876076,0.227917
0.020000,83.103702,133.097549,14.342844,43.554753,74.979973,54.520143,0.240288
0.020000,83.977989,133.317566,15.244389,45.077271,76.125895,57.296123,0.252717
0.020000,84.879360,133.556362,16.176856,46.623336,77.303244,58.867426,0.265166
0.020000,85.807952,133.814775,17.140733,48.193872,78.526811,61.178383,0.277596
0.020000,86.763904,134.093623,18.136525,49.789564,79.784581,62.888464,0.289968
0.020000,87.747361,134.393696,19.164742,51.410884,81.066014,64.071673,0.302243
0.020000,88.758476,134.715752,20.225909,53.058331,82.372325,65.315525,0.314378
0.020000,89.797413,135.060509,21.320553,54.732218,83.694392,66.103351,0.326333
0.020000,90.864343,135.428643,22.449208,56.432746,85.026400,66.600427,0.338066
0.020000,91.959454,135.820777,23.612410,58.160067,86.366050,66.982504,0.349534
0.020000,93.082950,136.237480,24.810694,59.914198,87.706547,67.024829,0.360696
0.020000,94.235054,136.679258,26.044595,61.695081,89.044128,66.879057,0.371510
0.020000,95.416018,137.146548,27.314648,63.502661,90.378989,66.743079,0.381934
0.020000,96.626118,137.639715,28.621383,65.336728,91.703364,66.218724,0.391926
0.020000,97.865667,138.159044,29.965327,67.197196,93.023384,66.001017,0.401445
0.020000,99.135020,138.704737,31.347006,69.083958,94.338119,65.736758,0.410450
0.020000,100.434574,139.276905,32.766942,70.996795,95.641830,65.185552,0.418899
0.020000,101.764782,139.875564,34.225655,72.935664,96.943443,65.080649,0.426752
0.020000,103.126155,140.500629,35.723668,74.900651,98.249353,65.295485,0.433969
0.020000,104.519272,141.151909,37.261505,76.891828,99.558846,65.474636,0.440507
0.020000,105.944785,141.829101,38.839693,78.909390,100.878132,65.964290,0.446325
0.020000,107.403429,142.531782,40.458767,80.953715,102.216236,66.905230,0.451383
0.020000,108.896027,143.259404,42.119274,83.025354,103.581971,68.286718,0.455635
0.020000,110.423502,144.011282,43.821772,85.124908,104.977693,69.786138,0.459040
0.020000,111.986881,144.786591,45.566839,87.253341,106.421631,72.196886,0.461551
0.020000,113.587306,145.584349,47.355072,89.411656,107.915750,74.705935,0.463122
0.020000,115.219071,146.399926,49.179305,91.211623,89.998378,-895.868594,0.463703
0.020000,116.862934,147.221699,51.017128,91.891153,33.976463,-2801.095769,0.463269
0.020000,118.499115,148.037725,52.845512,91.419197,-23.597801,-2878.713164,0.461841
0.020000,120.120292,148.842417,54.655413,90.495092,-46.205212,-1130.370548,0.459468
0.020000,121.726041,149.633805,56.445588,89.508737,-49.317757,-155.627274,0.456197
0.020000,123.316460,150.410337,58.215456,88.493388,-50.767447,-72.484488,0.452073
0.020000,124.891587,151.170584,59.964456,87.450020,-52.168439,-70.049596,0.447141
0.020000,126.451399,151.913239,61.692041,86.379255,-53.538249,-68.490501,0.441443
0.020000,127.995808,152.637108,63.397675,85.281670,-54.879212,-67.048169,0.435021
0.020000,129.524661,153.341110,65.080829,84.157724,-56.197318,-65.905265,0.427918
0.020000,131.037734,154.024271,66.740980,83.007520,-57.510191,-65.643686,0.420173
0.020000,132.534738,154.685728,68.377606,81.831318,-58.810088,-64.994855,0.411827
0.020000,134.015316,155.324716,69.990187,80.629065,-60.112672,-65.129169,0.402923
0.020000,135.479045,155.940580,71.578202,79.400738,-61.416323,-65.182552,0.393500
0.020000,136.925439,156.532762,73.141127,78.146232,-62.725344,-65.451063,0.383599
0.020000,138.353948,157.100811,74.678436,76.865438,-64.039664,-65.715986,0.373262
0.020000,139.763967,157.644372,76.189598,75.558135,-65.365147,-66.274153,0.362531
0.020000,141.154838,158.163194,77.674084,74.224294,-66.692048,-66.345068,0.351447
0.020000,142.525853,158.657123,79.131358,72.863718,-68.028839,-66.839524,0.340051
0.020000,143.876262,159.126107,80.560887,71.476410,-69.365386,-66.827343,0.328387
0.020000,145.205280,159.570188,81.962135,70.062412,-70.699888,-66.725131,0.316495
0.020000,146.512091,159.989504,83.334571,68.621786,-72.031294,-66.570280,0.304418
0.020000,147.795856,160.384285,84.677666,67.154769,-73.350851,-65.977873,0.292197
0.020000,149.055722,160.754852,85.990900,65.661679,-74.654531,-65.183967,0.279872
0.020000,150.290827,161.101611,87.273757,64.142895,-75.939203,-64.233624,0.267485
0.020000,151.500307,161.425050,88.525738,62.599020,-77.193710,-62.725366,0.255074
0.020000,152.683306,161.725734,89.746352,61.030695,-78.416286,-61.128790,0.242679
0.020000,153.838979,162.004298,90.935123,59.438559,-79.606785,-59.524925,0.230335
0.020000,154.966501,162.261443,92.091596,57.823676,-80.744140,-56.867753,0.218079
0.020000,156.065072,162.497929,93.215333,56.186825,-81.842555,-54.920773,0.205946
0.020000,157.133924,162.714566,94.305918,54.529249,-82.878778,-51.811124,0.193968
0.020000,158.172314,162.912209,95.362949,52.851576,-83.883667,-50.244490,0.182176
0.020000,159.179548,163.091752,96.386061,51.155577,-84.799970,-45.815125,0.170599
0.020000,160.154968,163.254116,97.374902,49.442038,-85.676958,-43.849405,0.159265
0.020000,161.097957,163.400247,98.329146,47.712199,-86.491954,-40.749791,0.148199
0.020000,162.007944,163.531103,99.248494,45.967391,-87.240383,-37.421469,0.137425
0.020000,162.884408,163.647653,100.132673,44.208947,-87.922173,-34.089468,0.126964
0.020000,163.726855,163.750866,100.981419,42.437326,-88.581071,-32.944934,0.116837
0.020000,164.534862,163.841706,101.794516,40.654842,-89.124187,-27.155795,0.107061
0.020000,165.308027,163.921126,102.571750,38.861699,-89.657147,-26.648001,0.097652
0.020000,166.046004,163.990062,103.312940,37.059487,-90.110612,-22.673252,0.088625
0.020000,166.748471,164.049430,104.017911,35.248561,-90.546302,-21.784465,0.079993
0.020000,167.415161,164.100118,104.686525,33.430706,-90.892727,-17.321274,0.071768
0.020000,168.045834,164.142985,105.318652,31.606372,-91.216703,-16.198796,0.063959
0.020000,168.640275,164.178856,105.914175,29.776124,-91.512428,-14.786246,0.056576
0.020000,169.198314,164.208517,106.473002,27.941347,-91.738863,-11.321751,0.049626
0.020000,169.719792,164.232717,106.995041,26.101955,-91.969602,-11.536966,0.043116
0.020000,170.204587,164.252160,107.480226,24.259261,-92.134679,-8.253828,0.037051
0.020000,170.652593,164.267508,107.928495,22.413427,-92.291695,-7.850802,0.031437
0.020000,171.063723,164.279376,108.339796,20.565088,-92.416966,-6.263581,0.026276
0.020000,171.437906,164.288330,108.714086,18.714503,-92.529261,-5.614708,0.021573
0.020000,171.775094,164.294890,109.051337,16.862547,-92.597791,-3.426514,0.017331
0.020000,172.075227,164.299525,109.351507,15.008473,-92.703694,-5.295135,0.013551
0.020000,172.338283,164.302653,109.614581,13.153729,-92.737183,-1.674492,0.010235
0.020000,172.564225,164.304644,109.840532,11.297532,-92.809861,-3.633899,0.007385
0.020000,172.753050,164.305814,110.029361,9.441450,-92.804094,0.288351,0.005003
0.020000,172.904729,164.306427,110.181041,7.583980,-92.873489,-3.469751,0.003088
0.020000,173.019265,164.306698,110.295577,5.726801,-92.858942,0.727347,0.001641
0.020000,173.096632,164.306787,110.372944,3.868387,-92.920698,-3.087783,0.000664
0.020000,173.136852,164.306804,110.413164,2.010997,-92.869547,2.557532,0.000156
0.020000,173.148434,164.306805,110.424747,0.579115,-71.594057,1063.774541,0.000010
0.020000,173.149198,164.306805,110.425510,0.038155,-27.048001,2227.302785,0.000000
0.020000,173.149198,164.306805,110.425510,0.000000,-1.907768,1257.011631,0.000000
