dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.931818,118.554634,0.005397,0.539705,26.985262,1349.263078,6.281539
0.020000,68.931818,118.554634,0.026985,1.619116,53.970523,1349.263078,6.281864
0.020000,68.931818,118.554634,0.070162,2.698526,53.970523,-0.000000,6.282515
0.020000,68.952080,118.554637,0.134926,3.777937,53.970523,-0.000000,0.000305
0.020000,69.038431,118.554720,0.221279,4.857347,53.970523,0.000000,0.001605
0.020000,69.146373,118.554981,0.329220,5.936758,53.970523,-0.000000,0.003230
0.020000,69.275897,118.555525,0.458749,7.016168,53.970523,0.000000,0.005179
0.020000,69.427018,118.556480,0.609867,8.095578,53.970523,-0.000000,0.007451
0.020000,69.599715,118.557991,0.782573,9.174989,53.970523,-0.000000,0.010047
0.020000,69.793999,118.560226,0.976866,10.254399,53.970523,0.000000,0.012965
0.020000,70.009858,118.563375,1.192749,11.333810,53.970523,0.000000,0.016204
0.020000,70.247289,118.567645,1.430219,12.413220,53.970523,0.000000,0.019764
0.020000,70.506284,118.573267,1.689277,13.492631,53.970523,-0.000000,0.023643
0.020000,70.786838,118.580491,1.969924,14.572041,53.970523,0.000000,0.027839
0.020000,71.088933,118.589585,2.272159,15.651452,53.970523,0.000000,0.032351
0.020000,71.412562,118.600841,2.595982,16.730862,53.970523,0.000000,0.037177
0.020000,71.757700,118.614566,2.941394,17.810273,53.970523,-0.000000,0.042314
0.020000,72.124324,118.631089,3.308393,18.889683,53.970523,0.000000,0.047759
0.020000,72.512418,118.650758,3.696981,19.969094,53.970523,-0.000000,0.053510
0.020000,72.921934,118.673935,4.107157,21.048504,53.970523,0.000000,0.059562
0.020000,73.352846,118.701005,4.538921,22.127914,53.970523,-0.000000,0.065911
0.020000,73.805111,118.732368,4.992273,23.207325,53.970523,0.000000,0.072553
0.020000,74.278682,118.768438,5.467214,24.286735,53.970523,0.000000,0.079482
0.020000,74.773498,118.809647,5.963743,25.366146,53.970523,-0.000000,0.086692
0.020000,75.289495,118.856440,6.481860,26.445556,53.970523,0.000000,0.094177
0.020000,75.826604,118.909277,7.021565,27.524967,53.970523,0.000000,0.101929
0.020000,76.384750,118.968629,7.582859,28.604377,53.970523,-0.000000,0.109941
0.020000,76.963843,119.034978,8.165740,29.683788,53.970523,0.000000,0.118202
0.020000,77.563782,119.108816,8.770210,30.763198,53.970523,0.000000,0.126705
0.020000,78.184469,119.190643,9.396268,31.842609,53.970523,-0.000000,0.135438
0.020000,78.825783,119.280966,10.043914,32.922019,53.970523,0.000000,0.144389
0.020000,79.487602,119.380297,10.713149,34.001430,53.970523,-0.000000,0.153547
0.020000,80.169792,119.489150,11.403972,35.080840,53.970523,0.000000,0.162897
0.020000,80.872207,119.608042,12.116382,36.160251,53.970523,0.000000,0.172427
0.020000,81.594700,119.737488,12.850382,37.239661,53.970523,0.000000,0.182121
0.020000,82.337104,119.878000,13.605969,38.319071,53.970523,-0.000000,0.191963
0.020000,83.099250,120.030086,14.383144,39.398482,53.970523,0.000000,0.201936
0.020000,83.880958,120.194246,15.181908,40.477892,53.970523,0.000000,0.212023
0.020000,84.682045,120.370971,16.002260,41.557303,53.970523,0.000000,0.222204
0.020000,85.502315,120.560739,16.844200,42.636713,53.970523,-0.000000,0.232461
0.020000,86.341572,120.764016,17.707729,43.716124,53.970523,0.000000,0.242773
0.020000,87.199613,120.981251,18.592845,44.795534,53.970523,0.000000,0.253119
0.020000,88.076230,121.212873,19.499550,45.874945,53.970523,0.000000,0.263479
0.020000,88.971215,121.459292,20.427843,46.954355,53.970523,0.000000,0.273829
0.020000,89.884358,121.720893,21.377724,48.033766,53.970523,0.000000,0.284148
0.020000,90.815451,121.998038,22.349194,49.113176,53.970523,-0.000000,0.294412
0.020000,91.764288,122.291061,23.342251,50.192587,53.970523,0.000000,0.304598
0.020000,92.730668,122.600264,24.356897,51.271997,53.970523,0.000000,0.314682
0.020000,93.714395,122.925923,25.393131,52.351407,53.970523,0.000000,0.324641
0.020000,94.715281,123.268277,26.450953,53.430818,53.970523,0.000000,0.334450
0.020000,95.733148,123.627531,27.530364,54.510228,53.970523,0.000000,0.344084
0.020000,96.767831,124.003855,28.631363,55.589639,53.970523,-0.000000,0.353521
0.020000,97.819178,124.397381,29.753949,56.669049,53.970523,0.000000,0.362735
0.020000,98.887051,124.808201,30.898124,57.748460,53.970523,0.000000,0.371703
0.020000,99.971335,125.236367,32.063888,58.827870,53.970523,0.000000,0.380400
0.020000,101.071928,125.681890,33.251239,59.907281,53.970523,0.000000,0.388802
0.020000,102.188754,126.144736,34.460179,60.986691,53.970523,0.000000,0.396886
0.020000,103.321759,126.624829,35.690707,62.066102,53.970523,-0.000000,0.404628
0.020000,104.470916,127.122046,36.942823,63.145512,53.970523,0.000000,0.412003
0.020000,105.636225,127.636218,38.216527,64.224923,53.970523,0.000000,0.418989
0.020000,106.817712,128.167129,39.511820,65.304333,53.970523,0.000000,0.425562
0.020000,108.015436,128.714511,40.828701,66.383743,53.970523,0.000000,0.431698
0.020000,109.229487,129.278049,42.167170,67.463154,53.970523,0.000000,0.437374
0.020000,110.459989,129.857372,43.527227,68.542564,53.970523,-0.000000,0.442565
0.020000,111.707101,130.452058,44.908872,69.621975,53.970523,0.000000,0.447249
0.020000,112.971019,131.061626,46.312106,70.701385,53.970523,0.000000,0.451401
0.020000,114.251974,131.685540,47.736928,71.780796,53.970523,0.000000,0.454995
0.020000,115.550238,132.323201,49.183338,72.860206,53.970523,0.000000,0.458007
0.020000,116.866121,132.973948,50.651336,73.939617,53.970523,0.000000,0.460411
0.020000,118.199973,133.637050,52.140922,75.019027,53.970523,0.000000,0.462180
0.020000,119.552188,134.311710,53.652097,76.098438,53.970523,0.000000,0.463287
0.020000,120.918369,134.994641,55.179463,76.638143,26.985262,-1349.263078,0.463703
0.020000,122.285007,135.677908,56.707387,76.154230,-24.195650,-2559.045599,0.463413
0.020000,123.638591,136.353570,58.220235,75.130612,-51.180912,-1349.263078,0.462429
0.020000,124.974237,137.018079,59.712053,74.051201,-53.970523,-139.480558,0.460780
0.020000,126.291841,137.670377,61.182283,72.971791,-53.970523,0.000000,0.458492
0.020000,127.591762,138.309726,62.630925,71.892380,-53.970523,0.000000,0.455593
0.020000,128.874316,138.935455,64.057978,70.812970,-53.970523,0.000000,0.452108
0.020000,130.139779,139.546957,65.463444,69.733559,-53.970523,0.000000,0.448063
0.020000,131.388389,140.143685,66.847321,68.654149,-53.970523,0.000000,0.443483
0.020000,132.620349,140.725152,68.209609,67.574738,-53.970523,-0.000000,0.438392
0.020000,133.835820,141.290927,69.550310,66.495328,-53.970523,0.000000,0.432814
0.020000,135.034935,141.840633,70.869423,65.415917,-53.970523,0.000000,0.426773
0.020000,136.217788,142.373945,72.166947,64.336507,-53.970523,0.000000,0.420292
0.020000,137.384443,142.890591,73.442883,63.257097,-53.970523,0.000000,0.413395
0.020000,138.534933,143.390345,74.697231,62.177686,-53.970523,-0.000000,0.406105
0.020000,139.669262,143.873033,75.929990,61.098276,-53.970523,-0.000000,0.398446
0.020000,140.787406,144.338523,77.141162,60.018865,-53.970523,0.000000,0.390442
0.020000,141.889317,144.786734,78.330745,58.939455,-53.970523,0.000000,0.382117
0.020000,142.974921,145.217624,79.498740,57.860044,-53.970523,0.000000,0.373493
0.020000,144.044125,145.631198,80.645147,56.780634,-53.970523,0.000000,0.364596
0.020000,145.096813,146.027500,81.769965,55.701223,-53.970523,0.000000,0.355448
0.020000,146.132852,146.406618,82.873196,54.621813,-53.970523,-0.000000,0.346075
0.020000,147.152094,146.768676,83.954838,53.542402,-53.970523,0.000000,0.336501
0.020000,148.154377,147.113837,85.014892,52.462992,-53.970523,0.000000,0.326748
0.020000,149.139523,147.442300,86.053357,51.383581,-53.970523,0.000000,0.316843
0.020000,150.107349,147.754299,87.070235,50.304171,-53.970523,0.000000,0.306808
0.020000,151.057661,148.050103,88.065524,49.224760,-53.970523,-0.000000,0.296668
0.020000,151.990258,148.330009,89.039225,48.145350,-53.970523,0.000000,0.286446
0.020000,152.904936,148.594345,89.991338,47.065940,-53.970523,0.000000,0.276166
0.020000,153.801489,148.843468,90.921863,45.986529,-53.970523,0.000000,0.265850
0.020000,154.679707,149.077757,91.830799,44.907119,-53.970523,0.000000,0.255522
0.020000,155.539381,149.297618,92.718148,43.827708,-53.970523,0.000000,0.245203
0.020000,156.380308,149.503475,93.583908,42.748298,-53.970523,-0.000000,0.234915
0.020000,157.202281,149.695773,94.428080,41.668887,-53.970523,0.000000,0.224679
0.020000,158.005104,149.874973,95.250663,40.589477,-53.970523,0.000000,0.214515
0.020000,158.788583,150.041550,96.051659,39.510066,-53.970523,0.000000,0.204442
0.020000,159.552531,150.195993,96.831066,38.430656,-53.970523,0.000000,0.194480
0.020000,160.296770,150.338796,97.588885,37.351245,-53.970523,0.000000,0.184646
0.020000,161.021128,150.470467,98.325116,36.271835,-53.970523,0.000000,0.174956
0.020000,161.725442,150.591513,99.039758,35.192424,-53.970523,0.000000,0.165428
0.020000,162.409559,150.702450,99.732813,34.113014,-53.970523,-0.000000,0.156076
0.020000,163.073331,150.803790,100.404279,33.033604,-53.970523,0.000000,0.146914
0.020000,163.716624,150.896047,101.054157,31.954193,-53.970523,0.000000,0.137956
0.020000,164.339311,150.979731,101.682447,30.874783,-53.970523,-0.000000,0.129215
0.020000,164.941283,151.055350,102.289148,29.795372,-53.970523,0.000000,0.120701
0.020000,165.522421,151.123401,102.874262,28.715962,-53.970523,0.000000,0.112426
0.020000,166.082635,151.184377,103.437787,27.636551,-53.970523,-0.000000,0.104400
0.020000,166.621836,151.238761,103.979724,26.557141,-53.970523,0.000000,0.096630
0.020000,167.139941,151.287022,104.500072,25.477730,-53.970523,-0.000000,0.089127
0.020000,167.636876,151.329621,104.998833,24.398320,-53.970523,0.000000,0.081896
0.020000,168.112579,151.367004,105.476005,23.318909,-53.970523,0.000000,0.074945
0.020000,168.566994,151.399603,105.931589,22.239499,-53.970523,0.000000,0.068281
0.020000,169.000070,151.427834,106.365585,21.160088,-53.970523,-0.000000,0.061907
0.020000,169.411766,151.452099,106.777993,20.080678,-53.970523,0.000000,0.055830
0.020000,169.802033,151.472780,107.168812,19.001268,-53.970523,-0.000000,0.050053
0.020000,170.170853,151.490245,107.538043,17.921857,-53.970523,0.000000,0.044580
0.020000,170.518191,151.504841,107.885686,16.842447,-53.970523,0.000000,0.039415
0.020000,170.844020,151.516898,108.211741,15.763036,-53.970523,-0.000000,0.034560
0.020000,171.148325,151.526727,108.516208,14.683626,-53.970523,0.000000,0.030018
0.020000,171.431098,151.534621,108.799086,13.604215,-53.970523,0.000000,0.025792
0.020000,171.692310,151.540848,109.060376,12.524805,-53.970523,-0.000000,0.021882
0.020000,171.931962,151.545663,109.300078,11.445394,-53.970523,0.000000,0.018292
0.020000,172.150046,151.549296,109.518192,10.365984,-53.970523,0.000000,0.015021
0.020000,172.346559,151.551958,109.714718,9.286573,-53.970523,-0.000000,0.012071
0.020000,172.521479,151.553840,109.889655,8.207163,-53.970523,0.000000,0.009443
