dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.911732,105.804650,0.007792,0.779184,38.959224,1947.961183,6.281610
0.020000,68.917591,105.804642,0.013651,0.292955,-24.311467,-3163.534523,6.282070
0.020000,68.929305,105.804635,0.025365,0.585695,14.636990,1947.422863,6.282988
0.020000,69.027004,105.804690,0.123063,4.884924,214.961435,10016.222207,0.001181
0.020000,69.175080,105.805001,0.271140,7.403814,125.944508,-4450.846308,0.003016
0.020000,69.360159,105.805772,0.456221,9.254071,92.512838,-1671.583542,0.005310
0.020000,69.582233,105.807257,0.678300,11.103949,92.493910,-0.946370,0.008061
0.020000,69.841281,105.809760,0.937359,12.952975,92.451317,-2.129669,0.011268
0.020000,70.137273,105.813638,1.233377,14.800875,92.395003,-2.815696,0.014929
0.020000,70.470191,105.819293,1.566343,16.648291,92.370814,-1.209431,0.019043
0.020000,70.839977,105.827181,1.936213,18.493533,92.262070,-5.437214,0.023608
0.020000,71.246595,105.837802,2.342970,20.337842,92.215466,-2.330197,0.028621
0.020000,71.689979,105.851707,2.786572,22.180083,92.112056,-5.170528,0.034079
0.020000,72.170033,105.869492,3.266955,24.019148,91.953259,-7.939835,0.039978
0.020000,72.686678,105.891798,3.784081,25.856321,91.858624,-4.731724,0.046314
0.020000,73.239781,105.919309,4.337868,27.689354,91.651643,-10.349089,0.053081
0.020000,73.829215,105.952754,4.928251,29.519112,91.487897,-8.187258,0.060274
0.020000,74.454797,105.992897,5.555119,31.343427,91.215739,-13.607899,0.067884
0.020000,75.116346,106.040542,6.218382,33.163126,90.984989,-11.537499,0.075903
0.020000,75.813637,106.096526,6.917917,34.976744,90.680883,-15.205336,0.084323
0.020000,76.546401,106.161717,7.653574,36.782881,90.306847,-18.701776,0.093132
0.020000,77.314355,106.237009,8.425211,38.581831,89.947485,-17.968088,0.102318
0.020000,78.117160,106.323319,9.232642,40.371566,89.486747,-23.036948,0.111868
0.020000,78.954453,106.421581,10.075681,42.151967,89.020056,-23.334533,0.121765
0.020000,79.825812,106.532742,10.954102,43.921033,88.453325,-28.336549,0.131993
0.020000,80.730790,106.657757,11.867674,45.678603,87.878474,-28.742559,0.142534
0.020000,81.668888,106.797579,12.816135,47.423036,87.221678,-32.839795,0.153366
0.020000,82.639557,106.953158,13.799193,49.152887,86.492526,-36.457592,0.164468
0.020000,83.642220,107.125430,14.816548,50.867772,85.744267,-37.412949,0.175815
0.020000,84.676249,107.315315,15.867867,52.565952,84.908999,-41.763376,0.187381
0.020000,85.740976,107.523702,16.952795,54.246400,84.022383,-44.330799,0.199139
0.020000,86.835696,107.751449,18.070954,55.907954,83.077700,-47.234154,0.211059
0.020000,87.959669,107.999375,19.221947,57.549633,82.083961,-49.686988,0.223109
0.020000,89.112127,108.268248,20.405353,59.170331,81.034881,-52.453981,0.235258
0.020000,90.292275,108.558785,21.620739,60.769277,79.947326,-54.377753,0.247470
0.020000,91.499296,108.871639,22.867646,62.345324,78.802352,-57.248696,0.259709
0.020000,92.732357,109.207398,24.145603,63.897863,77.626969,-58.769130,0.271940
0.020000,93.990621,109.566576,25.454127,65.426216,76.417605,-60.468242,0.284123
0.020000,95.273243,109.949611,26.792722,66.929745,75.176454,-62.057537,0.296221
0.020000,96.579388,110.356858,28.160883,68.408032,73.914362,-63.104598,0.308193
0.020000,97.908229,110.788584,29.558096,69.860693,72.633078,-64.064212,0.319999
0.020000,99.258960,111.244969,30.983846,71.287481,71.339397,-64.684034,0.331598
0.020000,100.630801,111.726099,32.437611,72.688240,70.037932,-65.073237,0.342951
0.020000,102.023001,112.231967,33.918869,74.062887,68.732364,-65.278398,0.354015
0.020000,103.434852,112.762469,35.427098,75.411448,67.428041,-65.216176,0.364750
0.020000,104.865686,113.317403,36.961776,76.733932,66.124171,-65.193508,0.375115
0.020000,106.314887,113.896470,38.522386,78.030472,64.827012,-64.857947,0.385069
0.020000,107.781890,114.499271,40.108408,79.301133,63.533059,-64.697613,0.394572
0.020000,109.266194,115.125306,41.719333,80.546212,62.253944,-63.955761,0.403584
0.020000,110.767350,115.773975,43.354644,81.765547,60.966748,-64.359804,0.412063
0.020000,112.284980,116.444576,45.013832,82.959415,59.693430,-63.665905,0.419971
0.020000,113.818766,117.136303,46.696385,84.127674,58.412906,-64.026187,0.427267
0.020000,115.368459,117.848248,48.401793,85.270384,57.135524,-63.869101,0.433910
0.020000,116.933875,118.579394,50.129537,86.387213,55.841426,-64.704913,0.439861
0.020000,118.514894,119.328615,51.879095,87.477906,54.534675,-65.337560,0.445079
0.020000,120.111463,120.094674,53.649937,88.542063,53.207867,-66.340408,0.449521
0.020000,121.723588,120.876217,55.441516,89.578951,51.844378,-68.174433,0.453145
0.020000,123.351336,121.671769,57.253274,90.587933,50.449112,-69.763298,0.455907
0.020000,124.994832,122.479730,59.084634,91.567975,49.002087,-72.351249,0.457762
0.020000,126.647243,123.294905,60.927179,92.127283,27.965409,-1051.833912,0.458661
0.020000,128.288509,124.105413,62.757665,91.524271,-30.150580,-2905.799449,0.458575
0.020000,129.899117,124.899637,64.553451,89.789309,-86.748110,-2829.876507,0.457522
0.020000,131.472860,125.672721,66.306827,87.668777,-106.026621,-963.925550,0.455548
0.020000,133.010436,126.423437,68.017883,85.552832,-105.797255,11.468336,0.452700
0.020000,134.512877,127.150934,69.687189,83.465288,-104.377179,71.003800,0.449021
0.020000,135.981116,127.854500,71.315295,81.405322,-102.998290,68.944416,0.444556
0.020000,137.415987,128.533557,72.902738,79.372116,-101.660297,66.899669,0.439346
0.020000,138.818237,129.187653,74.450040,77.365130,-100.349314,65.549173,0.433432
0.020000,140.188533,129.816451,75.957721,75.384008,-99.056129,64.659212,0.426855
0.020000,141.527468,130.419725,77.426287,73.428299,-97.785416,63.535678,0.419655
0.020000,142.835569,130.997353,78.856245,71.497932,-96.518384,63.351591,0.411872
0.020000,144.113302,131.549312,80.248100,69.592736,-95.259757,62.931339,0.403544
0.020000,145.361080,132.075671,81.602355,67.712738,-93.999925,62.991584,0.394712
0.020000,146.579270,132.576588,82.919513,65.857906,-92.741600,62.916292,0.385415
0.020000,147.768198,133.052303,84.200080,64.028348,-91.477909,63.184521,0.375692
0.020000,148.928149,133.503130,85.444561,62.224074,-90.213674,63.211779,0.365584
0.020000,150.059385,133.929460,86.653467,60.445267,-88.940351,63.666122,0.355130
0.020000,151.162136,134.331747,87.827303,58.691827,-87.672035,63.415818,0.344370
0.020000,152.236609,134.710505,88.966580,56.963828,-86.399938,63.604863,0.333344
0.020000,153.282997,135.066307,90.071804,55.261243,-85.129258,63.534001,0.322092
0.020000,154.301472,135.399773,91.143482,53.583866,-83.868835,63.021126,0.310653
0.020000,155.292198,135.711569,92.182113,51.931545,-82.616064,62.638526,0.299067
0.020000,156.255325,136.002399,93.188192,50.303978,-81.378320,61.887225,0.287372
0.020000,157.190996,136.273002,94.162207,48.700735,-80.162161,60.807974,0.275607
0.020000,158.099345,136.524142,95.104635,47.121379,-78.967783,59.718868,0.263809
0.020000,158.980502,136.756609,96.015941,45.565308,-77.803547,58.211807,0.252014
0.020000,159.834589,136.971208,96.896576,44.031763,-76.677260,56.314344,0.240259
0.020000,160.661728,137.168759,97.746978,42.520110,-75.582679,54.729046,0.228576
0.020000,161.462031,137.350088,98.567567,41.029421,-74.534450,52.411469,0.217000
0.020000,162.235609,137.516024,99.358742,39.558771,-73.532469,50.099053,0.205561
0.020000,162.982569,137.667399,100.120886,38.107188,-72.579166,47.665133,0.194290
