dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.488108,126.093730,0.007822,0.782152,39.107580,1955.379001,6.280816
0.020000,65.481181,126.093744,0.014749,0.346376,-21.788799,-3044.818940,6.281360
0.020000,65.467323,126.093762,0.028607,0.692912,17.326812,1955.780516,6.282447
0.020000,65.497888,126.093783,0.059173,1.528289,41.768873,1222.103080,0.000893
0.020000,65.595257,126.093976,0.156542,4.868435,167.007292,6261.920931,0.003071
0.020000,65.716906,126.094516,0.278192,6.082525,60.704511,-5315.139020,0.005799
0.020000,65.862781,126.095601,0.424071,7.293948,60.571131,-6.669029,0.009081
0.020000,66.032818,126.097471,0.594118,8.502335,60.419333,-7.589872,0.012919
0.020000,66.226965,126.100406,0.788288,9.708501,60.308304,-5.551443,0.017321
0.020000,66.445148,126.104728,1.006513,10.911255,60.137715,-8.529498,0.022289
0.020000,66.687271,126.110796,1.248713,12.109975,59.935992,-10.086131,0.027831
0.020000,66.953263,126.119015,1.514831,13.305934,59.797950,-6.902079,0.033952
0.020000,67.242982,126.129827,1.804752,14.496033,59.504935,-14.650782,0.040658
0.020000,67.556339,126.143719,2.118417,15.683248,59.360777,-7.207876,0.047956
0.020000,67.893223,126.161218,2.455755,16.866906,59.182883,-8.894727,0.055851
0.020000,68.253492,126.182896,2.816676,18.046035,58.956476,-11.320333,0.064352
0.020000,68.636989,126.209361,3.201085,19.220472,58.721826,-11.732520,0.073462
0.020000,69.043595,126.241272,3.608941,20.392811,58.616973,-5.242613,0.083187
0.020000,69.473147,126.279324,4.040175,21.561701,58.444470,-8.625158,0.093533
0.020000,69.925504,126.324260,4.494758,22.729156,58.372747,-3.586158,0.104503
0.020000,70.400469,126.376860,4.972627,23.893452,58.214828,-7.895964,0.116098
0.020000,70.897909,126.437954,5.473805,25.058885,58.271660,2.841631,0.128320
0.020000,71.417637,126.508409,5.998287,26.224077,58.259590,-0.603525,0.141168
0.020000,71.959493,126.589138,6.546124,27.391854,58.388838,6.462387,0.154637
0.020000,72.523320,126.681099,7.117401,28.563845,58.599544,10.535344,0.168723
0.020000,73.108948,126.785288,7.712225,29.741193,58.867404,13.392986,0.183415
0.020000,73.716222,126.902745,8.330753,30.926435,59.262083,19.733950,0.198701
0.020000,74.344994,127.034552,8.973192,32.121918,59.774194,25.605539,0.214565
0.020000,74.995140,127.181837,9.639812,33.331010,60.454583,34.019455,0.230988
0.020000,75.666519,127.345760,10.330913,34.555054,61.202191,37.380413,0.247944
0.020000,76.359017,127.527522,11.046868,35.797751,62.134842,46.632530,0.265403
0.020000,77.072539,127.728366,11.788118,37.062508,63.237857,55.150779,0.283334
0.020000,77.806985,127.949561,12.555150,38.351614,64.455325,60.873375,0.301695
0.020000,78.562289,128.192414,13.348536,39.669277,65.883134,71.390446,0.320443
0.020000,79.338380,128.458256,14.168896,41.018001,67.436176,77.652092,0.339530
0.020000,80.135196,128.748437,15.016905,42.400453,69.122629,84.322687,0.358902
0.020000,80.952689,129.064327,15.893308,43.820153,70.984988,93.117928,0.378500
0.020000,81.790813,129.407299,16.798891,45.279165,72.950588,98.280025,0.398264
0.020000,82.649522,129.778729,17.734488,46.779848,75.034159,104.178533,0.418127
0.020000,83.528777,130.179983,18.700973,48.324259,77.220559,109.320015,0.438021
0.020000,84.428524,130.612403,19.699238,49.913245,79.449293,111.436673,0.457877
0.020000,85.348715,131.077302,20.730199,51.548055,81.740527,114.561707,0.477622
0.020000,86.289291,131.575946,21.794780,53.229005,84.047474,115.347340,0.497184
0.020000,87.250194,132.109548,22.893900,54.955999,86.349719,115.112256,0.516491
0.020000,88.231361,132.679251,24.028470,56.728513,88.625703,113.799221,0.535471
0.020000,89.232731,133.286120,25.199381,58.545554,90.852044,111.317056,0.554055
0.020000,90.254253,133.931131,26.407498,60.405832,93.013869,108.091219,0.572175
0.020000,91.295888,134.615159,27.653651,62.307664,95.091633,103.888221,0.589765
0.020000,92.357622,135.338976,28.938637,64.249314,97.082498,99.543237,0.606764
0.020000,93.439470,136.103237,30.263209,66.228587,98.963627,94.056429,0.623111
0.020000,94.541494,136.908480,31.628080,68.243550,100.748155,89.226405,0.638752
0.020000,95.663811,137.755126,33.033927,70.292355,102.440241,84.604316,0.653632
0.020000,96.806608,138.643469,34.481386,72.372954,104.029951,79.485521,0.667703
0.020000,97.970150,139.573681,35.971059,74.483637,105.534177,75.211265,0.680917
0.020000,99.154798,140.545809,37.503515,76.622822,106.959259,71.254096,0.693229
0.020000,100.361023,141.559778,39.079305,78.789476,108.332656,68.669879,0.704597
0.020000,101.589421,142.615397,40.698963,80.982891,109.670776,66.905993,0.714978
0.020000,102.840717,143.712344,42.363004,83.202097,110.960283,64.475345,0.724331
0.020000,104.115800,144.850187,44.071959,85.447703,112.280291,66.000422,0.732616
0.020000,105.415718,146.028371,45.826354,87.719783,113.604012,66.186021,0.739791
0.020000,106.741706,147.246217,47.626741,90.019333,114.977495,68.674151,0.745813
0.020000,108.095192,148.502920,49.473691,92.347531,116.409916,71.621045,0.750636
0.020000,109.477827,149.797548,51.367825,94.706675,117.957198,77.364133,0.754213
0.020000,110.891493,151.129023,53.309803,97.098910,119.611737,82.726942,0.756491
0.020000,112.332651,152.490753,55.292539,99.136779,101.893467,-885.913491,0.757412
0.020000,113.787819,153.866344,57.294979,100.122022,49.262162,-2631.565284,0.756945
0.020000,115.243088,155.238852,59.295376,100.019830,-5.109610,-2718.588590,0.755109
0.020000,116.692640,156.599147,61.283240,99.393195,-31.331763,-1311.107668,0.751959
0.020000,118.136189,157.943574,63.255882,98.632136,-38.052944,-336.059035,0.747549
0.020000,119.574816,159.269997,65.212676,97.839684,-39.622593,-78.482465,0.741928
0.020000,121.009491,160.576397,67.153030,97.017707,-41.098839,-73.812259,0.735142
0.020000,122.441078,161.860869,69.076389,96.167956,-42.487567,-69.436418,0.727236
0.020000,123.870318,163.121604,70.982217,95.291389,-43.828355,-67.039427,0.718250
0.020000,125.297823,164.356878,72.869986,94.388443,-45.147277,-65.946090,0.708227
0.020000,126.724076,165.565056,74.739182,93.459796,-46.432357,-64.253973,0.697207
0.020000,128.149409,166.744570,76.589270,92.504423,-47.768647,-66.814502,0.685231
0.020000,129.574005,167.893933,78.419710,91.522003,-49.121013,-67.618287,0.672343
0.020000,130.997891,169.011730,80.229937,90.511343,-50.533011,-70.599926,0.658585
0.020000,132.420937,170.096630,82.019369,89.471583,-51.987993,-72.749091,0.644006
0.020000,133.842829,171.147371,83.787372,88.400161,-53.571107,-79.155687,0.628652
0.020000,135.263095,172.162792,85.533292,87.295979,-55.209103,-81.899798,0.612577
0.020000,136.681087,173.141824,87.256429,86.156879,-56.954992,-87.294481,0.595835
0.020000,138.095981,174.083505,88.956043,84.980689,-58.809522,-92.726506,0.578484
0.020000,139.506791,174.986992,90.631357,83.765705,-60.749160,-96.981874,0.560585
0.020000,140.912367,175.851574,92.281553,82.509770,-62.796791,-102.381550,0.542202
0.020000,142.311409,176.676678,93.905780,81.211391,-64.918914,-106.106155,0.523402
0.020000,143.702478,177.461888,95.503161,79.869045,-67.117330,-109.920790,0.504253
0.020000,145.084013,178.206946,97.072795,78.481706,-69.366914,-112.479198,0.484827
0.020000,146.454350,178.911770,98.613769,77.048683,-71.651148,-114.211713,0.465195
0.020000,147.811741,179.576450,100.125163,75.569692,-73.949587,-114.921949,0.445429
0.020000,149.154381,180.201258,101.606063,74.045014,-76.233891,-114.215214,0.425602
0.020000,150.480427,180.786647,103.055573,72.475488,-78.476293,-112.120072,0.405782
0.020000,151.788024,181.333242,104.472816,70.862150,-80.666907,-109.530708,0.386039
0.020000,153.075325,181.841839,105.856945,69.206464,-82.784299,-105.869620,0.366440
0.020000,154.340521,182.313395,107.207163,67.510861,-84.780153,-99.792707,0.347047
