dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.457905,113.343765,0.007822,0.782152,39.107580,1955.379001,6.280816
0.020000,65.457905,113.343765,0.039108,2.346455,78.215160,1955.379001,6.281360
0.020000,65.457905,113.343765,0.101680,3.910758,78.215160,-0.000000,6.282447
0.020000,65.509274,113.343788,0.195538,5.475061,78.215160,0.000000,0.000893
0.020000,65.634412,113.344036,0.320682,7.039364,78.215160,0.000000,0.003071
0.020000,65.790845,113.344730,0.477112,8.603668,78.215160,-0.000000,0.005799
0.020000,65.978557,113.346126,0.664829,10.167971,78.215160,0.000000,0.009081
0.020000,66.197536,113.348535,0.883831,11.732274,78.215160,-0.000000,0.012919
0.020000,66.447792,113.352319,1.134120,13.296577,78.215160,0.000000,0.017321
0.020000,66.729313,113.357895,1.415694,14.860880,78.215160,-0.000000,0.022289
0.020000,67.042070,113.365734,1.728555,16.425184,78.215160,0.000000,0.027831
0.020000,67.386068,113.376363,2.072702,17.989487,78.215160,-0.000000,0.033952
0.020000,67.761227,113.390364,2.448135,19.553790,78.215160,0.000000,0.040658
0.020000,68.167538,113.408377,2.854853,21.118093,78.215160,0.000000,0.047956
0.020000,68.604959,113.431099,3.292858,22.682396,78.215160,0.000000,0.055851
0.020000,69.073411,113.459286,3.762149,24.246700,78.215160,0.000000,0.064352
0.020000,69.572785,113.493749,4.262726,25.811003,78.215160,-0.000000,0.073462
0.020000,70.103013,113.535362,4.794589,27.375306,78.215160,0.000000,0.083187
0.020000,70.663958,113.585055,5.357738,28.939609,78.215160,0.000000,0.093533
0.020000,71.255493,113.643817,5.952174,30.503912,78.215160,0.000000,0.104503
0.020000,71.877399,113.712691,6.577895,32.068216,78.215160,0.000000,0.116098
0.020000,72.529509,113.792782,7.234902,33.632519,78.215160,-0.000000,0.128320
0.020000,73.211556,113.885241,7.923196,35.196822,78.215160,0.000000,0.141168
0.020000,73.923270,113.991278,8.642775,36.761125,78.215160,-0.000000,0.154637
0.020000,74.664341,114.112148,9.393641,38.325428,78.215160,0.000000,0.168723
0.020000,75.434395,114.249148,10.175792,39.889732,78.215160,0.000000,0.183415
0.020000,76.233021,114.403616,10.989230,41.454035,78.215160,-0.000000,0.198701
0.020000,77.059758,114.576922,11.833954,43.018338,78.215160,0.000000,0.214565
0.020000,77.914114,114.770468,12.709964,44.582641,78.215160,-0.000000,0.230988
0.020000,78.795508,114.985666,13.617259,46.146944,78.215160,0.000000,0.247944
0.020000,79.703324,115.223941,14.555841,47.711248,78.215160,0.000000,0.265403
0.020000,80.636901,115.486723,15.525709,49.275551,78.215160,-0.000000,0.283334
0.020000,81.595504,115.775423,16.526863,50.839854,78.215160,0.000000,0.301695
0.020000,82.578374,116.091440,17.559303,52.404157,78.215160,-0.000000,0.320443
0.020000,83.584690,116.436137,18.623030,53.968460,78.215160,0.000000,0.339530
0.020000,84.613581,116.810826,19.718042,55.532764,78.215160,-0.000000,0.358902
0.020000,85.664160,117.216772,20.844340,57.097067,78.215160,0.000000,0.378500
0.020000,86.735497,117.655168,22.001925,58.661370,78.215160,0.000000,0.398264
0.020000,87.826650,118.127126,23.190795,60.225673,78.215160,-0.000000,0.418127
0.020000,88.936669,118.633676,24.410951,61.789976,78.215160,0.000000,0.438021
0.020000,90.064596,119.175743,25.662394,63.354280,78.215160,-0.000000,0.457877
0.020000,91.209490,119.754148,26.945123,64.918583,78.215160,0.000000,0.477622
0.020000,92.370436,120.369601,28.259137,66.482886,78.215160,0.000000,0.497184
0.020000,93.546552,121.022692,29.604438,68.047189,78.215160,0.000000,0.516491
0.020000,94.737003,121.713891,30.981025,69.611492,78.215160,-0.000000,0.535471
0.020000,95.941017,122.443547,32.388898,71.175796,78.215160,0.000000,0.554055
0.020000,97.157891,123.211882,33.828057,72.740099,78.215160,0.000000,0.572175
0.020000,98.387002,124.018999,35.298502,74.304402,78.215160,-0.000000,0.589765
0.020000,99.627821,124.864879,36.800233,75.868705,78.215160,0.000000,0.606764
0.020000,100.879916,125.749384,38.333250,77.433008,78.215160,0.000000,0.623111
0.020000,102.142962,126.672261,39.897553,78.997312,78.215160,0.000000,0.638752
0.020000,103.416754,127.633151,41.493142,80.561615,78.215160,-0.000000,0.653632
0.020000,104.701204,128.631584,43.120018,82.125918,78.215160,0.000000,0.667703
0.020000,105.996351,129.666986,44.778179,83.690221,78.215160,0.000000,0.680917
0.020000,107.302361,130.738683,46.467627,85.254524,78.215160,-0.000000,0.693229
0.020000,108.619539,131.845901,48.188360,86.818828,78.215160,0.000000,0.704597
0.020000,109.948329,132.987772,49.940380,88.383131,78.215160,0.000000,0.714978
0.020000,111.289310,134.163324,51.723685,89.947434,78.215160,-0.000000,0.724331
0.020000,112.643215,135.371490,53.538277,91.511737,78.215160,0.000000,0.732616
0.020000,114.010921,136.611100,55.384155,93.076040,78.215160,0.000000,0.739791
0.020000,115.393460,137.880874,57.261319,94.640344,78.215160,0.000000,0.745813
0.020000,116.792016,139.179415,59.169769,96.204647,78.215160,-0.000000,0.750636
0.020000,118.207943,140.505208,61.109505,97.768950,78.215160,0.000000,0.754213
0.020000,119.642754,141.856595,63.080527,99.333253,78.215160,0.000000,0.756491
0.020000,121.092454,143.226394,65.075013,100.115405,39.107580,-1955.379001,0.757412
0.020000,122.543289,144.597890,67.071491,99.532339,-29.153307,-3413.044369,0.756945
0.020000,123.981532,145.954344,69.048485,98.167121,-68.260887,-1955.379001,0.755109
0.020000,125.401793,147.287157,70.996185,96.602818,-78.215160,-497.713633,0.751959
0.020000,126.804189,148.593265,72.912598,95.038515,-78.215160,-0.000000,0.747549
0.020000,128.190120,149.871113,74.797725,93.474211,-78.215160,0.000000,0.741928
0.020000,129.560821,151.119269,76.651566,91.909908,-78.215160,0.000000,0.735142
0.020000,130.917368,152.336427,78.474121,90.345605,-78.215160,0.000000,0.727236
0.020000,132.260685,153.521384,80.265391,88.781302,-78.215160,-0.000000,0.718250
0.020000,133.591545,154.673043,82.025374,87.216999,-78.215160,0.000000,0.708227
0.020000,134.910581,155.790413,83.754070,85.652695,-78.215160,0.000000,0.697207
0.020000,136.218273,156.872593,85.451481,84.088392,-78.215160,-0.000000,0.685231
0.020000,137.514968,157.918783,87.117606,82.524089,-78.215160,0.000000,0.672343
0.020000,138.800876,158.928282,88.752445,80.959786,-78.215160,0.000000,0.658585
0.020000,140.076083,159.900491,90.355998,79.395483,-78.215160,-0.000000,0.644006
0.020000,141.340535,160.834907,91.928264,77.831179,-78.215160,0.000000,0.628652
0.020000,142.594064,161.731139,93.469245,76.266876,-78.215160,0.000000,0.612577
0.020000,143.836388,162.588902,94.978939,74.702573,-78.215160,0.000000,0.595835
0.020000,145.067108,163.408024,96.457348,73.138270,-78.215160,-0.000000,0.578484
0.020000,146.285730,164.188452,97.904470,71.573967,-78.215160,0.000000,0.560585
0.020000,147.491663,164.930247,99.320306,70.009663,-78.215160,0.000000,0.542202
0.020000,148.684231,165.633597,100.704857,68.445360,-78.215160,-0.000000,0.523402
0.020000,149.862687,166.298809,102.058121,66.881057,-78.215160,0.000000,0.504253
0.020000,151.026220,166.926314,103.380099,65.316754,-78.215160,0.000000,0.484827
0.020000,152.173965,167.516661,104.670791,63.752451,-78.215160,-0.000000,0.465195
0.020000,153.305021,168.070522,105.930197,62.188147,-78.215160,0.000000,0.445429
0.020000,154.418457,168.588679,107.158317,60.623844,-78.215160,0.000000,0.425602
0.020000,155.513328,169.072023,108.355151,59.059541,-78.215160,-0.000000,0.405782
0.020000,156.588683,169.521546,109.520698,57.495238,-78.215160,0.000000,0.386039
0.020000,157.643574,169.938327,110.654960,55.930935,-78.215160,0.000000,0.366440
0.020000,158.677076,170.323533,111.757936,54.366631,-78.215160,-0.000000,0.347047
0.020000,159.688290,170.678400,112.829625,52.802328,-78.215160,0.000000,0.327918
0.020000,160.676343,171.004221,113.870029,51.238025,-78.215160,-0.000000,0.309110
0.020000,161.640401,171.302339,114.879146,49.673722,-78.215160,0.000000,0.290671
0.020000,162.579687,171.574135,115.856978,48.109419,-78.215160,0.000000,0.272648
0.020000,163.493453,171.821011,116.803523,46.545115,-78.215160,-0.000000,0.255081
0.020000,164.381022,172.044386,117.718782,44.980812,-78.215160,0.000000,0.238006
0.020000,165.241765,172.245681,118.602756,43.416509,-78.215160,-0.000000,0.221453
0.020000,166.075085,172.426308,119.455443,41.852206,-78.215160,0.000000,0.205449
0.020000,166.880476,172.587669,120.276844,40.287903,-78.215160,0.000000,0.190015
0.020000,167.657446,172.731135,121.066959,38.723599,-78.215160,-0.000000,0.175169
0.020000,168.405576,172.858051,121.825788,37.159296,-78.215160,0.000000,0.160924
0.020000,169.124494,172.969726,122.553331,35.594993,-78.215160,-0.000000,0.147291
0.020000,169.813864,173.067422,123.249588,34.030690,-78.215160,0.000000,0.134277
0.020000,170.473377,173.152356,123.914558,32.466387,-78.215160,0.000000,0.121886
0.020000,171.102792,173.225697,124.548243,30.902083,-78.215160,-0.000000,0.110121
0.020000,171.701906,173.288562,125.150642,29.337780,-78.215160,0.000000,0.098980
0.020000,172.270518,173.342008,125.721754,27.773477,-78.215160,0.000000,0.088464
0.020000,172.808454,173.387037,126.261581,26.209174,-78.215160,-0.000000,0.078568
0.020000,173.315591,173.424595,126.770121,24.644871,-78.215160,0.000000,0.069289
0.020000,173.791854,173.455573,127.247376,23.080567,-78.215160,0.000000,0.060622
0.020000,174.237099,173.480796,127.693344,21.516264,-78.215160,0.000000,0.052560
0.020000,174.651289,173.501035,128.108026,19.951961,-78.215160,0.000000,0.045099
0.020000,175.034346,173.517004,128.491422,18.387658,-78.215160,-0.000000,0.038231
0.020000,175.386233,173.529356,128.843532,16.823355,-78.215160,0.000000,0.031951
0.020000,175.706917,173.538690,129.164357,15.259051,-78.215160,0.000000,0.026252
0.020000,175.996373,173.545548,129.453894,13.694748,-78.215160,0.000000,0.021128
0.020000,176.254579,173.550416,129.712146,12.130445,-78.215160,-0.000000,0.016574
0.020000,176.481541,173.553725,129.939112,10.566142,-78.215160,0.000000,0.012585
0.020000,176.677189,173.555852,130.134792,9.001839,-78.215160,0.000000,0.009155
0.020000,176.841575,173.557120,130.299186,7.437535,-78.215160,-0.000000,0.006281
0.020000,176.974681,173.557802,130.432294,5.873232,-78.215160,0.000000,0.003958
0.020000,177.076515,173.558114,130.534115,4.308929,-78.215160,0.000000,0.002184
0.020000,177.147038,173.558225,130.604651,2.744626,-78.215160,-0.000000,0.000957
0.020000,177.186301,173.558249,130.643900,1.180323,-78.215160,0.000000,0.000274
0.020000,177.200103,173.558251,130.657694,0.199085,-49.061853,1457.665368,0.000035
0.020000,177.202096,173.558252,130.659685,0.000000,-9.954273,1955.379001,6.283185
0.020000,177.202096,173.558252,130.659685,0.000000,0.000000,497.713633,6.283185
