dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.427701,100.593801,0.007822,0.782152,39.107580,1955.379001,6.280816
0.020000,65.434629,100.593787,0.014749,0.346376,-21.788799,-3044.818940,6.281360
0.020000,65.448487,100.593769,0.028607,0.692912,17.326812,1955.780516,6.282447
0.020000,65.520659,100.593793,0.100779,3.608585,145.783666,6422.842736,0.000893
0.020000,65.673567,100.594096,0.253688,7.645435,201.842485,2802.940948,0.003071
0.020000,65.864783,100.594944,0.444905,9.560866,95.771544,-5303.547046,0.005799
0.020000,66.094333,100.596652,0.674462,11.477850,95.849228,3.884168,0.009081
0.020000,66.362254,100.599599,0.942398,13.396819,95.948449,4.961053,0.012919
0.020000,66.668618,100.604231,1.248798,15.319992,96.158622,10.508670,0.017321
0.020000,67.013477,100.611062,1.593725,17.246329,96.316875,7.912640,0.022289
0.020000,67.396868,100.620671,1.977236,19.175565,96.461803,7.246421,0.027831
0.020000,67.818873,100.633711,2.399442,21.110298,96.736654,13.742541,0.033952
0.020000,68.279473,100.650900,2.860363,23.046026,96.786359,2.485264,0.040658
0.020000,68.778736,100.673035,3.360116,24.987692,97.083332,14.848632,0.047956
0.020000,69.316695,100.700980,3.898801,26.934234,97.327085,12.187669,0.055851
0.020000,69.893329,100.735677,4.476478,28.883843,97.480443,7.667896,0.064352
0.020000,70.508580,100.778137,5.093192,30.835689,97.592310,5.593315,0.073462
0.020000,71.162430,100.829453,5.749053,32.793045,97.867821,13.775571,0.083187
0.020000,71.854768,100.890786,6.444102,34.752479,97.971675,5.192681,0.093533
0.020000,72.585483,100.963375,7.178413,36.715551,98.153621,9.097327,0.104503
0.020000,73.354329,101.048522,7.951960,38.677327,98.088782,-3.241971,0.116098
0.020000,74.161108,101.147609,8.764802,40.642097,98.238506,7.486224,0.128320
0.020000,75.005474,101.262074,9.616890,42.604435,98.116905,-6.080047,0.141168
0.020000,75.887046,101.393418,10.508193,44.565149,98.035711,-4.059716,0.154637
0.020000,76.805362,101.543197,11.438644,46.522510,97.868053,-8.382891,0.168723
0.020000,77.759842,101.713008,12.408111,48.473376,97.543285,-16.238429,0.183415
0.020000,78.749819,101.904487,13.416436,50.416253,97.143827,-19.972889,0.198701
0.020000,79.774522,102.119291,14.463411,52.348736,96.624178,-25.982463,0.214565
0.020000,80.833089,102.359099,15.548801,54.269507,96.038525,-29.282647,0.230988
0.020000,81.924498,102.625572,16.672270,56.173435,95.196434,-42.104529,0.247944
0.020000,83.047632,102.920360,17.833446,58.058799,94.268177,-46.412846,0.265403
0.020000,84.201263,103.245080,19.031907,59.923060,93.213060,-52.755835,0.283334
0.020000,85.384023,103.601285,20.267140,61.761676,91.930792,-64.113416,0.301695
0.020000,86.594459,103.990467,21.538604,63.573156,90.574009,-67.839135,0.320443
0.020000,87.830999,104.414017,22.845671,65.353390,89.011666,-78.117194,0.339530
0.020000,89.091967,104.873215,24.187649,67.098861,87.273548,-86.905885,0.358902
0.020000,90.375631,105.369218,25.563807,68.807903,85.452131,-91.070824,0.378500
0.020000,91.680182,105.903036,26.973351,70.477235,83.466608,-99.276151,0.398264
0.020000,93.003778,106.475523,28.415450,72.104909,81.383672,-104.146801,0.418127
0.020000,94.344561,107.087370,29.889240,73.689498,79.229465,-107.710342,0.438021
0.020000,95.700667,107.739083,31.393816,75.228847,76.967438,-113.101362,0.457877
0.020000,97.070266,108.430995,32.928269,76.722618,74.688542,-113.944810,0.477622
0.020000,98.451581,109.163255,34.491674,78.170276,72.382919,-115.281168,0.497184
0.020000,99.842909,109.935835,36.083112,79.571890,70.080676,-115.112111,0.516491
0.020000,101.242646,110.748532,37.701673,80.928031,67.807086,-113.679548,0.535471
0.020000,102.649304,111.600973,39.346465,82.239628,65.579821,-111.363242,0.554055
0.020000,104.061529,112.492634,41.016627,83.508066,63.421896,-107.896221,0.572175
0.020000,105.478116,113.422840,42.711325,84.734897,61.341548,-104.017427,0.589765
0.020000,106.898021,114.390783,44.429767,85.922113,59.360816,-99.036582,0.606764
0.020000,108.320361,115.395531,46.171195,87.071415,57.465092,-94.786226,0.623111
0.020000,109.744431,116.436043,47.934895,88.184984,55.678441,-89.332511,0.638752
