dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.006769,312.749998,0.005385,0.538466,26.923314,1346.165711,6.282654
0.020000,36.005973,312.749999,0.006180,0.039774,-24.934628,-2592.897108,6.282717
0.020000,36.004384,312.749999,0.007770,0.079481,1.985375,1346.000162,6.282841
0.020000,36.002002,312.750000,0.010151,0.119056,1.978754,-0.331061,6.283028
0.020000,36.030563,312.750001,0.038711,1.428018,65.448068,3173.465684,0.000091
0.020000,36.134305,312.750027,0.142453,5.187105,187.954353,6125.314251,0.000401
0.020000,36.258810,312.750100,0.266959,6.225272,51.908379,-6802.298694,0.000772
0.020000,36.404088,312.750243,0.412237,7.263891,51.930920,1.127044,0.001203
0.020000,36.570146,312.750484,0.578295,8.302925,51.951698,1.038933,0.001693
0.020000,36.756995,312.750852,0.765145,9.342472,51.977361,1.283127,0.002242
0.020000,36.964647,312.751380,0.972797,10.382630,52.007887,1.526307,0.002849
0.020000,37.193116,312.752107,1.201267,11.423495,52.043253,1.768315,0.003512
0.020000,37.442418,312.753072,1.450570,12.465163,52.083433,2.008978,0.004230
0.020000,37.712563,312.754319,1.720719,13.507423,52.112985,1.477622,0.005003
0.020000,38.003575,312.755896,2.011735,14.550829,52.170282,2.864826,0.005829
0.020000,38.315466,312.757851,2.323632,15.594850,52.201063,1.539047,0.006706
0.020000,38.648260,312.760237,2.656434,16.640097,52.262365,3.065118,0.007632
0.020000,39.001975,312.763109,3.010161,17.686358,52.313021,2.532782,0.008607
0.020000,39.376634,312.766526,3.384836,18.733726,52.368395,2.768704,0.009629
0.020000,39.772260,312.770546,3.780482,19.782294,52.428437,3.002089,0.010694
0.020000,40.188876,312.775233,4.197125,20.832156,52.493089,3.232609,0.011803
0.020000,40.626506,312.780651,4.634788,21.883158,52.550120,2.851555,0.012951
0.020000,41.085179,312.786864,5.093503,22.935743,52.629240,3.956005,0.014139
0.020000,41.564919,312.793942,5.573295,23.989616,52.693627,3.219366,0.015362
0.020000,42.065757,312.801952,6.074198,25.045129,52.775640,4.100629,0.016619
0.020000,42.587722,312.810964,6.596240,26.102130,52.850064,3.721190,0.017907
0.020000,43.130842,312.821050,7.139454,27.160677,52.927366,3.865114,0.019224
0.020000,43.695150,312.832280,7.703874,28.220989,53.015597,4.411528,0.020567
0.020000,44.280677,312.844725,8.289533,29.282957,53.098396,4.139973,0.021933
0.020000,44.887458,312.858459,8.896469,30.346796,53.191927,4.676529,0.023320
0.020000,45.515527,312.873551,9.524720,31.412554,53.287941,4.800714,0.024725
0.020000,46.164918,312.890074,10.174321,32.480029,53.373723,4.289110,0.026144
0.020000,46.835670,312.908096,10.845314,33.549696,53.483344,5.481038,0.027575
0.020000,47.527815,312.927688,11.537737,34.621149,53.572664,4.466023,0.029015
0.020000,48.241396,312.948916,12.251634,35.694817,53.683403,5.536955,0.030459
0.020000,48.976451,312.971847,12.987046,36.770610,53.789627,5.311156,0.031905
0.020000,49.733019,312.996544,13.744018,37.848579,53.898491,5.443195,0.033350
0.020000,50.511143,313.023068,14.522594,38.928804,54.011241,5.637537,0.034790
0.020000,51.310864,313.051477,15.322819,40.011255,54.122542,5.565023,0.036221
0.020000,52.132225,313.081827,16.144740,41.096074,54.240933,5.919551,0.037639
0.020000,52.975272,313.114169,16.988408,42.183382,54.365429,6.224803,0.039041
