dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.993231,287.250002,0.005385,0.538466,26.923314,1346.165711,6.282654
0.020000,35.994027,287.250001,0.006180,0.039774,-24.934628,-2592.897108,6.282717
0.020000,35.995616,287.250001,0.007770,0.079481,1.985375,1346.000162,6.282841
0.020000,35.997998,287.250000,0.010151,0.119056,1.978754,-0.331061,6.283028
0.020000,36.032895,287.250002,0.045048,1.744878,81.291093,3965.616962,0.000091
0.020000,36.144539,287.250029,0.156692,5.582177,191.864923,5528.691488,0.000401
0.020000,36.278496,287.250108,0.290650,6.697878,55.785043,-6803.994007,0.000772
0.020000,36.434761,287.250262,0.446914,7.813226,55.767403,-0.882006,0.001203
0.020000,36.613321,287.250521,0.625475,8.928044,55.740926,-1.323833,0.001693
0.020000,36.814167,287.250916,0.826321,10.042300,55.712784,-1.407127,0.002242
0.020000,37.037285,287.251484,1.049440,11.155959,55.682973,-1.490547,0.002849
0.020000,37.282664,287.252264,1.294820,12.268989,55.651489,-1.574174,0.003512
0.020000,37.550289,287.253300,1.562447,13.381356,55.618327,-1.658107,0.004230
0.020000,37.840140,287.254639,1.852301,14.492695,55.566949,-2.568923,0.005003
0.020000,38.152205,287.256329,2.164370,15.603466,55.538563,-1.419271,0.005829
0.020000,38.486457,287.258424,2.498630,16.712966,55.474997,-3.178303,0.006706
0.020000,38.842882,287.260979,2.855064,17.821715,55.437455,-1.877121,0.007632
0.020000,39.221457,287.264054,3.233651,18.929351,55.381835,-2.781008,0.008607
0.020000,39.622157,287.267708,3.634368,20.035845,55.324657,-2.858889,0.009629
0.020000,40.044959,287.272004,4.057191,21.141163,55.265907,-2.937479,0.010694
0.020000,40.489836,287.277009,4.502096,22.245274,55.205566,-3.017052,0.011803
0.020000,40.956758,287.282789,4.969054,23.347887,55.130632,-3.746704,0.012951
0.020000,41.445700,287.289413,5.458041,24.449344,55.072864,-2.888393,0.014139
0.020000,41.956628,287.296951,5.969025,25.549205,54.993028,-3.991827,0.015362
0.020000,42.489515,287.305473,6.501980,26.647718,54.925678,-3.367462,0.016619
0.020000,43.044324,287.315053,7.056872,27.744598,54.844011,-4.083394,0.017907
0.020000,43.621020,287.325762,7.633667,28.839783,54.759247,-4.238155,0.019224
0.020000,44.219569,287.337673,8.232335,29.933383,54.679984,-3.963182,0.020567
0.020000,44.839932,287.350859,8.852838,31.025161,54.588910,-4.553695,0.021933
0.020000,45.482072,287.365392,9.495143,32.115226,54.503230,-4.284011,0.023320
0.020000,46.145951,287.381345,10.159213,33.203511,54.414242,-4.449394,0.024725
0.020000,46.831523,287.398788,10.845006,34.289682,54.308590,-5.282577,0.026144
0.020000,47.538750,287.417791,11.552489,35.374129,54.222320,-4.313496,0.027575
0.020000,48.267584,287.438421,12.281615,36.456307,54.108897,-5.671143,0.029015
0.020000,49.017983,287.460744,13.032346,37.536554,54.012378,-4.825982,0.030459
0.020000,49.789901,287.484825,13.804640,38.614664,53.905464,-5.345709,0.031905
0.020000,50.583290,287.510723,14.598451,39.690579,53.795754,-5.485485,0.033350
0.020000,51.398102,287.538498,15.413736,40.764271,53.684597,-5.557866,0.034790
0.020000,52.234287,287.568202,16.250448,41.835599,53.566445,-5.907596,0.036221
0.020000,53.091794,287.599888,17.108541,42.904605,53.450274,-5.808538,0.037639
0.020000,53.970574,287.633601,17.987967,43.971306,53.335049,-5.761226,0.039041
0.020000,54.870571,287.669383,18.888675,45.035413,53.205351,-6.484905,0.040424
