dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,45.027542,309.003665,0.005393,0.539305,26.965240,1348.262006,5.496463
0.020000,45.024571,309.006643,0.009599,0.210307,-16.449891,-2170.756557,5.496793
0.020000,45.018630,309.012592,0.018007,0.420397,10.504489,1347.719000,5.497452
0.020000,45.039991,308.991248,0.048204,1.509852,54.472739,2198.412490,5.498441
0.020000,45.089201,308.942166,0.117707,3.475140,98.264434,2189.584741,5.499757
0.020000,45.150824,308.880887,0.204612,4.345240,43.504997,-2737.971816,5.501401
0.020000,45.224929,308.807461,0.308934,5.216095,43.542763,1.888265,5.503370
0.020000,45.311610,308.721939,0.430702,6.088421,43.616256,3.674665,5.505663
0.020000,45.410963,308.624394,0.569936,6.961684,43.663196,2.346980,5.508279
0.020000,45.523106,308.514901,0.726667,7.836569,43.744220,4.051235,5.511213
0.020000,45.648169,308.393548,0.900930,8.713129,43.828030,4.190496,5.514465
0.020000,45.786302,308.260424,1.092770,9.592028,43.944938,5.845395,5.518030
0.020000,45.937659,308.115636,1.302228,10.472868,44.041978,4.852013,5.521905
0.020000,46.102417,307.959297,1.529356,11.356408,44.177003,6.751255,5.526086
0.020000,46.280763,307.791526,1.774211,12.242783,44.318740,7.086835,5.530569
0.020000,46.472900,307.612451,2.036860,13.132437,44.482702,8.198105,5.535348
0.020000,46.679043,307.422211,2.317371,14.025534,44.654875,8.608652,5.540418
0.020000,46.899424,307.220948,2.615825,14.922695,44.858038,10.158144,5.545773
0.020000,47.134288,307.008815,2.932308,15.824148,45.072643,10.730231,5.551406
0.020000,47.383888,306.785971,3.266911,16.730170,45.301097,11.422708,5.557309
0.020000,47.648498,306.552581,3.619742,17.641535,45.568251,13.357692,5.563475
0.020000,47.928400,306.308819,3.990909,18.558369,45.841736,13.674285,5.569894
0.020000,48.223890,306.054861,4.380535,19.481288,46.145925,15.209450,5.576558
0.020000,48.535275,305.790892,4.788752,20.410843,46.477754,16.591404,5.583455
0.020000,48.862875,305.517101,5.215698,21.347325,46.824093,17.316991,5.590576
0.020000,49.207022,305.233680,5.661529,22.291522,47.209843,19.287459,5.597907
0.020000,49.568056,304.940826,6.126404,23.243747,47.611283,20.072046,5.605436
0.020000,49.946328,304.638742,6.610495,24.204570,48.041113,21.491477,5.613151
0.020000,50.342197,304.327631,7.113985,25.174509,48.496963,22.792500,5.621035
0.020000,50.756032,304.007698,7.637068,26.154159,48.982487,24.276194,5.629075
0.020000,51.188208,303.679151,8.179949,27.144031,49.493602,25.555738,5.637254
0.020000,51.639107,303.342199,8.742841,28.144586,50.027738,26.706841,5.645556
0.020000,52.109117,302.997047,9.325970,29.156436,50.592535,28.239836,5.653962
0.020000,52.598628,302.643902,9.929569,30.179972,51.176783,29.212372,5.662455
0.020000,53.108036,302.282969,10.553884,31.215737,51.788278,30.574788,5.671014
0.020000,53.637735,301.914447,11.199167,32.264154,52.420807,31.626423,5.679622
0.020000,54.188125,301.538531,11.865681,33.325713,53.077951,32.857205,5.688256
0.020000,54.759599,301.155411,12.553696,34.400732,53.750977,33.651286,5.696895
0.020000,55.352553,300.765268,13.263489,35.489643,54.445557,34.729027,5.705518
0.020000,55.967377,300.368274,13.995344,36.592777,55.156679,35.556075,5.714103
0.020000,56.604457,299.964591,14.749553,37.710446,55.883468,36.339480,5.722627
0.020000,57.264173,299.554366,15.526412,38.842927,56.624063,37.029738,5.731066
0.020000,57.946897,299.137732,16.326221,39.990471,57.377153,37.654500,5.739397
0.020000,58.652992,298.714807,17.149287,41.153297,58.141340,38.209361,5.747596
0.020000,59.382814,298.285685,17.995918,42.331577,58.913981,38.632035,5.755639
0.020000,60.136705,297.850443,18.866429,43.525504,59.696371,39.119507,5.763500
0.020000,60.914997,297.409131,19.761132,44.735182,60.483862,39.374531,5.771156
0.020000,61.718008,296.961772,20.680347,45.960748,61.278320,39.722907,5.778582
0.020000,62.546043,296.508360,21.624394,47.202341,62.079636,40.065803,5.785752
0.020000,63.399391,296.048856,22.593593,48.459968,62.881366,40.086521,5.792641
0.020000,64.278329,295.583184,23.588270,49.733830,63.693093,40.586320,5.799224
0.020000,65.183114,295.111229,24.608749,51.023974,64.507204,40.705568,5.805475
0.020000,66.113990,294.632834,25.655359,52.330484,65.325501,40.914846,5.811368
0.020000,67.071184,294.147795,26.728430,53.653550,66.153285,41.389206,5.816878
0.020000,68.054901,293.655859,27.828295,54.993236,66.984337,41.552598,5.821979
0.020000,69.065335,293.156716,28.955291,56.349801,67.828251,42.195694,5.826644
0.020000,70.102656,292.650001,30.109758,57.723381,68.678972,42.536060,5.830846
0.020000,71.167019,292.135284,31.292045,59.114319,69.546884,43.395594,5.834558
0.020000,72.258556,291.612071,32.502501,60.522826,70.425350,43.923312,5.837752
0.020000,73.377381,291.079795,33.741488,61.949331,71.325246,44.994790,5.840401
0.020000,74.523585,290.537810,35.009372,63.394214,72.244159,45.945625,5.842475
0.020000,75.697236,289.985392,36.306531,64.857955,73.187087,47.146417,5.843945
0.020000,76.898377,289.421727,37.633354,66.341118,74.158124,48.551861,5.844781
0.020000,78.127024,288.845910,38.990240,67.844294,75.158810,50.034308,5.844950
0.020000,79.383163,288.256935,40.377603,69.368164,76.193498,51.734404,5.844422
0.020000,80.666746,287.653693,41.795872,70.913462,77.264885,53.569322,5.843161
0.020000,81.977689,287.034962,43.245492,72.480995,78.376661,55.588820,5.841133
0.020000,83.315861,286.399402,44.726924,74.071594,79.529947,57.664270,5.838302
0.020000,84.681083,285.745549,46.240646,75.686129,80.726771,59.841222,5.834630
0.020000,86.073120,285.071806,47.787157,77.325551,81.971097,62.216302,5.830079
0.020000,87.491667,284.376440,49.366970,78.990649,83.254868,64.188559,5.824607
0.020000,88.936342,283.657572,50.980618,80.682363,84.585720,66.542566,5.818174
0.020000,90.406673,282.913175,52.628647,82.401441,85.953886,68.408323,5.810736
0.020000,91.902078,282.141067,54.311616,84.148482,87.352039,69.907624,5.802249
0.020000,93.421853,281.338910,56.030096,85.923991,88.775485,71.172298,5.792669
0.020000,94.965148,280.504208,57.784658,87.728106,90.205750,71.513252,5.781951
0.020000,96.530945,279.634308,59.575872,89.560674,91.628402,71.132636,5.770050
0.020000,98.118031,278.726409,61.404292,91.421041,93.018316,69.495663,5.756923
0.020000,99.724972,277.777570,63.270453,93.308011,94.348526,66.510538,5.742527
0.020000,101.350078,276.784726,65.174845,95.219602,95.579553,61.551338,5.726824
0.020000,102.991375,275.744712,67.117905,97.153031,96.671459,54.595292,5.709781
0.020000,104.646569,274.654294,69.099995,99.104472,97.572008,45.027454,5.691367
0.020000,106.313017,273.510210,71.121375,101.068999,98.226391,32.719140,5.671564
0.020000,107.987696,272.309221,73.182181,103.040338,98.566934,17.027150,5.650360
0.020000,109.667182,271.048174,75.282399,105.010858,98.526001,-2.046650,5.627756
0.020000,111.347635,269.724072,77.421831,106.971614,98.037794,-24.410328,5.603768
0.020000,113.024804,268.334155,79.600079,108.912411,97.039859,-49.896781,5.578427
0.020000,114.694027,266.875992,81.816505,110.821296,95.444248,-79.780532,5.551783
0.020000,116.350286,265.347565,84.070231,112.686315,93.250954,-109.664683,5.523904
0.020000,117.988245,263.747361,86.360114,114.494132,90.390847,-143.005369,5.494882
0.020000,119.602343,262.074455,88.684748,116.231717,86.879232,-175.580758,5.464825
0.020000,121.186884,260.328566,91.042481,117.886626,82.745484,-206.687389,5.433863
0.020000,122.786826,258.420429,93.532622,124.507033,331.020325,12413.742063,5.384619
0.020000,124.410617,256.261285,96.234213,135.079581,528.627402,9880.353837,5.330053
0.020000,125.914999,254.020008,98.933563,134.967506,-5.603757,-26711.557965,5.277357
0.020000,127.297339,251.711919,101.623942,134.518927,-22.428939,-841.259065,5.227058
0.020000,128.558478,249.351502,104.300141,133.809937,-35.449507,-651.028414,5.179566
0.020000,129.702169,246.951719,106.958521,132.919035,-44.545102,-454.779752,5.135166
0.020000,130.734364,244.523624,109.596906,131.919226,-49.990426,-272.266185,5.094029
0.020000,131.662513,242.076259,112.214358,130.872617,-52.330444,-117.000941,5.056229
0.020000,132.494941,239.616761,114.810907,129.827428,-52.259464,3.549006,5.021761
0.020000,133.240368,237.150560,117.387301,128.819737,-50.384548,93.745832,4.990568
0.020000,133.906005,234.687684,119.938542,127.562024,-62.885673,-625.056274,4.962619
0.020000,134.496834,232.248658,122.448110,125.478387,-104.181845,-2064.808609,4.937944
0.020000,135.019141,229.852366,124.900663,122.627655,-142.536602,-1917.737849,4.916483
0.020000,135.481992,227.504745,127.293476,119.640667,-149.349398,-340.639794,4.898021
0.020000,135.894693,225.205282,129.629681,116.810256,-141.520533,391.443257,4.882307
0.020000,136.265415,222.953180,131.912092,114.120540,-134.485810,351.736153,4.869121
0.020000,136.601338,220.747532,134.143173,111.554068,-128.323594,308.110806,4.858270
0.020000,136.908786,218.587423,136.325052,109.093950,-123.005889,265.885231,4.849586
0.020000,137.193352,216.472006,138.459524,106.723574,-118.518800,224.354462,4.842928
0.020000,137.460000,214.400503,140.548118,104.429718,-114.692821,191.298929,4.838177
0.020000,137.713159,212.372257,142.592102,102.199182,-111.526772,158.302489,4.835233
0.020000,137.956796,210.386742,144.592509,100.020381,-108.940080,129.334596,4.834015
0.020000,138.194477,208.443560,146.550173,97.883169,-106.860597,103.974149,4.834458
0.020000,138.429419,206.542460,148.465735,95.778127,-105.252117,80.423991,4.836510
0.020000,138.664534,204.683332,150.339671,93.696787,-104.066993,59.256175,4.840136
0.020000,138.902460,202.866209,152.172305,91.631683,-103.255192,40.590067,4.845308
0.020000,139.145590,201.091263,153.963825,89.576023,-102.783005,23.609361,4.852013
0.020000,139.396091,199.358807,155.714298,87.523645,-102.618889,8.205809,4.860246
0.020000,139.655916,197.669288,157.423679,85.469027,-102.730920,-5.601588,4.870009
0.020000,139.926821,196.023280,159.091831,83.407626,-103.070027,-16.955315,4.881314
0.020000,140.210363,194.421470,160.718543,81.335588,-103.601880,-26.592649,4.894177
0.020000,140.507903,192.864672,162.303520,79.248839,-104.337487,-36.780364,4.908621
0.020000,140.820611,191.353767,163.846446,77.146296,-105.127115,-39.481423,4.924672
0.020000,141.149452,189.889730,165.346959,75.025667,-106.031474,-45.217944,4.942356
0.020000,141.495187,188.473580,166.804701,72.887103,-106.928174,-44.834979,4.961703
0.020000,141.858367,187.106348,168.219347,70.732295,-107.740435,-40.613066,4.982737
0.020000,142.239328,185.789041,169.590634,68.564373,-108.396065,-32.781507,5.005480
0.020000,142.638188,184.522607,170.918394,66.387969,-108.820233,-21.208391,5.029945
0.020000,143.054853,183.307873,172.202601,64.210361,-108.880369,-3.006770,5.056134
0.020000,143.489026,182.145487,173.443426,62.041250,-108.455583,21.239258,5.084033
0.020000,143.940226,181.035871,174.641270,59.892185,-107.453219,50.118226,5.113611
0.020000,144.407821,179.979152,175.796822,57.777611,-105.728708,86.225556,5.144813
0.020000,144.891066,178.975102,176.911112,55.714492,-103.155963,128.637257,5.177559
0.020000,145.389152,178.023122,177.985521,53.720456,-99.701798,172.708242,5.211741
0.020000,145.901266,177.122200,179.021823,51.815122,-95.266724,221.753696,5.247221
0.020000,146.426641,176.270924,180.022168,50.017225,-89.894809,268.595756,5.283828
0.020000,146.964614,175.467507,180.989067,48.344962,-83.613176,314.081615,5.321366
0.020000,147.514665,174.709842,181.925343,46.813783,-76.558954,352.711136,5.359614
0.020000,148.076437,173.995586,182.834050,45.435349,-68.921674,381.863969,5.398332
0.020000,148.649735,173.322246,183.718390,44.217023,-60.916303,400.268586,5.437270
0.020000,149.234499,172.687293,184.581590,43.160007,-52.850816,403.274337,5.476174
0.020000,149.830768,172.088237,185.426815,42.261247,-44.938005,395.640540,5.514796
0.020000,150.438600,171.522737,186.257026,41.510546,-37.535039,370.148329,5.552903
0.020000,151.058049,170.988614,187.074953,40.896328,-30.710916,341.206120,5.590283
0.020000,151.689048,170.483940,187.882947,40.399722,-24.830274,294.032116,5.626749
0.020000,152.331396,170.007012,188.682992,40.002267,-19.872783,247.874522,5.662147
0.020000,152.984743,169.556328,189.476703,39.685548,-15.835916,201.843352,5.696352
0.020000,153.648488,169.130626,190.265233,39.426482,-12.953289,144.131342,5.729269
0.020000,154.321898,168.728764,191.049437,39.210174,-10.815398,106.894551,5.760836
0.020000,155.003994,168.349771,191.829751,39.015732,-9.722137,54.663079,5.791014
0.020000,155.693725,167.992722,192.606419,38.833406,-9.116297,30.292007,5.819788
0.020000,156.389834,167.656802,193.379341,38.646101,-9.365231,-12.446716,5.847164
0.020000,157.091003,167.341219,194.148256,38.445756,-10.017250,-32.600933,5.873160
0.020000,157.795898,167.045186,194.912791,38.226732,-10.951195,-46.697262,5.897813
0.020000,158.503054,166.767969,195.672342,37.977564,-12.458397,-75.360099,5.921161
0.020000,159.211106,166.508796,196.426338,37.699761,-13.890181,-71.589209,5.943255
0.020000,159.918612,166.266931,197.174043,37.385269,-15.724571,-91.719513,5.964147
0.020000,160.624300,166.041589,197.914837,37.039684,-17.279257,-77.734296,5.983894
0.020000,161.326786,165.832041,198.647910,36.653659,-19.301258,-101.100014,6.002551
0.020000,162.024883,165.637517,199.372602,36.234628,-20.951557,-82.514987,6.020175
0.020000,162.717399,165.457272,200.088191,35.779404,-22.761182,-90.481256,6.036823
0.020000,163.403182,165.290579,200.793942,35.287567,-24.591866,-91.534173,6.052546
0.020000,164.081264,165.136694,201.489266,34.766212,-26.067721,-73.792761,6.067398
0.020000,164.750649,164.994912,202.173502,34.211781,-27.721592,-82.693528,6.081429
0.020000,165.410418,164.864542,202.846028,33.626304,-29.273837,-77.612247,6.094684
0.020000,166.059759,164.744906,203.506298,33.013520,-30.639215,-68.268926,6.107209
0.020000,166.697952,164.635341,204.153827,32.376464,-31.852799,-60.679187,6.119046
0.020000,167.324164,164.535238,204.787990,31.708139,-33.416254,-78.172755,6.130232
0.020000,167.937849,164.443971,205.408425,31.021723,-34.320758,-45.225192,6.140805
0.020000,168.538387,164.360961,206.014673,30.312391,-35.466619,-57.293049,6.150800
