dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.972458,290.996335,0.005393,0.539305,26.965240,1348.262006,5.496463
0.020000,26.975429,290.993357,0.009599,0.210307,-16.449891,-2170.756557,5.496793
0.020000,26.981370,290.987408,0.018007,0.420397,10.504489,1347.719000,5.497452
0.020000,27.020556,290.948245,0.073409,2.770082,117.484286,5348.989860,5.498441
0.020000,27.093536,290.875456,0.176483,5.153720,119.181855,84.878427,5.499757
0.020000,27.184878,290.784623,0.305300,6.440854,64.356743,-2741.255567,5.501401
0.020000,27.294654,290.675852,0.459838,7.726895,64.302013,-2.736518,5.503370
0.020000,27.422963,290.549258,0.640086,9.012405,64.275501,-1.325611,5.505663
0.020000,27.569903,290.404993,0.846008,10.296077,64.183604,-4.594863,5.508279
0.020000,27.735592,290.243220,1.077575,11.578368,64.114549,-3.452704,5.511213
0.020000,27.920159,290.064127,1.334751,12.858773,64.020241,-4.715435,5.514465
0.020000,28.123753,289.867916,1.617503,14.137642,63.943463,-3.838885,5.518030
0.020000,28.346517,289.654821,1.925778,15.413722,63.803999,-6.973190,5.521905
0.020000,28.588616,289.425091,2.259526,16.687420,63.684915,-5.954193,5.526086
0.020000,28.850220,289.178998,2.618690,17.958175,63.537736,-7.358975,5.530569
0.020000,29.131508,288.916833,3.003206,19.225831,63.382801,-7.746765,5.535348
0.020000,29.432660,288.638913,3.413002,20.489772,63.197040,-9.288013,5.540418
0.020000,29.753868,288.345570,3.848002,21.749996,63.011201,-9.291977,5.545773
0.020000,30.095323,288.037160,4.308119,23.005878,62.794107,-10.854709,5.551406
0.020000,30.457214,287.714062,4.793256,24.256815,62.546852,-12.362746,5.557309
0.020000,30.839738,287.376670,5.303313,25.502875,62.302990,-12.193109,5.563475
0.020000,31.243084,287.025400,5.838176,26.743139,62.013217,-14.488619,5.569894
0.020000,31.667440,286.660688,6.397723,27.977352,61.710651,-15.128282,5.576558
0.020000,32.112990,286.282982,6.981825,29.205127,61.388736,-16.095795,5.583455
0.020000,32.579907,285.892756,7.590339,30.425665,61.026930,-18.090303,5.590576
0.020000,33.068361,285.490488,8.223116,31.638852,60.659311,-18.380907,5.597907
0.020000,33.578508,285.076679,8.879993,32.843869,60.250848,-20.423166,5.605436
0.020000,34.110491,284.651839,9.560798,34.040246,59.818862,-21.599286,5.613151
0.020000,34.664441,284.216490,10.265347,35.227437,59.359554,-22.965415,5.621035
0.020000,35.240472,283.771162,10.993447,36.404997,58.877995,-24.077954,5.629075
0.020000,35.838683,283.316390,11.744894,37.572373,58.368837,-25.457923,5.637254
0.020000,36.459150,282.852716,12.519473,38.728962,57.829425,-26.970566,5.645556
0.020000,37.101934,282.380683,13.316961,39.874394,57.271584,-27.892050,5.653962
0.020000,37.767071,281.900833,14.137122,41.008026,56.681624,-29.498025,5.662455
0.020000,38.454577,281.413706,14.979711,42.129474,56.072397,-30.461320,5.671014
0.020000,39.164442,280.919834,15.844476,43.238233,55.437962,-31.721755,5.679622
