dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.972452,290.996341,0.005348,0.534828,26.741393,1337.069648,5.496462
0.020000,26.975398,290.993388,0.009520,0.208562,-16.313313,-2152.735290,5.496789
0.020000,26.981290,290.987488,0.017858,0.416910,10.417400,1336.535629,5.497443
0.020000,27.019610,290.949189,0.072036,2.708897,114.599350,5209.097489,5.498424
0.020000,27.091983,290.877003,0.174255,5.110950,120.102659,275.165486,5.499729
0.020000,27.182563,290.786921,0.302003,6.387424,63.823718,-2813.947042,5.501359
0.020000,27.291424,290.679046,0.455260,7.662832,63.770377,-2.667073,5.503312
0.020000,27.418661,290.553493,0.634013,8.937654,63.741111,-1.463288,5.505587
0.020000,27.564370,290.410411,0.838227,10.210723,63.653442,-4.383470,5.508180
0.020000,27.728669,290.249960,1.067876,11.482453,63.586499,-3.347154,5.511091
0.020000,27.911685,290.072325,1.322923,12.752346,63.494673,-4.591267,5.514316
0.020000,28.113560,289.877706,1.603335,14.020565,63.410960,-4.185667,5.517852
0.020000,28.334440,289.666331,1.909058,15.286194,63.281451,-6.475440,5.521696
0.020000,28.574487,289.438446,2.240049,16.549509,63.165719,-5.786616,5.525843
0.020000,28.833868,289.194316,2.596248,17.809954,63.022255,-7.173210,5.530290
0.020000,29.112755,288.934233,2.977589,19.067067,62.855635,-8.330998,5.535031
0.020000,29.411335,288.658501,3.384010,20.321054,62.699372,-7.813120,5.540061
0.020000,29.729788,288.367452,3.815429,21.570932,62.493887,-10.274280,5.545373
0.020000,30.068304,288.061437,4.271760,22.816551,62.280966,-10.646042,5.550962
0.020000,30.427077,287.740822,4.752917,24.057846,62.064725,-10.812044,5.556820
0.020000,30.806292,287.406003,5.258790,25.293679,61.791667,-13.652924,5.562939
0.020000,31.206141,287.057385,5.789275,26.524240,61.528034,-13.181601,5.569310
0.020000,31.626811,286.695394,6.344253,27.748879,61.231978,-14.802806,5.575924
0.020000,32.068480,286.320478,6.923592,28.966958,60.903930,-16.402440,5.582771
0.020000,32.531325,285.933096,7.527156,30.178213,60.562770,-17.057998,5.589840
0.020000,33.015509,285.533725,8.154796,31.381982,60.188457,-18.715640,5.597119
0.020000,33.521191,285.122856,8.806353,32.577874,59.794570,-19.694366,5.604597
0.020000,34.048511,284.700992,9.481658,33.765238,59.368214,-21.317765,5.612259
0.020000,34.597604,284.268644,10.180533,34.943766,58.926421,-22.089672,5.620092
0.020000,35.168581,283.826338,10.902787,36.112669,58.445119,-24.065087,5.628081
0.020000,35.761542,283.374601,11.648219,37.271611,57.947099,-24.900982,5.636209
0.020000,36.376567,282.913969,12.416619,38.419984,57.418675,-26.421208,5.644461
0.020000,37.013717,282.444975,13.207767,39.557403,56.870917,-27.387911,5.652820
0.020000,37.673031,281.968157,14.021431,40.683219,56.290824,-29.004664,5.661267
0.020000,38.354527,281.484048,14.857373,41.797082,55.693128,-29.884791,5.669783
0.020000,39.058200,280.993175,15.715342,42.898480,55.069915,-31.160645,5.678348
0.020000,39.784021,280.496056,16.595082,43.987012,54.426614,-32.165040,5.686944
0.020000,40.531937,279.993200,17.496328,45.062261,53.762448,-33.208333,5.695548
0.020000,41.301870,279.485098,18.418805,46.123876,53.080724,-34.086152,5.704139
0.020000,42.093719,278.972228,19.362235,47.171487,52.380545,-35.008997,5.712696
0.020000,42.907353,278.455044,20.326331,48.204793,51.665301,-35.762170,5.721196
0.020000,43.742622,277.933980,21.310801,49.223512,50.935995,-36.465304,5.729616
0.020000,44.599345,277.409440,22.315349,50.227404,50.194591,-37.070211,5.737933
0.020000,45.477321,276.881803,23.339674,51.216251,49.442360,-37.611520,5.746123
0.020000,46.376320,276.351415,24.383471,52.189830,48.678905,-38.172771,5.754163
0.020000,47.296092,275.818587,25.446432,53.148044,47.910730,-38.408729,5.762027
0.020000,48.236360,275.283595,26.528245,54.090685,47.132021,-38.935462,5.769693
0.020000,49.196826,274.746676,27.628598,55.017646,46.348087,-39.196687,5.777134
0.020000,50.177167,274.208024,28.747175,55.928855,45.560443,-39.382202,5.784327
0.020000,51.177040,273.667793,29.883659,56.824199,44.767179,-39.663207,5.791247
0.020000,52.196078,273.126089,31.037731,57.703569,43.968516,-39.933176,5.797868
0.020000,53.233892,272.582975,32.209068,58.566858,43.164459,-40.202833,5.804165
0.020000,54.290072,272.038463,33.397348,59.413998,42.356962,-40.374838,5.810113
0.020000,55.364185,271.492516,34.602245,60.244878,41.544018,-40.647205,5.815687
0.020000,56.455778,270.945048,35.823431,61.059298,40.721013,-41.150275,5.820860
0.020000,57.564372,270.395921,37.060574,61.857144,39.892310,-41.435123,5.825607
0.020000,58.689467,269.844941,38.313338,62.638193,39.052416,-41.994722,5.829901
0.020000,59.830538,269.291865,39.581382,63.402217,38.201215,-42.560024,5.833716
0.020000,60.987035,268.736393,40.864361,64.148929,37.335597,-43.280922,5.837024
0.020000,62.158379,268.178169,42.161921,64.877977,36.452411,-44.159317,5.839798
0.020000,63.343963,267.616782,43.473700,65.588968,35.549517,-45.144674,5.842009
0.020000,64.543151,267.051767,44.799329,66.281457,34.624459,-46.252901,5.843628
0.020000,65.755269,266.482599,46.138427,66.954903,33.672328,-47.606546,5.844626
0.020000,66.979612,265.908699,47.490602,67.608749,32.692299,-49.001443,5.844972
0.020000,68.215432,265.329427,48.855449,68.242330,31.679057,-50.662126,5.844634
0.020000,69.461939,264.744089,50.232547,68.854936,30.630298,-52.437936,5.843579
0.020000,70.718299,264.151933,51.621464,69.445812,29.543806,-54.324584,5.841773
0.020000,71.983626,263.552151,53.021746,70.014117,28.415202,-56.430206,5.839180
0.020000,73.256980,262.943875,54.432926,70.559013,27.244826,-58.518838,5.835764
0.020000,74.537364,262.326186,55.854518,71.079608,26.029731,-60.754750,5.831487
0.020000,75.823720,261.698108,57.286019,71.575024,24.770812,-62.945907,5.826309
0.020000,77.114922,261.058611,58.726907,72.044405,23.469035,-65.088891,5.820190
0.020000,78.409776,260.406615,60.176647,72.486993,22.129434,-66.980019,5.813087
0.020000,79.707015,259.740991,61.634688,72.902082,20.754454,-68.749009,5.804958
0.020000,81.005297,259.060562,63.100471,73.289127,19.352210,-70.112226,5.795758
0.020000,82.303204,258.364110,64.573430,73.647962,17.941774,-70.521797,5.785442
0.020000,83.599240,257.650374,66.053001,73.978531,16.528459,-70.665705,5.773968
0.020000,84.891836,256.918059,67.538628,74.281368,15.141866,-69.329697,5.761291
0.020000,86.179349,256.165837,69.029778,74.557470,13.805068,-66.839869,5.747369
0.020000,87.460070,255.392353,70.525947,74.808479,12.550460,-62.730404,5.732164
0.020000,88.732233,254.596229,72.026685,75.036876,11.419865,-56.529748,5.715639
0.020000,89.994025,253.776066,73.531606,75.246067,10.459513,-48.017604,5.697764
0.020000,91.243601,252.930447,75.040417,75.440522,9.722763,-36.837479,5.678517
0.020000,92.479097,252.057942,76.552936,75.625975,9.272644,-22.505986,5.657883
0.020000,93.698654,251.157106,78.069124,75.809383,9.170422,-5.111093,5.635859
0.020000,94.900435,250.226478,79.589106,75.999112,9.486462,15.801998,5.612456
0.020000,96.082649,249.264581,81.113205,76.204932,10.290970,40.225419,5.587697
0.020000,97.243570,248.269914,82.641962,76.437888,11.647816,67.842301,5.561627
0.020000,98.381550,247.240960,84.176154,76.709601,13.585661,96.892240,5.534305
0.020000,99.495043,246.176169,85.716818,77.033192,16.179545,129.694198,5.505813
0.020000,100.582604,245.073973,87.265245,77.421351,19.407958,161.420664,5.476253
0.020000,101.642894,243.932782,88.822978,77.886649,23.264862,192.845190,5.445744
0.020000,102.569234,242.871541,90.231643,70.433245,-372.670163,-19796.751276,5.409921
0.020000,103.463371,241.755100,91.662001,71.517895,54.232503,21345.133318,5.366071
