dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,45.027548,309.003659,0.005348,0.534828,26.741393,1337.069648,5.496462
0.020000,45.024602,309.006612,0.009520,0.208562,-16.313313,-2152.735290,5.496789
0.020000,45.018710,309.012512,0.017858,0.416910,10.417400,1336.535629,5.497443
0.020000,45.039353,308.991885,0.047040,1.459112,52.110144,2084.637210,5.498424
0.020000,45.088154,308.943210,0.115965,3.446274,99.358093,2362.397467,5.499729
0.020000,45.149262,308.882438,0.202148,4.309143,43.143422,-2810.733569,5.501359
0.020000,45.222748,308.809617,0.305603,5.172760,43.180863,1.872036,5.503312
0.020000,45.308702,308.724801,0.426359,6.037779,43.250938,3.503756,5.505587
0.020000,45.407220,308.628059,0.564434,6.903756,43.298856,2.395908,5.508180
0.020000,45.518418,308.519466,0.719861,7.771338,43.379089,4.011657,5.511091
0.020000,45.642423,308.399106,0.892672,8.640577,43.461990,4.145063,5.514316
0.020000,45.779382,308.267070,1.082913,9.512001,43.571194,5.460171,5.517852
0.020000,45.929448,308.123463,1.290621,10.385432,43.671543,5.017460,5.521696
0.020000,46.092794,307.968392,1.515852,11.261531,43.804936,6.669633,5.525843
0.020000,46.269605,307.801978,1.758660,12.140427,43.944783,6.992371,5.530290
0.020000,46.460079,307.624347,2.019107,13.022342,44.095785,7.550078,5.535031
0.020000,46.664430,307.435633,2.297267,13.907993,44.282542,9.337851,5.540061
0.020000,46.882885,307.235978,2.593213,14.797315,44.466071,9.176457,5.545373
0.020000,47.115681,307.025533,2.907030,15.690847,44.676628,10.527855,5.550962
0.020000,47.363075,306.804452,3.238815,16.589224,44.918866,12.111921,5.556820
0.020000,47.625330,306.572901,3.588662,17.492376,45.157583,11.935823,5.562939
0.020000,47.902725,306.331048,3.956686,18.401177,45.440040,14.122844,5.569310
0.020000,48.195553,306.079067,4.343005,19.315955,45.738915,14.943776,5.575924
0.020000,48.504115,305.817142,4.747746,20.237071,46.055794,15.843944,5.582771
0.020000,48.828727,305.545456,5.171050,21.165172,46.405065,17.463567,5.589840
0.020000,49.169713,305.264202,5.613063,22.100648,46.773791,18.436293,5.597119
0.020000,49.527410,304.973573,6.073945,23.044094,47.172314,19.926166,5.604597
0.020000,49.902162,304.673767,6.553863,23.995937,47.592143,20.991437,5.612259
0.020000,50.294325,304.364986,7.053000,24.956851,48.045692,22.677444,5.620092
0.020000,50.704260,304.047433,7.571544,25.927169,48.515881,23.509454,5.628081
0.020000,51.132339,303.721312,8.109695,26.907543,49.018702,25.141037,5.636209
0.020000,51.578936,303.386828,8.667663,27.898419,49.543809,26.255360,5.644461
0.020000,52.044436,303.044186,9.245671,28.900386,50.098334,27.726223,5.652820
0.020000,52.529222,302.693591,9.843947,29.913818,50.671621,28.664395,5.661267
0.020000,53.033684,302.335243,10.462733,30.939276,51.272918,30.064823,5.669783
0.020000,53.558214,301.969342,11.102276,31.977169,51.894649,31.086565,5.678348
0.020000,54.103204,301.596080,11.762835,33.027945,52.538756,32.205350,5.686944
0.020000,54.669044,301.215645,12.444675,34.091992,53.202369,33.180649,5.695548
0.020000,55.256125,300.828219,13.148069,35.169702,53.885482,34.155644,5.704139
0.020000,55.864832,300.433971,13.873297,36.261397,54.584760,34.963902,5.712696
0.020000,56.495548,300.033065,14.620645,37.367397,55.300025,35.763266,5.721196
0.020000,57.148649,299.625647,15.390404,38.487982,56.029255,36.461468,5.729616
0.020000,57.824504,299.211852,16.182872,39.623406,56.771192,37.096843,5.737933
0.020000,58.523474,298.791798,16.998350,40.773889,57.524134,37.647120,5.746123
0.020000,59.245910,298.365585,17.837142,41.939593,58.285179,38.052253,5.754163
0.020000,59.992153,297.933289,18.699557,43.120736,59.057192,38.600661,5.762027
0.020000,60.762534,297.494966,19.585905,44.317405,59.833431,38.811946,5.769693
0.020000,61.557368,297.050644,20.496500,45.529733,60.616424,39.149656,5.777134
0.020000,62.376959,296.600324,21.431657,46.757856,61.406135,39.485505,5.784327
0.020000,63.221598,296.143972,22.391694,48.001859,62.200127,39.699645,5.791247
