dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.108512,220.016992,0.005359,0.535933,26.796672,1339.833605,0.000142
0.020000,16.109198,220.016992,0.006046,0.034325,-25.080423,-2593.854737,0.000088
0.020000,16.118432,220.016992,0.015279,0.461677,21.367578,2322.400048,6.283166
0.020000,16.184789,220.016985,0.081637,3.317858,142.809078,6072.074988,6.283005
0.020000,16.273248,220.016960,0.170096,4.422973,55.255725,-4377.667638,6.282793
0.020000,16.383796,220.016902,0.280643,5.527372,55.219992,-1.786648,6.282529
0.020000,16.516413,220.016794,0.413261,6.630873,55.175012,-2.248999,6.282216
0.020000,16.671079,220.016616,0.567927,7.733299,55.121322,-2.684527,6.281855
0.020000,16.847768,220.016345,0.744616,8.834467,55.058413,-3.145422,6.281448
0.020000,17.046452,220.015955,0.943300,9.934205,54.986893,-3.576044,6.280997
0.020000,17.267098,220.015418,1.163947,11.032330,54.906221,-4.033586,6.280505
0.020000,17.509670,220.014703,1.406520,12.128663,54.816662,-4.477951,6.279974
0.020000,17.774129,220.013779,1.670981,13.223024,54.718048,-4.930716,6.279409
0.020000,18.060431,220.012611,1.957285,14.315240,54.610794,-5.362689,6.278811
0.020000,18.368531,220.011167,2.265388,15.405132,54.494588,-5.810282,6.278185
0.020000,18.698376,220.009410,2.595238,16.492520,54.369422,-6.258297,6.277535
0.020000,19.049915,220.007305,2.946783,17.577227,54.235360,-6.703115,6.276865
0.020000,19.423088,220.004817,3.319965,18.659078,54.092520,-7.142009,6.276179
0.020000,19.817835,220.001913,3.714722,19.737891,53.940688,-7.591606,6.275482
0.020000,20.234091,219.998559,4.130992,20.813499,53.780399,-8.014441,6.274779
0.020000,20.671789,219.994724,4.568707,21.885714,53.610730,-8.483420,6.274076
0.020000,21.130856,219.990380,5.027794,22.954368,53.432688,-8.902137,6.273377
0.020000,21.611217,219.985502,5.508180,24.019282,53.245735,-9.347647,6.272690
0.020000,22.112793,219.980067,6.009785,25.080281,53.049925,-9.790486,6.272020
0.020000,22.635502,219.974059,6.532529,26.137189,52.845397,-10.226402,6.271373
0.020000,23.179259,219.967465,7.076326,27.189827,52.631934,-10.673133,6.270756
0.020000,23.743973,219.960279,7.641086,28.238025,52.409873,-11.103062,6.270176
0.020000,24.329554,219.952501,8.226718,29.281603,52.178886,-11.549331,6.269641
0.020000,24.935904,219.944138,8.833126,30.320384,51.939065,-11.991066,6.269158
0.020000,25.562924,219.935205,9.460210,31.354193,51.690476,-12.429440,6.268734
0.020000,26.210512,219.925726,10.107867,32.382852,51.432948,-12.876389,6.268378
0.020000,26.878561,219.915735,10.775990,33.406185,51.166625,-13.316193,6.268099
0.020000,27.566961,219.905276,11.464471,34.424009,50.891220,-13.770207,6.267904
0.020000,28.275601,219.894404,12.173194,35.436148,50.606939,-14.214061,6.267803
0.020000,29.004363,219.883187,12.902042,36.442420,50.313578,-14.668073,6.267804
0.020000,29.753128,219.871705,13.650895,37.442641,50.011091,-15.124348,6.267918
0.020000,30.521772,219.860052,14.419627,38.436630,49.699402,-15.584437,6.268154
0.020000,31.310169,219.848338,15.208111,39.424200,49.378531,-16.043546,6.268523
0.020000,32.118188,219.836687,16.016215,40.405164,49.048171,-16.517990,6.269034
0.020000,32.945696,219.825240,16.843801,41.379335,48.708551,-16.981022,6.269698
0.020000,33.792554,219.814158,17.690732,42.346518,48.359158,-17.469660,6.270527
0.020000,34.658620,219.803618,18.556862,43.306524,48.000318,-17.941974,6.271531
0.020000,35.543749,219.793816,19.442045,44.259155,47.631557,-18.438043,6.272722
