dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.112122,194.516992,0.005359,0.535933,26.796672,1339.833605,0.000142
0.020000,16.111435,194.516992,0.006046,0.034325,-25.080423,-2593.854737,0.000088
0.020000,16.117930,194.516992,0.012541,0.324735,14.520501,1980.046181,6.283166
0.020000,16.180197,194.516986,0.074807,3.113342,139.430374,6245.493638,6.283005
0.020000,16.263236,194.516962,0.157847,4.151960,51.930865,-4374.975424,6.282793
0.020000,16.367062,194.516908,0.261673,5.191297,51.966881,1.800765,6.282529
0.020000,16.491693,194.516806,0.386303,6.231529,52.011590,2.235474,6.282216
0.020000,16.637149,194.516639,0.531760,7.272839,52.065487,2.694872,6.281855
0.020000,16.803457,194.516384,0.698068,8.315401,52.128084,3.129826,6.281448
0.020000,16.990645,194.516016,0.885256,9.359399,52.199935,3.592555,6.280997
0.020000,17.198744,194.515509,1.093356,10.405010,52.280518,4.029161,6.280505
0.020000,17.427792,194.514834,1.322404,11.452411,52.370064,4.477272,6.279974
0.020000,17.677826,194.513960,1.572440,12.501779,52.468393,4.916467,6.279409
0.020000,17.948889,194.512855,1.843506,13.553296,52.575878,5.374255,6.278811
0.020000,18.241029,194.511486,2.135649,14.607140,52.692202,5.816184,6.278185
0.020000,18.554294,194.509817,2.448918,15.663487,52.817332,6.256514,6.277535
0.020000,18.888738,194.507814,2.783369,16.722513,52.951305,6.698640,6.276865
0.020000,19.244418,194.505443,3.139057,17.784397,53.094208,7.145173,6.276179
0.020000,19.621395,194.502670,3.516043,18.849314,53.245814,7.580289,6.275482
0.020000,20.019731,194.499460,3.914392,19.917446,53.406610,8.039790,6.274779
0.020000,20.439494,194.495782,4.334171,20.988960,53.575692,8.454083,6.274076
0.020000,20.880755,194.491606,4.775452,22.064040,53.754001,8.915467,6.273377
0.020000,21.343588,194.486906,5.238309,23.142860,53.941010,9.350430,6.272690
0.020000,21.828071,194.481657,5.722821,24.225595,54.136756,9.787319,6.272020
0.020000,22.334286,194.475838,6.229069,25.312422,54.341367,10.230559,6.271373
0.020000,22.862318,194.469435,6.757140,26.403515,54.554634,10.663335,6.270756
0.020000,23.412254,194.462437,7.307121,27.499053,54.776890,11.112798,6.270176
0.020000,23.984188,194.454840,7.879105,28.599210,55.007835,11.547274,6.269641
