dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.978662,312.749982,0.005397,0.539738,26.986924,1349.346191,0.001674
0.020000,35.982157,312.749988,0.008892,0.174741,-18.249856,-2261.838984,0.001399
0.020000,35.989143,312.749995,0.015878,0.349301,8.728005,1348.893060,0.000852
0.020000,35.999613,312.750000,0.026348,0.523498,8.709851,-0.907715,0.000030
0.020000,36.097520,312.749948,0.124256,4.895382,218.594183,10494.216618,6.282122
0.020000,36.222872,312.749729,0.249608,6.267623,68.612047,-7499.106819,6.280757
0.020000,36.373258,312.749241,0.399994,7.519298,62.583737,-301.415513,6.279122
0.020000,36.548655,312.748361,0.575394,8.769995,62.534862,-2.443719,6.277218
0.020000,36.749039,312.746948,0.775783,10.019420,62.471254,-3.180417,6.275048
0.020000,36.974378,312.744840,1.001132,11.267451,62.401526,-3.486399,6.272613
0.020000,37.224642,312.741856,1.251414,12.514101,62.332526,-3.449988,6.269916
0.020000,37.499787,312.737798,1.526589,13.758752,62.232560,-4.998317,6.266960
0.020000,37.799768,312.732448,1.826617,15.001428,62.133796,-4.938203,6.263748
0.020000,38.124535,312.725571,2.151456,16.241961,62.026624,-5.358599,6.260283
0.020000,38.474028,312.716916,2.501057,17.480026,61.903248,-6.168813,6.256569
0.020000,38.848181,312.706213,2.875363,18.715311,61.764244,-6.950201,6.252611
0.020000,39.246928,312.693180,3.274323,19.947996,61.634271,-6.498637,6.248413
0.020000,39.670181,312.677516,3.697866,21.177149,61.457652,-8.830952,6.243980
0.020000,40.117856,312.658909,4.145927,22.403069,61.295975,-8.083837,6.239317
0.020000,40.589856,312.637033,4.618434,23.625324,61.112750,-9.161247,6.234430
0.020000,41.086074,312.611550,5.115306,24.843604,60.914007,-9.937171,6.229326
0.020000,41.606394,312.582110,5.636458,26.057607,60.700166,-10.692016,6.224011
0.020000,42.150688,312.548354,6.181797,27.266968,60.468025,-11.607061,6.218491
0.020000,42.718823,312.509915,6.751232,28.471721,60.237662,-11.518151,6.212776
0.020000,43.310650,312.466417,7.344656,29.671181,59.973020,-13.232117,6.206872
0.020000,43.926013,312.417478,7.961961,30.865280,59.704960,-13.402975,6.200788
0.020000,44.564743,312.362714,8.603034,32.053662,59.419098,-14.293121,6.194533
0.020000,45.226660,312.301735,9.267754,33.236001,59.116930,-15.108403,6.188117
0.020000,45.911574,312.234149,9.955995,34.412018,58.800861,-15.803439,6.181550
0.020000,46.619283,312.159568,10.667623,35.581427,58.470431,-16.521496,6.174841
0.020000,47.349576,312.077601,11.402501,36.743892,58.123259,-17.358587,6.168003
0.020000,48.102228,311.987862,12.160484,37.899154,57.763125,-18.006732,6.161045
0.020000,48.877007,311.889971,12.941423,39.046926,57.388570,-18.727722,6.153980
