dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.021338,287.250018,0.005397,0.539738,26.986924,1349.346191,0.001674
0.020000,36.017843,287.250012,0.008892,0.174741,-18.249856,-2261.838984,0.001399
0.020000,36.010857,287.250005,0.015878,0.349301,8.728005,1348.893060,0.000852
0.020000,36.000387,287.250000,0.026348,0.523498,8.709851,-0.907715,0.000030
0.020000,36.070406,287.249963,0.096367,3.500949,148.872539,7008.134403,6.282122
0.020000,36.160949,287.249804,0.186910,4.527140,51.309519,-4878.150982,6.280757
0.020000,36.269636,287.249452,0.295598,5.434395,45.362786,-297.336651,6.279122
0.020000,36.396489,287.248815,0.422452,6.342698,45.415140,2.617698,6.277218
0.020000,36.541528,287.247792,0.567495,7.252150,45.472573,2.871648,6.275048
0.020000,36.704781,287.246265,0.730755,8.162986,45.541807,3.461678,6.272613
0.020000,36.886279,287.244101,0.912266,9.075553,45.628372,4.328258,6.269916
0.020000,37.086052,287.241154,1.112061,9.989751,45.709890,4.075911,6.266960
0.020000,37.304137,287.237265,1.330180,10.905957,45.810317,5.021317,6.263748
0.020000,37.540572,287.232258,1.566668,11.824425,45.923383,5.653316,6.260283
0.020000,37.795400,287.225947,1.821574,12.745307,46.044123,6.037018,6.256569
0.020000,38.068664,287.218131,2.094950,13.668781,46.173657,6.476695,6.252611
0.020000,38.360416,287.208594,2.386858,14.595396,46.330749,7.854606,6.248413
0.020000,38.670702,287.197111,2.697356,15.524904,46.475423,7.233680,6.243980
0.020000,38.999577,287.183442,3.026516,16.457973,46.653435,8.900612,6.239317
0.020000,39.347099,287.167335,3.374410,17.394749,46.838796,9.268030,6.234430
0.020000,39.713326,287.148527,3.741120,18.335480,47.036549,9.887684,6.229326
0.020000,40.098319,287.126743,4.126729,19.280432,47.247595,10.552265,6.224011
0.020000,40.502140,287.101699,4.531325,20.229833,47.470079,11.124192,6.218491
0.020000,40.924858,287.073097,4.955010,21.184221,47.719380,12.465080,6.212776
0.020000,41.366538,287.040634,5.397882,22.143603,47.969105,12.486240,6.206872
0.020000,41.827253,287.003994,5.860051,23.108452,48.242446,13.667072,6.200788
0.020000,42.307073,286.962853,6.341631,24.079029,48.528880,14.321658,6.194533
0.020000,42.806072,286.916882,6.842744,25.055620,48.829543,15.033154,6.188117
0.020000,43.324326,286.865741,7.363515,26.038543,49.146152,15.830470,6.181550
0.020000,43.861911,286.809087,7.904077,27.028106,49.478146,16.599684,6.174841
0.020000,44.418905,286.746569,8.464568,28.024573,49.823343,17.259845,6.168003
0.020000,44.995387,286.677834,9.045133,29.028255,50.184094,18.037563,6.161045
0.020000,45.591436,286.602523,9.645922,30.039428,50.558635,18.727051,6.153980
0.020000,46.207134,286.520276,10.267089,31.058366,50.946940,19.415265,6.146821
0.020000,46.842563,286.430731,10.908796,32.085349,51.349126,20.109272,6.139578
0.020000,47.497803,286.333525,11.571207,33.120536,51.759329,20.510149,6.132267
0.020000,48.172938,286.228298,12.254493,34.164314,52.188913,21.479240,6.124900
0.020000,48.868051,286.114690,12.958829,35.216799,52.624286,21.768613,6.117490
0.020000,49.583225,285.992344,13.684393,36.278192,53.069624,22.266903,6.110052
