dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,28.434355,311.136126,0.005366,0.536607,26.830364,1341.518214,0.000302
0.020000,28.434688,311.136126,0.005699,0.016656,-25.997548,-2641.395596,0.000275
0.020000,28.435355,311.136126,0.006366,0.033326,0.833468,1341.550780,0.000223
0.020000,28.436355,311.136126,0.007366,0.050021,0.834771,0.065140,0.000145
0.020000,28.437690,311.136126,0.008701,0.066756,0.836725,0.097729,0.000040
0.020000,28.513942,311.136123,0.084953,3.812607,187.292546,9322.791030,6.283094
0.020000,28.644735,311.136101,0.215746,6.539654,136.352356,-2547.009515,6.282937
0.020000,28.797333,311.136049,0.368344,7.629895,54.512060,-4092.014801,6.282753
0.020000,28.971733,311.135955,0.542744,8.719975,54.504027,-0.401636,6.282542
0.020000,29.167942,311.135805,0.738953,9.810481,54.525304,1.063875,6.282304
0.020000,29.385962,311.135585,0.956973,10.900972,54.524547,-0.037893,6.282039
0.020000,29.625792,311.135275,1.196804,11.991545,54.528626,0.203961,6.281747
0.020000,29.887438,311.134857,1.458450,13.082289,54.537194,0.428410,6.281428
0.020000,30.170901,311.134309,1.741913,14.173189,54.545003,0.390443,6.281081
0.020000,30.476185,311.133610,2.047198,15.264230,54.552040,0.351844,6.280705
0.020000,30.803297,311.132732,2.374312,16.355687,54.572887,1.042377,6.280301
0.020000,31.152239,311.131651,2.723255,17.447158,54.573519,0.031595,6.279869
0.020000,31.523010,311.130336,3.094028,18.538672,54.575724,0.110251,6.279408
0.020000,31.915625,311.128756,3.486647,19.630926,54.612667,1.847143,6.278917
0.020000,32.330079,311.126879,3.901105,20.722896,54.598503,-0.708223,6.278396
0.020000,32.766382,311.124669,4.337413,21.815408,54.625623,1.355996,6.277845
0.020000,33.224539,311.122090,4.795578,22.908238,54.641485,0.793137,6.277264
0.020000,33.704554,311.119100,5.275602,24.001202,54.648224,0.336917,6.276651
0.020000,34.206432,311.115660,5.777492,25.094517,54.665730,0.875336,6.276007
0.020000,34.730181,311.111723,6.301255,26.188167,54.682489,0.837923,6.275331
0.020000,35.275805,311.107245,6.846898,27.282136,54.698476,0.799370,6.274623
0.020000,35.843311,311.102175,7.414426,28.376410,54.713670,0.759667,6.273881
0.020000,36.432707,311.096462,8.003851,29.471213,54.740182,1.325612,6.273105
0.020000,37.044001,311.090053,8.615177,30.566346,54.756642,0.822992,6.272295
0.020000,37.677192,311.082890,9.248409,31.661600,54.762678,0.301818,6.271451
0.020000,38.332299,311.074914,9.903565,32.757794,54.809697,2.350958,6.270570
0.020000,39.009320,311.066063,10.580644,33.853918,54.806201,-0.174793,6.269654
0.020000,39.708264,311.056272,11.279656,34.950623,54.835294,1.454611,6.268700
0.020000,40.429144,311.045472,12.000617,36.048046,54.871152,1.792909,6.267709
0.020000,41.171963,311.033593,12.743531,37.145681,54.881740,0.529405,6.266679
0.020000,41.936728,311.020561,13.508408,38.243845,54.908187,1.322373,6.265611
0.020000,42.723450,311.006298,14.295258,39.342523,54.933881,1.284663,6.264502
0.020000,43.532134,310.990723,15.104092,40.441698,54.958790,1.245485,6.263352
0.020000,44.362792,310.973752,15.934924,41.541585,54.994317,1.776329,6.262161
0.020000,45.215432,310.955298,16.787763,42.641974,55.019450,1.256649,6.260927
0.020000,46.090056,310.935269,17.662617,43.742677,55.035143,0.784671,6.259650
0.020000,46.986682,310.913571,18.559506,44.844438,55.088070,2.646347,6.258329
0.020000,47.905308,310.890105,19.478431,45.946277,55.091924,0.192679,6.256962
0.020000,48.845954,310.864769,20.419418,47.049351,55.153747,3.091147,6.255548
0.020000,49.808620,310.837454,21.382471,48.152654,55.165145,0.569923,6.254088
0.020000,50.793315,310.808051,22.367605,49.256691,55.201836,1.834528,6.252579
0.020000,51.800048,310.776445,23.374834,50.361475,55.239185,1.867447,6.251020
0.020000,52.828828,310.742515,24.404174,51.466991,55.275808,1.831156,6.249411
0.020000,53.879664,310.706138,25.455639,52.573224,55.311674,1.793321,6.247750
0.020000,54.952560,310.667184,26.529242,53.680160,55.346756,1.754092,6.246036
0.020000,56.047523,310.625520,27.624998,54.787780,55.381029,1.713632,6.244268
0.020000,57.164568,310.581007,28.742929,55.896566,55.439299,2.913512,6.242444
0.020000,58.303693,310.533501,29.883044,57.005747,55.459029,0.986517,6.240564
0.020000,59.464909,310.482853,31.045364,58.116020,55.513679,2.732484,6.238626
0.020000,60.648217,310.428909,32.229901,59.226830,55.540491,1.340605,6.236628
0.020000,61.853632,310.371506,33.436682,60.339055,55.611245,3.537710,6.234570
0.020000,63.081151,310.310481,34.665717,61.451769,55.635710,1.223245,6.232449
0.020000,64.330780,310.245660,35.917027,62.565463,55.684703,2.449666,6.230266
