dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,28.442044,285.636127,0.005366,0.536607,26.830364,1341.518214,0.000302
0.020000,28.441711,285.636127,0.005699,0.016656,-25.997548,-2641.395596,0.000275
0.020000,28.441045,285.636127,0.006366,0.033326,0.833468,1341.550780,0.000223
0.020000,28.440044,285.636127,0.007366,0.050021,0.834771,0.065140,0.000145
0.020000,28.438709,285.636126,0.008701,0.066756,0.836725,0.097729,0.000040
0.020000,28.511620,285.636123,0.081612,3.645516,178.938020,8905.064720,6.283094
0.020000,28.638397,285.636102,0.208389,6.338855,134.666952,-2213.553366,6.282937
0.020000,28.786301,285.636051,0.356293,7.395218,52.818145,-4092.440395,6.282753
0.020000,28.955326,285.635960,0.525318,8.451239,52.801053,-0.854598,6.282542
0.020000,29.145475,285.635815,0.715467,9.507460,52.811028,0.498793,6.282304
0.020000,29.356743,285.635601,0.926736,10.563426,52.798304,-0.636228,6.282039
0.020000,29.589127,285.635301,1.159120,11.619204,52.788920,-0.469194,6.281747
0.020000,29.842624,285.634896,1.412617,12.674855,52.782533,-0.319351,6.281428
0.020000,30.117230,285.634366,1.687223,13.730336,52.774051,-0.424084,6.281081
0.020000,30.412941,285.633688,1.982935,14.785605,52.763457,-0.529700,6.280705
0.020000,30.729758,285.632838,2.299754,15.840902,52.764868,0.070529,6.280301
0.020000,31.067673,285.631791,2.637670,16.895809,52.745319,-0.977468,6.279869
0.020000,31.426677,285.630517,2.996676,17.950327,52.725911,-0.970390,6.279408
0.020000,31.806776,285.628988,3.376778,19.005102,52.738741,0.641523,6.278917
0.020000,32.207954,285.627172,3.777961,20.059115,52.700686,-1.902741,6.278396
0.020000,32.630212,285.625033,4.200223,21.113139,52.701187,0.025032,6.277845
0.020000,33.073543,285.622537,4.643562,22.166926,52.689363,-0.591186,6.277264
0.020000,33.537940,285.619645,5.107967,23.220272,52.667277,-1.104300,6.276651
0.020000,34.023395,285.616317,5.593434,24.273355,52.654167,-0.655530,6.276007
0.020000,34.529904,285.612510,6.099957,25.326133,52.638874,-0.764648,6.275331
0.020000,35.057457,285.608180,6.627528,26.378560,52.621365,-0.875435,6.274623
0.020000,35.606047,285.603279,7.176140,27.430592,52.601607,-0.987921,6.273881
0.020000,36.175669,285.597758,7.745789,28.482418,52.591291,-0.515757,6.273105
0.020000,36.766312,285.591565,8.336465,29.533813,52.569746,-1.077275,6.272295
0.020000,37.377964,285.584646,8.948156,30.584545,52.536609,-1.656862,6.271451
0.020000,38.010625,285.576943,9.580863,31.635375,52.541517,0.245388,6.270570
0.020000,38.664275,285.568398,10.234569,32.685297,52.496074,-2.272119,6.269654
0.020000,39.338907,285.558947,10.909267,33.734908,52.480532,-0.777102,6.268700
