dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,67.466582,220.749956,0.005358,0.535773,26.788640,1339.431975,0.002621
0.020000,67.472099,220.749969,0.010874,0.275818,-12.997754,-1989.319657,0.002188
0.020000,67.483136,220.749989,0.021911,0.551837,13.800944,1339.934901,0.001323
0.020000,67.499701,220.750000,0.038476,0.828256,13.820971,1.001328,0.000023
0.020000,67.606415,220.749909,0.145190,5.335717,225.373025,10577.602701,6.281474
0.020000,67.741281,220.749532,0.280057,6.743346,70.381454,-7749.578527,6.279300
0.020000,67.903211,220.748691,0.441989,8.096573,67.661387,-136.003348,6.276685
0.020000,68.092258,220.747173,0.631042,9.452669,67.804758,7.168547,6.273623
0.020000,68.308462,220.744726,0.847260,10.810891,67.911113,5.317730,6.270111
0.020000,68.551905,220.741060,1.090731,12.173555,68.133193,11.103984,6.266143
0.020000,68.822644,220.735846,1.361520,13.539445,68.294520,8.066381,6.261713
0.020000,69.120763,220.728713,1.659725,14.910237,68.539606,12.254298,6.256814
0.020000,69.446307,220.719252,1.985406,16.284067,68.691472,7.593310,6.251441
0.020000,69.799357,220.707006,2.338668,17.663083,68.950797,12.966202,6.245585
0.020000,70.179968,220.691480,2.719595,19.046385,69.165140,10.717161,6.239239
0.020000,70.588267,220.672126,3.128353,20.437905,69.576001,20.543050,6.232393
0.020000,71.024229,220.648358,3.564962,21.830452,69.627330,2.566439,6.225041
0.020000,71.488004,220.619532,4.029632,23.233473,70.151052,26.186103,6.217172
0.020000,71.979567,220.584965,4.522409,24.638860,70.269363,5.915556,6.208778
0.020000,72.498951,220.543918,5.043413,26.050190,70.566494,14.856542,6.199851
0.020000,73.046209,220.495599,5.592799,27.469316,70.956274,19.489016,6.190379
0.020000,73.621282,220.439169,6.170635,28.891790,71.123732,8.372913,6.180356
0.020000,74.224160,220.373734,6.777054,30.320935,71.457216,16.674216,6.169773
0.020000,74.854748,220.298349,7.412131,31.753877,71.647116,9.494965,6.158623
0.020000,75.512947,220.212017,8.075968,33.191852,71.898770,12.582734,6.146897
0.020000,76.198592,220.113691,8.768627,34.632959,72.055355,7.829207,6.134591
0.020000,76.911496,220.002273,9.490186,36.077904,72.247219,9.593214,6.121700
0.020000,77.651372,219.876625,10.240654,37.523437,72.276679,1.473022,6.108222
0.020000,78.417930,219.735557,11.020084,38.971510,72.403626,6.347349,6.094154
0.020000,79.210736,219.577854,11.828424,40.416975,72.273265,-6.518062,6.079499
0.020000,80.029345,219.402260,12.665653,41.861471,72.224801,-2.423179,6.064259
0.020000,80.873175,219.207502,13.531668,43.300708,71.961854,-13.147373,6.048442
0.020000,81.741583,218.992287,14.426346,44.733911,71.660126,-15.086386,6.032058
0.020000,82.633816,218.755322,15.349510,46.158225,71.215686,-22.222006,6.015120
0.020000,83.549034,218.495314,16.300945,47.571746,70.676052,-26.981700,5.997646
0.020000,84.486276,218.210994,17.280363,48.970880,69.956743,-35.965480,5.979657
0.020000,85.444506,217.901118,18.287452,50.354446,69.178275,-38.923398,5.961180
0.020000,86.422542,217.564501,19.321795,51.717140,68.134688,-52.179332,5.942245
0.020000,87.419138,217.200009,20.382954,53.057950,67.040539,-54.707452,5.922888
0.020000,88.432937,216.806588,21.470414,54.373003,65.752607,-64.396575,5.903149
0.020000,89.462488,216.383283,22.583590,55.658820,64.290889,-73.085940,5.883074
0.020000,90.506283,215.929234,23.721865,56.913729,62.745447,-77.272072,5.862711
0.020000,91.562733,215.443712,24.884542,58.133860,61.006543,-86.945227,5.842115
0.020000,92.630217,214.926111,26.070894,59.317624,59.188195,-90.917379,5.821342
0.020000,93.707077,214.375967,27.280145,60.462541,57.245833,-97.118125,5.800455
0.020000,94.791650,213.792962,28.511483,61.566899,55.217930,-101.395140,5.779516
0.020000,95.882291,213.176925,29.764080,62.629858,53.147933,-103.499823,5.758591
0.020000,96.977379,212.527838,31.037081,63.650041,51.009136,-106.939885,5.737746
0.020000,98.075353,211.845828,32.329630,64.627457,48.870840,-106.914789,5.717049
0.020000,99.174724,211.131163,33.640876,65.562270,46.740636,-106.510190,5.696566
0.020000,100.274098,210.384244,34.969976,66.455041,44.638548,-105.104414,5.676364
0.020000,101.372188,209.605597,36.316116,67.307000,42.597936,-102.030568,5.656506
0.020000,102.467825,208.795860,37.678503,68.119309,40.615451,-99.124279,5.637055
0.020000,103.559979,207.955765,39.056385,68.894100,38.739530,-93.796034,5.618069
0.020000,104.647756,207.086135,40.449050,69.633256,36.957817,-89.085671,5.599605
0.020000,105.730406,206.187862,41.855828,70.338899,35.282133,-83.784171,5.581715
0.020000,106.807323,205.261901,43.276094,71.013305,33.720316,-78.090843,5.564448
0.020000,107.878057,204.309249,44.709278,71.659190,32.294242,-71.303729,5.547849
0.020000,108.942291,203.330945,46.154847,72.278489,30.964947,-66.464731,5.531960
0.020000,109.999846,202.328062,47.612310,72.873155,29.733309,-61.581911,5.516819
0.020000,111.050686,201.301686,49.081225,73.445736,28.629041,-55.213380,5.502460
0.020000,112.094888,200.252928,50.561175,73.997513,27.588861,-52.009007,5.488917
0.020000,113.132661,199.182906,52.051786,74.530552,26.651950,-46.845588,5.476218
0.020000,114.164317,198.092753,53.552701,75.045729,25.758872,-44.653865,5.464393
0.020000,115.190270,196.983620,55.063580,75.543974,24.912221,-42.332558,5.453467
0.020000,116.211028,195.856668,56.584096,76.025782,24.090411,-41.090512,5.443465
0.020000,117.227194,194.713076,58.113931,76.491747,23.298246,-39.608258,5.434415
0.020000,118.239445,193.554048,59.652761,76.941517,22.488511,-40.486738,5.426339
0.020000,119.248533,192.380819,61.200251,77.374486,21.648443,-42.003373,5.419265
0.020000,120.255279,191.194659,62.756051,77.790002,20.775813,-43.631515,5.413221
0.020000,121.260567,189.996884,64.319787,78.186801,19.839946,-46.793379,5.408234
