dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.907376,193.231468,0.007800,0.780043,39.002142,1950.107123,0.002232
0.020000,64.900718,193.231455,0.014458,0.332889,-22.357714,-3067.992836,0.001710
0.020000,64.887401,193.231439,0.027775,0.665846,16.647892,1950.280333,0.000665
0.020000,64.921299,193.231417,0.061673,1.694918,51.453558,1740.283295,6.282283
0.020000,65.019434,193.231226,0.159808,4.906722,160.590198,5456.831965,6.280191
0.020000,65.142059,193.230698,0.282434,6.131320,61.229924,-4968.013658,6.277573
0.020000,65.289134,193.229642,0.429513,7.353942,61.131119,-4.940275,6.274426
0.020000,65.460625,193.227824,0.601014,8.575033,61.054528,-3.829536,6.270746
0.020000,65.656478,193.224975,0.796888,9.793686,60.932653,-6.093751,6.266532
0.020000,65.876660,193.220785,1.017109,11.011081,60.869760,-3.144675,6.261780
0.020000,66.121112,193.214905,1.261632,12.226128,60.752356,-5.870202,6.256485
0.020000,66.389751,193.206946,1.530389,13.437841,60.585640,-8.335775,6.250645
0.020000,66.682521,193.196480,1.823346,14.647892,60.502559,-4.154037,6.244256
0.020000,66.999340,193.183039,2.140450,15.855178,60.364286,-6.913648,6.237313
0.020000,67.340131,193.166116,2.481661,17.060530,60.267601,-4.834266,6.229814
0.020000,67.704795,193.145162,2.846926,18.263271,60.137058,-6.527154,6.221756
0.020000,68.093272,193.119587,3.236245,19.465927,60.132811,-0.212361,6.213135
0.020000,68.505438,193.088766,3.649561,20.665847,59.995982,-6.841442,6.203950
0.020000,68.941203,193.052028,4.086872,21.865540,59.984636,-0.567320,6.194199
0.020000,69.400457,193.008665,4.548169,23.064821,59.964080,-1.027756,6.183884
0.020000,69.883126,192.957925,5.033497,24.266420,60.079909,5.791408,6.173004
0.020000,70.389076,192.899021,5.542865,25.468386,60.098323,0.920708,6.161564
0.020000,70.918214,192.831124,6.076340,26.673782,60.269804,8.574040,6.149567
0.020000,71.470428,192.753367,6.634003,27.883115,60.466629,9.841290,6.137021
