dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.065291,226.258225,0.005331,0.533094,26.654707,1332.735351,0.001865
0.020000,59.069600,226.258232,0.009640,0.215443,-15.882542,-2126.862455,0.001527
0.020000,59.078216,226.258243,0.018256,0.430825,10.769071,1332.580663,0.000851
0.020000,59.101404,226.258246,0.041444,1.159404,36.428972,1282.995054,6.283023
0.020000,59.203933,226.258160,0.143973,5.126419,198.350737,8096.088219,6.281671
0.020000,59.332091,226.257858,0.272132,6.407967,64.077389,-6713.667375,6.279982
0.020000,59.485880,226.257209,0.425922,7.689502,64.076784,-0.030245,6.277955
0.020000,59.665296,226.256059,0.605342,8.970981,64.073944,-0.142016,6.275589
0.020000,59.870356,226.254224,0.810410,10.253424,64.122157,2.410659,6.272886
0.020000,60.101034,226.251497,1.041104,11.534707,64.064106,-2.902536,6.269844
0.020000,60.357345,226.247644,1.297444,12.816996,64.114482,2.518795,6.266463
0.020000,60.639264,226.242405,1.579412,14.098386,64.069506,-2.248814,6.262745
0.020000,60.946783,226.235495,1.887008,15.379812,64.071306,0.090005,6.258690
0.020000,61.279879,226.226601,2.220223,16.660713,64.045026,-1.313983,6.254296
0.020000,61.638547,226.215388,2.579066,17.942164,64.072560,1.376657,6.249567
0.020000,62.022728,226.201493,2.963498,19.221622,63.972879,-4.984040,6.244501
0.020000,62.432416,226.184529,3.373537,20.501961,64.016984,2.205284,6.239101
0.020000,62.867541,226.164084,3.809142,21.780245,63.914161,-5.141165,6.233367
0.020000,63.328045,226.139723,4.270291,23.057411,63.858333,-2.791403,6.227303
0.020000,63.813879,226.110986,4.756973,24.334136,63.836250,-1.104164,6.220908
0.020000,64.324933,226.077393,5.269131,25.607870,63.686710,-7.476992,6.214188
0.020000,64.861133,226.038440,5.806744,26.880649,63.638917,-2.389638,6.207144
0.020000,65.422352,225.993602,6.369750,28.150334,63.484274,-7.732163,6.199780
0.020000,66.008462,225.942336,6.958099,29.417427,63.354654,-6.480998,6.192101
0.020000,66.619313,225.884081,7.571721,30.681108,63.184018,-8.531806,6.184113
0.020000,67.254749,225.818256,8.210558,31.941827,63.035940,-7.403871,6.175819
0.020000,67.914560,225.744271,8.874503,33.197291,62.773215,-13.136275,6.167228
0.020000,68.598552,225.661517,9.563483,34.448993,62.585091,-9.406177,6.158347
0.020000,69.306478,225.569380,10.277380,35.694823,62.291540,-14.677592,6.149183
0.020000,70.038082,225.467232,11.016081,36.935055,62.011554,-13.999258,6.139747
0.020000,70.793076,225.354445,11.779452,38.168582,61.676356,-16.759928,6.130048
