dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.089065,213.508247,0.005331,0.533094,26.654707,1332.735351,0.001865
0.020000,59.089065,213.508247,0.026655,1.599282,53.309414,1332.735351,0.001527
0.020000,59.089065,213.508247,0.069302,2.665471,53.309414,0.000000,0.000851
0.020000,59.099331,213.508246,0.133274,3.731659,53.309414,-0.000000,6.283023
0.020000,59.184630,213.508175,0.218569,4.797847,53.309414,0.000000,6.281671
0.020000,59.291251,213.507923,0.325187,5.864036,53.309414,-0.000000,6.279982
0.020000,59.419192,213.507384,0.453130,6.930224,53.309414,0.000000,6.277955
0.020000,59.568449,213.506427,0.602396,7.996412,53.309414,0.000000,6.275589
0.020000,59.739037,213.504900,0.772987,9.062600,53.309414,0.000000,6.272886
0.020000,59.930934,213.502632,0.964900,10.128789,53.309414,-0.000000,6.269844
0.020000,60.144152,213.499426,1.178138,11.194977,53.309414,0.000000,6.266463
0.020000,60.378673,213.495068,1.412699,12.261165,53.309414,-0.000000,6.262745
0.020000,60.634493,213.489320,1.668585,13.327354,53.309414,0.000000,6.258690
0.020000,60.911597,213.481921,1.945794,14.393542,53.309414,0.000000,6.254296
0.020000,61.209989,213.472592,2.244326,15.459730,53.309414,0.000000,6.249567
0.020000,61.529627,213.461032,2.564183,16.525918,53.309414,-0.000000,6.244501
0.020000,61.870520,213.446916,2.905363,17.592107,53.309414,0.000000,6.239101
0.020000,62.232624,213.429902,3.267867,18.658295,53.309414,-0.000000,6.233367
0.020000,62.615910,213.409626,3.651695,19.724483,53.309414,0.000000,6.227303
0.020000,63.020361,213.385703,4.056846,20.790671,53.309414,-0.000000,6.220908
0.020000,63.445913,213.357731,4.483322,21.856860,53.309414,0.000000,6.214188
0.020000,63.892538,213.325284,4.931121,22.923048,53.309414,-0.000000,6.207144
0.020000,64.360169,213.287923,5.400244,23.989236,53.309414,0.000000,6.199780
0.020000,64.848748,213.245188,5.890690,25.055425,53.309414,-0.000000,6.192101
0.020000,65.358201,213.196603,6.402461,26.121613,53.309414,0.000000,6.184113
0.020000,65.888460,213.141673,6.935555,27.187801,53.309414,-0.000000,6.175819
0.020000,66.439418,213.079894,7.489973,28.253989,53.309414,0.000000,6.167228
0.020000,67.010991,213.010741,8.065714,29.320178,53.309414,-0.000000,6.158347
0.020000,67.603059,212.933682,8.662780,30.386366,53.309414,0.000000,6.149183
0.020000,68.215507,212.848171,9.281169,31.452554,53.309414,-0.000000,6.139747
0.020000,68.848198,212.753653,9.920882,32.518743,53.309414,0.000000,6.130048
0.020000,69.500984,212.649567,10.581919,33.584931,53.309414,-0.000000,6.120098
0.020000,70.173710,212.535342,11.264279,34.651119,53.309414,0.000000,6.109909
0.020000,70.866211,212.410407,11.967963,35.717307,53.309414,0.000000,6.099495
0.020000,71.578306,212.274187,12.692971,36.783496,53.309414,0.000000,6.088870
0.020000,72.309797,212.126108,13.439303,37.849684,53.309414,-0.000000,6.078050
0.020000,73.060479,211.965598,14.206959,38.915872,53.309414,0.000000,6.067051
0.020000,73.830137,211.792092,14.995938,39.982061,53.309414,0.000000,6.055892
0.020000,74.618548,211.605029,15.806241,41.048249,53.309414,0.000000,6.044591
0.020000,75.425473,211.403862,16.637868,42.114437,53.309414,-0.000000,6.033168
0.020000,76.250667,211.188054,17.490819,43.180625,53.309414,0.000000,6.021645
0.020000,77.093873,210.957085,18.365093,44.246814,53.309414,0.000000,6.010044
0.020000,77.954838,210.710452,19.260691,45.313002,53.309414,0.000000,5.998386
0.020000,78.833293,210.447674,20.177613,46.379190,53.309414,-0.000000,5.986696
0.020000,79.728970,210.168289,21.115859,47.445378,53.309414,0.000000,5.974998
0.020000,80.641601,209.871865,22.075428,48.511567,53.309414,0.000000,5.963316
0.020000,81.570916,209.557995,23.056322,49.577755,53.309414,0.000000,5.951677
0.020000,82.516647,209.226302,24.058539,50.643943,53.309414,-0.000000,5.940106
0.020000,83.478532,208.876443,25.082079,51.710132,53.309414,0.000000,5.928629
0.020000,84.456314,208.508107,26.126944,52.776320,53.309414,0.000000,5.917272
0.020000,85.449746,208.121019,27.193132,53.842508,53.309414,-0.000000,5.906062
