dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.112839,200.758269,0.005331,0.533094,26.654707,1332.735351,0.001865
0.020000,59.108531,200.758262,0.009640,0.215443,-15.882542,-2126.862455,0.001527
0.020000,59.099914,200.758252,0.018256,0.430825,10.769071,1332.580663,0.000851
0.020000,59.097257,200.758246,0.020913,0.132833,-14.899609,-1283.434011,6.283023
0.020000,59.165328,200.758189,0.088983,3.403508,163.533789,8921.669890,6.281671
0.020000,59.250410,200.757989,0.174066,4.254149,42.532044,-6050.087227,6.279982
0.020000,59.352503,200.757558,0.276160,5.104682,42.526637,-0.270360,6.277955
0.020000,59.471602,200.756794,0.395262,5.955089,42.520358,-0.313933,6.275589
0.020000,59.607718,200.755576,0.531383,6.806078,42.549468,1.455486,6.272886
0.020000,59.760834,200.753766,0.684509,7.656290,42.510583,-1.944260,6.269844
0.020000,59.930959,200.751209,0.854654,8.507238,42.547411,1.841391,6.266463
0.020000,60.118082,200.747732,1.041809,9.357759,42.526047,-1.068187,6.262745
0.020000,60.322203,200.743145,1.245981,10.208606,42.542348,0.815060,6.258690
0.020000,60.543315,200.737241,1.467172,11.059572,42.548306,0.297891,6.254296
0.020000,60.781430,200.729797,1.705404,11.911575,42.600124,2.590921,6.249567
0.020000,61.036527,200.720571,1.960667,12.763167,42.579624,-1.025002,6.244501
0.020000,61.308625,200.709304,2.232998,13.616545,42.668889,4.463239,6.239101
0.020000,61.597708,200.695721,2.522400,14.470089,42.677195,0.415298,6.233367
0.020000,61.903776,200.679529,2.828896,15.324804,42.735759,2.928214,6.227303
0.020000,62.226842,200.660420,3.152527,16.181573,42.838432,5.133647,6.220908
0.020000,62.566892,200.638068,3.493311,17.039188,42.880737,2.115244,6.214188
0.020000,62.923942,200.612129,3.851302,17.899546,43.017920,6.859124,6.207144
0.020000,63.297987,200.582245,4.226539,18.761828,43.114114,4.809741,6.199780
0.020000,63.689034,200.548040,4.619079,19.627029,43.260050,7.296793,6.192101
0.020000,64.097090,200.509125,5.028986,20.495324,43.414748,7.734871,6.184113
0.020000,64.522171,200.465090,5.456342,21.367798,43.623691,10.447168,6.175819
0.020000,64.964275,200.415516,5.901217,22.243760,43.798090,8.719957,6.167228
0.020000,65.423429,200.359964,6.363719,23.125109,44.067474,13.469173,6.158347
