dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.113531,220.016992,0.005396,0.539561,26.978035,1348.901757,6.282933
0.020000,16.112698,220.016992,0.006229,0.041682,-24.893941,-2593.598821,6.282999
0.020000,16.111030,220.016992,0.007897,0.083412,2.086490,1349.021588,6.283129
0.020000,16.154840,220.016995,0.051708,2.190542,105.356494,5163.500183,0.000141
0.020000,16.237826,220.017018,0.134694,4.149269,97.936386,-371.005392,0.000403
0.020000,16.341550,220.017077,0.238418,5.186208,51.846954,-2304.471607,0.000731
0.020000,16.466008,220.017192,0.362876,6.222903,51.834742,-0.610608,0.001126
0.020000,16.611194,220.017389,0.508062,7.259302,51.819944,-0.739921,0.001588
0.020000,16.777101,220.017697,0.673969,8.295360,51.802908,-0.851799,0.002118
0.020000,16.963720,220.018148,0.860589,9.330992,51.781602,-1.065298,0.002716
0.020000,17.171044,220.018780,1.067914,10.366232,51.761971,-0.981523,0.003382
0.020000,17.399060,220.019635,1.295931,11.400890,51.732932,-1.451973,0.004119
0.020000,17.647758,220.020759,1.544632,12.435046,51.707805,-1.256348,0.004926
0.020000,17.917127,220.022205,1.814005,13.468613,51.678324,-1.474045,0.005804
0.020000,18.207151,220.024026,2.104035,14.501496,51.644131,-1.709657,0.006755
0.020000,18.517816,220.026283,2.414708,15.533677,51.609058,-1.753620,0.007780
0.020000,18.849107,220.029042,2.746010,16.565101,51.571199,-1.892939,0.008879
0.020000,19.201006,220.032374,3.097925,17.595731,51.531519,-1.984002,0.010054
0.020000,19.573494,220.036352,3.470434,18.625472,51.487054,-2.223265,0.011307
0.020000,19.966552,220.041058,3.863521,19.654327,51.442720,-2.216705,0.012639
0.020000,20.380159,220.046577,4.277164,20.682184,51.392883,-2.491875,0.014051
0.020000,20.814292,220.053002,4.711345,21.709038,51.342702,-2.509047,0.015545
0.020000,21.268927,220.060428,5.166041,22.734791,51.287652,-2.752503,0.017123
0.020000,21.744040,220.068959,5.641230,23.759449,51.232876,-2.738766,0.018786
0.020000,22.239602,220.078703,6.136888,24.782882,51.171648,-3.061429,0.020537
0.020000,22.755585,220.089775,6.652989,25.805094,51.110617,-3.051529,0.022377
0.020000,23.291958,220.102297,7.189509,26.825987,51.044632,-3.299242,0.024308
0.020000,23.848691,220.116396,7.746420,27.845554,50.978375,-3.312841,0.026333
0.020000,24.425748,220.132206,8.323694,28.863678,50.906171,-3.610222,0.028453
0.020000,25.023094,220.149869,8.921301,29.880356,50.833928,-3.612145,0.030671
0.020000,25.640691,220.169533,9.539211,30.895489,50.756660,-3.863392,0.032990
0.020000,26.278499,220.191353,10.177392,31.909052,50.678107,-3.927654,0.035412
0.020000,26.936475,220.215494,10.835811,32.920955,50.595179,-4.146400,0.037938
0.020000,27.614576,220.242125,11.514435,33.931183,50.511404,-4.188745,0.040573
0.020000,28.312754,220.271427,12.213227,34.939635,50.422573,-4.441564,0.043319
0.020000,29.030960,220.303585,12.932152,35.946260,50.331247,-4.566278,0.046179
0.020000,29.769141,220.338796,13.671173,36.951014,50.237727,-4.676026,0.049155
0.020000,30.527242,220.377265,14.430250,37.953859,50.142236,-4.774521,0.052251
0.020000,31.305207,220.419204,15.209344,38.954694,50.041735,-5.025051,0.055470
0.020000,32.102972,220.464837,16.008413,39.953446,49.937643,-5.204635,0.058814
0.020000,32.920473,220.514395,16.827415,40.950125,49.833928,-5.185747,0.062288
0.020000,33.757644,220.568121,17.666308,41.944644,49.725950,-5.398903,0.065895
0.020000,34.614412,220.626267,18.525047,42.936942,49.614882,-5.553398,0.069638
0.020000,35.490701,220.689094,19.403585,43.926910,49.498394,-5.824371,0.073521
0.020000,36.386432,220.756877,20.301877,44.914614,49.385206,-5.659438,0.077547
