dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.720473,128.988692,0.007856,0.785618,39.280880,1964.044005,6.282939
0.020000,8.717951,128.988693,0.010378,0.126077,-32.977029,-3612.895470,6.283137
0.020000,8.768036,128.988701,0.060463,2.504249,118.908602,7594.281549,0.000346
0.020000,8.854785,128.988757,0.147212,4.337454,91.660252,-1362.417468,0.000936
0.020000,8.970497,128.988911,0.262923,5.785580,72.406277,-962.698760,0.001720
0.020000,9.115210,128.989230,0.407637,7.235687,72.505375,4.954906,0.002693
0.020000,9.288975,128.989799,0.581403,8.688273,72.629289,6.195702,0.003852
0.020000,9.491849,128.990717,0.784279,10.143838,72.778254,7.448247,0.005193
0.020000,9.723903,128.992098,1.016337,11.602889,72.952530,8.713763,0.006710
0.020000,9.985214,128.994072,1.277656,13.065924,73.151783,9.962693,0.008397
0.020000,10.275871,128.996783,1.568325,14.533455,73.376533,11.237460,0.010246
0.020000,10.595970,129.000384,1.888445,16.005997,73.627081,12.527414,0.012250
0.020000,10.945620,129.005045,2.238126,17.484052,73.902772,13.784556,0.014400
0.020000,11.324937,129.010943,2.617488,18.968141,74.204447,15.083748,0.016687
0.020000,11.734047,129.018266,3.026664,20.458787,74.532281,16.391693,0.019100
0.020000,12.173086,129.027210,3.465794,21.956496,74.885460,17.658945,0.021629
0.020000,12.642198,129.037979,3.935030,23.461795,75.264973,18.975676,0.024261
0.020000,13.141539,129.050780,4.434534,24.975207,75.670604,20.281531,0.026984
0.020000,13.671270,129.065823,4.964479,26.497247,76.101983,21.568966,0.029784
0.020000,14.231565,129.083324,5.525048,28.028438,76.559552,22.878458,0.032647
0.020000,14.822607,129.103493,6.116434,29.569300,77.043080,24.176386,0.035557
0.020000,15.444588,129.126541,6.738841,31.120348,77.552424,25.467220,0.038499
0.020000,16.097707,129.152672,7.392483,32.682100,78.087597,26.758629,0.041456
0.020000,16.782177,129.182085,8.077584,34.255068,78.648393,28.039824,0.044410
0.020000,17.498217,129.214968,8.794379,35.839762,79.234725,29.316566,0.047344
0.020000,18.246060,129.251495,9.543113,37.436690,79.846389,30.583205,0.050236
0.020000,19.025944,129.291826,10.324040,39.046355,80.483254,31.843268,0.053069
0.020000,19.838124,129.336103,11.137425,40.669258,81.145137,33.094113,0.055820
0.020000,20.682860,129.384443,11.983543,42.305896,81.831920,34.339148,0.058469
0.020000,21.560426,129.436941,12.862679,43.956766,82.543474,35.577729,0.060993
0.020000,22.471109,129.493660,13.775126,45.622360,83.279685,36.810556,0.063369
0.020000,23.415205,129.554632,14.721189,47.303170,84.040544,38.042936,0.065573
0.020000,24.393026,129.619852,15.701183,48.999689,84.825942,39.269911,0.067581
0.020000,25.404896,129.689272,16.715431,50.712412,85.636120,40.508902,0.069367
0.020000,26.451152,129.762800,17.764268,52.441832,86.471009,41.744454,0.070904
0.020000,27.532147,129.840291,18.848037,54.188449,87.330864,42.992738,0.072167
0.020000,28.648249,129.921547,19.967092,55.952768,88.215931,44.253353,0.073126
0.020000,29.799840,130.006308,21.121798,57.735297,89.126469,45.526901,0.073754
0.020000,30.987319,130.094247,22.312529,59.536554,90.062840,46.818563,0.074021
0.020000,32.211102,130.184964,23.539671,61.357061,91.025359,48.125943,0.073898
0.020000,33.471622,130.277982,24.803618,63.197349,92.014403,49.452181,0.073352
0.020000,34.769326,130.372738,26.104777,65.057954,93.030226,50.791169,0.072352
0.020000,36.104680,130.468577,27.443565,66.939414,94.073027,52.140025,0.070866
0.020000,37.478163,130.564744,28.820410,68.842270,95.142787,53.488029,0.068859
0.020000,38.890269,130.660377,30.235751,70.767056,96.239317,54.826492,0.066298
0.020000,40.341506,130.754500,31.690037,72.714293,97.361854,56.126859,0.063147
0.020000,41.832390,130.846012,33.183727,74.684481,98.509400,57.377263,0.059370
0.020000,43.363443,130.933680,34.717289,76.678083,99.680058,58.532920,0.054931
0.020000,44.935192,131.016132,36.291199,78.695508,100.871266,59.560398,0.049792
0.020000,46.548158,131.091841,37.905941,80.737092,102.079224,60.397898,0.043915
0.020000,48.202852,131.159126,39.562002,82.803072,103.298957,60.986674,0.037261
0.020000,49.899766,131.216132,41.259873,84.893549,104.523850,61.244608,0.029794
0.020000,51.639361,131.260830,43.000042,87.008457,105.745401,61.077579,0.021473
0.020000,53.422056,131.291004,44.782992,89.147510,106.952669,60.363395,0.012261
0.020000,55.248211,131.304244,46.609196,91.310163,108.132658,58.999422,0.002122
0.020000,56.843205,131.309684,48.204199,79.750170,-577.999632,-34306.614457,0.008243
0.020000,58.462075,131.331939,49.823221,80.951109,60.046932,31902.328158,0.019282
0.020000,60.107144,131.373035,51.468804,82.279150,66.402048,317.755831,0.030703
0.020000,61.778063,131.434204,53.140842,83.601904,66.137675,-13.218677,0.042514
0.020000,63.474452,131.516714,54.839236,84.919706,65.890136,-12.376949,0.054722
0.020000,65.195900,131.621870,56.563893,86.232838,65.656576,-11.678003,0.067335
0.020000,66.941965,131.751015,58.314728,87.541753,65.445743,-10.541654,0.080359
0.020000,68.712173,131.905522,60.091666,88.846891,65.256943,-9.439969,0.093801
0.020000,70.506013,132.086800,61.894642,90.148798,65.095317,-8.081296,0.107665
0.020000,72.322939,132.296288,63.723605,91.448162,64.968233,-6.354225,0.121955
0.020000,74.162370,132.535454,65.578519,92.745705,64.877137,-4.554770,0.136675
0.020000,76.023685,132.805791,67.459364,94.042242,64.826840,-2.514857,0.151825
0.020000,77.906228,133.108817,69.366139,95.338733,64.824540,-0.115005,0.167406
0.020000,79.809299,133.446070,71.298863,96.636195,64.873096,2.427813,0.183417
0.020000,81.732165,133.819103,73.257578,97.935762,64.978372,5.263791,0.199854
0.020000,83.674049,134.229482,75.242351,99.238652,65.144516,8.307192,0.216711
0.020000,85.634137,134.678781,77.253275,100.546179,65.376315,11.589973,0.233982
0.020000,87.611575,135.168577,79.290469,101.859738,65.677942,15.081344,0.251657
0.020000,89.605472,135.700444,81.354085,103.180764,66.051307,18.668259,0.269725
0.020000,91.614899,136.275950,83.444301,104.510801,66.501856,22.527431,0.288170
0.020000,93.638890,136.896647,85.561328,105.851371,67.028506,26.332503,0.306978
0.020000,95.676445,137.564068,87.705409,107.204033,67.633083,30.228861,0.326128
0.020000,97.726531,138.279719,89.876816,108.570372,68.316972,34.194451,0.345599
0.020000,99.788083,139.045075,92.075853,109.951850,69.073899,37.846315,0.365368
0.020000,101.860006,139.861567,94.302853,111.349984,69.906695,41.639813,0.385408
0.020000,103.858815,140.695246,96.468553,108.285003,-153.249043,-11157.786875,0.404937
0.020000,106.275708,141.720464,99.093899,131.267312,1149.115455,65118.224859,0.397458
0.020000,108.738158,142.743176,101.760283,133.319180,102.593378,-52326.103826,0.389818
0.020000,111.213287,143.748898,104.431937,133.582726,13.177329,-4470.802468,0.382072
0.020000,113.682092,144.729773,107.088460,132.826134,-37.829627,-2550.347812,0.374280
0.020000,116.132914,145.681452,109.717571,131.455528,-68.530295,-1535.033382,0.366482
0.020000,118.561589,146.602813,112.315140,129.878481,-78.852360,-516.103227,0.358693
0.020000,120.967738,147.494271,114.881120,128.298977,-78.975202,-6.142100,0.350917
0.020000,123.350986,148.356251,117.415460,126.717033,-79.097163,-6.098056,0.343158
