dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.717331,116.238693,0.007856,0.785618,39.280880,1964.044005,6.282939
0.020000,8.717331,116.238693,0.039281,2.356853,78.561760,1964.044005,6.283137
0.020000,8.772450,116.238702,0.102130,3.928088,78.561760,0.000000,0.000346
0.020000,8.866724,116.238763,0.196404,5.499323,78.561760,0.000000,0.000936
0.020000,8.992422,116.238930,0.322103,7.070558,78.561760,-0.000000,0.001720
0.020000,9.149545,116.239276,0.479227,8.641794,78.561760,0.000000,0.002693
0.020000,9.338093,116.239893,0.667775,10.213029,78.561760,-0.000000,0.003852
0.020000,9.558063,116.240889,0.887748,11.784264,78.561760,0.000000,0.005193
0.020000,9.809456,116.242385,1.139146,13.355499,78.561760,-0.000000,0.006710
0.020000,10.092271,116.244522,1.421968,14.926734,78.561760,0.000000,0.008397
0.020000,10.406504,116.247452,1.736215,16.497970,78.561760,0.000000,0.010246
0.020000,10.752154,116.251341,2.081887,18.069205,78.561760,0.000000,0.012250
0.020000,11.129217,116.256367,2.458983,19.640440,78.561760,-0.000000,0.014400
0.020000,11.537688,116.262718,2.867504,21.211675,78.561760,0.000000,0.016687
0.020000,11.977564,116.270592,3.307450,22.782910,78.561760,-0.000000,0.019100
0.020000,12.448836,116.280193,3.778821,24.354146,78.561760,0.000000,0.021629
0.020000,12.951499,116.291731,4.281616,25.925381,78.561760,0.000000,0.024261
0.020000,13.485543,116.305421,4.815836,27.496616,78.561760,-0.000000,0.026984
0.020000,14.050960,116.321478,5.381481,29.067851,78.561760,0.000000,0.029784
0.020000,14.647738,116.340118,5.978550,30.639086,78.561760,-0.000000,0.032647
0.020000,15.275866,116.361552,6.607044,32.210322,78.561760,0.000000,0.035557
0.020000,15.935332,116.385988,7.266963,33.781557,78.561760,0.000000,0.038499
0.020000,16.626123,116.413627,7.958306,35.352792,78.561760,0.000000,0.041456
0.020000,17.348224,116.444657,8.681075,36.924027,78.561760,-0.000000,0.044410
0.020000,18.101623,116.479254,9.435267,38.495263,78.561760,0.000000,0.047344
0.020000,18.886305,116.517580,10.220885,40.066498,78.561760,0.000000,0.050236
0.020000,19.702257,116.559776,11.037927,41.637733,78.561760,0.000000,0.053069
0.020000,20.549465,116.605961,11.886394,43.208968,78.561760,0.000000,0.055820
0.020000,21.427920,116.656231,12.766286,44.780203,78.561760,-0.000000,0.058469
0.020000,22.337610,116.710649,13.677602,46.351439,78.561760,0.000000,0.060993
0.020000,23.278527,116.769251,14.620344,47.922674,78.561760,0.000000,0.063369
0.020000,24.250668,116.832034,15.594509,49.493909,78.561760,-0.000000,0.065573
0.020000,25.254029,116.898957,16.600100,51.065144,78.561760,0.000000,0.067581
0.020000,26.288612,116.969935,17.637115,52.636379,78.561760,-0.000000,0.069367
0.020000,27.354423,117.044836,18.705555,54.207615,78.561760,0.000000,0.070904
0.020000,28.451473,117.123478,19.805420,55.778850,78.561760,0.000000,0.072167
0.020000,29.579776,117.205622,20.936709,57.350085,78.561760,0.000000,0.073126
0.020000,30.739353,117.290970,22.099423,58.921320,78.561760,0.000000,0.073754
0.020000,31.930231,117.379160,23.293562,60.492555,78.561760,-0.000000,0.074021
0.020000,33.152441,117.469761,24.519125,62.063791,78.561760,0.000000,0.073898
0.020000,34.406021,117.562267,25.776114,63.635026,78.561760,0.000000,0.073352
0.020000,35.691012,117.656096,27.064526,65.206261,78.561760,0.000000,0.072352
0.020000,37.007464,117.750578,28.384364,66.777496,78.561760,0.000000,0.070866
0.020000,38.355425,117.844959,29.735626,68.348731,78.561760,0.000000,0.068859
0.020000,39.734952,117.938388,31.118313,69.919967,78.561760,0.000000,0.066298
