dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.714190,103.488693,0.007856,0.785618,39.280880,1964.044005,6.282939
0.020000,8.716712,103.488693,0.010378,0.126077,-32.977029,-3612.895470,6.283137
0.020000,8.776863,103.488703,0.070529,3.007566,144.074434,8852.573150,0.000346
0.020000,8.878662,103.488768,0.172328,5.089957,104.119562,-1997.743563,0.000936
0.020000,9.014348,103.488948,0.308014,6.784301,84.717194,-970.118441,0.001720
0.020000,9.183881,103.489322,0.477547,8.476665,84.618208,-4.949303,0.002693
0.020000,9.387211,103.489988,0.680878,10.166548,84.494168,-6.201955,0.003852
0.020000,9.624277,103.491061,0.917947,11.853451,84.345132,-7.451804,0.005193
0.020000,9.895010,103.492672,1.188685,13.536874,84.171155,-8.698847,0.006710
0.020000,10.199327,103.494971,1.493011,15.216306,83.971585,-9.978517,0.008397
0.020000,10.537137,103.498121,1.830836,16.891241,83.746750,-11.241739,0.010246
0.020000,10.908338,103.502297,2.202059,18.561175,83.496728,-12.501115,0.012250
0.020000,11.312813,103.507689,2.606571,20.225585,83.220493,-13.811768,0.014400
0.020000,11.750440,103.514493,3.044250,21.883961,82.918778,-15.085748,0.016687
0.020000,12.221080,103.522917,3.514966,23.535792,82.591568,-16.360478,0.019100
0.020000,12.724587,103.533175,4.018577,25.180547,82.237753,-17.690766,0.021629
0.020000,13.260800,103.545483,4.554931,26.817714,81.858345,-18.970393,0.024261
0.020000,13.829548,103.560063,5.123867,28.446774,81.453017,-20.266379,0.026984
0.020000,14.430650,103.577133,5.725211,30.067201,81.021335,-21.584099,0.029784
0.020000,15.063911,103.596912,6.358780,31.678478,80.563848,-22.874361,0.032647
0.020000,15.729125,103.619611,7.024382,33.280086,80.080399,-24.172483,0.035557
0.020000,16.426077,103.645436,7.721812,34.871506,79.570993,-25.470260,0.038499
0.020000,17.154539,103.674581,8.450857,36.452223,79.035867,-26.756323,0.041456
0.020000,17.914272,103.707228,9.211291,38.021724,78.475058,-28.040427,0.044410
0.020000,18.705029,103.743541,10.002881,39.579500,77.888774,-29.314234,0.047344
0.020000,19.526550,103.783665,10.825382,41.125042,77.277118,-30.582785,0.050236
0.020000,20.378569,103.827726,11.678539,42.657848,76.640285,-31.841667,0.053069
0.020000,21.260807,103.875820,12.562087,44.177416,75.978402,-33.094148,0.055820
0.020000,22.172980,103.928018,13.475752,45.683249,75.291646,-34.337789,0.058469
0.020000,23.114793,103.984358,14.419249,47.174852,74.580134,-35.575585,0.060993
0.020000,24.085946,104.044843,15.392284,48.651730,73.843934,-36.810012,0.063369
0.020000,25.086130,104.109436,16.394552,50.113393,73.083142,-38.039590,0.065573
0.020000,26.115031,104.178062,17.425739,51.559346,72.297650,-39.274630,0.067581
0.020000,27.172328,104.250597,18.485521,52.989098,71.487600,-40.502485,0.069367
0.020000,28.257694,104.326872,19.573564,54.402152,70.652685,-41.745738,0.070904
0.020000,29.370798,104.406665,20.689524,55.798008,69.792810,-42.993749,0.072167
0.020000,30.511303,104.489697,21.833047,57.176163,68.907745,-44.253237,0.073126
0.020000,31.678867,104.575633,23.003769,58.536106,67.997165,-45.529011,0.073754
0.020000,32.873143,104.664074,24.201316,59.877322,67.060768,-46.819852,0.074021
0.020000,34.093779,104.754558,25.425301,61.199285,66.098165,-48.130161,0.073898
0.020000,35.340419,104.846553,26.675331,62.501466,65.109051,-49.455690,0.073352
0.020000,36.612698,104.939453,27.950997,63.783328,64.093104,-50.797362,0.072352
0.020000,37.910247,105.032580,29.251884,65.044331,63.050155,-52.147420,0.070866
0.020000,39.232688,105.125175,30.577563,66.283935,61.980177,-53.498939,0.068859
0.020000,40.579635,105.216398,31.927595,67.501604,60.883489,-54.834405,0.066298
0.020000,41.950690,105.305324,33.301531,68.696816,59.760593,-56.144768,0.063147
0.020000,43.345447,105.390940,34.698912,69.869071,58.612751,-57.392108,0.059370
0.020000,44.763482,105.472143,36.119271,71.017905,57.441660,-58.554538,0.054931
0.020000,46.204358,105.547735,37.562129,72.142905,56.250036,-59.581217,0.049792
0.020000,47.667621,105.616426,39.027003,73.243735,55.041500,-60.426814,0.043915
0.020000,49.152797,105.676826,40.513407,74.320158,53.821118,-61.019088,0.037261
0.020000,50.659388,105.727449,42.020848,75.372068,52.595509,-61.280440,0.029794
0.020000,52.186874,105.766709,43.548839,76.399532,51.373218,-61.114566,0.021473
0.020000,53.734709,105.792921,45.096895,77.402829,50.164848,-60.418488,0.012261
0.020000,55.302318,105.804302,46.664545,78.382510,48.984050,-59.039896,0.002122
0.020000,57.053399,105.810551,48.415638,87.554647,458.606838,20481.139398,0.008243
0.020000,58.953746,105.836680,50.316165,95.026324,373.583843,-4251.149749,0.019282
0.020000,60.889957,105.885054,52.252979,96.840723,90.719973,-14143.193522,0.030703
0.020000,62.861842,105.957245,54.226185,98.660309,90.979310,12.966849,0.042514
0.020000,64.869167,106.054884,56.235883,100.484900,91.229528,12.510915,0.054722
0.020000,66.911641,106.179657,58.282165,102.314104,91.460226,11.534888,0.067335
0.020000,68.988918,106.333305,60.365117,104.147585,91.674048,10.691107,0.080359
0.020000,71.100586,106.517622,62.484814,105.984822,91.861811,9.388161,0.093801
0.020000,73.246162,106.734451,64.641318,107.825234,92.020609,7.939874,0.107665
0.020000,75.425091,106.985685,66.834683,109.668227,92.149656,6.452382,0.121955
0.020000,77.636734,107.273253,69.064944,111.513039,92.240602,4.547277,0.136675
0.020000,79.880369,107.599125,71.332120,113.358813,92.288699,2.404875,0.151825
0.020000,82.155179,107.965301,73.636213,115.204650,92.291841,0.157111,0.167406
0.020000,84.460252,108.373802,75.977203,117.049502,92.242619,-2.461145,0.183417
0.020000,86.794574,108.826664,78.355048,118.892249,92.137364,-5.262720,0.199854
0.020000,89.157028,109.325929,80.769681,120.731664,91.970714,-8.332502,0.216711
0.020000,91.546386,109.873634,83.221010,122.566438,91.738729,-11.599240,0.233982
0.020000,93.961311,110.471799,85.708914,124.395192,91.437687,-15.052140,0.251657
0.020000,96.400355,111.122415,88.233243,126.216440,91.062391,-18.764752,0.269725
0.020000,98.861959,111.827431,90.793817,128.028712,90.613606,-22.439288,0.288170
0.020000,101.344454,112.588741,93.390425,129.830434,90.086092,-26.375696,0.306978
0.020000,103.846067,113.408173,96.022826,131.620043,89.480471,-30.281050,0.326128
0.020000,106.364924,114.287467,98.690747,133.396032,88.799440,-34.051527,0.345599
0.020000,108.899058,115.228271,101.393883,135.156815,88.039139,-38.015040,0.365368
0.020000,111.446417,116.232121,104.131904,136.901013,87.209922,-41.460884,0.385408
0.020000,113.904811,117.257499,106.795566,133.183137,-185.893808,-13655.186468,0.404937
0.020000,116.146151,118.208247,109.230217,121.732554,-572.529174,-19331.768310,0.397458
0.020000,118.428663,119.156228,111.701762,123.577209,92.232769,33238.097127,0.389818
0.020000,120.720795,120.087594,114.175890,123.706435,6.461281,-4288.574366,0.382072
0.020000,123.004959,120.995112,116.633733,122.892143,-40.714557,-2358.791901,0.374280
0.020000,125.270417,121.874813,119.063996,121.513130,-68.950673,-1411.805807,0.366482
0.020000,127.513391,122.725727,121.462950,119.947729,-78.270056,-465.969168,0.358693
0.020000,129.733606,123.548300,123.830645,118.384762,-78.148353,6.085148,0.350917
0.020000,131.930794,124.342986,126.167130,116.824243,-78.025941,6.120623,0.343158
0.020000,134.104688,125.110251,128.472453,115.266152,-77.904558,6.069125,0.335420
0.020000,136.255029,125.850569,130.746664,113.710526,-77.781291,6.163338,0.327706
0.020000,138.381556,126.564422,132.989810,112.157300,-77.661284,6.000380,0.320020
0.020000,140.484016,127.252298,135.201938,110.606425,-77.543776,5.875398,0.312366
0.020000,142.562162,127.914694,137.383098,109.057994,-77.421528,6.112394,0.304748
0.020000,144.615748,128.552114,139.533336,107.511866,-77.306399,5.756449,0.297170
